vcf rna
0_10_chQTL_AM7205_D AM7205
0_10_chQTL_AM7224_D AM7224
0_11_chQTL_AM7226_D AM7226
0_12_chQTL_AM7228_D AM7228
0_13_chQTL_AM7229_D AM7229
0_14_chQTL_AM7230_D AM7230
0_15_chQTL_AM7236_D AM7236
0_16_chQTL_AM7237_D AM7237
0_1_chQTL_AM7180_D AM7180
0_1_chQTL_AM7208_D AM7208
0_2_chQTL_AM7181_D AM7181
0_2_chQTL_AM7209_D AM7209
0_3_chQTL_AM7182_D AM7182
0_3_chQTL_AM7211_D AM7211
0_4_chQTL_AM7188_D AM7188
0_4_chQTL_AM7213_D AM7213
0_5_chQTL_AM7189_D AM7189
0_5_chQTL_AM72114_D AM7214
0_6_chQTL_AM7196_D AM7196
0_6_chQTL_AM7215_D AM7215
0_7_chQTL_AM7197_D AM7197
0_7_chQTL_AM7216_D AM7216
0_8_chQTL_AM7203_D AM7203
0_8_chQTL_AM7221_D AM7221
0_9_chQTL_AM7204_D AM7204
0_9_chQTL_AM7223_D AM7223
