Proj,Donor,Condition,Time,Tech_Rep,Seq_Rep,Read1,Read2,Sequencing_Directory
PROJ,DONOR1,CTL,18,1,1,donor1_CTL.R1.fastq.gz,donor1_CTL.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR1,FNF,18,1,1,donor1_FNF.R1.fastq.gz,donor1_FNF.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR2,CTL,18,1,1,donor2_CTL.R1.fastq.gz,donor2_CTL.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR2,FNF,18,1,1,donor2_FNF.R1.fastq.gz,donor2_FNF.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR3,CTL,18,1,1,donor3_CTL.R1.fastq.gz,donor3_CTL.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR3,FNF,18,1,1,donor3_FNF.R1.fastq.gz,donor3_FNF.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR4,CTL,18,1,1,donor4_CTL.R1.fastq.gz,donor4_CTL.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR4,FNF,18,1,1,donor4_FNF.R1.fastq.gz,donor4_FNF.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR5,CTL,18,1,1,donor5_CTL.R1.fastq.gz,donor5_CTL.R2.fastq.gz,/path/to/fastq/directory/
PROJ,DONOR5,FNF,18,1,1,donor5_FNF.R1.fastq.gz,donor5_FNF.R2.fastq.gz,/path/to/fastq/directory/
