allele,donor,condition
ref,AM7180,FNF
ref,AM7180,CTL
ref,AM7181,FNF
ref,AM7181,CTL
ref,AM7182,FNF
ref,AM7182,CTL
ref,AM7188,CTL
ref,AM7188,FNF
ref,AM7189,FNF
ref,AM7189,CTL
ref,AM7196,CTL
ref,AM7196,FNF
ref,AM7197,FNF
ref,AM7197,CTL
ref,AM7203,FNF
ref,AM7203,CTL
ref,AM7204,CTL
ref,AM7204,FNF
ref,AM7205,FNF
ref,AM7205,CTL
ref,AM7208,CTL
ref,AM7208,FNF
ref,AM7209,CTL
ref,AM7209,FNF
ref,AM7211,CTL
ref,AM7211,FNF
ref,AM7213,CTL
ref,AM7213,FNF
ref,AM7214,CTL
ref,AM7214,FNF
ref,AM7215,FNF
ref,AM7215,CTL
ref,AM7216,CTL
ref,AM7216,FNF
ref,AM7221,FNF
ref,AM7221,CTL
ref,AM7223,FNF
ref,AM7223,CTL
ref,AM7224,FNF
ref,AM7224,CTL
ref,AM7226,FNF
ref,AM7226,CTL
ref,AM7228,FNF
ref,AM7228,CTL
ref,AM7229,FNF
ref,AM7229,CTL
ref,AM7230,FNF
ref,AM7230,CTL
ref,AM7236,FNF
ref,AM7236,CTL
ref,AM7237,CTL
ref,AM7237,FNF
ref,AM7241,CTL
ref,AM7241,FNF
ref,AM7242,FNF
ref,AM7242,CTL
ref,AM7243,CTL
ref,AM7243,FNF
ref,AM7244,CTL
ref,AM7244,FNF
ref,AM7255,FNF
ref,AM7255,CTL
ref,AM7256,CTL
ref,AM7256,FNF
ref,AM7260,CTL
ref,AM7260,FNF
ref,AM7261,FNF
ref,AM7261,CTL
ref,AM7266,CTL
ref,AM7266,FNF
ref,AM7269,FNF
ref,AM7269,CTL
ref,AM7270,CTL
ref,AM7270,FNF
ref,AM7272,FNF
ref,AM7272,CTL
ref,AM7273,CTL
ref,AM7273,FNF
ref,AM7277,CTL
ref,AM7277,FNF
ref,AM7278,FNF
ref,AM7278,CTL
ref,AM7280,CTL
ref,AM7280,FNF
ref,AM7283,CTL
ref,AM7283,FNF
ref,AM7284,CTL
ref,AM7284,FNF
ref,AM7285,FNF
ref,AM7285,CTL
ref,AM7294,CTL
ref,AM7294,FNF
ref,AM7295,FNF
ref,AM7295,CTL
ref,AM7302,FNF
ref,AM7302,CTL
ref,AM7303,CTL
ref,AM7303,FNF
ref,AM7304,FNF
ref,AM7304,CTL
ref,AM7312,CTL
ref,AM7312,FNF
ref,AM7313,FNF
ref,AM7313,CTL
ref,AM7318,FNF
ref,AM7318,CTL
ref,AM7319,FNF
ref,AM7319,CTL
ref,AM7320,CTL
ref,AM7320,FNF
ref,AM7321,FNF
ref,AM7321,CTL
alt,AM7180,FNF
alt,AM7180,CTL
alt,AM7181,FNF
alt,AM7181,CTL
alt,AM7182,FNF
alt,AM7182,CTL
alt,AM7188,CTL
alt,AM7188,FNF
alt,AM7189,FNF
alt,AM7189,CTL
alt,AM7196,CTL
alt,AM7196,FNF
alt,AM7197,FNF
alt,AM7197,CTL
alt,AM7203,FNF
alt,AM7203,CTL
alt,AM7204,CTL
alt,AM7204,FNF
alt,AM7205,FNF
alt,AM7205,CTL
alt,AM7208,CTL
alt,AM7208,FNF
alt,AM7209,CTL
alt,AM7209,FNF
alt,AM7211,CTL
alt,AM7211,FNF
alt,AM7213,CTL
alt,AM7213,FNF
alt,AM7214,CTL
alt,AM7214,FNF
alt,AM7215,FNF
alt,AM7215,CTL
alt,AM7216,CTL
alt,AM7216,FNF
alt,AM7221,FNF
alt,AM7221,CTL
alt,AM7223,FNF
alt,AM7223,CTL
alt,AM7224,FNF
alt,AM7224,CTL
alt,AM7226,FNF
alt,AM7226,CTL
alt,AM7228,FNF
alt,AM7228,CTL
alt,AM7229,FNF
alt,AM7229,CTL
alt,AM7230,FNF
alt,AM7230,CTL
alt,AM7236,FNF
alt,AM7236,CTL
alt,AM7237,CTL
alt,AM7237,FNF
alt,AM7241,CTL
alt,AM7241,FNF
alt,AM7242,FNF
alt,AM7242,CTL
alt,AM7243,CTL
alt,AM7243,FNF
alt,AM7244,CTL
alt,AM7244,FNF
alt,AM7255,FNF
alt,AM7255,CTL
alt,AM7256,CTL
alt,AM7256,FNF
alt,AM7260,CTL
alt,AM7260,FNF
alt,AM7261,FNF
alt,AM7261,CTL
alt,AM7266,CTL
alt,AM7266,FNF
alt,AM7269,FNF
alt,AM7269,CTL
alt,AM7270,CTL
alt,AM7270,FNF
alt,AM7272,FNF
alt,AM7272,CTL
alt,AM7273,CTL
alt,AM7273,FNF
alt,AM7277,CTL
alt,AM7277,FNF
alt,AM7278,FNF
alt,AM7278,CTL
alt,AM7280,CTL
alt,AM7280,FNF
alt,AM7283,CTL
alt,AM7283,FNF
alt,AM7284,CTL
alt,AM7284,FNF
alt,AM7285,FNF
alt,AM7285,CTL
alt,AM7294,CTL
alt,AM7294,FNF
alt,AM7295,FNF
alt,AM7295,CTL
alt,AM7302,FNF
alt,AM7302,CTL
alt,AM7303,CTL
alt,AM7303,FNF
alt,AM7304,FNF
alt,AM7304,CTL
alt,AM7312,CTL
alt,AM7312,FNF
alt,AM7313,FNF
alt,AM7313,CTL
alt,AM7318,FNF
alt,AM7318,CTL
alt,AM7319,FNF
alt,AM7319,CTL
alt,AM7320,CTL
alt,AM7320,FNF
alt,AM7321,FNF
alt,AM7321,CTL
