vcf rna
0_1_chQTL_AM7180_D AM7180
0_2_chQTL_AM7181_D AM7181
0_3_chQTL_AM7182_D AM7182
0_4_chQTL_AM7188_D AM7188
0_5_chQTL_AM7189_D AM7189
0_6_chQTL_AM7196_D AM7196
0_7_chQTL_AM7197_D AM7197
0_8_chQTL_AM7203_D AM7203
0_9_chQTL_AM7204_D AM7204
0_10_chQTL_AM7205_D AM7205
0_1_chQTL_AM7208_D AM7208
0_2_chQTL_AM7209_D AM7209
0_3_chQTL_AM7211_D AM7211
0_4_chQTL_AM7213_D AM7213
0_5_chQTL_AM7214_D AM7214
0_6_chQTL_AM7215_D AM7215
0_7_chQTL_AM7216_D AM7216
0_8_chQTL_AM7221_D AM7221
0_9_chQTL_AM7223_D AM7223
0_10_chQTL_AM7224_D AM7224
0_11_chQTL_AM7226_D AM7226
0_12_chQTL_AM7228_D AM7228
0_13_chQTL_AM7229_D AM7229
0_14_chQTL_AM7230_D AM7230
0_15_chQTL_AM7236_D AM7236
0_16_chQTL_AM7237_D AM7237
0_1_chQTL_AM7241_D AM7241
0_2_chQTL_AM7242_D AM7242
0_3_chQTL_AM7243_D AM7243
0_4_chQTL_AM7244_D AM7244
0_5_chQTL_AM7255_D AM7255
0_6_chQTL_AM7256_D AM7256
0_7_chQTL_AM7260_D AM7260
0_8_chQTL_AM7261_D AM7261
0_9_chQTL_AM7266_D AM7266
0_10_chQTL_AM7269_D AM7269
0_11_chQTL_AM7270_D AM7270
0_12_chQTL_AM7272_D AM7272
0_13_chQTL_AM7273_D AM7273
0_14_chQTL_AM7277_D AM7277
0_15_chQTL_AM7278_D AM7278
0_16_chQTL_AM7280_D AM7280
0_1_chQTL_AM7283_D AM7283
0_2_chQTL_AM7284_D AM7284
0_3_chQTL_AM7285_D AM7285
0_4_chQTL_AM7294_D AM7294
0_5_chQTL_AM7295_D AM7295
0_6_chQTL_AM7302_D AM7302
0_7_chQTL_AM7303_D AM7303
0_8_chQTL_AM7304_D AM7304
0_9_chQTL_AM7312_D AM7312
0_10_chQTL_AM7313_D AM7313
0_11_chQTL_AM7318_D AM7318
0_12_chQTL_AM7319_D AM7319
0_13_chQTL_AM7320_D AM7320
0_14_chQTL_AM7321_D AM7321
0_15_chQTL_AM7323_D AM7323
0_16_chQTL_AM7325_D AM7325
0_1_chQTL_AM7327_D AM7327
0_2_chQTL_AM7328_D AM7328
0_3_chQTL_AM7329_D AM7329
0_4_chQTL_AM7332_D AM7332
0_5_chQTL_AM7333_D AM7333
0_6_chQTL_AM7334_D AM7334
0_7_chQTL_AM7336_D AM7336
0_8_chQTL_AM7337_D AM7337
0_9_chQTL_AM7343_D AM7343
0_10_chQTL_AM7344_D AM7344
0_11_chQTL_AM7345_D AM7345
0_12_chQTL_AM7346_D AM7346
0_9_chQTL_AM7312_D AM7352
0_14_chQTL_AM7353_D AM7353
0_15_chQTL_AM7354_D AM7354
0_16_chQTL_AM7356_D AM7356
