ENSEMBL,HGNC,CLUSTER,PVAL,LFC_3hr,LFC_6hr,LFC_18h,ZSCR_3hr,ZSCR_6hr,ZSCR_18h,RAW_3hr_Ctr_R1,RAW_3hr_Ctr_R2,RAW_3hr_Ctr_R3,RAW_6hr_Ctr_R1,RAW_6hr_Ctr_R2,RAW_6hr_Ctr_R3,RAW_18h_Ctr_R1,RAW_18h_Ctr_R2,RAW_18h_Ctr_R3,RAW_3hr_FnF_R1,RAW_3hr_FnF_R2,RAW_3hr_FnF_R3,RAW_6hr_FnF_R1,RAW_6hr_FnF_R2,RAW_6hr_FnF_R3,RAW_18h_FnF_R1,RAW_18h_FnF_R2,RAW_18h_FnF_R3,RAAK_PVAL,RAAK_FC,RAAK_LFC
ENSG00000003989,SLC7A2,up.early,5.65E-25,3.733014548,4.879786449,4.665303969,1.547077795,1.944636441,1.943174099,6422,30381,50399,3366,21602,41060,989,47266,53440,152624,322526,316911,167006,533736,617485,120608,362854,528476,0.000115,1.83,0.874287986
ENSG00000006016,CRLF1,static,0.000186778,0.065428125,0.126015938,-0.390020616,0.133349246,0.222931284,-0.731457318,2359,1972,2492,1114,1278,1735,538,1360,1142,1755,2013,1624,774,1681,1196,282,732,422,4.40E-08,2.97,1.572744621
ENSG00000006327,TNFRSF12A,up.early,5.83E-09,0.857196772,1.243861347,2.001454212,1.043490683,1.140733844,1.521851701,884,3082,2745,261,1319,1335,47,515,273,3188,6432,2862,1501,3367,1521,385,1111,408,1.88E-07,1.67,0.743926962
ENSG00000008513,ST3GAL1,up.early,3.40E-61,0.998100074,2.242395571,2.810898,0.883463522,1.854975911,2.326573733,2143,5362,7054,671,2445,3730,411,4193,3429,3890,11126,8303,2996,12072,9349,3061,11495,9572,9.66E-05,1.72,0.782520986
ENSG00000011422,PLAUR,up.early,1.59E-34,1.148386243,2.219565764,2.795152154,1.095007709,1.901562242,2.377491139,654,1496,2469,256,761,1160,93,841,876,1654,4085,3363,1507,4017,3592,1105,3341,2705,1.05E-06,1.84,0.876043922
ENSG00000011465,DCN,static,0.064114573,0.107788825,0.277234744,-0.02990408,0.505433434,1.281221732,-0.232710603,405284,529671,843269,173144,420825,668844,101661,614641,722984,298378,545632,589336,140506,535441,635723,59987,365866,409359,0.0094,1.78,0.831584729
ENSG00000039560,RAI14,up.early,1.02E-40,0.810698025,1.120419474,1.549344643,1.214447082,1.649435323,2.222253831,706,897,1607,288,697,1363,167,845,1069,937,1614,1747,608,2042,2403,304,1660,2707,1.88E-07,1.6,0.680819163
ENSG00000090530,LEPREL1,static,0.000961035,0.103274971,0.214134405,0.110353993,0.287583265,0.506180291,0.116794887,8254,21276,22032,3214,12815,16847,955,10697,9284,6448,25081,14248,3221,18057,12888,1515,5739,4217,4.40E-08,2.37,1.242869807
ENSG00000100234,TIMP3,static,2.69E-16,0.439432319,0.959381651,0.604032838,0.897146022,1.808306752,1.168895673,21979,24760,42775,9161,15059,29575,4076,12232,15570,23492,35239,34090,11842,33702,43887,3127,12906,20681,0.000318,1.89,0.917725279
ENSG00000100473,COCH,static,0.742635478,-0.020381325,-0.1740972,-0.365361507,-0.040083742,-0.220551668,-0.927050232,46,26,120,27,38,120,13,45,114,26,36,104,14,31,106,4,8,65,0.00557,1.63,0.704643511
ENSG00000102359,SRPX2,static,0.931827541,0.011256299,0.053408537,0.03372004,0.034977141,0.168465515,0.040888105,3399,3562,3485,1502,2716,2595,873,2951,2380,2335,3758,2141,1057,3059,2011,492,1885,1957,0.000273,1.53,0.610078061
ENSG00000103257,SLC7A5,up.early,2.76E-88,2.093475033,2.995175258,3.303381191,1.409855626,1.982981128,2.194141761,1225,3272,2946,494,2206,2111,166,2025,1262,5112,11457,7635,3841,13286,13063,1966,9643,6507,0.000199,1.64,0.710712903
ENSG00000106089,STX1A,static,1.65E-05,-0.263198315,0.155252434,0.741627997,-0.619938756,0.403943505,1.412796457,296,634,809,83,247,425,43,121,165,234,473,297,121,293,229,56,180,125,0.000361,1.64,0.715181066
ENSG00000106366,SERPINE1,static,1.01E-32,-0.02425455,-0.275596338,0.184117874,0.011561318,-0.31318871,0.173329471,3448,11517,11232,1414,4990,4759,208,1872,1191,3272,11887,5126,926,4678,2143,229,958,879,1.30E-06,2.4,1.264201229
ENSG00000106809,OGN,down.late,3.82E-14,0.017202339,0.082003007,-1.249471243,0.059920227,0.170059911,-2.536278635,23560,21492,24976,9999,19160,21957,5766,20411,21375,14679,22901,17795,6669,21741,19809,1154,4393,6673,3.04E-06,1.64,0.717385739
ENSG00000109099,PMP22,static,3.77E-06,-0.086463785,-0.450412321,0.011114104,-0.241838362,-1.133639357,-0.06949422,8622,14619,18962,3298,9653,11692,1217,6818,6949,5519,12178,12492,1790,6009,7272,1251,2881,4473,1.88E-07,1.75,0.80428347
ENSG00000115318,LOXL3,static,7.62E-66,0.046808741,-0.117239316,-0.448786604,0.059848542,-0.124661858,-0.475854364,23901,38567,28471,9772,26742,18787,2212,11360,5710,17474,41795,18004,6107,28570,12270,974,5683,2489,0.000954,1.54,0.620004507
ENSG00000115414,FN1,static,0.064974192,0.107874997,0.441233155,0.571637117,0.303767614,0.95034416,1.225785862,682766,1339876,2033462,270879,999122,1665716,89278,1446959,1785533,492223,1567756,1520691,323556,1385583,1479541,251220,725789,1218395,1.13E-05,2.31,1.20852735
ENSG00000118785,SPP1,static,0.162156464,-0.10674081,0.380131378,0.347139926,-0.261362306,0.917610147,0.708918651,20387,48712,74214,7435,20638,48343,3643,33071,41677,15575,43570,36689,7686,31613,41436,5665,12301,31566,3.40E-06,2.53,1.336794959
ENSG00000123610,TNFAIP6,up.early,4.17E-30,3.753512546,5.464394836,6.240659325,1.302574334,1.792141244,2.078928464,214,1505,3961,155,1041,4081,50,2731,4790,6640,20568,20750,13331,49729,64355,17549,103368,80315,4.40E-08,2.9,1.534053545
ENSG00000125144,MT1G,up.late,0.000192575,-0.123598781,-0.561270469,2.611270685,-0.339236255,-0.700506214,1.835869333,4817,23474,37483,2620,21995,24508,270,3877,3300,2316,13711,21962,732,11961,13349,2265,19198,4334,0.000726,1.73,0.790884459
ENSG00000134198,TSPAN2,static,0.00019727,0.162687653,-0.51690345,-0.102239698,0.387541124,-0.96867922,-0.251182862,553,721,641,299,695,676,82,209,308,309,990,375,50,745,262,22,169,170,1.46E-06,1.55,0.634790265
ENSG00000134259,NGF,up.early,6.75E-110,1.990462114,3.068587575,3.749716134,1.209263686,1.8384392,2.381250834,49,137,138,21,76,95,2,64,62,163,464,388,129,683,596,81,515,439,3.36E-07,2.26,1.176202444
ENSG00000135636,DYSF,up.late,1.70E-07,0.403379988,0.559214799,1.187691457,0.913891964,1.113828656,2.477089405,383,687,1083,182,535,735,47,482,616,504,895,767,262,746,691,142,643,701,1.20E-05,1.78,0.82828596
ENSG00000135919,SERPINE2,up.early,0.006102853,0.150210129,1.046022207,2.678360469,0.887632618,1.510109243,2.003379731,16086,131646,220449,7075,88402,167730,3047,146154,143844,69737,287439,286080,96025,409344,454240,105605,580643,578353,4.22E-05,1.59,0.67294788
ENSG00000137331,IER3,up.early,2.00E-23,4.486510667,5.013993188,4.327548832,1.765117947,1.919187529,1.817464374,1240,7720,8435,528,2845,3304,109,6687,3994,70710,114301,71883,24797,84091,51241,8424,68289,33690,0.000115,1.66,0.730248841
ENSG00000141753,IGFBP4,static,3.61E-09,-0.045666684,-0.200044496,0.709762934,-0.063194403,-0.329330844,1.099639185,8916,29991,37652,3552,18779,20772,1345,13689,12288,6345,26556,23832,1849,17637,14659,1370,18671,11877,0.000585,1.59,0.673128723
ENSG00000142173,COL6A2,static,0.00017821,0.226091987,0.470241477,0.163193681,0.908789298,1.815530951,0.609961679,58601,76101,91320,27476,57785,60371,13107,65974,52819,50040,84646,69368,28219,80666,62585,12059,43542,31785,0.00747,1.6,0.680620451
ENSG00000142583,SLC2A5,static,0.001219778,0.006252193,-0.175742687,-0.741640884,0.02790858,-0.398127398,-1.283287097,326,388,761,189,449,675,86,1034,1350,206,532,525,124,444,422,62,287,445,5.86E-05,1.57,0.646343778
ENSG00000145824,CXCL14,down.late,5.05E-05,-0.247836384,-0.494269686,-1.848291109,-0.374322187,-0.601597332,-1.866635029,287,233,140,167,176,138,154,151,110,168,161,62,57,145,71,7,41,33,3.54E-06,2.16,1.110413649
ENSG00000146674,IGFBP3,up.late,3.81E-09,0.045665501,-0.008725158,2.427588938,0.082962759,-0.020942704,2.467377993,22701,66403,83816,8366,41223,59487,1725,10269,13616,15479,75123,55451,5600,49181,39322,11117,20404,29228,1.28E-06,1.77,0.827032375
ENSG00000148344,PTGES,up.early,4.25E-66,2.948020496,3.607704525,3.745940454,1.571952384,1.957565973,2.093057184,248,476,876,108,375,591,35,511,648,2543,2819,2879,1313,4613,4411,751,4166,3715,1.46E-06,2.34,1.224696179
ENSG00000149090,PAMR1,static,0.121361205,0.056142766,0.210635907,-0.721084838,0.094285085,0.262514423,-0.922232265,93,32,94,31,19,75,20,30,54,65,36,62,22,27,47,3,4,27,6.09E-05,1.68,0.747744081
ENSG00000150093,ITGB1,static,2.58E-09,0.127341663,0.48272731,0.408712131,0.554248159,1.992905904,1.668451029,23157,40653,50709,9624,28074,40922,4386,28551,30078,18056,44679,34580,9193,42982,40172,4372,22947,26036,0.00365,1.62,0.694939749
ENSG00000154153,FAM134B,static,7.80E-13,0.469431858,0.676212164,0.310656229,0.726744789,0.985794728,0.51354458,1012,2631,4193,433,2283,4080,311,5746,5763,1129,3415,3757,535,4004,4621,477,3159,3782,0.000848,1.63,0.701764811
ENSG00000154175,ABI3BP,up.late,9.75E-10,0.108728242,0.347619649,1.100568869,0.219369282,0.554942812,1.641942285,70215,48942,45273,27436,40402,41164,11953,34503,36932,46227,57872,36354,24432,55058,38757,14144,47499,54178,1.11E-05,1.53,0.61044249
ENSG00000154556,SORBS2,static,0.000333262,0.031148743,-0.944773136,-0.823215901,0.065833809,-1.683560596,-1.481347079,526,456,769,369,732,744,140,280,489,313,480,600,50,384,261,35,84,243,1.30E-06,1.56,0.637816264
ENSG00000159200,RCAN1,up.early,3.11E-24,2.666856658,1.931505664,1.594023118,2.218765352,1.665531427,1.423781479,1094,1989,3074,598,2235,3813,340,3355,4497,8541,8760,10153,3027,6244,10020,1461,4183,8701,3.49E-05,1.72,0.780488214
ENSG00000164761,TNFRSF11B,up.early,4.87E-25,1.797423994,3.886235493,4.604864164,1.100040024,1.989429315,2.264583964,7141,26396,56235,3436,9308,31435,1258,12197,13874,51692,95565,95618,72655,163488,211638,58942,98572,154840,4.23E-06,2.1,1.072057057
ENSG00000164825,DEFB1,static,0.163195396,0.145163303,0.266495742,1.359104952,0.334627957,-0.087504088,1.904068987,7,15,15,2,15,14,0,16,4,6,14,20,0,22,21,3,24,15,0.00183,1.57,0.653558969
