TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-cortisol_and_virilizing_syndrome-producing	adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-cortisol_and_virilizing_syndrome-producing	0.00101225432043822	-6.89557543490777	34	2	0.0833333333333333	24	17255	10645,57482	CAMKK2,KIAA1211
cortisol_and_virilizing_syndrome-producing	cortisol_and_virilizing_syndrome-producing	0.00147082480038395	-6.52193194684633	41	2	0.0833333333333333	24	17255	10645,57482	CAMKK2,KIAA1211
central_nervous_system-medulla-glioma-astrocytoma_Grade_III	central_nervous_system-medulla-glioma-astrocytoma_Grade_III	0.0395919388242396	-3.22912974648833	29	1	0.0416666666666667	24	17255	10561	IFI44
serous_carcinoma	serous_carcinoma	0.0425895835123467	-3.15614557409585	11226	20	0.833333333333333	24	17255	200942,10964,85460,4162,148252,4939,57482,827,10645,10561,199731,8638,3433,284611,4938,55366,5228,4940,91543,4248	KLHDC8B,IFI44L,ZNF518B,MCAM,DIRAS1,OAS2,KIAA1211,CAPN6,CAMKK2,IFI44,CADM4,OASL,IFIT2,FAM102B,OAS1,LGR4,PGF,OAS3,RSAD2,MGAT3
astrocytoma_Grade_II	astrocytoma_Grade_II	0.0527436102212367	-2.94231264720988	617	3	0.125	24	17255	57482,8638,827	KIAA1211,OASL,CAPN6
mouth	mouth	0.0613948484166133	-2.79042934935857	9176	17	0.708333333333333	24	17255	4940,91543,4248,55366,4162,148252,57482,827,10645,8638,3433,199731,10561,255877,9636,10964,85460	OAS3,RSAD2,MGAT3,LGR4,MCAM,DIRAS1,KIAA1211,CAPN6,CAMKK2,OASL,IFIT2,CADM4,IFI44,BCL6B,ISG15,IFI44L,ZNF518B
adrenal_gland	adrenal_gland	0.0655918200017928	-2.7243042859018	2669	7	0.291666666666667	24	17255	10645,827,8638,4162,255877,57482,4939	CAMKK2,CAPN6,OASL,MCAM,BCL6B,KIAA1211,OAS2
upper_aerodigestive_tract	upper_aerodigestive_tract	0.0763227332083579	-2.57278444000487	13459	22	0.916666666666667	24	17255	85460,255877,9636,7846,10964,827,10645,199731,8638,3433,10561,4162,148252,4939,57482,55366,284611,4248,90161,5228,4940,91543	ZNF518B,BCL6B,ISG15,TUBA1A,IFI44L,CAPN6,CAMKK2,CADM4,OASL,IFIT2,IFI44,MCAM,DIRAS1,OAS2,KIAA1211,LGR4,FAM102B,MGAT3,HS6ST2,PGF,OAS3,RSAD2
stomach-carcinoma-adenocarcinoma	stomach-carcinoma-adenocarcinoma	0.0764245691144202	-2.57145104923984	15503	24	1	24	17255	55366,4938,284611,4248,91543,4940,5228,90161,85460,200942,10964,9636,7846,255877,199731,8638,3433,10561,10645,827,57482,148252,4939,4162	LGR4,OAS1,FAM102B,MGAT3,RSAD2,OAS3,PGF,HS6ST2,ZNF518B,KLHDC8B,IFI44L,ISG15,TUBA1A,BCL6B,CADM4,OASL,IFIT2,IFI44,CAMKK2,CAPN6,KIAA1211,DIRAS1,OAS2,MCAM
upper_aerodigestive_tract-mouth-carcinoma	upper_aerodigestive_tract-mouth-carcinoma	0.0768506367413052	-2.56589152352366	6531	13	0.541666666666667	24	17255	55366,85460,9636,255877,3433,10561,4248,199731,148252,4940,91543,57482,4162	LGR4,ZNF518B,ISG15,BCL6B,IFIT2,IFI44,MGAT3,CADM4,DIRAS1,OAS3,RSAD2,KIAA1211,MCAM
