TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0019441	tryptophan catabolic process to kynurenine	6.88654578583379e-05	-9.58335584298079	5	2	0.0416666666666667	48	18054	8942,169355	KYNU,IDO2
GO:0034627	'de novo' NAD biosynthetic process	0.000103122794417777	-9.17959010100213	6	2	0.0416666666666667	48	18054	169355,8942	IDO2,KYNU
GO:0034354	'de novo' NAD biosynthetic process from tryptophan	0.000103122794417777	-9.17959010100213	6	2	0.0416666666666667	48	18054	8942,169355	KYNU,IDO2
GO:0032502	developmental process	0.000113460692385768	-9.08405410361869	5697	28	0.583333333333333	48	18054	9547,23418,10468,51473,9076,2070,5324,4212,4885,23314,389072,9788,60401,54033,8092,7545,8942,5083,9576,51599,23462,2561,84107,3574,658,2042,27253,1029	CXCL14,CRB1,FST,DCDC2,CLDN1,EYA4,PLAG1,MEIS2,NPTX2,SATB2,PLEKHM3,MTSS1,EDA2R,RBM11,ALX1,ZIC1,KYNU,PAX9,SPAG6,LSR,HEY1,GABRB2,ZIC4,IL7,BMPR1B,EPHA3,PCDH17,CDKN2A
GO:0048869	cellular developmental process	0.000295209796536549	-8.12782427968918	3769	21	0.4375	48	18054	23418,10468,9076,51473,5324,60401,9788,389072,4885,23314,54033,8092,9576,51599,7545,23462,3574,2561,658,2042,1029	CRB1,FST,CLDN1,DCDC2,PLAG1,EDA2R,MTSS1,PLEKHM3,NPTX2,SATB2,RBM11,ALX1,SPAG6,LSR,ZIC1,HEY1,IL7,GABRB2,BMPR1B,EPHA3,CDKN2A
GO:0006569	tryptophan catabolic process	0.000307273491233703	-8.08777235602514	10	2	0.0416666666666667	48	18054	169355,8942	IDO2,KYNU
GO:0046218	indolalkylamine catabolic process	0.000307273491233703	-8.08777235602514	10	2	0.0416666666666667	48	18054	8942,169355	KYNU,IDO2
GO:0042436	indole-containing compound catabolic process	0.000307273491233703	-8.08777235602514	10	2	0.0416666666666667	48	18054	8942,169355	KYNU,IDO2
GO:0048856	anatomical structure development	0.000329657927656351	-8.01745502398686	5354	26	0.541666666666667	48	18054	389072,9788,60401,4885,23314,54033,8092,23418,10468,9547,2070,9076,51473,5324,4212,84107,3574,2561,658,27253,2042,9576,51599,7545,5083,23462	PLEKHM3,MTSS1,EDA2R,NPTX2,SATB2,RBM11,ALX1,CRB1,FST,CXCL14,EYA4,CLDN1,DCDC2,PLAG1,MEIS2,ZIC4,IL7,GABRB2,BMPR1B,PCDH17,EPHA3,SPAG6,LSR,ZIC1,PAX9,HEY1
GO:0070189	kynurenine metabolic process	0.00037491937117466	-7.88879956531278	11	2	0.0416666666666667	48	18054	8942,169355	KYNU,IDO2
