TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044459	plasma membrane part	0.000959562232586932	-6.94903338522748	2794	16	0.333333333333333	48	18985	64881,27328,2561,6769,4885,563,27253,2891,2042,60401,23418,23526,2262,658,55117,9076	PCDH20,PCDH11X,GABRB2,STAC,NPTX2,AZGP1,PCDH17,GRIA2,EPHA3,EDA2R,CRB1,ARHGAP45,GPC5,BMPR1B,SLC6A15,CLDN1
GO:0031226	intrinsic component of plasma membrane	0.00295787106255283	-5.82328550504424	1704	11	0.229166666666667	48	18985	2891,27253,9076,60401,2042,2561,2262,658,27328,64881,55117	GRIA2,PCDH17,CLDN1,EDA2R,EPHA3,GABRB2,GPC5,BMPR1B,PCDH11X,PCDH20,SLC6A15
GO:0043235	receptor complex	0.00312201083345143	-5.76927798685922	395	5	0.104166666666667	48	18985	2042,51555,658,2561,2891	EPHA3,PEX5L,BMPR1B,GABRB2,GRIA2
GO:1990777	lipoprotein particle	0.00394010564213335	-5.53654774330755	37	2	0.0416666666666667	48	18985	6289,51599	SAA2,LSR
GO:0034358	plasma lipoprotein particle	0.00394010564213335	-5.53654774330755	37	2	0.0416666666666667	48	18985	51599,6289	LSR,SAA2
GO:0032994	protein-lipid complex	0.0043697413360964	-5.43305146245111	39	2	0.0416666666666667	48	18985	51599,6289	LSR,SAA2
GO:0005887	integral component of plasma membrane	0.00659946587484525	-5.02076656127836	1625	10	0.208333333333333	48	18985	2891,9076,27253,60401,2042,658,2561,64881,27328,55117	GRIA2,CLDN1,PCDH17,EDA2R,EPHA3,BMPR1B,GABRB2,PCDH20,PCDH11X,SLC6A15
GO:0035985	senescence-associated heterochromatin focus	0.00756617209468387	-4.88406800723513	3	1	0.0208333333333333	48	18985	1029	CDKN2A
GO:0061689	tricellular tight junction	0.010075750839981	-4.5976236488661	4	1	0.0208333333333333	48	18985	51599	LSR
GO:0098982	GABA-ergic synapse	0.013921629093451	-4.27431159834814	71	2	0.0416666666666667	48	18985	27253,2561	PCDH17,GABRB2
