TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
BENPORATH_EED_TARGETS	BENPORATH_EED_TARGETS	2.62510141376851e-11	-24.3633164938206	997	18	0.391304347826087	46	17275	9547,5069,9788,27253,658,9576,2561,5083,8092,4885,23462,7545,84107,3574,2070,2262,2891,79589	CXCL14,PAPPA,MTSS1,PCDH17,BMPR1B,SPAG6,GABRB2,PAX9,ALX1,NPTX2,HEY1,ZIC1,ZIC4,IL7,EYA4,GPC5,GRIA2,RNF128
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_ES_WITH_H3K27ME3	5.07917357553275e-09	-19.0981172705719	1045	16	0.347826086956522	46	17275	23462,2561,9576,27253,5083,23314,9547,5069,2042,2891,79589,2262,2070,3574,7545,84107	HEY1,GABRB2,SPAG6,PCDH17,PAX9,SATB2,CXCL14,PAPPA,EPHA3,GRIA2,RNF128,GPC5,EYA4,IL7,ZIC1,ZIC4
BENPORATH_PRC2_TARGETS	BENPORATH_PRC2_TARGETS	4.37257982525496e-08	-16.9453275600037	610	12	0.260869565217391	46	17275	23462,2262,79589,5083,27253,9576,2891,3574,5069,9547,7545,84107	HEY1,GPC5,RNF128,PAX9,PCDH17,SPAG6,GRIA2,IL7,PAPPA,CXCL14,ZIC1,ZIC4
BENPORATH_SUZ12_TARGETS	BENPORATH_SUZ12_TARGETS	1.14352415552666e-07	-15.9839807924973	963	14	0.304347826086957	46	17275	23462,8092,2262,5083,79589,27253,9576,2891,3574,27328,5069,9547,84107,7545	HEY1,ALX1,GPC5,PAX9,RNF128,PCDH17,SPAG6,GRIA2,IL7,PCDH11X,PAPPA,CXCL14,ZIC4,ZIC1
AACTTT_UNKNOWN	AACTTT_UNKNOWN	1.93987650786146e-07	-15.4554713356507	1745	18	0.391304347826087	46	17275	5083,79776,4885,51555,9788,6769,55117,51599,132864,79589,5324,10468,8942,84107,7545,4212,27328,2070	PAX9,ZFHX4,NPTX2,PEX5L,MTSS1,STAC,SLC6A15,LSR,CPEB2,RNF128,PLAG1,FST,KYNU,ZIC4,ZIC1,MEIS2,PCDH11X,EYA4
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	2.03072212922884e-07	-15.4097041924769	1009	14	0.304347826086957	46	17275	10468,2042,4885,2262,1029,5324,27253,23314,3574,2070,9547,6769,5069,7545	FST,EPHA3,NPTX2,GPC5,CDKN2A,PLAG1,PCDH17,SATB2,IL7,EYA4,CXCL14,STAC,PAPPA,ZIC1
PBX1_02	PBX1_02	7.03979514650368e-07	-14.1665165797197	119	6	0.130434782608696	46	17275	7545,84107,4212,9788,79589,3574	ZIC1,ZIC4,MEIS2,MTSS1,RNF128,IL7
PAX4_02	PAX4_02	1.78650042820436e-06	-13.235251919794	221	7	0.152173913043478	46	17275	79589,79776,4212,84107,2561,7545,8942	RNF128,ZFHX4,MEIS2,ZIC4,GABRB2,ZIC1,KYNU
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	8.84841456748416e-06	-11.6352722599098	184	6	0.130434782608696	46	17275	4885,23462,59084,55117,51473,27253	NPTX2,HEY1,ENPP5,SLC6A15,DCDC2,PCDH17
ACTGTGA_MIR27A_MIR27B	ACTGTGA_MIR27A_MIR27B	1.82455731409774e-05	-10.9115880749777	439	8	0.173913043478261	46	17275	4212,5069,23314,2070,27253,79776,5324,4885	MEIS2,PAPPA,SATB2,EYA4,PCDH17,ZFHX4,PLAG1,NPTX2
CIZ_01	CIZ_01	2.14287980352402e-05	-10.7507748380014	215	6	0.130434782608696	46	17275	84107,7545,4212,5069,5324,27328	ZIC4,ZIC1,MEIS2,PAPPA,PLAG1,PCDH11X
AP1_Q2	AP1_Q2	4.98957241337466e-05	-9.90557524758076	250	6	0.130434782608696	46	17275	5069,7545,84107,5083,79589,4212	PAPPA,ZIC1,ZIC4,PAX9,RNF128,MEIS2
CATGTAA_MIR496	CATGTAA_MIR496	7.68932325946131e-05	-9.47309268799597	166	5	0.108695652173913	46	17275	2042,23314,4212,2891,7545	EPHA3,SATB2,MEIS2,GRIA2,ZIC1
