TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0110070	cellularization cleavage furrow	0.00152752172764486	-6.48410864270227	1	1	0.0344827586206897	29	18985	200942	KLHDC8B
GO:0005876	spindle microtubule	0.00365238241624159	-5.61237560753617	59	2	0.0689655172413793	29	18985	827,22920	CAPN6,KIFAP3
GO:0016939	kinesin II complex	0.00457580944177396	-5.38697166874071	3	1	0.0344827586206897	29	18985	22920	KIFAP3
GO:1990425	ryanodine receptor complex	0.00457580944177396	-5.38697166874071	3	1	0.0344827586206897	29	18985	6261	RYR1
GO:0014802	terminal cisterna	0.00609658183278407	-5.10002702014187	4	1	0.0344827586206897	29	18985	6261	RYR1
GO:1990075	periciliary membrane compartment	0.00913139966149526	-4.69603629256587	6	1	0.0344827586206897	29	18985	22920	KIFAP3
GO:0030314	junctional membrane complex	0.010645451476877	-4.54262256942925	7	1	0.0344827586206897	29	18985	6261	RYR1
GO:0014701	junctional sarcoplasmic reticulum membrane	0.0136668568238999	-4.29278158709884	9	1	0.0344827586206897	29	18985	6261	RYR1
GO:0005874	microtubule	0.0247244557703196	-3.69996241302726	414	3	0.103448275862069	29	18985	22920,7846,827	KIFAP3,TUBA1A,CAPN6
GO:0005741	mitochondrial outer membrane	0.0300695287082803	-3.50424295525782	178	2	0.0689655172413793	29	18985	3429,91543	IFI27,RSAD2
GO:0098827	endoplasmic reticulum subcompartment	0.0345686317657337	-3.36480860449157	23	1	0.0344827586206897	29	18985	6261	RYR1
GO:0031968	organelle outer membrane	0.0375517855883983	-3.282034349615	201	2	0.0689655172413793	29	18985	3429,91543	IFI27,RSAD2
GO:0019867	outer membrane	0.0382332875718264	-3.26404874041643	203	2	0.0689655172413793	29	18985	3429,91543	IFI27,RSAD2
GO:0005790	smooth endoplasmic reticulum	0.0506907895061778	-2.98201105143318	34	1	0.0344827586206897	29	18985	6261	RYR1
GO:0099512	supramolecular fiber	0.0538803541255872	-2.9209893549748	945	4	0.137931034482759	29	18985	827,7846,22920,6261	CAPN6,TUBA1A,KIFAP3,RYR1
GO:0099081	supramolecular polymer	0.0550924933150471	-2.8987418095809	952	4	0.137931034482759	29	18985	7846,22920,6261,827	TUBA1A,KIFAP3,RYR1,CAPN6
GO:0099080	supramolecular complex	0.0552668892991478	-2.89558129662518	953	4	0.137931034482759	29	18985	827,7846,6261,22920	CAPN6,TUBA1A,RYR1,KIFAP3
GO:0033017	sarcoplasmic reticulum membrane	0.0564886912032085	-2.87371481655899	38	1	0.0344827586206897	29	18985	6261	RYR1
GO:0032391	photoreceptor connecting cilium	0.0579328157583327	-2.84847128883471	39	1	0.0344827586206897	29	18985	22920	KIFAP3
GO:0005829	cytosol	0.061273657751927	-2.7924052551212	5066	12	0.413793103448276	29	18985	22920,200942,4940,8638,10645,9636,827,7846,4939,57482,3433,4938	KIFAP3,KLHDC8B,OAS3,OASL,CAMKK2,ISG15,CAPN6,TUBA1A,OAS2,KIAA1211,IFIT2,OAS1
GO:0005891	voltage-gated calcium channel complex	0.0636880018844876	-2.75375908760649	43	1	0.0344827586206897	29	18985	6261	RYR1
GO:0005783	endoplasmic reticulum	0.0644388793158564	-2.74203811195034	1905	6	0.206896551724138	29	18985	22920,6261,91543,4938,3433,3429	KIFAP3,RYR1,RSAD2,OAS1,IFIT2,IFI27
GO:0097542	ciliary tip	0.0665528501699732	-2.70975890756037	45	1	0.0344827586206897	29	18985	22920	KIFAP3
GO:0043209	myelin sheath	0.0694092342039401	-2.66773536262711	47	1	0.0344827586206897	29	18985	7846	TUBA1A
GO:0030315	T-tubule	0.0765133212978007	-2.57029041869754	52	1	0.0344827586206897	29	18985	6261	RYR1
GO:0005871	kinesin complex	0.079340269945039	-2.5340094615191	54	1	0.0344827586206897	29	18985	22920	KIFAP3
GO:0032154	cleavage furrow	0.0821588623440077	-2.49910056029305	56	1	0.0344827586206897	29	18985	200942	KLHDC8B
GO:0009897	external side of plasma membrane	0.0840225694636029	-2.47666983213742	317	2	0.0689655172413793	29	18985	1515,4162	CTSV,MCAM
GO:0005637	nuclear inner membrane	0.0849691223264172	-2.4654673552372	58	1	0.0344827586206897	29	18985	3429	IFI27
GO:0045171	intercellular bridge	0.0863711350855574	-2.44910174364874	59	1	0.0344827586206897	29	18985	200942	KLHDC8B
GO:0016020	membrane	0.0892133677732495	-2.41672438769569	9090	18	0.620689655172414	29	18985	1515,8638,91543,22859,199731,148252,200942,4940,6261,22920,90161,4162,5228,55366,3429,4248,7846,4939	CTSV,OASL,RSAD2,ADGRL1,CADM4,DIRAS1,KLHDC8B,OAS3,RYR1,KIFAP3,HS6ST2,MCAM,PGF,LGR4,IFI27,MGAT3,TUBA1A,OAS2
GO:0032155	cell division site part	0.0933501449533226	-2.37139785620158	64	1	0.0344827586206897	29	18985	200942	KLHDC8B
GO:0034704	calcium channel complex	0.0961273121411899	-2.34208179796119	66	1	0.0344827586206897	29	18985	6261	RYR1
GO:0099513	polymeric cytoskeletal fiber	0.0973610221774882	-2.32932933141089	725	3	0.103448275862069	29	18985	827,7846,22920	CAPN6,TUBA1A,KIFAP3
GO:0035869	ciliary transition zone	0.0975128139132617	-2.32777148486241	67	1	0.0344827586206897	29	18985	22920	KIFAP3
GO:0005819	spindle	0.0979592766788901	-2.3232034307669	347	2	0.0689655172413793	29	18985	827,22920	CAPN6,KIFAP3
GO:0032153	cell division site	0.100277668447399	-2.29981225638716	69	1	0.0344827586206897	29	18985	200942	KLHDC8B
GO:0005881	cytoplasmic microtubule	0.100277668447399	-2.29981225638716	69	1	0.0344827586206897	29	18985	7846	TUBA1A
GO:0016529	sarcoplasmic reticulum	0.101657027065485	-2.28615061128746	70	1	0.0344827586206897	29	18985	6261	RYR1
GO:0044291	cell-cell contact zone	0.103034343807029	-2.27269291130991	71	1	0.0344827586206897	29	18985	199731	CADM4
GO:0031594	neuromuscular junction	0.109890401306586	-2.20827176163639	76	1	0.0344827586206897	29	18985	7846	TUBA1A
GO:0005576	extracellular region	0.11134312542906	-2.19513862558556	4387	10	0.344827586206897	29	18985	200942,1515,4940,157869,6261,4162,5228,4938,7846,9636	KLHDC8B,CTSV,OAS3,SBSPON,RYR1,MCAM,PGF,OAS1,TUBA1A,ISG15
GO:0016528	sarcoplasm	0.113979719238889	-2.17173474782723	79	1	0.0344827586206897	29	18985	6261	RYR1
