TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-cortisol_and_virilizing_syndrome-producing	adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-cortisol_and_virilizing_syndrome-producing	0.00118902764922052	-6.73461940736344	34	2	0.0769230769230769	26	17255	57482,10645	KIAA1211,CAMKK2
cortisol_and_virilizing_syndrome-producing	cortisol_and_virilizing_syndrome-producing	0.00172675053162086	-6.36151394212157	41	2	0.0769230769230769	26	17255	10645,57482	CAMKK2,KIAA1211
lung-left_lower_lobe-carcinoma-adenocarcinoma	lung-left_lower_lobe-carcinoma-adenocarcinoma	0.00537277728363707	-5.22641031912061	73	2	0.0769230769230769	26	17255	148252,6261	DIRAS1,RYR1
left_lower_lobe	left_lower_lobe	0.0061111790253896	-5.09763555790207	78	2	0.0769230769230769	26	17255	6261,148252	RYR1,DIRAS1
large_intestine-colon-adenoma	large_intestine-colon-adenoma	0.0140367822731769	-4.26607408947303	632	4	0.153846153846154	26	17255	22920,6261,90161,85460	KIFAP3,RYR1,HS6ST2,ZNF518B
gallbladder	gallbladder	0.0202942591413333	-3.89741723384966	2872	9	0.346153846153846	26	17255	284611,10645,55366,57482,6261,22920,4248,10561,4940	FAM102B,CAMKK2,LGR4,KIAA1211,RYR1,KIFAP3,MGAT3,IFI44,OAS3
biliary_tract-gallbladder-carcinoma-adenocarcinoma	biliary_tract-gallbladder-carcinoma-adenocarcinoma	0.0202942591413333	-3.89741723384966	2872	9	0.346153846153846	26	17255	4940,10561,4248,22920,6261,57482,55366,10645,284611	OAS3,IFI44,MGAT3,KIFAP3,RYR1,KIAA1211,LGR4,CAMKK2,FAM102B
central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	0.0251517430410626	-3.68282807903027	1134	5	0.192307692307692	26	17255	6261,22920,10964,90161,4162	RYR1,KIFAP3,IFI44L,HS6ST2,MCAM
mouth	mouth	0.0311930397137886	-3.46756029515062	9176	19	0.730769230769231	26	17255	10645,4162,91543,57482,199731,6261,22920,8638,4248,10561,4940,255877,3433,85460,55366,827,10964,9636,148252	CAMKK2,MCAM,RSAD2,KIAA1211,CADM4,RYR1,KIFAP3,OASL,MGAT3,IFI44,OAS3,BCL6B,IFIT2,ZNF518B,LGR4,CAPN6,IFI44L,ISG15,DIRAS1
upper_aerodigestive_tract-mouth-carcinoma	upper_aerodigestive_tract-mouth-carcinoma	0.0314298870212159	-3.45999602279522	6531	15	0.576923076923077	26	17255	10561,4940,255877,148252,4248,9636,6261,22920,91543,199731,57482,55366,3433,4162,85460	IFI44,OAS3,BCL6B,DIRAS1,MGAT3,ISG15,RYR1,KIFAP3,RSAD2,CADM4,KIAA1211,LGR4,IFIT2,MCAM,ZNF518B
follicular_lymphoma	follicular_lymphoma	0.0351650253404961	-3.34770328860543	1239	5	0.192307692307692	26	17255	255877,57482,22920,6261,4162	BCL6B,KIAA1211,KIFAP3,RYR1,MCAM
adrenal_gland	adrenal_gland	0.0376468850821055	-3.27950506170186	2669	8	0.307692307692308	26	17255	255877,8638,6261,57482,827,4939,4162,10645	BCL6B,OASL,RYR1,KIAA1211,CAPN6,OAS2,MCAM,CAMKK2
skin-trunk-malignant_melanoma-nodular	skin-trunk-malignant_melanoma-nodular	0.0427166676924525	-3.15316609082645	1306	5	0.192307692307692	26	17255	6261,22920,4939,91543,199731	RYR1,KIFAP3,OAS2,RSAD2,CADM4
central_nervous_system-medulla-glioma-astrocytoma_Grade_III	central_nervous_system-medulla-glioma-astrocytoma_Grade_III	0.042822070931708	-3.15070163333506	29	1	0.0384615384615385	26	17255	10561	IFI44
skin-arm-malignant_melanoma	skin-arm-malignant_melanoma	0.0454000845973031	-3.09224131055985	1328	5	0.192307692307692	26	17255	827,85460,4162,8638,6261	CAPN6,ZNF518B,MCAM,OASL,RYR1
adrenal_cortical_carcinoma	adrenal_cortical_carcinoma	0.048163596216403	-3.0331518085019	2291	7	0.269230769230769	26	17255	57482,827,8638,4162,4939,10645,6261	KIAA1211,CAPN6,OASL,MCAM,OAS2,CAMKK2,RYR1
arm	arm	0.04831463931563	-3.03002067282563	1351	5	0.192307692307692	26	17255	6261,8638,4162,85460,827	RYR1,OASL,MCAM,ZNF518B,CAPN6
lung-left_upper_lobe-carcinoma-adenocarcinoma	lung-left_upper_lobe-carcinoma-adenocarcinoma	0.052416851358847	-2.94852714853669	567	3	0.115384615384615	26	17255	85460,6261,57482	ZNF518B,RYR1,KIAA1211
left_upper_lobe	left_upper_lobe	0.0528702689379841	-2.93991412196912	569	3	0.115384615384615	26	17255	6261,85460,57482	RYR1,ZNF518B,KIAA1211
upper_aerodigestive_tract	upper_aerodigestive_tract	0.0533784907847139	-2.93034740845315	13459	24	0.923076923076923	26	17255	148252,9636,10964,90161,5228,55366,827,284611,3433,4939,85460,4248,255877,10561,4940,22920,6261,8638,57482,199731,7846,91543,10645,4162	DIRAS1,ISG15,IFI44L,HS6ST2,PGF,LGR4,CAPN6,FAM102B,IFIT2,OAS2,ZNF518B,MGAT3,BCL6B,IFI44,OAS3,KIFAP3,RYR1,OASL,KIAA1211,CADM4,TUBA1A,RSAD2,CAMKK2,MCAM
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	0.0608495447907503	-2.79935094041881	1001	4	0.153846153846154	26	17255	4162,6261,22920,255877	MCAM,RYR1,KIFAP3,BCL6B
stomach-carcinoma-adenocarcinoma	stomach-carcinoma-adenocarcinoma	0.0616729867842719	-2.7859092594299	15503	26	1	26	17255	284611,85460,3433,4939,827,55366,5228,4938,90161,10964,9636,148252,200942,10645,4162,91543,199731,57482,7846,6261,22920,8638,4248,10561,4940,255877	FAM102B,ZNF518B,IFIT2,OAS2,CAPN6,LGR4,PGF,OAS1,HS6ST2,IFI44L,ISG15,DIRAS1,KLHDC8B,CAMKK2,MCAM,RSAD2,CADM4,KIAA1211,TUBA1A,RYR1,KIFAP3,OASL,MGAT3,IFI44,OAS3,BCL6B
central_nervous_system-thalamus-glioma-oligoastrocytoma_Grade_II	central_nervous_system-thalamus-glioma-oligoastrocytoma_Grade_II	0.0628583014069343	-2.76687226982105	43	1	0.0384615384615385	26	17255	6261	RYR1
astrocytoma_Grade_II	astrocytoma_Grade_II	0.0643287091935545	-2.74374925914909	617	3	0.115384615384615	26	17255	57482,827,8638	KIAA1211,CAPN6,OASL
serous_carcinoma	serous_carcinoma	0.0655642104271242	-2.72472530466831	11226	21	0.807692307692308	26	17255	6261,8638,4248,10561,4940,10645,4162,57482,199731,91543,4938,10964,200942,148252,284611,3433,4939,85460,5228,55366,827	RYR1,OASL,MGAT3,IFI44,OAS3,CAMKK2,MCAM,KIAA1211,CADM4,RSAD2,OAS1,IFI44L,KLHDC8B,DIRAS1,FAM102B,IFIT2,OAS2,ZNF518B,PGF,LGR4,CAPN6
cervix-carcinoma-squamous_cell_carcinoma	cervix-carcinoma-squamous_cell_carcinoma	0.0708136455041738	-2.6477035637433	12051	22	0.846153846153846	26	17255	55366,827,3433,85460,4939,200942,148252,9636,10964,90161,4938,57482,199731,91543,4162,10645,10561,4940,4248,8638,22920,6261	LGR4,CAPN6,IFIT2,ZNF518B,OAS2,KLHDC8B,DIRAS1,ISG15,IFI44L,HS6ST2,OAS1,KIAA1211,CADM4,RSAD2,MCAM,CAMKK2,IFI44,OAS3,MGAT3,OASL,KIFAP3,RYR1
cervix	cervix	0.0711498325292231	-2.64296730821963	12055	22	0.846153846153846	26	17255	91543,57482,199731,10645,4162,4248,10561,4940,6261,22920,8638,55366,827,4939,85460,3433,148252,200942,4938,10964,90161,9636	RSAD2,KIAA1211,CADM4,CAMKK2,MCAM,MGAT3,IFI44,OAS3,RYR1,KIFAP3,OASL,LGR4,CAPN6,OAS2,ZNF518B,IFIT2,DIRAS1,KLHDC8B,OAS1,IFI44L,HS6ST2,ISG15
nodular	nodular	0.0753712052163223	-2.58532997059092	1533	5	0.192307692307692	26	17255	6261,22920,4939,91543,199731	RYR1,KIFAP3,OAS2,RSAD2,CADM4
thyroid-carcinoma	thyroid-carcinoma	0.0781679837654992	-2.54889513002742	4202	10	0.384615384615385	26	17255	6261,10964,200942,4248,10561,4940,10645,4939,55366,57482	RYR1,IFI44L,KLHDC8B,MGAT3,IFI44,OAS3,CAMKK2,OAS2,LGR4,KIAA1211
salivary_gland-maxilla-carcinoma-adenoid_cystic_carcinoma	salivary_gland-maxilla-carcinoma-adenoid_cystic_carcinoma	0.0797106790448235	-2.52935171163714	55	1	0.0384615384615385	26	17255	6261	RYR1
