TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ZHANG_INTERFERON_RESPONSE	ZHANG_INTERFERON_RESPONSE	1.81363740978698e-18	-40.8511972265306	23	8	0.333333333333333	24	17275	9636,3433,10561,3429,4938,4939,8638,4940	ISG15,IFIT2,IFI44,IFI27,OAS1,OAS2,OASL,OAS3
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS	1.44608294979656e-17	-38.775088093803	89	10	0.416666666666667	24	17275	3433,9636,10561,4938,3429,4939,91543,4940,8638,10964	IFIT2,ISG15,IFI44,OAS1,IFI27,OAS2,RSAD2,OAS3,OASL,IFI44L
BROWNE_INTERFERON_RESPONSIVE_GENES	BROWNE_INTERFERON_RESPONSIVE_GENES	1.22836967569925e-16	-36.6356736646398	66	9	0.375	24	17275	4939,3429,4938,8638,10964,91543,9636,3433,10561	OAS2,IFI27,OAS1,OASL,IFI44L,RSAD2,ISG15,IFIT2,IFI44
FARMER_BREAST_CANCER_CLUSTER_1	FARMER_BREAST_CANCER_CLUSTER_1	2.24588645830288e-16	-36.0322611857145	39	8	0.333333333333333	24	17275	10561,9636,91543,4940,10964,8638,4938,4939	IFI44,ISG15,RSAD2,OAS3,IFI44L,OASL,OAS1,OAS2
GSE42021_CD24INT_VS_CD24LOW_TCONV_THYMUS_DN	GSE42021_CD24INT_VS_CD24LOW_TCONV_THYMUS_DN	2.72729341468689e-16	-35.8380517936845	181	11	0.458333333333333	24	17275	8638,10964,4940,91543,4939,3429,4938,10561,9636,3433,4248	OASL,IFI44L,OAS3,RSAD2,OAS2,IFI27,OAS1,IFI44,ISG15,IFIT2,MGAT3
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	8.92029469452797e-15	-32.3504474113614	166	10	0.416666666666667	24	17275	10561,3433,9636,91543,4940,10964,8638,4938,3429,4939	IFI44,IFIT2,ISG15,RSAD2,OAS3,IFI44L,OASL,OAS1,IFI27,OAS2
MOSERLE_IFNA_RESPONSE	MOSERLE_IFNA_RESPONSE	9.79801093065636e-15	-32.2565969960942	31	7	0.291666666666667	24	17275	4939,3433,4938,10964,8638,10561,91543	OAS2,IFIT2,OAS1,IFI44L,OASL,IFI44,RSAD2
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	1.61490148534803e-14	-31.7569173468871	176	10	0.416666666666667	24	17275	3433,9636,10561,4939,4938,3429,4940,10964,8638,91543	IFIT2,ISG15,IFI44,OAS2,OAS1,IFI27,OAS3,IFI44L,OASL,RSAD2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	1.61490148534803e-14	-31.7569173468871	176	10	0.416666666666667	24	17275	10964,8638,4940,91543,4939,3429,4938,10561,9636,3433	IFI44L,OASL,OAS3,RSAD2,OAS2,IFI27,OAS1,IFI44,ISG15,IFIT2
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP	1.71033053937914e-14	-31.6995046521992	177	10	0.416666666666667	24	17275	4940,10964,8638,91543,4939,4938,3429,10561,3433,9636	OAS3,IFI44L,OASL,RSAD2,OAS2,OAS1,IFI27,IFI44,IFIT2,ISG15
GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_DN	GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_DN	2.02773993200378e-14	-31.5292694630679	180	10	0.416666666666667	24	17275	9636,3433,10561,3429,4938,4939,91543,8638,10964,4940	ISG15,IFIT2,IFI44,IFI27,OAS1,OAS2,RSAD2,OASL,IFI44L,OAS3
GO_RESPONSE_TO_TYPE_I_INTERFERON	GO_RESPONSE_TO_TYPE_I_INTERFERON	2.05043997513653e-14	-31.5181369097765	66	8	0.333333333333333	24	17275	3433,9636,4939,4938,3429,4940,8638,91543	IFIT2,ISG15,OAS2,OAS1,IFI27,OAS3,OASL,RSAD2
GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_DN	GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_DN	2.14472630613956e-14	-31.4731793538831	181	10	0.416666666666667	24	17275	10561,3433,9636,91543,4940,8638,10964,4938,3429,4939	IFI44,IFIT2,ISG15,RSAD2,OAS3,OASL,IFI44L,OAS1,IFI27,OAS2
GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP	GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP	2.14472630613956e-14	-31.4731793538831	181	10	0.416666666666667	24	17275	4938,4939,91543,10964,8638,4940,10645,9636,3433,10561	OAS1,OAS2,RSAD2,IFI44L,OASL,OAS3,CAMKK2,ISG15,IFIT2,IFI44
