TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0032502	developmental process	5.23385863220137e-05	-9.85777667074149	5697	30	0.588235294117647	51	18054	4885,9076,658,9576,5083,54033,9788,51599,3574,3170,389072,8942,2561,23418,23314,51473,7545,1029,4212,2042,10468,9547,8092,84107,2070,9099,5324,60401,27253,23462	NPTX2,CLDN1,BMPR1B,SPAG6,PAX9,RBM11,MTSS1,LSR,IL7,FOXA2,PLEKHM3,KYNU,GABRB2,CRB1,SATB2,DCDC2,ZIC1,CDKN2A,MEIS2,EPHA3,FST,CXCL14,ALX1,ZIC4,EYA4,USP2,PLAG1,EDA2R,PCDH17,HEY1
GO:0019441	tryptophan catabolic process to kynurenine	7.78140429917472e-05	-9.46118864188904	5	2	0.0392156862745098	51	18054	8942,169355	KYNU,IDO2
GO:0034627	'de novo' NAD biosynthetic process	0.000116509964916876	-9.05753375284932	6	2	0.0392156862745098	51	18054	169355,8942	IDO2,KYNU
GO:0034354	'de novo' NAD biosynthetic process from tryptophan	0.000116509964916876	-9.05753375284932	6	2	0.0392156862745098	51	18054	8942,169355	KYNU,IDO2
GO:0048856	anatomical structure development	0.000144333053888578	-8.84338705473862	5354	28	0.549019607843137	51	18054	9099,84107,8092,2070,23462,27253,5324,60401,7545,51473,9547,2042,10468,4212,2561,23418,389072,23314,4885,9576,5083,658,3170,51599,54033,9788,3574,9076	USP2,ZIC4,ALX1,EYA4,HEY1,PCDH17,PLAG1,EDA2R,ZIC1,DCDC2,CXCL14,EPHA3,FST,MEIS2,GABRB2,CRB1,PLEKHM3,SATB2,NPTX2,SPAG6,PAX9,BMPR1B,FOXA2,LSR,RBM11,MTSS1,IL7,CLDN1
GO:0048869	cellular developmental process	0.000272955103014365	-8.20620323412682	3769	22	0.431372549019608	51	18054	23462,5324,60401,8092,10468,2042,1029,51473,7545,23314,389072,2561,23418,9076,51599,3170,9788,54033,3574,658,9576,4885	HEY1,PLAG1,EDA2R,ALX1,FST,EPHA3,CDKN2A,DCDC2,ZIC1,SATB2,PLEKHM3,GABRB2,CRB1,CLDN1,LSR,FOXA2,MTSS1,RBM11,IL7,BMPR1B,SPAG6,NPTX2
GO:0007275	multicellular organism development	0.000316179577022502	-8.05920022407149	4967	26	0.509803921568627	51	18054	51473,7545,9547,2042,10468,4212,9099,84107,8092,2070,23462,27253,60401,5324,4885,5083,658,3574,54033,9788,3170,51599,9076,2561,23418,23314	DCDC2,ZIC1,CXCL14,EPHA3,FST,MEIS2,USP2,ZIC4,ALX1,EYA4,HEY1,PCDH17,EDA2R,PLAG1,NPTX2,PAX9,BMPR1B,IL7,RBM11,MTSS1,FOXA2,LSR,CLDN1,GABRB2,CRB1,SATB2
GO:0006569	tryptophan catabolic process	0.000347009300452567	-7.96615897591963	10	2	0.0392156862745098	51	18054	8942,169355	KYNU,IDO2
GO:0046218	indolalkylamine catabolic process	0.000347009300452567	-7.96615897591963	10	2	0.0392156862745098	51	18054	169355,8942	IDO2,KYNU
GO:0042436	indole-containing compound catabolic process	0.000347009300452567	-7.96615897591963	10	2	0.0392156862745098	51	18054	169355,8942	IDO2,KYNU
GO:0070189	kynurenine metabolic process	0.000423356130899061	-7.76729681611228	11	2	0.0392156862745098	51	18054	8942,169355	KYNU,IDO2
GO:0006568	tryptophan metabolic process	0.000507109572864666	-7.58678345767501	12	2	0.0392156862745098	51	18054	169355,8942	IDO2,KYNU
GO:0030154	cell differentiation	0.000556612195290911	-7.4936417987803	3675	21	0.411764705882353	51	18054	5324,23462,60401,8092,10468,2042,51473,7545,23314,389072,2561,23418,9076,9576,658,3170,3574,9788,51599,54033,4885	PLAG1,HEY1,EDA2R,ALX1,FST,EPHA3,DCDC2,ZIC1,SATB2,PLEKHM3,GABRB2,CRB1,CLDN1,SPAG6,BMPR1B,FOXA2,IL7,MTSS1,LSR,RBM11,NPTX2
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.000747258823290566	-7.19909894918768	255	5	0.0980392156862745	51	18054	27328,23418,27253,64881,9076	PCDH11X,CRB1,PCDH17,PCDH20,CLDN1
GO:0048731	system development	0.00085489053794908	-7.06453712301406	4365	23	0.450980392156863	51	18054	2561,23418,23314,4885,5083,658,3170,51599,3574,9788,9076,9099,84107,8092,23462,5324,27253,7545,51473,9547,2042,4212,10468	GABRB2,CRB1,SATB2,NPTX2,PAX9,BMPR1B,FOXA2,LSR,IL7,MTSS1,CLDN1,USP2,ZIC4,ALX1,HEY1,PLAG1,PCDH17,ZIC1,DCDC2,CXCL14,EPHA3,MEIS2,FST
GO:0006586	indolalkylamine metabolic process	0.00103555347409178	-6.87281923762008	17	2	0.0392156862745098	51	18054	169355,8942	IDO2,KYNU
GO:0007389	pattern specification process	0.00125222776457605	-6.68283110226187	428	6	0.117647058823529	51	18054	23314,658,23462,3170,7545,8092	SATB2,BMPR1B,HEY1,FOXA2,ZIC1,ALX1
GO:0009887	animal organ morphogenesis	0.00125868955490381	-6.67768413502188	953	9	0.176470588235294	51	18054	23418,8092,5324,23462,23314,7545,3574,5083,658	CRB1,ALX1,PLAG1,HEY1,SATB2,ZIC1,IL7,PAX9,BMPR1B
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.00140906790171824	-6.56482685580147	438	6	0.117647058823529	51	18054	4212,5324,5083,23314,8092,7545	MEIS2,PLAG1,PAX9,SATB2,ALX1,ZIC1
GO:0001502	cartilage condensation	0.00143891266698878	-6.54386754298897	20	2	0.0392156862745098	51	18054	8092,658	ALX1,BMPR1B
GO:0007399	nervous system development	0.00145921904896347	-6.52985388434107	2329	15	0.294117647058824	51	18054	8092,84107,2561,23418,5324,23462,27253,23314,7545,4885,51473,2042,9076,3170,658	ALX1,ZIC4,GABRB2,CRB1,PLAG1,HEY1,PCDH17,SATB2,ZIC1,NPTX2,DCDC2,EPHA3,CLDN1,FOXA2,BMPR1B
GO:0048513	animal organ development	0.00158652844410655	-6.44620701826055	3131	18	0.352941176470588	51	18054	8092,9099,23462,5324,7545,10468,4212,9547,2561,23418,23314,9076,3574,51599,9788,3170,658,5083	ALX1,USP2,HEY1,PLAG1,ZIC1,FST,MEIS2,CXCL14,GABRB2,CRB1,SATB2,CLDN1,IL7,LSR,MTSS1,FOXA2,BMPR1B,PAX9
GO:0042402	cellular biogenic amine catabolic process	0.00158750887515294	-6.44558923656553	21	2	0.0392156862745098	51	18054	169355,8942	IDO2,KYNU
GO:0098743	cell aggregation	0.00158750887515294	-6.44558923656553	21	2	0.0392156862745098	51	18054	658,8092	BMPR1B,ALX1
