TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044459	plasma membrane part	0.000672968568578087	-7.30381193286028	2794	17	0.333333333333333	51	18985	60401,658,2042,64881,9076,2262,9953,27253,6769,4885,2561,55117,23418,23526,27328,563,2891	EDA2R,BMPR1B,EPHA3,PCDH20,CLDN1,GPC5,HS3ST3B1,PCDH17,STAC,NPTX2,GABRB2,SLC6A15,CRB1,ARHGAP45,PCDH11X,AZGP1,GRIA2
GO:0031226	intrinsic component of plasma membrane	0.00152566400070319	-6.48532555338915	1704	12	0.235294117647059	51	18985	2561,658,60401,2042,55117,64881,27328,9076,2262,2891,27253,9953	GABRB2,BMPR1B,EDA2R,EPHA3,SLC6A15,PCDH20,PCDH11X,CLDN1,GPC5,GRIA2,PCDH17,HS3ST3B1
GO:0005887	integral component of plasma membrane	0.00338231658393264	-5.689194424391	1625	11	0.215686274509804	51	18985	27328,9076,9953,2891,27253,60401,658,2561,55117,2042,64881	PCDH11X,CLDN1,HS3ST3B1,GRIA2,PCDH17,EDA2R,BMPR1B,GABRB2,SLC6A15,EPHA3,PCDH20
GO:0043235	receptor complex	0.00407134696382355	-5.50378138493689	395	5	0.0980392156862745	51	18985	2891,2561,658,2042,51555	GRIA2,GABRB2,BMPR1B,EPHA3,PEX5L
GO:0035985	senescence-associated heterochromatin focus	0.00803778645227353	-4.82360155057931	3	1	0.0196078431372549	51	18985	1029	CDKN2A
GO:0061689	tricellular tight junction	0.0107029467558397	-4.53723617768725	4	1	0.0196078431372549	51	18985	51599	LSR
GO:0098982	GABA-ergic synapse	0.0156232044965445	-4.15899800218374	71	2	0.0392156862745098	51	18985	2561,27253	GABRB2,PCDH17
GO:0071944	cell periphery	0.0181095639207806	-4.01131508684771	5419	22	0.431372549019608	51	18985	563,2891,23418,23007,23526,389072,27328,2561,55117,2262,9953,27253,4885,6769,51599,9076,64881,51473,658,60401,2042,59084	AZGP1,GRIA2,CRB1,PLCH1,ARHGAP45,PLEKHM3,PCDH11X,GABRB2,SLC6A15,GPC5,HS3ST3B1,PCDH17,NPTX2,STAC,LSR,CLDN1,PCDH20,DCDC2,BMPR1B,EDA2R,EPHA3,ENPP5
GO:1990712	HFE-transferrin receptor complex	0.0212935629873571	-3.84935045910688	8	1	0.0196078431372549	51	18985	658	BMPR1B
GO:0097732	9+2 non-motile cilium	0.0212935629873571	-3.84935045910688	8	1	0.0196078431372549	51	18985	51473	DCDC2
GO:0060091	kinocilium	0.0212935629873571	-3.84935045910688	8	1	0.0196078431372549	51	18985	51473	DCDC2
GO:0098843	postsynaptic endocytic zone	0.0212935629873571	-3.84935045910688	8	1	0.0196078431372549	51	18985	2891	GRIA2
GO:0120025	plasma membrane bounded cell projection	0.0216085209876574	-3.83466755191348	2099	11	0.215686274509804	51	18985	4885,2891,23526,9576,23418,51473,9788,658,2561,132864,2042	NPTX2,GRIA2,ARHGAP45,SPAG6,CRB1,DCDC2,MTSS1,BMPR1B,GABRB2,CPEB2,EPHA3
GO:1990124	messenger ribonucleoprotein complex	0.0265471087385503	-3.62883443596042	10	1	0.0196078431372549	51	18985	132864	CPEB2
GO:0042995	cell projection	0.0272776738608285	-3.6016867186737	2174	11	0.215686274509804	51	18985	51473,9788,2561,132864,658,2042,4885,2891,23418,23526,9576	DCDC2,MTSS1,GABRB2,CPEB2,BMPR1B,EPHA3,NPTX2,GRIA2,CRB1,ARHGAP45,SPAG6
GO:0005886	plasma membrane	0.0281287838315109	-3.57096189127524	5298	21	0.411764705882353	51	18985	2262,6769,4885,9953,27253,9076,51599,64881,60401,658,2042,59084,2891,563,27328,389072,23007,23526,23418,2561,55117	GPC5,STAC,NPTX2,HS3ST3B1,PCDH17,CLDN1,LSR,PCDH20,EDA2R,BMPR1B,EPHA3,ENPP5,GRIA2,AZGP1,PCDH11X,PLEKHM3,PLCH1,ARHGAP45,CRB1,GABRB2,SLC6A15
GO:0042627	chylomicron	0.0343756278591004	-3.37040745817019	13	1	0.0196078431372549	51	18985	51599	LSR
GO:0097458	neuron part	0.0379417940898301	-3.27170202803847	1720	9	0.176470588235294	51	18985	51473,2042,658,132864,2561,4885,27253,2891,23418	DCDC2,EPHA3,BMPR1B,CPEB2,GABRB2,NPTX2,PCDH17,GRIA2,CRB1
GO:0099055	integral component of postsynaptic membrane	0.0394657679432534	-3.23232161716773	117	2	0.0392156862745098	51	18985	2561,27253	GABRB2,PCDH17
GO:0034362	low-density lipoprotein particle	0.0395603153393473	-3.22992880109288	15	1	0.0196078431372549	51	18985	51599	LSR
GO:0098936	intrinsic component of postsynaptic membrane	0.0425659005181663	-3.15670180356387	122	2	0.0392156862745098	51	18985	2561,27253	GABRB2,PCDH17
GO:0005930	axoneme	0.0425659005181663	-3.15670180356387	122	2	0.0392156862745098	51	18985	51473,9576	DCDC2,SPAG6
