TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	1.11978918162248e-06	-13.7023701210691	3694	26	0.530612244897959	49	17255	2891,27328,79589,114805,79776,23418,9576,9788,6769,389072,2262,8942,27253,23314,4212,5069,10468,1029,84107,9076,8092,3574,134829,51555,2042,55117	GRIA2,PCDH11X,RNF128,GALNT13,ZFHX4,CRB1,SPAG6,MTSS1,STAC,PLEKHM3,GPC5,KYNU,PCDH17,SATB2,MEIS2,PAPPA,FST,CDKN2A,ZIC4,CLDN1,ALX1,IL7,CLVS2,PEX5L,EPHA3,SLC6A15
central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	2.83675490472268e-06	-12.7728497982832	7347	37	0.755102040816326	49	17255	27253,132864,51599,7545,8092,3574,55117,51473,2891,27328,79589,79776,389072,60401,8942,23314,5083,4212,5069,84107,1029,9953,2070,51555,134829,64881,2042,3170,2561,4885,54033,114805,23418,9576,9788,6769,2262	PCDH17,CPEB2,LSR,ZIC1,ALX1,IL7,SLC6A15,DCDC2,GRIA2,PCDH11X,RNF128,ZFHX4,PLEKHM3,EDA2R,KYNU,SATB2,PAX9,MEIS2,PAPPA,ZIC4,CDKN2A,HS3ST3B1,EYA4,PEX5L,CLVS2,PCDH20,EPHA3,FOXA2,GABRB2,NPTX2,RBM11,GALNT13,CRB1,SPAG6,MTSS1,STAC,GPC5
Burkitt_lymphoma	Burkitt_lymphoma	1.25343185902127e-05	-11.287040188405	2154	18	0.36734693877551	49	17255	9788,6769,2262,8942,2891,27328,114805,79776,23418,3574,134829,658,2042,51473,27253,23314,5069,1029	MTSS1,STAC,GPC5,KYNU,GRIA2,PCDH11X,GALNT13,ZFHX4,CRB1,IL7,CLVS2,BMPR1B,EPHA3,DCDC2,PCDH17,SATB2,PAPPA,CDKN2A
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	1.25343185902127e-05	-11.287040188405	2154	18	0.36734693877551	49	17255	134829,3574,658,2042,51473,27253,23314,5069,1029,6769,9788,2262,8942,27328,2891,114805,23418,79776	CLVS2,IL7,BMPR1B,EPHA3,DCDC2,PCDH17,SATB2,PAPPA,CDKN2A,STAC,MTSS1,GPC5,KYNU,PCDH11X,GRIA2,GALNT13,CRB1,ZFHX4
diffuse_large_B_cell_lymphoma	diffuse_large_B_cell_lymphoma	1.78617970217989e-05	-10.9328463704555	4254	26	0.530612244897959	49	17255	23314,27253,4212,5069,10468,84107,1029,9076,8092,134829,3574,51555,55117,2042,2891,27328,79589,114805,79776,23418,9576,9788,6769,2262,389072,8942	SATB2,PCDH17,MEIS2,PAPPA,FST,ZIC4,CDKN2A,CLDN1,ALX1,CLVS2,IL7,PEX5L,SLC6A15,EPHA3,GRIA2,PCDH11X,RNF128,GALNT13,ZFHX4,CRB1,SPAG6,MTSS1,STAC,GPC5,PLEKHM3,KYNU
oesophagus-carcinoma	oesophagus-carcinoma	2.70093513853441e-05	-10.5193274043191	4348	26	0.530612244897959	49	17255	51599,7545,84107,1029,2070,27253,23314,563,169355,2042,4885,51473,8092,51555,134829,64881,114805,79776,23418,9099,2891,27328,79589,5324,8942,6769	LSR,ZIC1,ZIC4,CDKN2A,EYA4,PCDH17,SATB2,AZGP1,IDO2,EPHA3,NPTX2,DCDC2,ALX1,PEX5L,CLVS2,PCDH20,GALNT13,ZFHX4,CRB1,USP2,GRIA2,PCDH11X,RNF128,PLAG1,KYNU,STAC
mixed_intestinal_and_diffuse_adenocarcinoma-unclassifiable	mixed_intestinal_and_diffuse_adenocarcinoma-unclassifiable	6.7270276865266e-05	-9.60679207020361	969	11	0.224489795918367	49	17255	23314,5069,23418,84107,1029,79776,6769,9788,2262,55117,51473	SATB2,PAPPA,CRB1,ZIC4,CDKN2A,ZFHX4,STAC,MTSS1,GPC5,SLC6A15,DCDC2
stomach-carcinoma-mixed_intestinal_and_diffuse_adenocarcinoma-unclassifiable	stomach-carcinoma-mixed_intestinal_and_diffuse_adenocarcinoma-unclassifiable	6.7270276865266e-05	-9.60679207020361	969	11	0.224489795918367	49	17255	51473,55117,2262,9788,6769,79776,1029,23418,84107,5069,23314	DCDC2,SLC6A15,GPC5,MTSS1,STAC,ZFHX4,CDKN2A,CRB1,ZIC4,PAPPA,SATB2
astrocytoma_Grade_III	astrocytoma_Grade_III	7.86026212874176e-05	-9.45110550937251	1567	14	0.285714285714286	49	17255	51555,8092,9788,8942,2262,389072,2042,5069,27328,23418,84107,1029,79776,114805	PEX5L,ALX1,MTSS1,KYNU,GPC5,PLEKHM3,EPHA3,PAPPA,PCDH11X,CRB1,ZIC4,CDKN2A,ZFHX4,GALNT13
oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	0.000120386402114897	-9.02480397071271	3577	22	0.448979591836735	49	17255	114805,79776,27328,2891,60401,2262,9576,7545,1029,84107,2070,9953,27253,23314,5069,59084,4212,563,2042,169355,51555,64881	GALNT13,ZFHX4,PCDH11X,GRIA2,EDA2R,GPC5,SPAG6,ZIC1,CDKN2A,ZIC4,EYA4,HS3ST3B1,PCDH17,SATB2,PAPPA,ENPP5,MEIS2,AZGP1,EPHA3,IDO2,PEX5L,PCDH20
