TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
8463	TEAD2 (TEA domain transcription factor 2)	0.000438522599953209	-7.73209920824819	115	4	0.0740740740740741	54	17456	6289,23314,79776,1029	SAA2,SATB2,ZFHX4,CDKN2A
25489	Nedd4 (neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase)	0.00174133673973227	-6.3531022194765	77	3	0.0555555555555556	54	17456	148252,658,6769	DIRAS1,BMPR1B,STAC
55810	FOXJ2 (forkhead box J2)	0.00174133673973227	-6.3531022194765	77	3	0.0555555555555556	54	17456	79776,2070,23314	ZFHX4,EYA4,SATB2
10736	SIX2 (SIX homeobox 2)	0.00208536525016943	-6.17281125913621	22	2	0.037037037037037	54	17456	2070,1029	EYA4,CDKN2A
59344	ALOXE3 (arachidonate lipoxygenase 3)	0.00227945390229597	-6.08381938124131	23	2	0.037037037037037	54	17456	7545,79776	ZIC1,ZFHX4
2209	FCGR1A (Fc fragment of IgG receptor Ia)	0.00269223130104442	-5.91738494925459	25	2	0.037037037037037	54	17456	64881,27253	PCDH20,PCDH17
563	AZGP1 (alpha-2-glycoprotein 1, zinc-binding)	0.00291081870715968	-5.83932089470161	26	2	0.037037037037037	54	17456	7545,563	ZIC1,AZGP1
12053	Bcl6 (B cell leukemia/lymphoma 6)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	1029	CDKN2A
192662	Arhgdia (Rho GDP dissociation inhibitor (GDI) alpha)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	79589	RNF128
71824	1700006A11Rik (RIKEN cDNA 1700006A11 gene)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	658	BMPR1B
71833	Dcaf7 (DDB1 and CUL4 associated factor 7)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	658	BMPR1B
343637	RSPO4 (R-spondin 4)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	55366	LGR4
29881	NPC1L1 (NPC1 like intracellular cholesterol transporter 1)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	55366	LGR4
550631	CCDC157 (coiled-coil domain containing 157)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	55366	LGR4
11857	Arhgdib (Rho, GDP dissociation inhibitor (GDI) beta)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	79589	RNF128
266777	Nptx1 (neuronal pentraxin 1)	0.00309349220897428	-5.77845466151126	1	1	0.0185185185185185	54	17456	4885	NPTX2
