TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR041643	Znf_ZIC	8.52181354304748e-05	-9.37029628961468	5	2	0.0363636363636364	55	18616	84107,7545	ZIC4,ZIC1
IPR009057	Homeobox-like_sf	0.00170692932378185	-6.37305923978689	293	5	0.0909090909090909	55	18616	23314,79776,8092,5083,4212	SATB2,ZFHX4,ALX1,PAX9,MEIS2
IPR001181	IL-7	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	3574	IL7
IPR003548	Claudin1	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	9076	CLDN1
IPR010111	Kynureninase	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	8942	KYNU
IPR030709	Protocadherin-17	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	27253	PCDH17
IPR028478	EYA4	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	2070	EYA4
IPR033036	DCDC2	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	51473	DCDC2
IPR010868	Tumor_suppres_ARF	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	1029	CDKN2A
IPR027682	MTSS1	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	9788	MTSS1
IPR033204	PAX9	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	5083	PAX9
IPR022319	TNFR_27	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	60401	EDA2R
IPR038325	IL7_sf	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	3574	IL7
IPR024112	PEX5-rel	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	51555	PEX5L
IPR034060	TNFRSF27_N	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	60401	EDA2R
IPR035508	STAC1	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	6769	STAC
IPR030433	PAPPA	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	5069	PAPPA
IPR039088	CXCL14	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	9547	CXCL14
IPR034266	EphA3_rcpt_lig-bd	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	2042	EPHA3
IPR037812	PLEKHM3_PH_1	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	389072	PLEKHM3
IPR031188	Glypican-5	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	2262	GPC5
IPR028392	PLC-eta1	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	23007	PLCH1
IPR034501	RBM11_RRM	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	54033	RBM11
IPR033209	ALX1	0.00295444778692158	-5.82444351972543	1	1	0.0181818181818182	55	18616	8092	ALX1
IPR020894	Cadherin_CS	0.00410653345863043	-5.49517604709278	109	3	0.0545454545454545	55	18616	64881,27253,27328	PCDH20,PCDH17,PCDH11X
IPR002126	Cadherin-like_dom	0.0046551983309223	-5.36977076316237	114	3	0.0545454545454545	55	18616	64881,27328,27253	PCDH20,PCDH11X,PCDH17
IPR001356	Homeobox_dom	0.004875858520418	-5.32345908328489	232	4	0.0727272727272727	55	18616	79776,23314,4212,8092	ZFHX4,SATB2,MEIS2,ALX1
IPR015919	Cadherin-like_sf	0.00488648365723515	-5.32128232266347	116	3	0.0545454545454545	55	18616	27253,27328,64881	PCDH17,PCDH11X,PCDH20
IPR038224	SATB_ULD_sf	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	23314	SATB2
IPR039673	SATB1/SATB2	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	23314	SATB2
IPR024111	PTS1R_family	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	51555	PEX5L
IPR038216	SATB_CUTL_sf	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	23314	SATB2
IPR030127	MTSS1/MTSS2	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	9788	MTSS1
IPR033884	C2_Calpain	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	827	CAPN6
IPR032392	ULD	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	23314	SATB2
IPR000898	Indolamine_dOase	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	169355	IDO2
IPR032355	CUTL	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	23314	SATB2
IPR008754	Peptidase_M43	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	5069	PAPPA
IPR018049	IL-7/IL-9_CS	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	3574	IL7
IPR040301	Secretoglobin_3A	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	117156	SCGB3A2
IPR028014	TMEM255	0.00590032505645715	-5.13274783527333	2	1	0.0181818181818182	55	18616	55026	TMEM255A
IPR011936	Myxo_disulph_rpt	0.00883765621133756	-4.72873357195102	3	1	0.0181818181818182	55	18616	5069	PAPPA
IPR002289	GABAAb_rcpt	0.00883765621133756	-4.72873357195102	3	1	0.0181818181818182	55	18616	2561	GABRB2
IPR028030	DUF4592	0.00883765621133756	-4.72873357195102	3	1	0.0181818181818182	55	18616	57482	KIAA1211
IPR008664	LISCH7	0.00883765621133756	-4.72873357195102	3	1	0.0181818181818182	55	18616	51599	LSR
IPR037217	Trp/Indoleamine_2_3_dOase-like	0.00883765621133756	-4.72873357195102	3	1	0.0181818181818182	55	18616	169355	IDO2
IPR039688	STAC1/2/3	0.00883765621133756	-4.72873357195102	3	1	0.0181818181818182	55	18616	6769	STAC
IPR038446	CEBP_ZZ_sf	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	132864	CPEB2
IPR042577	EYA_dom_metazoan	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	2070	EYA4
IPR032296	CEBP_ZZ	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	132864	CPEB2
IPR028472	EYA_fam	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	2070	EYA4
IPR038102	EYA_dom_sf	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	2070	EYA4
IPR000096	Serum_amyloid_A	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	6289	SAA2
IPR006558	LamG-like	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	5069	PAPPA
IPR006545	EYA_dom	0.0117664655875932	-4.44250169273011	4	1	0.0181818181818182	55	18616	2070	EYA4
IPR030476	Pentaxin_CS	0.0146867774508407	-4.22080768312424	5	1	0.0181818181818182	55	18616	4885	NPTX2
IPR013606	I-BAR_dom	0.0146867774508407	-4.22080768312424	5	1	0.0181818181818182	55	18616	9788	MTSS1
IPR025258	Zf-RING_9	0.0146867774508407	-4.22080768312424	5	1	0.0181818181818182	55	18616	389072	PLEKHM3
IPR015369	Follistatin/Osteonectin_EGF	0.0146867774508407	-4.22080768312424	5	1	0.0181818181818182	55	18616	10468	FST
IPR034819	CPEB	0.0146867774508407	-4.22080768312424	5	1	0.0181818181818182	55	18616	132864	CPEB2
IPR013585	Protocadherin	0.0146867774508407	-4.22080768312424	5	1	0.0181818181818182	55	18616	27328	PCDH11X
IPR002438	Neutral_aa_SLC6	0.0146867774508407	-4.22080768312424	5	1	0.0181818181818182	55	18616	55117	SLC6A15
