TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	0.000305749138425501	-8.09274560130611	783	9	0.183673469387755	49	17306	5324,23314,5083,8092,7545,4212,79776,84107,23462	PLAG1,SATB2,PAX9,ALX1,ZIC1,MEIS2,ZFHX4,ZIC4,HEY1
GO:0001012	RNA polymerase II regulatory region DNA binding	0.000323450817100581	-8.03646348927379	789	9	0.183673469387755	49	17306	23462,84107,79776,4212,7545,5083,8092,5324,23314	HEY1,ZIC4,ZFHX4,MEIS2,ZIC1,PAX9,ALX1,PLAG1,SATB2
GO:0000976	transcription regulatory region sequence-specific DNA binding	0.000481140809540975	-7.63935058737105	833	9	0.183673469387755	49	17306	7545,8092,5083,23314,5324,23462,84107,79776,4212	ZIC1,ALX1,PAX9,SATB2,PLAG1,HEY1,ZIC4,ZFHX4,MEIS2
GO:1990837	sequence-specific double-stranded DNA binding	0.000732625772206941	-7.21887552914068	883	9	0.183673469387755	49	17306	84107,79776,4212,23462,8092,5083,23314,5324,7545	ZIC4,ZFHX4,MEIS2,HEY1,ALX1,PAX9,SATB2,PLAG1,ZIC1
GO:0044212	transcription regulatory region DNA binding	0.0012208898881342	-6.70817526962846	949	9	0.183673469387755	49	17306	4212,79776,84107,23462,23314,5324,8092,5083,7545	MEIS2,ZFHX4,ZIC4,HEY1,SATB2,PLAG1,ALX1,PAX9,ZIC1
GO:0001067	regulatory region nucleic acid binding	0.00122993635031754	-6.70079285864608	950	9	0.183673469387755	49	17306	23462,84107,79776,4212,7545,5083,8092,23314,5324	HEY1,ZIC4,ZFHX4,MEIS2,ZIC1,PAX9,ALX1,SATB2,PLAG1
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.00141382948832853	-6.56145330694845	438	6	0.122448979591837	49	17306	7545,5083,8092,4212,23314,5324	ZIC1,PAX9,ALX1,MEIS2,SATB2,PLAG1
GO:0001216	DNA-binding transcription activator activity	0.00143036646965044	-6.54982459505968	439	6	0.122448979591837	49	17306	5083,8092,5324,23314,4212,7545	PAX9,ALX1,PLAG1,SATB2,MEIS2,ZIC1
GO:0003690	double-stranded DNA binding	0.00149561507760924	-6.50521773360079	977	9	0.183673469387755	49	17306	7545,5324,23314,8092,5083,23462,4212,79776,84107	ZIC1,PLAG1,SATB2,ALX1,PAX9,HEY1,MEIS2,ZFHX4,ZIC4
GO:0046872	metal ion binding	0.00263868774421746	-5.93747355198675	4137	21	0.428571428571429	49	17306	23526,4885,27253,59084,7545,389072,169355,658,5324,23007,85460,2070,64881,84107,79776,79589,6769,114805,5069,23418,27328	ARHGAP45,NPTX2,PCDH17,ENPP5,ZIC1,PLEKHM3,IDO2,BMPR1B,PLAG1,PLCH1,ZNF518B,EYA4,PCDH20,ZIC4,ZFHX4,RNF128,STAC,GALNT13,PAPPA,CRB1,PCDH11X
GO:0030429	kynureninase activity	0.00283138795792908	-5.86698824305768	1	1	0.0204081632653061	49	17306	8942	KYNU
GO:0050429	calcium-dependent phospholipase C activity	0.00283138795792908	-5.86698824305768	1	1	0.0204081632653061	49	17306	23007	PLCH1
GO:0061981	3-hydroxykynureninase activity	0.00283138795792908	-5.86698824305768	1	1	0.0204081632653061	49	17306	8942	KYNU
GO:0043169	cation binding	0.0034936965455142	-5.65679492120963	4228	21	0.428571428571429	49	17306	6769,114805,79589,27328,23418,5069,2070,85460,23007,79776,84107,64881,389072,59084,7545,5324,169355,658,4885,27253,23526	STAC,GALNT13,RNF128,PCDH11X,CRB1,PAPPA,EYA4,ZNF518B,PLCH1,ZFHX4,ZIC4,PCDH20,PLEKHM3,ENPP5,ZIC1,PLAG1,IDO2,BMPR1B,NPTX2,PCDH17,ARHGAP45
GO:0043565	sequence-specific DNA binding	0.00401238084164494	-5.51837048775327	1130	9	0.183673469387755	49	17306	23314,5324,8092,5083,7545,4212,79776,84107,23462	SATB2,PLAG1,ALX1,PAX9,ZIC1,MEIS2,ZFHX4,ZIC4,HEY1
GO:0042056	chemoattractant activity	0.00517344662918987	-5.26421615316271	38	2	0.0408163265306122	49	17306	5228,6289	PGF,SAA2
GO:0005139	interleukin-7 receptor binding	0.0056549223114925	-5.1752289075292	2	1	0.0204081632653061	49	17306	3574	IL7
GO:0005298	proline:sodium symporter activity	0.0056549223114925	-5.1752289075292	2	1	0.0204081632653061	49	17306	55117	SLC6A15
GO:0005052	peroxisome matrix targeting signal-1 binding	0.0056549223114925	-5.1752289075292	2	1	0.0204081632653061	49	17306	51555	PEX5L
GO:0033754	indoleamine 2,3-dioxygenase activity	0.0056549223114925	-5.1752289075292	2	1	0.0204081632653061	49	17306	169355	IDO2
GO:0038102	activin receptor antagonist activity	0.0056549223114925	-5.1752289075292	2	1	0.0204081632653061	49	17306	10468	FST
GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds	0.00847062439254888	-4.77115105490666	3	1	0.0204081632653061	49	17306	8942	KYNU
GO:0004833	tryptophan 2,3-dioxygenase activity	0.00847062439254888	-4.77115105490666	3	1	0.0204081632653061	49	17306	169355	IDO2
GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances	0.00847062439254888	-4.77115105490666	3	1	0.0204081632653061	49	17306	8942	KYNU
GO:0043167	ion binding	0.00909604781499964	-4.69991526584151	6160	26	0.530612244897959	49	17306	7545,59084,8942,389072,169355,658,5324,2042,23526,27253,4885,79589,6769,5228,114805,5069,148252,27328,23418,23007,85460,10468,2070,64881,79776,84107	ZIC1,ENPP5,KYNU,PLEKHM3,IDO2,BMPR1B,PLAG1,EPHA3,ARHGAP45,PCDH17,NPTX2,RNF128,STAC,PGF,GALNT13,PAPPA,DIRAS1,PCDH11X,CRB1,PLCH1,ZNF518B,FST,EYA4,PCDH20,ZFHX4,ZIC4
GO:0004971	AMPA glutamate receptor activity	0.0112785154753847	-4.4848556483653	4	1	0.0204081632653061	49	17306	2891	GRIA2
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.0123973232654888	-4.39027469535988	1591	10	0.204081632653061	49	17306	4212,79776,84107,85460,23462,5324,23314,5083,8092,7545	MEIS2,ZFHX4,ZIC4,ZNF518B,HEY1,PLAG1,SATB2,PAX9,ALX1,ZIC1
GO:0022835	transmitter-gated channel activity	0.0129220326026524	-4.3488214708148	61	2	0.0408163265306122	49	17306	2561,2891	GABRB2,GRIA2
GO:0022824	transmitter-gated ion channel activity	0.0129220326026524	-4.3488214708148	61	2	0.0408163265306122	49	17306	2561,2891	GABRB2,GRIA2
GO:0000268	peroxisome targeting sequence binding	0.0140786167780444	-4.26309817327384	5	1	0.0204081632653061	49	17306	51555	PEX5L
GO:0030545	receptor regulator activity	0.0160402649065177	-4.13265316131121	525	5	0.102040816326531	49	17306	9547,6289,5228,3574,10468	CXCL14,SAA2,PGF,IL7,FST
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	0.0179041593312062	-4.02272222825611	540	5	0.102040816326531	49	17306	5324,23314,4212,79776,7545	PLAG1,SATB2,MEIS2,ZFHX4,ZIC1
GO:0003700	DNA-binding transcription factor activity	0.0180100512075362	-4.01682527651479	1685	10	0.204081632653061	49	17306	23462,85460,79776,84107,4212,7545,8092,5083,23314,5324	HEY1,ZNF518B,ZFHX4,ZIC4,MEIS2,ZIC1,ALX1,PAX9,SATB2,PLAG1
GO:0005230	extracellular ligand-gated ion channel activity	0.0191099069863748	-3.9575483880168	75	2	0.0408163265306122	49	17306	2561,2891	GABRB2,GRIA2
GO:0005004	GPI-linked ephrin receptor activity	0.0196555346344066	-3.92939631954177	7	1	0.0204081632653061	49	17306	2042	EPHA3
GO:0005025	transforming growth factor beta receptor activity, type I	0.0196555346344066	-3.92939631954177	7	1	0.0204081632653061	49	17306	658	BMPR1B
GO:0000987	proximal promoter sequence-specific DNA binding	0.0199074099850687	-3.91666325550214	555	5	0.102040816326531	49	17306	4212,5324,23314,79776,7545	MEIS2,PLAG1,SATB2,ZFHX4,ZIC1
GO:0019199	transmembrane receptor protein kinase activity	0.0220742031978938	-3.81334562836921	81	2	0.0408163265306122	49	17306	658,2042	BMPR1B,EPHA3
