TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
BENPORATH_EED_TARGETS	BENPORATH_EED_TARGETS	1.25584734108302e-12	-27.4032105989933	997	20	0.4	50	17275	7545,5083,9953,84107,2891,2561,9547,2262,2070,4885,3574,23462,658,5069,27253,79589,8092,9576,9788,3170	ZIC1,PAX9,HS3ST3B1,ZIC4,GRIA2,GABRB2,CXCL14,GPC5,EYA4,NPTX2,IL7,HEY1,BMPR1B,PAPPA,PCDH17,RNF128,ALX1,SPAG6,MTSS1,FOXA2
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_ES_WITH_H3K27ME3	2.89802310273067e-10	-21.961822114117	1045	18	0.36	50	17275	7545,2891,84107,9953,5083,9547,2561,2042,2262,3574,2070,23462,23314,27253,5069,3170,9576,79589	ZIC1,GRIA2,ZIC4,HS3ST3B1,PAX9,CXCL14,GABRB2,EPHA3,GPC5,IL7,EYA4,HEY1,SATB2,PCDH17,PAPPA,FOXA2,SPAG6,RNF128
BENPORATH_PRC2_TARGETS	BENPORATH_PRC2_TARGETS	1.17134721417e-09	-20.5651112854617	610	14	0.28	50	17275	3574,7545,9953,5083,23462,2891,84107,9547,27253,5069,79589,3170,9576,2262	IL7,ZIC1,HS3ST3B1,PAX9,HEY1,GRIA2,ZIC4,CXCL14,PCDH17,PAPPA,RNF128,FOXA2,SPAG6,GPC5
BENPORATH_SUZ12_TARGETS	BENPORATH_SUZ12_TARGETS	6.29837684232624e-09	-18.8829738808201	963	16	0.32	50	17275	27253,5069,3170,9576,79589,8092,3574,23462,9547,2262,27328,7545,2891,84107,9953,5083	PCDH17,PAPPA,FOXA2,SPAG6,RNF128,ALX1,IL7,HEY1,CXCL14,GPC5,PCDH11X,ZIC1,GRIA2,ZIC4,HS3ST3B1,PAX9
AACTTT_UNKNOWN	AACTTT_UNKNOWN	2.62222277667475e-08	-17.4566583978133	1745	20	0.4	50	17275	7545,5083,5324,9953,84107,55117,132864,8942,4212,27328,79776,2070,51555,6769,4885,10468,51599,79589,9788,3170	ZIC1,PAX9,PLAG1,HS3ST3B1,ZIC4,SLC6A15,CPEB2,KYNU,MEIS2,PCDH11X,ZFHX4,EYA4,PEX5L,STAC,NPTX2,FST,LSR,RNF128,MTSS1,FOXA2
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	9.24165208284792e-08	-16.196960077436	1009	15	0.3	50	17275	2070,3574,6769,7545,4885,10468,9953,5324,23314,27253,9547,5069,1029,2262,2042	EYA4,IL7,STAC,ZIC1,NPTX2,FST,HS3ST3B1,PLAG1,SATB2,PCDH17,CXCL14,PAPPA,CDKN2A,GPC5,EPHA3
PBX1_02	PBX1_02	1.16780030025119e-06	-13.6603886639886	119	6	0.12	50	17275	79589,9788,84107,3574,4212,7545	RNF128,MTSS1,ZIC4,IL7,MEIS2,ZIC1
PAX4_02	PAX4_02	3.1923217820863e-06	-12.6547620745333	221	7	0.14	50	17275	2561,4212,8942,7545,79776,79589,84107	GABRB2,MEIS2,KYNU,ZIC1,ZFHX4,RNF128,ZIC4
AP1_Q2	AP1_Q2	7.18213974124142e-06	-11.843913205201	250	7	0.14	50	17275	4212,7545,5069,9099,84107,5083,79589	MEIS2,ZIC1,PAPPA,USP2,ZIC4,PAX9,RNF128
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	1.44907785150017e-05	-11.1419980753316	184	6	0.12	50	17275	23462,59084,51473,55117,27253,4885	HEY1,ENPP5,DCDC2,SLC6A15,PCDH17,NPTX2
FAC1_01	FAC1_01	2.81946823825989e-05	-10.4763771657943	207	6	0.12	50	17275	5069,7545,2070,84107,3170,23462	PAPPA,ZIC1,EYA4,ZIC4,FOXA2,HEY1
TAATAAT_MIR126	TAATAAT_MIR126	2.8968713846441e-05	-10.4492941432182	208	6	0.12	50	17275	9953,5324,79776,2891,84107,7545	HS3ST3B1,PLAG1,ZFHX4,GRIA2,ZIC4,ZIC1
