TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0032501	multicellular organismal process	3.65526734887814e-11	-24.0322667863399	6841	227	0.534117647058823	425	18054	2905,81578,4638,8654,1271,124093,80004,146760,23371,144165,579,9771,10143,1620,10077,51196,7881,389084,112609,80310,6768,788,3714,3249,4137,375611,2593,84189,775,4237,8325,4778,6648,51302,60529,7143,157777,2549,6329,3815,4353,58473,948,84152,974,84033,2662,388389,8382,10268,338,816,4256,25837,79816,54,5745,3798,6622,28959,9547,5740,6444,80835,54360,415,3764,283078,1188,130951,3851,9104,7504,2946,6017,760,3549,5023,26585,343637,288,64399,6665,269,27019,387755,60598,10991,2823,22943,30061,57451,7136,66002,54937,5167,26011,3491,58529,5224,129446,886,6424,10290,115703,10882,80303,4883,6445,2162,57449,29881,2044,2149,2317,130497,4634,2049,6326,4987,2078,2134,1602,5414,2051,54763,79633,6327,113026,25802,57124,26576,338596,101928601,389827,2147,54587,81501,6382,1628,5050,3131,5608,127833,3399,9719,349149,5133,155051,54829,9241,5295,5212,25769,55283,2042,64856,1490,55740,9760,1149,6876,83988,118738,4094,10396,360,11005,2824,225,56955,9499,9127,41,7053,54209,1749,10398,26033,64478,79955,55553,80319,4684,56656,482,5105,84894,2625,2252,7057,8200,202151,2735,56956,64388,285,50507,845,7140,4352,152015,8001,1028,10370,70,5172,285313,10083,11075,122618,23452,2273,340419,124817,8153,6546,157285,5330,162466,23500,6097,4632,8549,152573,107,33	GRIN2C,COL21A1,MYLK,PDE5A,CNTFR,CCDC78,ESRP2,RTN4RL1,TNS2,PRICKLE1,NKX3-2,RAPGEF5,CLEC3A,BRINP1,TSPAN32,PLCE1,KCNAB1,SNORC,MRAP2,PDGFD,ST14,SLC25A20,JAG2,HPN,MAPT,SLC26A5,GAMT,SLITRK6,CACNA1C,MFAP2,FZD8,NFE2,SOD2,CYP39A1,ALX4,TNR,MCMDC2,GAB1,SCN4A,KIT,MPO,PLEKHB1,CD36,PPP1R1B,CD79B,OBSCN,GDF10,CCDC103,NME5,RAMP3,APOB,CAMK2B,MGP,RAB26,TLE6,ACP5,PTH1R,KIF5A,SNCA,TMEM176B,CXCL14,PTGIS,SGCD,TAS1R1,CYTL1,ARSE,KCNJ8,MKX,CLCNKB,M1AP,KRT4,RGN,XK,GSTM2,RLBP1,CA2,IHH,P2RX1,GREM1,RSPO4,ANK3,HHIP,SOX15,AMHR2,DNAI1,INSC,KCNK15,SLC38A3,GPM6A,DKK1,SLC40A1,TENM2,TNNI2,CYP4F12,SOHLH2,ENPP1,TENM4,CCN1,MYOZ1,PGAM2,XIRP2,CCKAR,SFRP4,SPEG,ARHGAP33,C1QL1,EFHD1,NPR3,SGCG,F13A1,PLEKHG5,NPC1L1,EPHA5,F2R,FLNB,OSR1,MYL3,EPHB3,SCN2A,OPRL1,ERG,EXTL1,DACH1,SEPTIN4,EPHB6,ROPN1,FAT4,SCN2B,PLCD3,LMOD1,CD248,SRPK3,ST8SIA6,MEI4,MYMK,F2,MXRA8,DCSTAMP,SDC1,DBP,PAFAH1B3,HLF,MAP2K6,SYT2,ID3,ADAMTSL2,GJC3,PDCD1,CRYGN,ASPN,NOG,PIK3R1,VIT,SLC24A2,MCOLN3,EPHA3,VWA1,CCN2,ENAH,TOX,CIDEA,TAGLN,NCALD,ZNF488,MAF,ATP8A1,AQP3,SPINK5,GPM6B,ABCD2,MEPE,MYOT,P2RX6,ASIC1,TGM3,TREM2,DLX5,MYL9,ATRNL1,CSMD1,PDZD7,SOX6,CXXC4,NCAM1,OR2S2,ATP1B2,PCK1,LINGO1,GATA3,FGF7,THBS1,GDF5,RANBP3L,GLI1,LHX9,GREM2,ANGPT2,NOX4,CASQ2,TNNT3,MPL,ROPN1B,GLRA3,CDKN1C,CITED2,ACTC1,SLC26A4,IGSF10,USH1C,STMN2,PLD4,ANGPTL2,FHL1,RSPO2,CNTD1,RND2,SLC8A1,PRAG1,PLCB2,PHOSPHO1,DAAM2,RORC,MYL1,LGR5,SHISA3,ADCY1,ACADL
GO:0048856	anatomical structure development	1.68138482377256e-10	-22.5062331762092	5354	187	0.44	425	18054	5133,349149,9719,3399,5295,54829,9241,155051,55283,5212,64856,2042,55740,9760,1490,4094,6876,118738,2824,11005,360,7053,9499,56955,225,2078,6326,54763,2051,5414,1602,2134,79633,113026,6327,26576,25802,57124,2147,54587,389827,101928601,338596,5050,1628,6382,81501,127833,3131,50507,64388,285,56956,1028,152015,7140,845,11075,285313,10083,70,10370,2273,23452,122618,8153,340419,6097,162466,23500,83690,6546,157285,107,152573,8549,1749,54209,55553,79955,26033,4684,80319,84894,5105,2625,2252,202151,8200,7057,2735,64098,4778,7143,60529,3815,2549,157777,974,84033,2662,58473,4256,54,79816,25837,8382,10268,338,816,388389,9547,28959,3798,5745,283078,54360,415,6444,5740,4638,81578,2905,1271,579,144165,146760,23371,80004,124093,1620,10143,9771,51196,6768,788,80310,389084,7881,375611,4137,3714,3249,8325,4237,775,84189,2593,54937,4232,5167,26011,129446,58529,3491,10290,115703,6424,886,80303,10882,6445,4883,2149,2044,4634,2049,130497,2317,7504,9104,3851,3549,760,288,64399,343637,26585,27019,387755,269,6665,10991,30061,2823,22943,57451	PDCD1,GJC3,ADAMTSL2,ID3,PIK3R1,ASPN,NOG,CRYGN,MCOLN3,VIT,VWA1,EPHA3,ENAH,TOX,CCN2,MAF,TAGLN,ZNF488,GPM6B,SPINK5,AQP3,TGM3,MYOT,MEPE,ABCD2,ERG,SCN2A,ROPN1,EPHB6,SEPTIN4,DACH1,EXTL1,FAT4,PLCD3,SCN2B,SRPK3,LMOD1,CD248,F2,MXRA8,MYMK,MEI4,ST8SIA6,PAFAH1B3,DBP,SDC1,DCSTAMP,SYT2,HLF,NOX4,GREM2,ANGPT2,LHX9,CDKN1C,ROPN1B,TNNT3,CASQ2,STMN2,IGSF10,USH1C,ACTC1,CITED2,FHL1,ANGPTL2,PLD4,RND2,RSPO2,RORC,PHOSPHO1,DAAM2,CRISPLD1,SLC8A1,PRAG1,ADCY1,SHISA3,LGR5,DLX5,TREM2,SOX6,PDZD7,ATRNL1,NCAM1,CXXC4,LINGO1,PCK1,GATA3,FGF7,RANBP3L,GDF5,THBS1,GLI1,PARVG,NFE2,TNR,ALX4,KIT,GAB1,MCMDC2,CD79B,OBSCN,GDF10,PLEKHB1,MGP,ACP5,TLE6,RAB26,NME5,RAMP3,APOB,CAMK2B,CCDC103,CXCL14,TMEM176B,KIF5A,PTH1R,MKX,CYTL1,ARSE,SGCD,PTGIS,MYLK,COL21A1,GRIN2C,CNTFR,NKX3-2,PRICKLE1,RTN4RL1,TNS2,ESRP2,CCDC78,BRINP1,CLEC3A,RAPGEF5,PLCE1,ST14,SLC25A20,PDGFD,SNORC,KCNAB1,SLC26A5,MAPT,JAG2,HPN,FZD8,MFAP2,CACNA1C,SLITRK6,GAMT,SOHLH2,MEST,ENPP1,TENM4,XIRP2,MYOZ1,CCN1,SPEG,ARHGAP33,SFRP4,CCKAR,EFHD1,C1QL1,SGCG,NPR3,F2R,EPHA5,MYL3,EPHB3,OSR1,FLNB,XK,RGN,KRT4,IHH,CA2,ANK3,HHIP,RSPO4,GREM1,DNAI1,INSC,AMHR2,SOX15,SLC38A3,SLC40A1,GPM6A,DKK1,TENM2
GO:0032502	developmental process	2.93074500484422e-10	-21.9505942713672	5697	195	0.458823529411765	425	18054	7143,60529,6648,64098,4778,58473,4353,974,2662,84033,3815,2549,157777,3798,28959,9547,6622,5745,79816,4256,25837,54,388389,8382,338,10268,816,54360,415,283078,5740,6444,1271,4638,2905,81578,1620,9771,10143,146760,144165,23371,4648,579,124093,80004,6768,80310,788,389084,7881,51196,4237,775,8325,84189,2593,3249,3714,375611,4137,26011,5167,4232,54937,115703,10290,6424,886,129446,3491,58529,6445,4883,10882,80303,2317,130497,2049,4634,2149,2044,7504,9104,130951,3851,64399,288,26585,343637,3549,760,10991,27019,387755,6665,269,57451,22943,2823,30061,9241,54829,5295,155051,9719,3399,5133,349149,64856,2042,55283,5212,4094,6876,118738,1490,9760,55740,9499,7053,56955,225,2824,360,11005,2051,2619,54763,2134,1602,5414,2078,6326,113026,6327,79633,54587,2147,101928601,338596,389827,25802,57124,26576,3131,127833,6382,5050,1628,81501,64388,285,50507,56956,285313,10083,11075,10370,70,152015,1028,845,7140,8153,340419,122618,23452,2273,8999,107,8549,152573,92196,6097,83690,157285,6546,23500,162466,79955,55553,26033,54209,1749,4684,80319,2625,2252,5105,84894,2735,202151,7057,8200	TNR,ALX4,SOD2,PARVG,NFE2,PLEKHB1,MPO,CD79B,GDF10,OBSCN,KIT,GAB1,MCMDC2,KIF5A,TMEM176B,CXCL14,SNCA,PTH1R,TLE6,MGP,RAB26,ACP5,CCDC103,NME5,APOB,RAMP3,CAMK2B,CYTL1,ARSE,MKX,PTGIS,SGCD,CNTFR,MYLK,GRIN2C,COL21A1,BRINP1,RAPGEF5,CLEC3A,RTN4RL1,PRICKLE1,TNS2,MYO7B,NKX3-2,CCDC78,ESRP2,ST14,PDGFD,SLC25A20,SNORC,KCNAB1,PLCE1,MFAP2,CACNA1C,FZD8,SLITRK6,GAMT,HPN,JAG2,SLC26A5,MAPT,TENM4,ENPP1,MEST,SOHLH2,ARHGAP33,SPEG,SFRP4,CCKAR,XIRP2,CCN1,MYOZ1,SGCG,NPR3,C1QL1,EFHD1,FLNB,OSR1,EPHB3,MYL3,F2R,EPHA5,XK,RGN,M1AP,KRT4,HHIP,ANK3,GREM1,RSPO4,IHH,CA2,SLC38A3,DNAI1,INSC,SOX15,AMHR2,TENM2,DKK1,GPM6A,SLC40A1,NOG,ASPN,PIK3R1,CRYGN,ADAMTSL2,ID3,PDCD1,GJC3,VWA1,EPHA3,MCOLN3,VIT,MAF,TAGLN,ZNF488,CCN2,TOX,ENAH,MYOT,TGM3,MEPE,ABCD2,GPM6B,AQP3,SPINK5,EPHB6,GAS1,ROPN1,EXTL1,DACH1,SEPTIN4,ERG,SCN2A,PLCD3,SCN2B,FAT4,MXRA8,F2,MEI4,ST8SIA6,MYMK,LMOD1,CD248,SRPK3,HLF,SYT2,SDC1,PAFAH1B3,DBP,DCSTAMP,GREM2,ANGPT2,NOX4,LHX9,IGSF10,USH1C,STMN2,CITED2,ACTC1,ROPN1B,CDKN1C,CASQ2,TNNT3,RND2,RSPO2,PLD4,ANGPTL2,FHL1,CDKL2,ADCY1,LGR5,SHISA3,DAPL1,RORC,CRISPLD1,PRAG1,SLC8A1,DAAM2,PHOSPHO1,PDZD7,SOX6,ATRNL1,TREM2,DLX5,NCAM1,CXXC4,GATA3,FGF7,PCK1,LINGO1,GLI1,RANBP3L,THBS1,GDF5
GO:0007275	multicellular organism development	5.58072618160769e-10	-21.3065320219417	4967	175	0.411764705882353	425	18054	3249,3714,375611,4137,84189,2593,775,4237,8325,51196,389084,7881,80310,788,6768,80004,23371,146760,144165,579,9771,10143,1620,2905,81578,4638,1271,5740,6444,415,54360,283078,388389,8382,10268,338,816,25837,4256,54,79816,5745,3798,28959,9547,3815,2549,58473,84033,974,2662,4778,60529,7143,22943,2823,30061,57451,269,6665,387755,27019,10991,760,3549,26585,343637,64399,288,3851,9104,7504,2044,130497,2317,4634,2049,10882,80303,4883,6445,3491,58529,129446,886,115703,10290,6424,54937,26011,5167,81501,6382,5050,1628,3131,127833,57124,26576,338596,389827,54587,2147,79633,6327,113026,6326,2078,2134,5414,1602,2051,360,11005,2824,56955,225,9499,7053,1490,55740,9760,118738,4094,6876,5212,55283,2042,64856,3399,9719,349149,5133,155051,54829,9241,5295,7057,8200,202151,2735,5105,84894,2625,2252,80319,4684,54209,1749,26033,79955,55553,157285,6546,162466,23500,6097,8549,152573,107,23452,122618,2273,340419,8153,1028,10370,70,285313,10083,11075,56956,285,64388,50507	HPN,JAG2,SLC26A5,MAPT,SLITRK6,GAMT,CACNA1C,MFAP2,FZD8,PLCE1,SNORC,KCNAB1,PDGFD,SLC25A20,ST14,ESRP2,TNS2,RTN4RL1,PRICKLE1,NKX3-2,RAPGEF5,CLEC3A,BRINP1,GRIN2C,COL21A1,MYLK,CNTFR,PTGIS,SGCD,ARSE,CYTL1,MKX,CCDC103,NME5,RAMP3,APOB,CAMK2B,RAB26,MGP,ACP5,TLE6,PTH1R,KIF5A,TMEM176B,CXCL14,KIT,GAB1,PLEKHB1,OBSCN,CD79B,GDF10,NFE2,ALX4,TNR,DKK1,GPM6A,SLC40A1,TENM2,AMHR2,SOX15,INSC,DNAI1,SLC38A3,CA2,IHH,GREM1,RSPO4,HHIP,ANK3,KRT4,RGN,XK,EPHA5,OSR1,FLNB,MYL3,EPHB3,C1QL1,EFHD1,NPR3,SGCG,CCN1,MYOZ1,XIRP2,CCKAR,ARHGAP33,SPEG,SFRP4,SOHLH2,TENM4,ENPP1,DCSTAMP,SDC1,PAFAH1B3,DBP,HLF,SYT2,CD248,SRPK3,ST8SIA6,MYMK,MXRA8,F2,FAT4,SCN2B,PLCD3,SCN2A,ERG,EXTL1,SEPTIN4,DACH1,EPHB6,AQP3,SPINK5,GPM6B,MEPE,ABCD2,MYOT,TGM3,CCN2,ENAH,TOX,ZNF488,MAF,TAGLN,VIT,MCOLN3,EPHA3,VWA1,ID3,ADAMTSL2,GJC3,PDCD1,CRYGN,ASPN,NOG,PIK3R1,THBS1,GDF5,RANBP3L,GLI1,PCK1,LINGO1,GATA3,FGF7,CXXC4,NCAM1,TREM2,DLX5,ATRNL1,PDZD7,SOX6,PRAG1,SLC8A1,PHOSPHO1,DAAM2,RORC,LGR5,SHISA3,ADCY1,ANGPTL2,PLD4,FHL1,RSPO2,RND2,CDKN1C,CITED2,ACTC1,IGSF10,USH1C,STMN2,LHX9,ANGPT2,GREM2,NOX4
GO:0043269	regulation of ion transport	9.44264747881982e-10	-20.7806145358379	698	45	0.105882352941176	425	18054	6546,2824,2149,283229,130497,3764,10268,816,2273,3739,10396,6622,2891,845,6329,6424,11060,5244,375611,7057,127833,5608,775,3787,7881,60598,2147,10991,760,5023,89822,6327,482,288,90019,6326,9104,1188,54209,196996,5174,5593,4987,4638,2946	SLC8A1,GPM6B,F2R,CRACR2B,OSR1,KCNJ8,RAMP3,CAMK2B,FHL1,KCNA4,ATP8A1,SNCA,GRIA2,CASQ2,SCN4A,SFRP4,WWP2,ABCB4,SLC26A5,THBS1,SYT2,MAP2K6,CACNA1C,KCNS1,KCNAB1,KCNK15,F2,SLC38A3,CA2,P2RX1,KCNK17,SCN2B,ATP1B2,ANK3,SYT8,SCN2A,RGN,CLCNKB,TREM2,GRAMD2A,PDZK1,PRKG2,OPRL1,MYLK,GSTM2
GO:0048731	system development	1.01627464394922e-09	-20.707122205472	4365	158	0.371764705882353	425	18054	55283,5212,64856,2042,349149,9719,3399,5295,9241,54829,155051,2824,11005,360,7053,9499,56955,225,9760,55740,1490,118738,4094,6876,79633,113026,6327,6326,2051,5414,2134,1628,5050,6382,81501,127833,3131,26576,57124,54587,2147,389827,1028,11075,285313,10083,70,10370,50507,285,56956,6097,162466,23500,157285,6546,107,8549,2273,122618,8153,340419,4684,1749,54209,55553,79955,26033,202151,8200,7057,2735,84894,5105,2625,2252,2549,3815,974,2662,7143,60529,283078,54360,415,6444,5740,4256,54,25837,8382,10268,816,338,388389,9547,28959,3798,5745,579,144165,146760,23371,80004,1620,10143,9771,4638,81578,2905,1271,375611,4137,3249,3714,8325,4237,775,84189,2593,51196,6768,7881,389084,129446,58529,3491,10290,115703,6424,886,5167,26011,2044,2049,4634,2317,130497,80303,10882,6445,4883,3549,760,288,64399,26585,7504,3851,9104,2823,30061,22943,57451,387755,6665,269,10991	MCOLN3,VIT,VWA1,EPHA3,GJC3,ADAMTSL2,ID3,PIK3R1,NOG,ASPN,CRYGN,GPM6B,SPINK5,AQP3,TGM3,MYOT,MEPE,ABCD2,TOX,ENAH,CCN2,ZNF488,MAF,TAGLN,FAT4,PLCD3,SCN2B,SCN2A,EPHB6,SEPTIN4,EXTL1,DBP,PAFAH1B3,SDC1,DCSTAMP,SYT2,HLF,SRPK3,CD248,MXRA8,F2,MYMK,CDKN1C,STMN2,IGSF10,USH1C,ACTC1,CITED2,NOX4,ANGPT2,LHX9,RORC,PHOSPHO1,DAAM2,PRAG1,SLC8A1,ADCY1,LGR5,FHL1,PLD4,RND2,RSPO2,NCAM1,DLX5,TREM2,SOX6,PDZD7,ATRNL1,RANBP3L,GDF5,THBS1,GLI1,LINGO1,PCK1,GATA3,FGF7,GAB1,KIT,CD79B,GDF10,TNR,ALX4,MKX,CYTL1,ARSE,SGCD,PTGIS,MGP,ACP5,RAB26,NME5,RAMP3,CAMK2B,APOB,CCDC103,CXCL14,TMEM176B,KIF5A,PTH1R,NKX3-2,PRICKLE1,RTN4RL1,TNS2,ESRP2,BRINP1,CLEC3A,RAPGEF5,MYLK,COL21A1,GRIN2C,CNTFR,SLC26A5,MAPT,HPN,JAG2,FZD8,MFAP2,CACNA1C,SLITRK6,GAMT,PLCE1,ST14,KCNAB1,SNORC,XIRP2,MYOZ1,CCN1,SPEG,ARHGAP33,SFRP4,CCKAR,ENPP1,TENM4,EPHA5,EPHB3,MYL3,FLNB,OSR1,EFHD1,C1QL1,SGCG,NPR3,IHH,CA2,ANK3,HHIP,GREM1,XK,KRT4,RGN,GPM6A,SLC40A1,DKK1,TENM2,INSC,SOX15,AMHR2,SLC38A3
GO:0009653	anatomical structure morphogenesis	2.82285478145811e-09	-19.6855171302103	2114	92	0.216470588235294	425	18054	5212,2549,2042,84033,64856,64098,3399,60529,5295,7143,9241,360,6444,7053,9499,55740,338,10268,1490,388389,4256,54,28959,3798,80004,579,79633,144165,113026,81578,4638,2051,81501,3714,3249,6382,84189,2593,8325,775,4237,57124,25802,389827,6768,7140,58529,845,3491,1028,129446,70,886,10370,6424,10083,56956,50507,64388,285,26011,2044,162466,83690,2149,2049,4634,2317,130497,8549,107,2273,340419,760,4684,3549,26585,64399,288,1749,26033,55553,79955,8200,7057,22943,2823,30061,2735,269,2625,2252	VIT,GAB1,EPHA3,OBSCN,VWA1,PARVG,ID3,ALX4,PIK3R1,TNR,NOG,AQP3,SGCD,TGM3,MYOT,ENAH,APOB,RAMP3,CCN2,CCDC103,MGP,ACP5,TMEM176B,KIF5A,ESRP2,NKX3-2,FAT4,PRICKLE1,PLCD3,COL21A1,MYLK,EPHB6,DCSTAMP,JAG2,HPN,SDC1,SLITRK6,GAMT,FZD8,CACNA1C,MFAP2,CD248,LMOD1,MYMK,ST14,TNNT3,MYOZ1,CASQ2,CCN1,CDKN1C,XIRP2,ACTC1,CCKAR,CITED2,SFRP4,USH1C,LHX9,NOX4,GREM2,ANGPT2,TENM4,EPHA5,PHOSPHO1,CRISPLD1,F2R,EPHB3,MYL3,FLNB,OSR1,LGR5,ADCY1,FHL1,RSPO2,CA2,NCAM1,IHH,GREM1,HHIP,ANK3,DLX5,ATRNL1,SOX6,PDZD7,GDF5,THBS1,DKK1,GPM6A,SLC40A1,GLI1,AMHR2,GATA3,FGF7
GO:0003015	heart process	1.2055111578994e-08	-18.2337770695292	100	15	0.0352941176470588	425	18054	50507,10268,7136,6445,7140,6546,845,3764,775,5608,70,4634,6444,4632,6327	NOX4,RAMP3,TNNI2,SGCG,TNNT3,SLC8A1,CASQ2,KCNJ8,CACNA1C,MAP2K6,ACTC1,MYL3,SGCD,MYL1,SCN2B
GO:0048513	animal organ development	4.46172858896338e-08	-16.9251444770078	3131	118	0.277647058823529	425	18054	1271,5414,4638,2905,81578,113026,144165,23371,146760,79633,579,80004,6768,7881,389827,389084,57124,26576,51196,775,4237,8325,3131,2593,84189,6382,1628,5050,3714,3249,81501,375611,9241,54829,7143,5295,155051,60529,9719,3399,64856,974,3815,55283,5212,4094,6876,28959,9547,5745,54,4256,388389,8382,9760,1490,54360,7053,283078,56955,5740,6444,360,11005,79955,55553,26033,7504,3851,9104,54209,1749,64399,26585,3549,760,10991,2625,2252,5105,6665,269,2735,202151,22943,30061,2823,8200,26011,5167,285,50507,56956,10290,10083,6424,10370,886,70,129446,1028,3491,58529,6445,340419,122618,2273,107,130497,2317,8549,4634,2049,6097,6546,23500,2044,162466	CNTFR,SEPTIN4,MYLK,GRIN2C,COL21A1,PLCD3,PRICKLE1,TNS2,RTN4RL1,FAT4,NKX3-2,ESRP2,ST14,KCNAB1,MYMK,SNORC,CD248,SRPK3,PLCE1,CACNA1C,MFAP2,FZD8,HLF,GAMT,SLITRK6,SDC1,DBP,PAFAH1B3,JAG2,HPN,DCSTAMP,SLC26A5,NOG,ASPN,TNR,PIK3R1,CRYGN,ALX4,ADAMTSL2,ID3,VWA1,CD79B,KIT,MCOLN3,VIT,MAF,TAGLN,TMEM176B,CXCL14,PTH1R,ACP5,MGP,CCDC103,NME5,TOX,CCN2,CYTL1,TGM3,MKX,MEPE,PTGIS,SGCD,AQP3,SPINK5,PDZD7,SOX6,ATRNL1,XK,KRT4,RGN,TREM2,DLX5,HHIP,GREM1,IHH,CA2,SLC38A3,GATA3,FGF7,PCK1,SOX15,AMHR2,GLI1,RANBP3L,DKK1,SLC40A1,GPM6A,GDF5,TENM4,ENPP1,ANGPT2,NOX4,LHX9,SPEG,USH1C,SFRP4,CITED2,CCKAR,ACTC1,XIRP2,CDKN1C,CCN1,MYOZ1,SGCG,RSPO2,PLD4,FHL1,ADCY1,OSR1,FLNB,LGR5,MYL3,EPHB3,RORC,SLC8A1,DAAM2,EPHA5,PHOSPHO1
GO:0001501	skeletal system development	6.33535814252409e-08	-16.574534397835	489	33	0.0776470588235294	425	18054	389084,8200,3714,202151,1749,81578,2134,55553,79633,579,3549,10143,64399,1490,54,4256,5745,4883,340419,162466,130497,56955,54360,415,60529,9241,3491,5212,3815,1028,2662,6424,64856	SNORC,GDF5,JAG2,RANBP3L,DLX5,COL21A1,EXTL1,SOX6,FAT4,NKX3-2,IHH,CLEC3A,HHIP,CCN2,ACP5,MGP,PTH1R,NPR3,RSPO2,PHOSPHO1,OSR1,MEPE,CYTL1,ARSE,ALX4,NOG,CCN1,VIT,KIT,CDKN1C,GDF10,SFRP4,VWA1
