TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0031226	intrinsic component of plasma membrane	4.40880475168097e-11	-23.8448324015762	1704	85	0.187224669603524	454	18985	730,2044,22802,2049,364,2051,26011,41,6326,5172,1188,1271,775,886,84189,220963,50507,929,2905,51283,375611,3764,10811,482,2891,389827,2619,2857,8549,30061,29881,2149,60598,269,6546,54209,974,6768,6563,401190,7881,80863,57451,146760,2825,55089,5023,5244,25837,5745,10098,6327,64399,3739,10268,2042,3249,9127,6382,3714,55867,6755,948,10077,53919,2823,6508,25769,139378,6329,10991,4883,27334,89822,4987,23539,8001,80835,3787,2030,51554,342125,5167,3815,107	C7,EPHA5,CLCA4,EPHB3,AQP7,EPHB6,TENM4,ASIC1,SCN2A,SLC26A4,CLCNKB,CNTFR,CACNA1C,CCKAR,SLITRK6,SLC16A9,NOX4,CD14,GRIN2C,BFAR,SLC26A5,KCNJ8,NOXA1,ATP1B2,GRIA2,MYMK,GAS1,GPR34,LGR5,SLC40A1,NPC1L1,F2R,KCNK15,AMHR2,SLC8A1,TREM2,CD79B,ST14,SLC14A1,RGS7BP,KCNAB1,PRRT1,TENM2,RTN4RL1,GPR1,SLC38A4,P2RX1,ABCB4,RAB26,PTH1R,TSPAN5,SCN2B,HHIP,KCNA4,RAMP3,EPHA3,HPN,P2RX6,SDC1,JAG2,SLC22A11,SSTR5,CD36,TSPAN32,SLCO1C1,GPM6A,SLC4A3,SLC24A2,ADGRG4,SCN4A,SLC38A3,NPR3,P2RY10,KCNK17,OPRL1,SLC16A8,GLRA3,TAS1R1,KCNS1,SLC29A1,ACKR4,TMC3,ENPP1,KIT,ADCY1
GO:0005887	integral component of plasma membrane	3.4900435868954e-10	-21.7759367047223	1625	80	0.176211453744493	454	18985	7881,80863,54209,974,6546,6768,6563,2149,60598,269,8549,30061,29881,2857,2891,389827,10811,3764,482,51283,375611,50507,2905,1271,775,84189,886,220963,6326,5172,1188,41,364,2051,26011,2044,730,22802,2049,5167,3815,107,51554,2030,342125,3787,23539,4987,8001,80835,4883,27334,89822,25769,139378,10991,6329,53919,2823,6508,6755,10077,948,3714,55867,3249,9127,6382,10268,2042,3739,5745,10098,6327,64399,55089,5244,5023,57451,2825	KCNAB1,PRRT1,TREM2,CD79B,SLC8A1,ST14,SLC14A1,F2R,KCNK15,AMHR2,LGR5,SLC40A1,NPC1L1,GPR34,GRIA2,MYMK,NOXA1,KCNJ8,ATP1B2,BFAR,SLC26A5,NOX4,GRIN2C,CNTFR,CACNA1C,SLITRK6,CCKAR,SLC16A9,SCN2A,SLC26A4,CLCNKB,ASIC1,AQP7,EPHB6,TENM4,EPHA5,C7,CLCA4,EPHB3,ENPP1,KIT,ADCY1,ACKR4,SLC29A1,TMC3,KCNS1,SLC16A8,OPRL1,GLRA3,TAS1R1,NPR3,P2RY10,KCNK17,SLC24A2,ADGRG4,SLC38A3,SCN4A,SLCO1C1,GPM6A,SLC4A3,SSTR5,TSPAN32,CD36,JAG2,SLC22A11,HPN,P2RX6,SDC1,RAMP3,EPHA3,KCNA4,PTH1R,TSPAN5,SCN2B,HHIP,SLC38A4,ABCB4,P2RX1,TENM2,GPR1
GO:0044459	plasma membrane part	1.45273045525181e-09	-20.349820978685	2794	115	0.253303964757709	454	18985	6382,5174,9127,3249,55867,3714,3739,2147,2042,10268,25837,64399,6327,10098,5745,146760,2825,57451,8325,57124,5023,5244,55089,7057,5740,113146,342125,2030,51554,288,107,3815,5167,80835,8001,4987,4137,23539,3787,6329,10991,4684,139378,25769,89822,27334,4883,6444,948,10077,6755,6508,2823,53919,375611,51283,482,196996,3764,10811,220963,8436,54587,2788,84189,886,775,1271,2905,929,349149,50507,41,1188,5172,6326,2049,22802,5169,730,4638,2044,54843,26011,2051,364,6768,6563,5133,6546,974,54209,80863,7881,760,360,401190,2214,6445,269,60598,2149,66002,5593,4008,7053,29881,30061,8549,113026,389827,2891,770,2857,2619	SDC1,PDZK1,P2RX6,HPN,SLC22A11,JAG2,KCNA4,F2,EPHA3,RAMP3,RAB26,HHIP,SCN2B,TSPAN5,PTH1R,RTN4RL1,GPR1,TENM2,FZD8,CD248,P2RX1,ABCB4,SLC38A4,THBS1,PTGIS,AHNAK2,TMC3,SLC29A1,ACKR4,ANK3,ADCY1,KIT,ENPP1,TAS1R1,GLRA3,OPRL1,MAPT,SLC16A8,KCNS1,SCN4A,SLC38A3,NCAM1,ADGRG4,SLC24A2,KCNK17,P2RY10,NPR3,SGCD,CD36,TSPAN32,SSTR5,SLC4A3,GPM6A,SLCO1C1,SLC26A5,BFAR,ATP1B2,GRAMD2A,KCNJ8,NOXA1,SLC16A9,CAVIN2,MXRA8,GNG7,SLITRK6,CCKAR,CACNA1C,CNTFR,GRIN2C,CD14,GJC3,NOX4,ASIC1,CLCNKB,SLC26A4,SCN2A,EPHB3,CLCA4,ENPP3,C7,MYLK,EPHA5,SYTL2,TENM4,EPHB6,AQP7,ST14,SLC14A1,PDCD1,SLC8A1,CD79B,TREM2,PRRT1,KCNAB1,CA2,AQP3,RGS7BP,FCGR3A,SGCG,AMHR2,KCNK15,F2R,CYP4F12,PRKG2,LMO7,TGM3,NPC1L1,SLC40A1,LGR5,PLCD3,MYMK,GRIA2,CA11,GPR34,GAS1
GO:0016021	integral component of membrane	3.80985833592683e-09	-19.3856738306705	5198	181	0.398678414096916	454	18985	339398,2857,2619,402778,158376,206338,389827,8549,30061,338596,130951,60598,269,256435,127833,6445,56656,360,6546,974,6563,5133,364,2359,730,2044,2049,165679,90019,388588,121601,788,2317,41,349149,50507,2905,929,220963,84189,2681,196996,51283,59084,441151,414152,11001,375611,116534,53919,2823,26033,10077,6755,389084,139378,122618,157753,152573,3787,8001,4987,23539,374907,727910,143662,80835,5167,107,3815,51338,10826,64757,57124,9865,8325,2134,2825,57451,83468,202915,9899,10268,90273,3739,55867,9127,401944,118881,2891,7504,27201,84866,29881,151742,130733,66002,2149,55283,116173,84894,260293,2214,80863,64478,2326,7881,114780,54209,219972,6768,401613,10396,26011,2051,375775,28959,55016,79895,22802,5169,6326,1188,845,5172,225,112609,775,1271,54587,886,10811,3764,221091,7351,482,127707,6508,4352,948,6444,27334,4883,89822,25769,4684,6329,10991,133022,54,2209,2824,9671,145270,2030,51554,342125,5740,55089,5023,5244,147710,79633,81501,340596,5745,57134,6327,64399,10098,58473,2042,55340,7782,3714,646962,4232,3249,55365,6382,80332	LINGO4,GPR34,GAS1,IFITM10,SPAAR,LVRN,MYMK,LGR5,SLC40A1,ST8SIA6,M1AP,KCNK15,AMHR2,ST6GALNAC3,SYT2,SGCG,OR2S2,AQP3,SLC8A1,CD79B,SLC14A1,PDCD1,AQP7,FPR3,C7,EPHA5,EPHB3,SPTSSB,SYT8,SMIM1,ANO4,SLC25A20,FLNB,ASIC1,GJC3,NOX4,GRIN2C,CD14,SLC16A9,SLITRK6,GGTA1P,GRAMD2A,BFAR,ENPP5,TMEM151B,C10orf105,SLC27A2,SLC26A5,MRGPRE,SLCO1C1,GPM6A,ATRNL1,TSPAN32,SSTR5,SNORC,ADGRG4,PLD4,TMEM74,SHISA3,KCNS1,GLRA3,OPRL1,SLC16A8,B3GNT8,TLCD2,MUC15,TAS1R1,ENPP1,ADCY1,KIT,MS4A4A,FAXDC2,MARC1,CD248,TRIL,FZD8,EXTL1,GPR1,TENM2,GLT8D2,TMEM184A,SV2B,RAMP3,CEACAM21,KCNA4,SLC22A11,P2RX6,LDLRAD2,COMTD1,GRIA2,XK,GPR78,TMEM25,NPC1L1,PPM1L,TMEM178A,CYP4F12,F2R,MCOLN3,CMTM5,LINGO1,CYP4X1,FCGR3A,PRRT1,CSMD1,FMO1,KCNAB1,PKD1L2,TREM2,MPEG1,ST14,SERTM2,ATP8A1,TENM4,EPHB6,PNPLA7,TMEM176B,MARCH1,ATP8B4,CLCA4,ENPP3,SCN2A,CLCNKB,CASQ2,SLC26A4,ABCD2,MRAP2,CACNA1C,CNTFR,MXRA8,CCKAR,NOXA1,KCNJ8,LRRN4CL,UCP2,ATP1B2,KLHDC7A,SLC4A3,MPL,CD36,SGCD,P2RY10,NPR3,KCNK17,SLC24A2,NCAM1,SCN4A,SLC38A3,TRAM1L1,ACP5,FCGR1A,GPM6B,WSCD2,PRIMA1,SLC29A1,ACKR4,TMC3,PTGIS,SLC38A4,P2RX1,ABCB4,IGSF23,FAT4,DCSTAMP,LHFPL1,PTH1R,MAN1C1,SCN2B,HHIP,TSPAN5,PLEKHB1,EPHA3,GIMAP5,SLC30A4,JAG2,HRCT1,MEST,HPN,TMEM176A,SDC1,ADAM33
GO:0031224	intrinsic component of membrane	8.38567722898832e-09	-18.5967406782078	5362	184	0.405286343612335	454	18985	375775,26011,2051,10396,79895,55016,5169,22802,28959,845,1188,5172,6326,112609,225,54587,886,775,1271,7351,482,10811,221091,3764,127707,118881,7504,2891,84866,29881,151742,27201,130733,55283,116173,84894,2149,66002,2214,260293,80863,2326,7881,64478,6768,401613,114780,219972,54209,5023,5244,79633,147710,55089,5740,81501,340596,6327,64399,10098,5745,57134,58473,25837,2042,7782,55340,3714,6382,80332,646962,4232,3249,55365,6508,4352,6444,948,89822,27334,4883,6329,10991,25769,4684,2209,133022,54,9671,2824,342125,145270,51554,2030,364,2359,2049,165679,2044,730,788,90019,388588,121601,41,2317,2905,929,349149,50507,220963,84189,2681,196996,414152,11001,375611,51283,59084,441151,402778,2857,339398,2619,389827,206338,158376,30061,8549,338596,269,60598,130951,256435,127833,6445,56656,360,401190,6563,5133,974,6546,57124,146760,2825,57451,9865,2134,8325,83468,202915,9899,10268,3739,90273,55867,401944,9127,2823,116534,53919,389084,26033,10077,6755,152573,122618,157753,139378,3787,727910,143662,80835,8001,23539,374907,4987,107,3815,5167,10826,51338,64757	PNPLA7,TENM4,EPHB6,ATP8A1,ATP8B4,MARCH1,ENPP3,CLCA4,TMEM176B,CASQ2,CLCNKB,SLC26A4,SCN2A,MRAP2,ABCD2,MXRA8,CCKAR,CACNA1C,CNTFR,UCP2,ATP1B2,NOXA1,LRRN4CL,KCNJ8,KLHDC7A,COMTD1,XK,GRIA2,TMEM25,NPC1L1,PPM1L,GPR78,TMEM178A,MCOLN3,CMTM5,LINGO1,F2R,CYP4F12,FCGR3A,CYP4X1,PRRT1,FMO1,KCNAB1,CSMD1,ST14,SERTM2,PKD1L2,MPEG1,TREM2,P2RX1,ABCB4,FAT4,IGSF23,SLC38A4,PTGIS,DCSTAMP,LHFPL1,SCN2B,HHIP,TSPAN5,PTH1R,MAN1C1,PLEKHB1,RAB26,EPHA3,SLC30A4,GIMAP5,JAG2,SDC1,ADAM33,HRCT1,MEST,HPN,TMEM176A,SLC4A3,MPL,SGCD,CD36,KCNK17,P2RY10,NPR3,SCN4A,SLC38A3,SLC24A2,NCAM1,FCGR1A,TRAM1L1,ACP5,WSCD2,GPM6B,TMC3,PRIMA1,ACKR4,SLC29A1,AQP7,FPR3,EPHB3,SPTSSB,EPHA5,C7,SLC25A20,SYT8,SMIM1,ANO4,ASIC1,FLNB,GRIN2C,CD14,GJC3,NOX4,SLC16A9,SLITRK6,GGTA1P,GRAMD2A,C10orf105,SLC27A2,SLC26A5,BFAR,ENPP5,TMEM151B,IFITM10,GPR34,LINGO4,GAS1,MYMK,LVRN,SPAAR,SLC40A1,LGR5,ST8SIA6,AMHR2,KCNK15,M1AP,ST6GALNAC3,SYT2,SGCG,OR2S2,AQP3,RGS7BP,SLC14A1,PDCD1,CD79B,SLC8A1,CD248,RTN4RL1,GPR1,TENM2,TRIL,EXTL1,FZD8,GLT8D2,TMEM184A,SV2B,RAMP3,KCNA4,CEACAM21,SLC22A11,LDLRAD2,P2RX6,GPM6A,MRGPRE,SLCO1C1,SNORC,ATRNL1,TSPAN32,SSTR5,SHISA3,PLD4,TMEM74,ADGRG4,KCNS1,TLCD2,MUC15,TAS1R1,GLRA3,SLC16A8,B3GNT8,OPRL1,ADCY1,KIT,ENPP1,FAXDC2,MS4A4A,MARC1
GO:0005886	plasma membrane	3.10107191824986e-08	-17.2889329121488	5298	180	0.39647577092511	454	18985	9499,81501,5244,5023,79633,5740,55089,25837,64399,6327,10098,5745,7782,64098,2147,2273,2042,6382,3249,3714,79955,6444,285,948,4352,6508,10991,6329,4684,25769,89822,27334,4883,2209,4137,342125,145270,2030,51554,23371,2824,55016,79895,22802,5169,54843,26011,2051,387755,10396,7786,1188,5172,6326,2788,54587,886,775,1271,112609,1490,482,3764,10811,7504,8153,115703,2891,5593,84866,29881,27201,5295,2214,55283,84894,2149,66002,4046,6768,54209,80863,7881,760,2036,146760,2825,57451,8325,126,57124,124093,7057,113146,338,202915,6622,3739,125,5649,84033,9899,10268,5174,9127,55867,285489,10077,6755,2823,116534,53919,139378,375704,1154,8200,10083,727910,80835,143662,8001,23539,4987,3787,3549,288,107,3815,51196,5167,2049,730,4638,2044,364,2359,41,2317,22943,388588,90019,121601,220963,8436,84189,2905,929,349149,50507,11001,375611,51283,59084,196996,113026,206338,389827,55740,770,57449,402778,202374,2857,2619,7053,4008,30061,8549,127833,6445,56656,269,60598,6563,5133,974,6546,729359,360,401190	MYOT,DCSTAMP,ABCB4,P2RX1,FAT4,PTGIS,SLC38A4,RAB26,HHIP,SCN2B,TSPAN5,PTH1R,SLC30A4,PARVG,F2,FHL1,EPHA3,SDC1,HPN,JAG2,PDZD7,SGCD,ANGPT2,CD36,MPL,SLC4A3,SLC38A3,SCN4A,NCAM1,SLC24A2,KCNK17,P2RY10,NPR3,FCGR1A,MAPT,TMC3,PRIMA1,SLC29A1,ACKR4,TNS2,GPM6B,MARCH1,ATP8B4,CLCA4,ENPP3,SYTL2,TENM4,EPHB6,INSC,ATP8A1,MAP3K12,CLCNKB,SLC26A4,SCN2A,GNG7,MXRA8,CCKAR,CACNA1C,CNTFR,MRAP2,CCN2,ATP1B2,KCNJ8,NOXA1,XK,RND2,ARHGAP33,GRIA2,PRKG2,TMEM25,NPC1L1,GPR78,PIK3R1,FCGR3A,MCOLN3,LINGO1,F2R,CYP4F12,LSP1,ST14,TREM2,PRRT1,KCNAB1,CA2,EPB41L1,RTN4RL1,GPR1,TENM2,FZD8,ADH1C,CD248,CCDC78,THBS1,AHNAK2,APOB,TMEM184A,SNCA,KCNA4,ADH1B,RELN,OBSCN,SV2B,RAMP3,PDZK1,P2RX6,SLC22A11,DOK7,TSPAN32,SSTR5,GPM6A,MRGPRE,SLCO1C1,ADGRG4,ENHO,CISH,GDF5,USH1C,TLCD2,TAS1R1,MUC15,GLRA3,SLC16A8,OPRL1,KCNS1,IHH,ANK3,ADCY1,KIT,PLCE1,ENPP1,EPHB3,C7,MYLK,EPHA5,AQP7,FPR3,ASIC1,FLNB,DKK1,SMIM1,SYT8,ANO4,SLC16A9,CAVIN2,SLITRK6,GRIN2C,CD14,GJC3,NOX4,SLC27A2,SLC26A5,BFAR,ENPP5,GRAMD2A,PLCD3,LVRN,MYMK,ENAH,CA11,PLEKHG5,IFITM10,STK32A,GPR34,GAS1,TGM3,LMO7,SLC40A1,LGR5,SYT2,SGCG,OR2S2,AMHR2,KCNK15,SLC14A1,PDCD1,CD79B,SLC8A1,PLIN4,AQP3,RGS7BP
GO:0071944	cell periphery	3.44176463237559e-08	-17.1846964295657	5419	183	0.403083700440529	454	18985	929,2905,50507,349149,84189,220963,8436,196996,375611,11001,59084,51283,2359,364,2049,4638,730,2044,121601,90019,22943,388588,41,2317,269,60598,56656,6445,127833,729359,401190,360,5133,6563,6546,974,57449,402778,770,2619,2857,202374,389827,206338,113026,55740,30061,8549,7053,4008,84033,10268,9899,3739,5649,125,55867,285489,5174,9127,124093,57124,338,113146,7057,57451,2825,146760,8325,126,202915,6622,3787,80835,143662,727910,23539,4987,8001,3815,51196,107,5167,288,3549,2823,53919,116534,389084,6755,10077,8200,1154,10083,375704,139378,112609,886,54587,2788,1271,775,482,1490,3764,10811,2051,26011,387755,54843,10396,22802,5169,55016,79895,5172,1188,11005,6326,7786,84894,55283,66002,4046,2149,2214,5295,7881,760,80863,2036,6768,54209,7504,115703,2891,8153,84866,29881,27201,5593,2273,2042,64098,7782,2147,79955,3714,5414,6382,3249,79633,5244,5023,55089,5740,9499,81501,10098,64399,6327,5745,25837,2209,4137,23371,2824,342125,51554,145270,2030,6508,4352,285,6444,948,89822,4883,27334,10991,6329,25769,4684	CD14,GRIN2C,NOX4,GJC3,SLITRK6,SLC16A9,CAVIN2,GRAMD2A,SLC26A5,SLC27A2,ENPP5,BFAR,FPR3,AQP7,EPHB3,MYLK,C7,EPHA5,ANO4,SYT8,DKK1,SMIM1,ASIC1,FLNB,AMHR2,KCNK15,OR2S2,SGCG,SYT2,PLIN4,RGS7BP,AQP3,PDCD1,SLC14A1,SLC8A1,CD79B,PLEKHG5,IFITM10,CA11,GAS1,GPR34,STK32A,MYMK,LVRN,PLCD3,ENAH,SLC40A1,LGR5,TGM3,LMO7,OBSCN,RAMP3,SV2B,KCNA4,RELN,ADH1B,SLC22A11,DOK7,PDZK1,P2RX6,CCDC78,CD248,APOB,AHNAK2,THBS1,TENM2,GPR1,RTN4RL1,FZD8,ADH1C,TMEM184A,SNCA,KCNS1,TAS1R1,MUC15,TLCD2,SLC16A8,OPRL1,GLRA3,KIT,PLCE1,ADCY1,ENPP1,ANK3,IHH,GPM6A,SLCO1C1,MRGPRE,SNORC,SSTR5,TSPAN32,GDF5,CISH,USH1C,ENHO,ADGRG4,MRAP2,CCKAR,MXRA8,GNG7,CNTFR,CACNA1C,ATP1B2,CCN2,KCNJ8,NOXA1,EPHB6,TENM4,INSC,SYTL2,ATP8A1,CLCA4,ENPP3,MARCH1,ATP8B4,SLC26A4,CLCNKB,SPINK5,SCN2A,MAP3K12,LINGO1,MCOLN3,CYP4F12,LSP1,F2R,FCGR3A,PIK3R1,KCNAB1,CA2,PRRT1,EPB41L1,ST14,TREM2,XK,ARHGAP33,GRIA2,RND2,TMEM25,NPC1L1,GPR78,PRKG2,FHL1,EPHA3,PARVG,SLC30A4,F2,PDZD7,JAG2,SEPTIN4,SDC1,HPN,FAT4,ABCB4,P2RX1,SLC38A4,PTGIS,MYOT,DCSTAMP,TSPAN5,HHIP,SCN2B,PTH1R,RAB26,FCGR1A,MAPT,TNS2,GPM6B,TMC3,ACKR4,PRIMA1,SLC29A1,SLC4A3,MPL,ANGPT2,SGCD,CD36,KCNK17,NPR3,P2RY10,SLC38A3,SCN4A,SLC24A2,NCAM1
GO:0044425	membrane part	1.10682003857163e-07	-16.0166045772299	6629	212	0.466960352422908	454	18985	6508,4352,6444,948,89822,27334,4883,6329,10991,4684,25769,2327,2209,133022,54,4137,9671,2824,342125,2030,145270,51554,5244,5023,79633,147710,55089,5740,81501,340596,6327,64399,10098,5745,57134,58473,25837,2042,7782,2147,55340,3714,6382,80332,646962,3249,55365,4232,118881,7504,2891,84866,29881,151742,27201,130733,5593,116173,55283,84894,66002,2149,7143,2214,5295,260293,816,80863,64478,760,2326,7881,6768,401613,114780,219972,54209,54843,375775,26011,2051,10396,55016,79895,5169,22802,28959,845,1188,5172,6326,11005,225,112609,54587,2788,886,775,1271,7351,482,83988,221091,3764,10811,127707,2823,116534,53919,51302,389084,26033,10077,6755,1154,157753,152573,122618,139378,3787,727910,143662,80835,8001,374907,23539,4987,107,3815,5167,10826,51338,64757,54511,288,57124,113146,7057,338,2825,146760,57451,9865,8325,2134,83468,202915,6622,9899,10268,3739,90273,55867,5174,401944,9127,770,402778,339398,2857,2619,113026,389827,206338,158376,30061,8549,338596,4008,7053,130497,269,60598,130951,256435,127833,56656,6445,360,401190,6563,5133,6546,974,364,2359,2049,165679,730,2044,4638,788,388588,90019,121601,41,2317,929,2905,349149,50507,220963,8436,2681,84189,196996,11001,414152,375611,51283,59084,441151	SLC4A3,MPL,SGCD,CD36,KCNK17,P2RY10,NPR3,SCN4A,SLC38A3,NCAM1,SLC24A2,FMO2,FCGR1A,TRAM1L1,ACP5,MAPT,WSCD2,GPM6B,TMC3,SLC29A1,PRIMA1,ACKR4,ABCB4,P2RX1,FAT4,IGSF23,SLC38A4,PTGIS,DCSTAMP,LHFPL1,SCN2B,HHIP,TSPAN5,PTH1R,MAN1C1,PLEKHB1,RAB26,EPHA3,SLC30A4,F2,GIMAP5,JAG2,SDC1,ADAM33,HRCT1,HPN,TMEM176A,MEST,COMTD1,XK,GRIA2,TMEM25,NPC1L1,PPM1L,GPR78,TMEM178A,PRKG2,CMTM5,MCOLN3,LINGO1,CYP4F12,F2R,TNR,FCGR3A,PIK3R1,CYP4X1,CAMK2B,PRRT1,CSMD1,CA2,FMO1,KCNAB1,ST14,SERTM2,PKD1L2,MPEG1,TREM2,SYTL2,PNPLA7,TENM4,EPHB6,ATP8A1,MARCH1,ATP8B4,ENPP3,CLCA4,TMEM176B,CASQ2,CLCNKB,SLC26A4,SCN2A,SPINK5,ABCD2,MRAP2,MXRA8,GNG7,CCKAR,CACNA1C,CNTFR,UCP2,ATP1B2,NCALD,LRRN4CL,KCNJ8,NOXA1,KLHDC7A,GPM6A,MRGPRE,SLCO1C1,CYP39A1,SNORC,ATRNL1,TSPAN32,SSTR5,CISH,TMEM74,SHISA3,PLD4,ADGRG4,KCNS1,TLCD2,MUC15,TAS1R1,GLRA3,B3GNT8,SLC16A8,OPRL1,ADCY1,KIT,ENPP1,FAXDC2,MS4A4A,MARC1,HMGCLL1,ANK3,CD248,AHNAK2,THBS1,APOB,GPR1,RTN4RL1,TENM2,TRIL,FZD8,EXTL1,GLT8D2,TMEM184A,SNCA,SV2B,RAMP3,KCNA4,CEACAM21,SLC22A11,PDZK1,LDLRAD2,P2RX6,CA11,IFITM10,LINGO4,GPR34,GAS1,PLCD3,MYMK,LVRN,SPAAR,SLC40A1,LGR5,ST8SIA6,LMO7,TGM3,OSR1,AMHR2,KCNK15,M1AP,ST6GALNAC3,SYT2,OR2S2,SGCG,AQP3,RGS7BP,SLC14A1,PDCD1,SLC8A1,CD79B,AQP7,FPR3,EPHB3,SPTSSB,C7,EPHA5,MYLK,SLC25A20,SMIM1,SYT8,ANO4,ASIC1,FLNB,CD14,GRIN2C,GJC3,NOX4,SLC16A9,CAVIN2,GGTA1P,SLITRK6,GRAMD2A,SLC27A2,C10orf105,SLC26A5,BFAR,ENPP5,TMEM151B
GO:0031012	extracellular matrix	4.80544856564637e-07	-14.5483452589606	525	33	0.0726872246696035	454	18985	90187,3549,8839,84894,7143,2662,4256,157869,3491,4684,9719,339398,389084,26585,2162,1490,4237,4958,56955,79883,2147,23452,5649,64856,81578,54829,162466,5212,57124,10417,7057,146760,9865	EMILIN3,IHH,CCN5,LINGO1,TNR,GDF10,MGP,SBSPON,CCN1,NCAM1,ADAMTSL2,LINGO4,SNORC,GREM1,F13A1,CCN2,MFAP2,OMD,MEPE,PODNL1,F2,ANGPTL2,RELN,VWA1,COL21A1,ASPN,PHOSPHO1,VIT,CD248,SPON2,THBS1,RTN4RL1,TRIL
GO:0030017	sarcomere	4.86349703458544e-07	-14.5363379173596	204	19	0.0418502202643172	454	18985	845,70,7140,2317,113146,10398,9499,7136,9457,6546,4632,288,58529,25802,91977,84033,129446,775,4634	CASQ2,ACTC1,TNNT3,FLNB,AHNAK2,MYL9,MYOT,TNNI2,FHL5,SLC8A1,MYL1,ANK3,MYOZ1,LMOD1,MYOZ3,OBSCN,XIRP2,CACNA1C,MYL3
