TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr9p13.3	human chr9p13.3	5.83448070968113e-05	-9.74914019896223	84	9	0.0166975881261596	539	26169	375704,360,158376,1271,646962,11191,27019,364,56656	ENHO,AQP3,SPAAR,CNTFR,HRCT1,PTENP1,DNAI1,AQP7,OR2S2
human chr4q23	human chr4q23	7.16871058047402e-05	-9.54319966189029	22	5	0.00927643784786642	539	26169	126,10098,127,130,125	ADH1C,TSPAN5,ADH4,ADH6,ADH1B
human chr11p15.5	human chr11p15.5	0.00109085123130857	-6.82079694136621	100	8	0.0148423005565863	539	26169	402778,7140,29125,4046,90019,283229,7136,10077	IFITM10,TNNT3,C11orf21,LSP1,SYT8,CRACR2B,TNNI2,TSPAN32
human chr10q21.2	human chr10q21.2	0.00328710617937836	-5.71774768199903	15	3	0.00556586270871985	539	26169	288,220963,219621	ANK3,SLC16A9,CABCOCO1
human chr2p22.1	human chr2p22.1	0.00398428221189082	-5.52539810545058	16	3	0.00556586270871985	539	26169	130733,130589,6546	TMEM178A,GALM,SLC8A1
human chr1p22.3	human chr1p22.3	0.00405124403992209	-5.50873127467971	32	4	0.00742115027829314	539	26169	117178,3491,22802,55283	SSX2IP,CCN1,CLCA4,MCOLN3
human chr17q21.31	human chr17q21.31	0.00519602635916206	-5.25986110721474	102	7	0.012987012987013	539	26169	2670,4137,113026,388389,10882,92591,8153	GFAP,MAPT,PLCD3,CCDC103,C1QL1,ASB16,RND2
human chr6q14.2	human chr6q14.2	0.00601222707190512	-5.1139600380267	6	2	0.00371057513914657	539	26169	112609,167681	MRAP2,PRSS35
human chr4q34.2	human chr4q34.2	0.00601222707190512	-5.1139600380267	6	2	0.00371057513914657	539	26169	2823,140458	GPM6A,ASB5
human chr2p24.1	human chr2p24.1	0.00658579189734391	-5.02284069325814	19	3	0.00556586270871985	539	26169	130497,6382,338	OSR1,SDC1,APOB
human chr17q22	human chr17q22	0.00730507584820134	-4.91918585078049	59	5	0.00927643784786642	539	26169	3131,4353,9241,9256,5414	HLF,MPO,NOG,TSPOAP1,SEPTIN4
human chr7p13	human chr7p13	0.012606729354011	-4.37352453187722	44	4	0.00742115027829314	539	26169	29881,5224,816,10268	NPC1L1,PGAM2,CAMK2B,RAMP3
human chr7q36.1	human chr7q36.1	0.0164493411404662	-4.10746985482416	72	5	0.00927643784786642	539	26169	55365,155051,55340,28959,349136	TMEM176A,CRYGN,GIMAP5,TMEM176B,WDR86
human chr2q24.3	human chr2q24.3	0.0176084893990079	-4.03937414101611	27	3	0.00556586270871985	539	26169	6326,80034,129446	SCN2A,CSRNP3,XIRP2
human chr4q22.1	human chr4q22.1	0.0194261733829631	-3.94113397873744	28	3	0.00556586270871985	539	26169	1758,56955,6622	DMP1,MEPE,SNCA
human chr5q13.3	human chr5q13.3	0.0194261733829631	-3.94113397873744	28	3	0.00556586270871985	539	26169	84327,2149,8622	ZBED3,F2R,PDE8B
human chr16p13.2-p13.13	human chr16p13.2-p13.13	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	80063	ATF7IP2
human chr1p33|1	human chr1p33|1	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	260293	CYP4X1
human chr5q33.2-q33.3	human chr5q33.2-q33.3	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	6444	SGCD
human chr11q22.3-q23.1	human chr11q22.3-q23.1	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	57569	ARHGAP20
human chr17q21.2-q21.31	human chr17q21.2-q21.31	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	124817	CNTD1
human chr18p11.21|18	human chr18p11.21|18	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	1149	CIDEA
human chr9p22.1-p21.3	human chr9p22.1-p21.3	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	25769	SLC24A2
human chr6p12.1|6p12.3-p11.2	human chr6p12.1|6p12.3-p11.2	0.0205968894494037	-3.88261521218965	1	1	0.00185528756957328	539	26169	81578	COL21A1
