TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.20.100.10	-	6.98573224006309e-05	-9.56905564739584	61	9	0.0355731225296443	253	8522	340419,9719,140862,10417,1490,3491,7057,730,157869	RSPO2,ADAMTSL2,ISM1,SPON2,CCN2,CCN1,THBS1,C7,SBSPON
3.40.33.10	-	0.000799623000223628	-7.13137019108986	15	4	0.0158102766798419	253	8522	283971,83690,348174,497190	CLEC18C,CRISPLD1,CLEC18A,CLEC18B
1.10.1300.10	-	0.00304749969711721	-5.79343379599615	21	4	0.0158102766798419	253	8522	27115,8654,5136,8622	PDE7B,PDE5A,PDE1A,PDE8B
2.120.10.30	-	0.00499407354120346	-5.29950336132119	38	5	0.0197628458498024	253	8522	57451,9104,26011,64399,283948	TENM2,RGN,TENM4,HHIP,NHLRC4
2.60.40.10	-	0.00632708409108898	-5.06291579807452	710	33	0.130434782608696	253	8522	7053,4352,4684,339398,9256,84894,9499,5133,84033,2214,54587,54209,1271,9796,2209,2051,2042,2162,221091,3815,7143,64856,974,90273,6327,2049,84866,285313,10290,2317,147710,2044,4638	TGM3,MPL,NCAM1,LINGO4,TSPOAP1,LINGO1,MYOT,PDCD1,OBSCN,FCGR3A,MXRA8,TREM2,CNTFR,PHYHIP,FCGR1A,EPHB6,EPHA3,F13A1,LRRN4CL,KIT,TNR,VWA1,CD79B,CEACAM21,SCN2B,EPHB3,TMEM25,IGSF10,SPEG,FLNB,IGSF23,EPHA5,MYLK
1.20.5.350	-	0.0121688347148216	-4.40887712719802	6	2	0.00790513833992095	253	8522	7136,7140	TNNI2,TNNT3
2.170.130.20	-	0.0121688347148216	-4.40887712719802	6	2	0.00790513833992095	253	8522	83690,5212	CRISPLD1,VIT
3.40.720.10	-	0.0127081807436737	-4.36550933984994	31	4	0.0158102766798419	253	8522	59084,5167,5169,415	ENPP5,ENPP1,ENPP3,ARSE
2.60.120.290	-	0.014583892252304	-4.22783762970876	49	5	0.0197628458498024	253	8522	6768,64478,26033,401944,80310	ST14,CSMD1,ATRNL1,LDLRAD2,PDGFD
2.60.490.10	-	0.0167050298113563	-4.09204541859816	7	2	0.00790513833992095	253	8522	9127,5023	P2RX6,P2RX1
2.60.120.40	-	0.0171308696996234	-4.06687319737894	51	5	0.0197628458498024	253	8522	114905,338761,390664,10882,407977	C1QTNF7,C1QL4,C1QTNF8,C1QL1,TNFSF12-TNFSF13
2.10.90.10	-	0.0235910168046191	-3.74688928328591	75	6	0.0237154150197628	253	8522	2662,9241,26585,8200,64388,80310	GDF10,NOG,GREM1,GDF5,GREM2,PDGFD
3.10.100.10	-	0.0275606360837903	-3.59136675313966	99	7	0.0276679841897233	253	8522	57124,283971,114780,10143,348174,497190,26033	CD248,CLEC18C,PKD1L2,CLEC3A,CLEC18A,CLEC18B,ATRNL1
4.10.140.10	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	2147	F2
1.10.287.990	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	6648	SOD2
4.10.670.10	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	886	CCKAR
2.40.500.20	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	6648	SOD2
3.40.50.1170	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	374569	ASPG
2.70.98.10	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	130589	GALM
1.20.5.600	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	3739	KCNA4
3.40.50.40	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	374569	ASPG
3.30.30.160	-	0.0296878666978629	-3.51701684533555	1	1	0.00395256916996047	253	8522	387755	INSC
3.90.260.10	-	0.0337582481702112	-3.38853050129355	10	2	0.00790513833992095	253	8522	7053,2162	TGM3,F13A1
3.20.20.190	-	0.0367375384337559	-3.30395620106532	25	3	0.0118577075098814	253	8522	51196,113026,5330	PLCE1,PLCD3,PLCB2
3.30.70.141	-	0.0404656419220715	-3.20730201252329	11	2	0.00790513833992095	253	8522	8382,347736	NME5,NME9
1.10.150.50	-	0.0569191253894887	-2.86612387148836	116	7	0.0276679841897233	253	8522	2042,2044,2051,51283,2078,2049,148398	EPHA3,EPHA5,EPHB6,BFAR,ERG,EPHB3,SAMD11
2.30.230.10	-	0.0584977446137681	-2.83876707909834	2	1	0.00395256916996047	253	8522	338	APOB
2.60.40.2130	-	0.0584977446137681	-2.83876707909834	2	1	0.00395256916996047	253	8522	10417	SPON2
3.40.449.10	-	0.0584977446137681	-2.83876707909834	2	1	0.00395256916996047	253	8522	5105	PCK1
3.90.228.20	-	0.0584977446137681	-2.83876707909834	2	1	0.00395256916996047	253	8522	5105	PCK1
1.25.10.20	-	0.0584977446137681	-2.83876707909834	2	1	0.00395256916996047	253	8522	338	APOB
1.20.120.350	-	0.0592684974854495	-2.82567735384201	71	5	0.0197628458498024	253	8522	6329,6326,775,3739,3787	SCN4A,SCN2A,CACNA1C,KCNA4,KCNS1
1.20.1080.10	-	0.0631778853215068	-2.76180095486309	14	2	0.00790513833992095	253	8522	364,360	AQP7,AQP3
3.50.50.60	-	0.0639902634997294	-2.74902434001256	51	4	0.0158102766798419	253	8522	2327,2326,1757,80020	FMO2,FMO1,SARDH,FOXRED2
2.60.120.260	-	0.0748544308195667	-2.59220997388232	76	5	0.0197628458498024	253	8522	2049,2042,85445,2051,2044	EPHB3,EPHA3,CNTNAP4,EPHB6,EPHA5
3.80.10.10	-	0.084094066360798	-2.47581926906072	314	14	0.0553359683794466	253	8522	9865,25827,285313,84894,79883,339398,79442,929,8549,4958,146760,84189,25802,54829	TRIL,FBXL2,IGSF10,LINGO1,PODNL1,LINGO4,LRRC2,CD14,LGR5,OMD,RTN4RL1,SLITRK6,LMOD1,ASPN
3.30.1380.10	-	0.0864554993796872	-2.44812545546154	3	1	0.00395256916996047	253	8522	3549	IHH
3.10.25.10	-	0.0864554993796872	-2.44812545546154	3	1	0.00395256916996047	253	8522	10840	ALDH1L1
1.10.150.510	-	0.0864554993796872	-2.44812545546154	3	1	0.00395256916996047	253	8522	10268	RAMP3
1.10.1670.10	-	0.0864554993796872	-2.44812545546154	3	1	0.00395256916996047	253	8522	4913	NTHL1
2.60.40.150	-	0.0875925797063365	-2.43505899117626	154	8	0.0316205533596838	253	8522	113026,90019,54843,827,127833,5330,51196,11060	PLCD3,SYT8,SYTL2,CAPN6,SYT2,PLCB2,PLCE1,WWP2
3.10.200.10	-	0.0891375461047567	-2.41757464039597	17	2	0.00790513833992095	253	8522	760,770	CA2,CA11
1.10.630.10	-	0.0928640428629565	-2.37661876015354	58	4	0.0158102766798419	253	8522	5740,260293,51302,66002	PTGIS,CYP4X1,CYP39A1,CYP4F12
3.40.605.10	-	0.0983838112210337	-2.31887900857029	18	2	0.00790513833992095	253	8522	216,10840	ALDH1A1,ALDH1L1
3.40.309.10	-	0.0983838112210337	-2.31887900857029	18	2	0.00790513833992095	253	8522	216,10840	ALDH1A1,ALDH1L1
1.20.1230.10	-	0.113586237573748	-2.17519292815253	4	1	0.00395256916996047	253	8522	5330	PLCB2
1.10.1200.10	-	0.113586237573748	-2.17519292815253	4	1	0.00395256916996047	253	8522	10840	ALDH1L1
1.10.800.10	-	0.113586237573748	-2.17519292815253	4	1	0.00395256916996047	253	8522	5053	PAH
3.90.1480.20	-	0.127560807153541	-2.059162109222	21	2	0.00790513833992095	253	8522	338596,256435	ST8SIA6,ST6GALNAC3
1.10.555.10	-	0.132085157575363	-2.02430843125801	66	4	0.0158102766798419	253	8522	5295,57569,115703,1124	PIK3R1,ARHGAP20,ARHGAP33,CHN2
2.60.40.1660	-	0.139914328894553	-1.96672498014985	5	1	0.00395256916996047	253	8522	482	ATP1B2
1.20.140.20	-	0.139914328894553	-1.96672498014985	5	1	0.00395256916996047	253	8522	5166	PDK4
3.40.50.1110	-	0.139914328894553	-1.96672498014985	5	1	0.00395256916996047	253	8522	5050	PAFAH1B3
4.10.1080.10	-	0.139914328894553	-1.96672498014985	5	1	0.00395256916996047	253	8522	7057	THBS1
1.10.2000.10	-	0.147993213027555	-1.91058886419145	23	2	0.00790513833992095	253	8522	8325,6424	FZD8,SFRP4
4.10.400.10	-	0.155515086722498	-1.8610125313456	46	3	0.0118577075098814	253	8522	730,6768,401944	C7,ST14,LDLRAD2
3.10.180.10	-	0.165463427730304	-1.79900508906635	6	1	0.00395256916996047	253	8522	84842	HPDL
3.10.260.20	-	0.165463427730304	-1.79900508906635	6	1	0.00395256916996047	253	8522	1602	DACH1
3.30.1360.120	-	0.165463427730304	-1.79900508906635	6	1	0.00395256916996047	253	8522	1757	SARDH
1.10.3430.10	-	0.190256494054113	-1.65938214850431	7	1	0.00395256916996047	253	8522	6563	SLC14A1
3.60.21.10	-	0.190523505445702	-1.65797970386066	27	2	0.00790513833992095	253	8522	758,54	MPPED1,ACP5
1.10.30.10	-	0.192416242105855	-1.64809432588397	51	3	0.0118577075098814	253	8522	6665,9760,55553	SOX15,TOX,SOX6
1.20.80.10	-	0.192416242105855	-1.64809432588397	51	3	0.0118577075098814	253	8522	9758,2036,4648	FRMPD4,EPB41L1,MYO7B
1.20.5.1160	-	0.21343521265808	-1.54442194595694	80	4	0.0158102766798419	253	8522	5630,3851,55740,2670	PRPH,KRT4,ENAH,GFAP
1.10.3080.10	-	0.214315813728017	-1.54030458674722	8	1	0.00395256916996047	253	8522	1188	CLCNKB
3.30.70.340	-	0.214315813728017	-1.54030458674722	8	1	0.00395256916996047	253	8522	51200	CPA4
4.10.530.10	-	0.214315813728017	-1.54030458674722	8	1	0.00395256916996047	253	8522	285	ANGPT2
3.30.450.40	-	0.214315813728017	-1.54030458674722	8	1	0.00395256916996047	253	8522	8654	PDE5A
1.10.418.10	-	0.21972010099449	-1.51540081085695	81	4	0.0158102766798419	253	8522	4008,2317,6876,64098	LMO7,FLNB,TAGLN,PARVG
3.30.505.10	-	0.228231564413014	-1.47739453204393	110	5	0.0197628458498024	253	8522	1124,23371,5295,1154,4068	CHN2,TNS2,PIK3R1,CISH,SH2D1A
2.60.40.2030	-	0.237663018225162	-1.43690149844005	9	1	0.00395256916996047	253	8522	6546	SLC8A1
1.25.40.530	-	0.237663018225162	-1.43690149844005	9	1	0.00395256916996047	253	8522	4648	MYO7B
3.90.110.10	-	0.237663018225162	-1.43690149844005	9	1	0.00395256916996047	253	8522	130752	MDH1B
3.40.930.10	-	0.237663018225162	-1.43690149844005	9	1	0.00395256916996047	253	8522	6508	SLC4A3
3.40.50.410	-	0.258370949069517	-1.35335893959555	87	4	0.0158102766798419	253	8522	81578,64856,5212,22802	COL21A1,VWA1,VIT,CLCA4
1.10.640.10	-	0.26031910379087	-1.34584707823833	10	1	0.00395256916996047	253	8522	4353	MPO
3.90.215.10	-	0.26031910379087	-1.34584707823833	10	1	0.00395256916996047	253	8522	285	ANGPT2
3.40.47.10	-	0.26031910379087	-1.34584707823833	10	1	0.00395256916996047	253	8522	3158	HMGCS2
3.40.1110.10	-	0.278810592592969	-1.27722260729897	35	2	0.00790513833992095	253	8522	10396,79895	ATP8A1,ATP8B4
2.60.40.1730	-	0.303638837731893	-1.19191631762415	12	1	0.00395256916996047	253	8522	206338	LVRN
