TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1716	DGUOK (deoxyguanosine kinase)	9.59742480867092e-05	-9.25143065157844	73	9	0.0202247191011236	445	17456	202915,83988,4684,2891,816,4137,6622,2036,2824	TMEM184A,NCALD,NCAM1,GRIA2,CAMK2B,MAPT,SNCA,EPB41L1,GPM6B
55156	ARMC1 (armadillo repeat containing 1)	0.000131038604632458	-8.94001858632541	45	7	0.0157303370786517	445	17456	816,4137,4684,2036,2824,2823,83988	CAMK2B,MAPT,NCAM1,EPB41L1,GPM6B,GPM6A,NCALD
55172	DNAAF2 (dynein axonemal assembly factor 2)	0.000236778800007844	-8.3483841859561	82	9	0.0202247191011236	445	17456	83988,4684,2824,2823,2036,6622,4137,816,2891	NCALD,NCAM1,GPM6B,GPM6A,EPB41L1,SNCA,MAPT,CAMK2B,GRIA2
342926	ZNF677 (zinc finger protein 677)	0.000648452837098216	-7.34092128299244	2	2	0.00449438202247191	445	17456	58189,64098	WFDC1,PARVG
26747	NUFIP1 (nuclear FMR1 interacting protein 1)	0.000719510526523515	-7.23693940141237	115	10	0.0224719101123595	445	17456	4137,816,2891,2788,6622,2036,2823,2824,4684,83988	MAPT,CAMK2B,GRIA2,GNG7,SNCA,EPB41L1,GPM6A,GPM6B,NCAM1,NCALD
91869	RFT1 (RFT1 homolog)	0.00145953967416591	-6.52963418464394	20	4	0.00898876404494382	445	17456	10098,6327,2823,23371	TSPAN5,SCN2B,GPM6A,TNS2
3669	ISG20 (interferon stimulated exonuclease gene 20)	0.00172779424024328	-6.36090968962343	10	3	0.00674157303370787	445	17456	80820,2036,4684	EEPD1,EPB41L1,NCAM1
6300	MAPK12 (mitogen-activated protein kinase 12)	0.00181046363941459	-6.31417231213363	51	6	0.0134831460674157	445	17456	6755,26576,5608,269,66002,4137	SSTR5,SRPK3,MAP2K6,AMHR2,CYP4F12,MAPT
855103	SEC14 (phosphatidylinositol/phosphatidylcholine transfer protein SEC14)	0.00191244174638973	-6.25937445213154	3	2	0.00449438202247191	445	17456	116173,6622	CMTM5,SNCA
850314	PDI1 (protein disulfide isomerase PDI1)	0.00191244174638973	-6.25937445213154	3	2	0.00449438202247191	445	17456	10083,338	USH1C,APOB
13822	Epb41l2 (erythrocyte membrane protein band 4.1 like 2)	0.00191244174638973	-6.25937445213154	3	2	0.00449438202247191	445	17456	6622,5745	SNCA,PTH1R
126	ADH1C (alcohol dehydrogenase 1C (class I), gamma polypeptide)	0.00191244174638973	-6.25937445213154	3	2	0.00449438202247191	445	17456	125,126	ADH1B,ADH1C
650	BMP2 (bone morphogenetic protein 2)	0.00211664004393176	-6.15792533249478	22	4	0.00898876404494382	445	17456	9241,64388,26585,4256	NOG,GREM2,GREM1,MGP
3764	KCNJ8 (potassium voltage-gated channel subfamily J member 8)	0.00251124071478302	-5.98697833929024	23	4	0.00898876404494382	445	17456	5745,55283,80332,3764	PTH1R,MCOLN3,ADAM33,KCNJ8
799	CALCR (calcitonin receptor)	0.00304955401986712	-5.79275992204883	12	3	0.00674157303370787	445	17456	10268,338,7057	RAMP3,APOB,THBS1
11000	SLC27A3 (solute carrier family 27 member 3)	0.00344626237409823	-5.67046500503475	25	4	0.00898876404494382	445	17456	80332,41,55283,5745	ADAM33,ASIC1,MCOLN3,PTH1R
55160	ARHGEF10L (Rho guanine nucleotide exchange factor 10 like)	0.00376030039652297	-5.58325643207931	4	2	0.00449438202247191	445	17456	8416,6326	ANXA9,SCN2A
851259	SSA1 (Hsp70 family ATPase SSA1)	0.00376030039652297	-5.58325643207931	4	2	0.00449438202247191	445	17456	338,6622	APOB,SNCA
6324	SCN1B (sodium voltage-gated channel beta subunit 1)	0.00376030039652297	-5.58325643207931	4	2	0.00449438202247191	445	17456	288,6327	ANK3,SCN2B
10456	HAX1 (HCLS1 associated protein X-1)	0.00406253437885328	-5.50594826887513	145	10	0.0224719101123595	445	17456	4684,83988,5244,2036,2823,2824,2891,816,4137,6622	NCAM1,NCALD,ABCB4,EPB41L1,GPM6A,GPM6B,GRIA2,CAMK2B,MAPT,SNCA
4036	LRP2 (LDL receptor related protein 2)	0.00428059066874962	-5.45366427219328	80	7	0.0157303370786517	445	17456	338,26150,7057,80310,56955,1490,7432	APOB,RIBC2,THBS1,PDGFD,MEPE,CCN2,VIP
2534	FYN (FYN proto-oncogene, Src family tyrosine kinase)	0.00471195982433905	-5.35765135891303	248	14	0.0314606741573034	445	17456	4684,2049,3815,3739,6382,5295,115703,2042,974,4137,4068,2911,6622,948	NCAM1,EPHB3,KIT,KCNA4,SDC1,PIK3R1,ARHGAP33,EPHA3,CD79B,MAPT,SH2D1A,GRM1,SNCA,CD36
5330	PLCB2 (phospholipase C beta 2)	0.00485804284406828	-5.3271196291598	14	3	0.00674157303370787	445	17456	6622,5330,5608	SNCA,PLCB2,MAP2K6
113174	SAAL1 (serum amyloid A like 1)	0.00555895159630481	-5.19234575031534	45	5	0.0112359550561798	445	17456	118881,2041,6327,256435,10083	COMTD1,EPHA1,SCN2B,ST6GALNAC3,USH1C
2147	F2 (coagulation factor II, thrombin)	0.00555895159630481	-5.19234575031534	45	5	0.0112359550561798	445	17456	2162,5624,2147,7057,2149	F13A1,PROC,F2,THBS1,F2R
116986	AGAP2 (ArfGAP with GTPase domain, ankyrin repeat and PH domain 2)	0.00595882890245567	-5.1228813100887	15	3	0.00674157303370787	445	17456	2891,5295,2036	GRIA2,PIK3R1,EPB41L1
1746	DLX2 (distal-less homeobox 2)	0.00595882890245567	-5.1228813100887	15	3	0.00674157303370787	445	17456	5295,9256,1749	PIK3R1,TSPOAP1,DLX5
339451	KLHL17 (kelch like family member 17)	0.00616157075961266	-5.0894235404984	5	2	0.00449438202247191	445	17456	70,5174	ACTC1,PDZK1
152015	ROPN1B (rhophilin associated tail protein 1B)	0.00616157075961266	-5.0894235404984	5	2	0.00449438202247191	445	17456	54763,152015	ROPN1,ROPN1B
195814	SDR16C5 (short chain dehydrogenase/reductase family 16C member 5)	0.00616157075961266	-5.0894235404984	5	2	0.00449438202247191	445	17456	65061,2134	CDK15,EXTL1
23400	ATP13A2 (ATPase cation transporting 13A2)	0.00713928628132591	-4.94214246822565	67	6	0.0134831460674157	445	17456	374393,974,5745,55283,2149,4948	FAM111B,CD79B,PTH1R,MCOLN3,F2R,OCA2
2318	FLNC (filamin C)	0.00752706467681298	-4.8892501303251	111	8	0.0179775280898876	445	17456	58529,6445,129446,9771,6444,91977,2317,9499	MYOZ1,SGCG,XIRP2,RAPGEF5,SGCD,MYOZ3,FLNB,MYOT
54832	VPS13C (vacuolar protein sorting 13 homolog C)	0.00857572044194846	-4.75882027290557	17	3	0.00674157303370787	445	17456	149297,54511,85329	FAM78B,HMGCLL1,LGALS12
1687	GSDME (gasdermin E)	0.00857572044194846	-4.75882027290557	17	3	0.00674157303370787	445	17456	11001,2041,6327	SLC27A2,EPHA1,SCN2B
5260	PHKG1 (phosphorylase kinase catalytic subunit gamma 1)	0.00908696230838072	-4.70091460613923	6	2	0.00449438202247191	445	17456	4137,5260	MAPT,PHKG1
1942	EFNA1 (ephrin A1)	0.0100989118087546	-4.59532760264694	18	3	0.00674157303370787	445	17456	2042,2041,2044	EPHA3,EPHA1,EPHA5
4589	MUC7 (mucin 7, secreted)	0.0100989118087546	-4.59532760264694	18	3	0.00674157303370787	445	17456	7351,10231,4589	UCP2,RCAN2,MUC7
2811	GP1BA (glycoprotein Ib platelet subunit alpha)	0.0117690678201262	-4.44228056049584	19	3	0.00674157303370787	445	17456	5295,2317,2147	PIK3R1,FLNB,F2
1943	EFNA2 (ephrin A2)	0.0125083125024151	-4.38136185549532	7	2	0.00449438202247191	445	17456	2044,2042	EPHA5,EPHA3
1463	NCAN (neurocan)	0.0125083125024151	-4.38136185549532	7	2	0.00449438202247191	445	17456	7143,4684	TNR,NCAM1
117154	DACH2 (dachshund family transcription factor 2)	0.0125083125024151	-4.38136185549532	7	2	0.00449438202247191	445	17456	1602,8908	DACH1,GYG2
1294	COL7A1 (collagen type VII alpha 1 chain)	0.013588396316534	-4.29853906245223	20	3	0.00674157303370787	445	17456	7057,25827,6622	THBS1,FBXL2,SNCA
15194	Htt (huntingtin)	0.0137338116610062	-4.28789448221638	77	6	0.0134831460674157	445	17456	2670,4978,127833,2823,2036,33	GFAP,OPCML,SYT2,GPM6A,EPB41L1,ACADL
1948	EFNB2 (ephrin B2)	0.0154378726473301	-4.17093152578698	79	6	0.0134831460674157	445	17456	2051,2049,2042,5295,2044,2911	EPHB6,EPHB3,EPHA3,PIK3R1,EPHA5,GRM1
55768	NGLY1 (N-glycanase 1)	0.0155586283056656	-4.16313991928066	21	3	0.00674157303370787	445	17456	54,84866,84894	ACP5,TMEM25,LINGO1
144165	PRICKLE1 (prickle planar cell polarity protein 1)	0.0163985485215428	-4.11056245285274	8	2	0.00449438202247191	445	17456	7432,144165	VIP,PRICKLE1
22885	ABLIM3 (actin binding LIM protein family member 3)	0.0163985485215428	-4.11056245285274	8	2	0.00449438202247191	445	17456	70,117178	ACTC1,SSX2IP
7056	THBD (thrombomodulin)	0.0163985485215428	-4.11056245285274	8	2	0.00449438202247191	445	17456	5624,2147	PROC,F2
88	ACTN2 (actinin alpha 2)	0.0170873165180861	-4.06941881477547	104	7	0.0157303370786517	445	17456	117178,3739,2625,58529,91977,9499,10218	SSX2IP,KCNA4,GATA3,MYOZ1,MYOZ3,MYOT,ANGPTL7
3082	HGF (hepatocyte growth factor)	0.0184664467258928	-3.99179988411814	40	4	0.00898876404494382	445	17456	5608,3249,6382,6768	MAP2K6,HPN,SDC1,ST14
56901	NDUFA4L2 (NDUFA4 mitochondrial complex associated like 2)	0.0199565185225943	-3.91419944602794	23	3	0.00674157303370787	445	17456	8416,3739,70	ANXA9,KCNA4,ACTC1
65260	COA7 (cytochrome c oxidase assembly factor 7 (putative))	0.0199565185225943	-3.91419944602794	23	3	0.00674157303370787	445	17456	1490,54,8991	CCN2,ACP5,SELENBP1
29967	LRP12 (LDL receptor related protein 12)	0.0199565185225943	-3.91419944602794	23	3	0.00674157303370787	445	17456	80332,112609,9499	ADAM33,MRAP2,MYOT
4041	LRP5 (LDL receptor related protein 5)	0.0200623174196298	-3.90891197871251	41	4	0.00898876404494382	445	17456	22943,80332,7057,8325	DKK1,ADAM33,THBS1,FZD8
80210	ARMC9 (armadillo repeat containing 9)	0.020731650211363	-3.8760937507166	9	2	0.00449438202247191	445	17456	2041,116173	EPHA1,CMTM5
1944	EFNA3 (ephrin A3)	0.020731650211363	-3.8760937507166	9	2	0.00449438202247191	445	17456	2044,2042	EPHA5,EPHA3
7140	TNNT3 (troponin T3, fast skeletal type)	0.020731650211363	-3.8760937507166	9	2	0.00449438202247191	445	17456	7136,7140	TNNI2,TNNT3
