TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR000884	TSP1_rpt	1.17242475932706e-06	-13.6564365098347	64	11	0.0215686274509804	510	18616	730,7057,8839,157869,340419,343637,1490,10417,140862,9719,3491	C7,THBS1,CCN5,SBSPON,RSPO2,RSPO4,CCN2,SPON2,ISM1,ADAMTSL2,CCN1
IPR036383	TSP1_rpt_sf	7.5713373408479e-06	-11.791140842862	63	10	0.0196078431372549	510	18616	10417,1490,157869,8839,730,7057,340419,140862,9719,3491	SPON2,CCN2,SBSPON,CCN5,C7,THBS1,RSPO2,ISM1,ADAMTSL2,CCN1
IPR003961	FN3_dom	1.37327826848572e-05	-11.1957246868436	204	18	0.0352941176470588	510	18616	2044,4352,84033,9256,2042,221091,2049,1271,2051,7143,4638,64856,4684,9796,10290,9865,80063,2041	EPHA5,MPL,OBSCN,TSPOAP1,EPHA3,LRRN4CL,EPHB3,CNTFR,EPHB6,TNR,MYLK,VWA1,NCAM1,PHYHIP,SPEG,TRIL,ATF7IP2,EPHA1
IPR001090	Ephrin_rcpt_lig-bd_dom	2.46833223650401e-05	-10.609382750279	14	5	0.00980392156862745	510	18616	2049,2044,2051,2042,2041	EPHB3,EPHA5,EPHB6,EPHA3,EPHA1
IPR016257	Tyr_kinase_ephrin_rcpt	2.46833223650401e-05	-10.609382750279	14	5	0.00980392156862745	510	18616	2049,2044,2051,2042,2041	EPHB3,EPHA5,EPHB6,EPHA3,EPHA1
IPR001426	Tyr_kinase_rcpt_V_CS	2.46833223650401e-05	-10.609382750279	14	5	0.00980392156862745	510	18616	2042,2041,2051,2049,2044	EPHA3,EPHA1,EPHB6,EPHB3,EPHA5
IPR027936	Eph_TM	2.46833223650401e-05	-10.609382750279	14	5	0.00980392156862745	510	18616	2049,2044,2051,2042,2041	EPHB3,EPHA5,EPHB6,EPHA3,EPHA1
IPR002328	ADH_Zn_CS	3.57029344901102e-05	-10.2402776739543	8	4	0.00784313725490196	510	18616	126,130,125,127	ADH1C,ADH6,ADH1B,ADH4
IPR036116	FN3_sf	0.000156078173855734	-8.76515356177082	203	16	0.0313725490196078	510	18616	2041,10290,9796,4638,4684,64856,2051,7143,1271,2049,2042,221091,4352,84033,9256,2044	EPHA1,SPEG,PHYHIP,MYLK,NCAM1,VWA1,EPHB6,TNR,CNTFR,EPHB3,EPHA3,LRRN4CL,MPL,OBSCN,TSPOAP1,EPHA5
IPR009030	Growth_fac_rcpt_cys_sf	0.000194460374698566	-8.54528214471757	127	12	0.0235294117647059	510	18616	79633,1490,343637,340419,2041,8839,2051,2044,3491,3714,2042,57124	FAT4,CCN2,RSPO4,RSPO2,EPHA1,CCN5,EPHB6,EPHA5,CCN1,JAG2,EPHA3,CD248
IPR011641	Tyr-kin_ephrin_A/B_rcpt-like	0.000510507680649839	-7.58010487512535	25	5	0.00980392156862745	510	18616	2049,2044,2051,2042,2041	EPHB3,EPHA5,EPHB6,EPHA3,EPHA1
IPR035940	CAP_sf	0.000597466728067665	-7.42281196095149	15	4	0.00784313725490196	510	18616	348174,83690,497190,283971	CLEC18A,CRISPLD1,CLEC18B,CLEC18C
IPR013149	ADH_C	0.000597466728067665	-7.42281196095149	15	4	0.00784313725490196	510	18616	127,125,130,126	ADH4,ADH1B,ADH6,ADH1C
IPR013154	ADH_N	0.000597466728067665	-7.42281196095149	15	4	0.00784313725490196	510	18616	126,125,130,127	ADH1C,ADH1B,ADH6,ADH4
IPR001283	CRISP-related	0.000597466728067665	-7.42281196095149	15	4	0.00784313725490196	510	18616	283971,83690,497190,348174	CLEC18C,CRISPLD1,CLEC18B,CLEC18A
IPR014044	CAP_domain	0.000597466728067665	-7.42281196095149	15	4	0.00784313725490196	510	18616	283971,83690,497190,348174	CLEC18C,CRISPLD1,CLEC18B,CLEC18A
IPR013783	Ig-like_fold	0.000613779803689361	-7.39587432005188	710	35	0.0686274509803922	510	18616	2051,9499,1271,2209,7053,2044,4978,2041,90273,54209,9796,3815,4638,2214,64856,84894,5133,7143,54587,2049,84866,2042,221091,4352,9256,84033,2317,974,339398,147710,285313,6327,10290,2162,4684	EPHB6,MYOT,CNTFR,FCGR1A,TGM3,EPHA5,OPCML,EPHA1,CEACAM21,TREM2,PHYHIP,KIT,MYLK,FCGR3A,VWA1,LINGO1,PDCD1,TNR,MXRA8,EPHB3,TMEM25,EPHA3,LRRN4CL,MPL,TSPOAP1,OBSCN,FLNB,CD79B,LINGO4,IGSF23,IGSF10,SCN2B,SPEG,F13A1,NCAM1
IPR009281	TMEM176A/TMEM176B	0.000749097844856968	-7.19664094899099	2	2	0.00392156862745098	510	18616	55365,28959	TMEM176A,TMEM176B
IPR017159	Gremlin-1/2	0.000749097844856968	-7.19664094899099	2	2	0.00392156862745098	510	18616	26585,64388	GREM1,GREM2
IPR020843	PKS_ER	0.000779468718668426	-7.15689800026728	16	4	0.00784313725490196	510	18616	126,127,130,125	ADH1C,ADH4,ADH6,ADH1B
IPR036024	Somatomedin_B-like_dom_sf	0.00103288563613048	-6.87539880539897	8	3	0.00588235294117647	510	18616	5169,157869,5167	ENPP3,SBSPON,ENPP1
IPR023088	PDEase	0.00155526351546192	-6.46611028438867	19	4	0.00784313725490196	510	18616	27115,5136,8654,8622	PDE7B,PDE1A,PDE5A,PDE8B
IPR002591	Phosphodiest/P_Trfase	0.00212448087002509	-6.15422780290978	10	3	0.00588235294117647	510	18616	5169,5167,59084	ENPP3,ENPP1,ENPP5
IPR001212	Somatomedin_B_dom	0.00212448087002509	-6.15422780290978	10	3	0.00588235294117647	510	18616	5169,157869,5167	ENPP3,SBSPON,ENPP1
IPR001614	Myelin_PLP	0.00220640584719706	-6.11639040082131	3	2	0.00392156862745098	510	18616	2823,2824	GPM6A,GPM6B
IPR018237	Myelin_PLP_CS	0.00220640584719706	-6.11639040082131	3	2	0.00392156862745098	510	18616	2823,2824	GPM6A,GPM6B
IPR022385	Rhs_assc_core	0.00220640584719706	-6.11639040082131	3	2	0.00392156862745098	510	18616	57451,26011	TENM2,TENM4
IPR040223	PAR_bZIP	0.00220640584719706	-6.11639040082131	3	2	0.00392156862745098	510	18616	1628,3131	DBP,HLF
IPR039972	Sarcoglycan_gamma/delta/zeta	0.00220640584719706	-6.11639040082131	3	2	0.00392156862745098	510	18616	6444,6445	SGCD,SGCG
IPR008466	PPP1R1A/B/C	0.00220640584719706	-6.11639040082131	3	2	0.00392156862745098	510	18616	151242,84152	PPP1R1C,PPP1R1B
IPR008438	MYOZ	0.00220640584719706	-6.11639040082131	3	2	0.00392156862745098	510	18616	91977,58529	MYOZ3,MYOZ1
IPR023174	PDEase_CS	0.00229963348230387	-6.07500552426553	21	4	0.00784313725490196	510	18616	8622,8654,5136,27115	PDE8B,PDE5A,PDE1A,PDE7B
IPR011032	GroES-like_sf	0.00229963348230387	-6.07500552426553	21	4	0.00784313725490196	510	18616	125,130,127,126	ADH1B,ADH6,ADH4,ADH1C
IPR002073	PDEase_catalytic_dom	0.00229963348230387	-6.07500552426553	21	4	0.00784313725490196	510	18616	8654,5136,27115,8622	PDE5A,PDE1A,PDE7B,PDE8B
IPR036971	PDEase_catalytic_dom_sf	0.00229963348230387	-6.07500552426553	21	4	0.00784313725490196	510	18616	8622,5136,27115,8654	PDE8B,PDE1A,PDE7B,PDE5A
IPR013032	EGF-like_CS	0.00239695880488794	-6.03355450979024	191	13	0.0254901960784314	510	18616	26011,283971,5624,57451,497190,64399,3714,26033,7143,7057,348174,80332,79633	TENM4,CLEC18C,PROC,TENM2,CLEC18B,HHIP,JAG2,ATRNL1,TNR,THBS1,CLEC18A,ADAM33,FAT4
IPR001828	ANF_lig-bd_rcpt	0.00282840635645795	-5.8680418508679	36	5	0.00980392156862745	510	18616	2891,2905,4883,2911,80835	GRIA2,GRIN2C,NPR3,GRM1,TAS1R1
IPR017891	Insulin_GF-bd_Cys-rich_CS	0.00286205533771309	-5.85621526270528	11	3	0.00588235294117647	510	18616	3491,1490,8839	CCN1,CCN2,CCN5
IPR006207	Cys_knot_C	0.00325832372431467	-5.7265424108426	23	4	0.00784313725490196	510	18616	64388,3491,26585,1490	GREM2,CCN1,GREM1,CCN2
IPR003591	Leu-rich_rpt_typical-subtyp	0.0032652694982373	-5.72441297808667	175	12	0.0235294117647059	510	18616	84894,220416,54829,84189,339398,285313,8549,9865,79883,146760,4958,79442	LINGO1,LRRC63,ASPN,SLITRK6,LINGO4,IGSF10,LGR5,TRIL,PODNL1,RTN4RL1,OMD,LRRC2
IPR000742	EGF-like_dom	0.00347873079267963	-5.66108776646759	223	14	0.0274509803921569	510	18616	26033,64399,3714,57451,497190,57124,26011,5624,283971,80332,79633,348174,7143,7057	ATRNL1,HHIP,JAG2,TENM2,CLEC18B,CD248,TENM4,PROC,CLEC18C,ADAM33,FAT4,CLEC18A,TNR,THBS1
IPR000372	LRRNT	0.00348131925145618	-5.66034396178817	54	6	0.0117647058823529	510	18616	285313,4958,84894,8549,339398,54829	IGSF10,OMD,LINGO1,LGR5,LINGO4,ASPN
IPR011042	6-blade_b-propeller_TolB-like	0.00360096175673164	-5.62655431455184	38	5	0.00980392156862745	510	18616	26011,283948,9104,57451,64399	TENM4,NHLRC4,RGN,TENM2,HHIP
IPR020864	MACPF	0.00373896924898006	-5.58894530741786	12	3	0.00588235294117647	510	18616	1620,219972,730	BRINP1,MPEG1,C7
IPR003607	HD/PDEase_dom	0.0038264412001548	-5.56582009831484	24	4	0.00784313725490196	510	18616	8654,27115,5136,8622	PDE5A,PDE7B,PDE1A,PDE8B
IPR001007	VWF_dom	0.00403917559747137	-5.511714667864	39	5	0.00980392156862745	510	18616	3714,3491,1490,7057,8839	JAG2,CCN1,CCN2,THBS1,CCN5
IPR028082	Peripla_BP_I	0.00403917559747137	-5.511714667864	39	5	0.00980392156862745	510	18616	4883,2905,80835,2911,2891	NPR3,GRIN2C,TAS1R1,GRM1,GRIA2
IPR006530	YD	0.00433270693115218	-5.44156277498719	4	2	0.00392156862745098	510	18616	57451,26011	TENM2,TENM4
IPR009471	Ten_N	0.00433270693115218	-5.44156277498719	4	2	0.00392156862745098	510	18616	57451,26011	TENM2,TENM4
IPR006875	Sarcoglycan	0.00433270693115218	-5.44156277498719	4	2	0.00392156862745098	510	18616	6445,6444	SGCG,SGCD
IPR028916	Tox-GHH_dom	0.00433270693115218	-5.44156277498719	4	2	0.00392156862745098	510	18616	26011,57451	TENM4,TENM2
IPR008266	Tyr_kinase_AS	0.00454717900786787	-5.39324823656848	95	8	0.0156862745098039	510	18616	2049,2041,84033,3815,114783,2044,157285,2042	EPHB3,EPHA1,OBSCN,KIT,LMTK3,EPHA5,PRAG1,EPHA3
IPR011992	EF-hand-dom_pair	0.0055597503954115	-5.19220206463896	260	15	0.0294117647058824	510	18616	10398,4634,127795,79645,51196,80303,50859,113026,283229,4632,11131,5330,93408,83988,122664	MYL9,MYL3,C1orf87,EFCAB1,PLCE1,EFHD1,SPOCK3,PLCD3,CRACR2B,MYL1,CAPN11,PLCB2,MYL10,NCALD,TPPP2
IPR000294	GLA_domain	0.00593935079375558	-5.12615544556115	14	3	0.00588235294117647	510	18616	4256,5624,2147	MGP,PROC,F2
IPR035972	GLA-like_dom_SF	0.00593935079375558	-5.12615544556115	14	3	0.00588235294117647	510	18616	2147,4256,5624	F2,MGP,PROC
IPR024204	Cyt_P450_CYP7A1-type	0.00709039407411036	-4.94901435830282	5	2	0.00392156862745098	510	18616	5740,51302	PTGIS,CYP39A1
IPR012395	IGFBP_CNN	0.00709039407411036	-4.94901435830282	5	2	0.00392156862745098	510	18616	1490,3491	CCN2,CCN1
IPR000922	Lectin_gal-bd_dom	0.00709039407411036	-4.94901435830282	5	2	0.00392156862745098	510	18616	23284,114780	ADGRL3,PKD1L2
IPR004279	Perilipin	0.00709039407411036	-4.94901435830282	5	2	0.00392156862745098	510	18616	729359,440503	PLIN4,PLIN5
IPR004133	DAN	0.00709039407411036	-4.94901435830282	5	2	0.00392156862745098	510	18616	64388,26585	GREM2,GREM1
IPR020946	Flavin_mOase-like	0.00709039407411036	-4.94901435830282	5	2	0.00392156862745098	510	18616	2327,2326	FMO2,FMO1
IPR000960	Flavin_mOase	0.00709039407411036	-4.94901435830282	5	2	0.00392156862745098	510	18616	2327,2326	FMO2,FMO1
IPR001711	PLipase_C_Pinositol-sp_Y	0.00727482181056668	-4.92333595961744	15	3	0.00588235294117647	510	18616	113026,5330,51196	PLCD3,PLCB2,PLCE1
IPR001192	PI-PLC_fam	0.00727482181056668	-4.92333595961744	15	3	0.00588235294117647	510	18616	51196,5330,113026	PLCE1,PLCB2,PLCD3
IPR001304	C-type_lectin-like	0.00872929615680834	-4.74107053588507	85	7	0.0137254901960784	510	18616	348174,10143,26033,114780,57124,283971,497190	CLEC18A,CLEC3A,ATRNL1,PKD1L2,CD248,CLEC18C,CLEC18B
IPR013111	EGF_extracell	0.00877374944702211	-4.73599103294605	16	3	0.00588235294117647	510	18616	7143,26011,26033	TNR,TENM4,ATRNL1
