TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04020	Calcium signaling pathway	2.21216627052178e-05	-10.7189532166297	181	16	0.0842105263157895	190	7161	4638,775,2905,6546,5136,5260,5023,5330,113026,816,51196,2149,2911,886,107,9127	MYLK,CACNA1C,GRIN2C,SLC8A1,PDE1A,PHKG1,P2RX1,PLCB2,PLCD3,CAMK2B,PLCE1,F2R,GRM1,CCKAR,ADCY1,P2RX6
ko04020	Calcium signaling pathway	2.21216627052178e-05	-10.7189532166297	181	16	0.0842105263157895	190	7161	5330,113026,5260,5023,6546,5136,4638,775,2905,9127,2911,886,107,2149,816,51196	PLCB2,PLCD3,PHKG1,P2RX1,SLC8A1,PDE1A,MYLK,CACNA1C,GRIN2C,P2RX6,GRM1,CCKAR,ADCY1,F2R,CAMK2B,PLCE1
hsa03320	PPAR signaling pathway	0.00010834732770169	-9.13016849386068	72	9	0.0473684210526316	190	7161	3158,11001,729359,2173,364,5105,948,33,440503	HMGCS2,SLC27A2,PLIN4,FABP7,AQP7,PCK1,CD36,ACADL,PLIN5
ko03320	PPAR signaling pathway	0.00010834732770169	-9.13016849386068	72	9	0.0473684210526316	190	7161	2173,5105,364,948,33,440503,3158,11001,729359	FABP7,PCK1,AQP7,CD36,ACADL,PLIN5,HMGCS2,SLC27A2,PLIN4
hsa04024	cAMP signaling pathway	0.000750562380672297	-7.19468779152775	198	14	0.0736842105263158	190	7161	10398,2149,6755,84152,816,2891,64399,51196,775,2905,5295,482,107,2735	MYL9,F2R,SSTR5,PPP1R1B,CAMK2B,GRIA2,HHIP,PLCE1,CACNA1C,GRIN2C,PIK3R1,ATP1B2,ADCY1,GLI1
ko04024	cAMP signaling pathway	0.000750562380672297	-7.19468779152775	198	14	0.0736842105263158	190	7161	2905,775,51196,64399,816,2891,84152,6755,10398,2149,2735,107,5295,482	GRIN2C,CACNA1C,PLCE1,HHIP,CAMK2B,GRIA2,PPP1R1B,SSTR5,MYL9,F2R,GLI1,ADCY1,PIK3R1,ATP1B2
hsa00740	Riboflavin metabolism	0.000933167887703192	-6.97692542935721	8	3	0.0157894736842105	190	7161	5167,5169,54	ENPP1,ENPP3,ACP5
ko00740	Riboflavin metabolism	0.000933167887703192	-6.97692542935721	8	3	0.0157894736842105	190	7161	5167,5169,54	ENPP1,ENPP3,ACP5
ko04720	Long-term potentiation	0.00187700814457903	-6.27807618224012	67	7	0.0368421052631579	190	7161	775,2905,107,816,2911,2891,5330	CACNA1C,GRIN2C,ADCY1,CAMK2B,GRM1,GRIA2,PLCB2
hsa00010	Glycolysis / Gluconeogenesis	0.00187700814457903	-6.27807618224012	67	7	0.0368421052631579	190	7161	130589,5105,126,127,5224,130,125	GALM,PCK1,ADH1C,ADH4,PGAM2,ADH6,ADH1B
ko00010	Glycolysis / Gluconeogenesis	0.00187700814457903	-6.27807618224012	67	7	0.0368421052631579	190	7161	130589,5105,126,5224,127,130,125	GALM,PCK1,ADH1C,PGAM2,ADH4,ADH6,ADH1B
hsa04720	Long-term potentiation	0.00187700814457903	-6.27807618224012	67	7	0.0368421052631579	190	7161	5330,816,2891,2911,107,2905,775	PLCB2,CAMK2B,GRIA2,GRM1,ADCY1,GRIN2C,CACNA1C
hsa00982	Drug metabolism - cytochrome P450	0.0022273725840831	-6.10693260156486	69	7	0.0368421052631579	190	7161	2327,2326,127,126,125,130,2946	FMO2,FMO1,ADH4,ADH1C,ADH1B,ADH6,GSTM2
ko00982	Drug metabolism - cytochrome P450	0.0022273725840831	-6.10693260156486	69	7	0.0368421052631579	190	7161	126,2327,2326,127,130,2946,125	ADH1C,FMO2,FMO1,ADH4,ADH6,GSTM2,ADH1B
hsa04964	Proximal tubule bicarbonate reclamation	0.00286259246901402	-5.85602760703784	23	4	0.0210526315789474	190	7161	760,10991,482,5105	CA2,SLC38A3,ATP1B2,PCK1
ko04964	Proximal tubule bicarbonate reclamation	0.00286259246901402	-5.85602760703784	23	4	0.0210526315789474	190	7161	5105,760,482,10991	PCK1,CA2,ATP1B2,SLC38A3
ko04713	Circadian entrainment	0.00382944571429514	-5.56503520837899	96	8	0.0421052631578947	190	7161	2788,2905,775,5593,2891,816,5330,107	GNG7,GRIN2C,CACNA1C,PRKG2,GRIA2,CAMK2B,PLCB2,ADCY1
hsa04713	Circadian entrainment	0.00382944571429514	-5.56503520837899	96	8	0.0421052631578947	190	7161	5330,107,2788,816,2891,5593,775,2905	PLCB2,ADCY1,GNG7,CAMK2B,GRIA2,PRKG2,CACNA1C,GRIN2C
hsa00071	Fatty acid degradation	0.00585208129527692	-5.14095790404158	44	5	0.0263157894736842	190	7161	130,33,125,126,127	ADH6,ACADL,ADH1B,ADH1C,ADH4
ko00071	Fatty acid degradation	0.00585208129527692	-5.14095790404158	44	5	0.0263157894736842	190	7161	125,33,130,127,126	ADH1B,ACADL,ADH6,ADH4,ADH1C
hsa05414	Dilated cardiomyopathy	0.00913597487535312	-4.69553537614307	89	7	0.0368421052631579	190	7161	775,107,4634,6546,70,6445,6444	CACNA1C,ADCY1,MYL3,SLC8A1,ACTC1,SGCG,SGCD
ko05414	Dilated cardiomyopathy	0.00913597487535312	-4.69553537614307	89	7	0.0368421052631579	190	7161	107,775,6444,6445,4634,6546,70	ADCY1,CACNA1C,SGCD,SGCG,MYL3,SLC8A1,ACTC1
ko04015	Rap1 signaling pathway	0.00983911705098605	-4.62138930253485	210	12	0.0631578947368421	190	7161	9771,80310,3815,2149,5608,51196,2252,5330,5295,285,7057,107	RAPGEF5,PDGFD,KIT,F2R,MAP2K6,PLCE1,FGF7,PLCB2,PIK3R1,ANGPT2,THBS1,ADCY1
hsa04015	Rap1 signaling pathway	0.00983911705098605	-4.62138930253485	210	12	0.0631578947368421	190	7161	7057,285,107,5330,5295,2252,51196,80310,2149,3815,9771,5608	THBS1,ANGPT2,ADCY1,PLCB2,PIK3R1,FGF7,PLCE1,PDGFD,F2R,KIT,RAPGEF5,MAP2K6
hsa04724	Glutamatergic synapse	0.0106277659718505	-4.54428527128839	114	8	0.0421052631578947	190	7161	2891,2905,775,2788,2911,107,5330,10991	GRIA2,GRIN2C,CACNA1C,GNG7,GRM1,ADCY1,PLCB2,SLC38A3
ko04724	Glutamatergic synapse	0.0106277659718505	-4.54428527128839	114	8	0.0421052631578947	190	7161	107,2911,10991,5330,2905,775,2891,2788	ADCY1,GRM1,SLC38A3,PLCB2,GRIN2C,CACNA1C,GRIA2,GNG7
ko04022	cGMP-PKG signaling pathway	0.0112398313737741	-4.48829143696239	163	10	0.0526315789473684	190	7161	107,482,8654,5330,4638,775,5593,3764,10398,6546	ADCY1,ATP1B2,PDE5A,PLCB2,MYLK,CACNA1C,PRKG2,KCNJ8,MYL9,SLC8A1
hsa04022	cGMP-PKG signaling pathway	0.0112398313737741	-4.48829143696239	163	10	0.0526315789473684	190	7161	107,8654,5330,482,5593,775,4638,10398,6546,3764	ADCY1,PDE5A,PLCB2,ATP1B2,PRKG2,CACNA1C,MYLK,MYL9,SLC8A1,KCNJ8
ko00350	Tyrosine metabolism	0.0132223928697254	-4.32584345717642	35	4	0.0210526315789474	190	7161	125,130,127,126	ADH1B,ADH6,ADH4,ADH1C
hsa00350	Tyrosine metabolism	0.0132223928697254	-4.32584345717642	35	4	0.0210526315789474	190	7161	126,127,130,125	ADH1C,ADH4,ADH6,ADH1B
ko04971	Gastric acid secretion	0.0142637490595275	-4.25003399114984	75	6	0.0315789473684211	190	7161	816,4638,107,760,5330,482	CAMK2B,MYLK,ADCY1,CA2,PLCB2,ATP1B2
hsa04971	Gastric acid secretion	0.0142637490595275	-4.25003399114984	75	6	0.0315789473684211	190	7161	816,4638,107,760,5330,482	CAMK2B,MYLK,ADCY1,CA2,PLCB2,ATP1B2
ko04072	Phospholipase D signaling pathway	0.0147589544491181	-4.21590529909947	145	9	0.0473684210526316	190	7161	5295,5330,2549,107,2911,139189,2149,80310,3815	PIK3R1,PLCB2,GAB1,ADCY1,GRM1,DGKK,F2R,PDGFD,KIT
hsa04072	Phospholipase D signaling pathway	0.0147589544491181	-4.21590529909947	145	9	0.0473684210526316	190	7161	139189,2149,3815,80310,2911,107,5330,2549,5295	DGKK,F2R,KIT,PDGFD,GRM1,ADCY1,PLCB2,GAB1,PIK3R1
ko04080	Neuroactive ligand-receptor interaction	0.0147912774794252	-4.21371763145094	276	14	0.0736842105263158	190	7161	2905,27334,4987,2891,2147,6755,8001,2149,5023,886,2911,9127,5745,2359	GRIN2C,P2RY10,OPRL1,GRIA2,F2,SSTR5,GLRA3,F2R,P2RX1,CCKAR,GRM1,P2RX6,PTH1R,FPR3
hsa04080	Neuroactive ligand-receptor interaction	0.0147912774794252	-4.21371763145094	276	14	0.0736842105263158	190	7161	8001,2149,6755,2147,2891,4987,27334,2905,2359,5745,9127,2911,886,5023	GLRA3,F2R,SSTR5,F2,GRIA2,OPRL1,P2RY10,GRIN2C,FPR3,PTH1R,P2RX6,GRM1,CCKAR,P2RX1
ko05205	Proteoglycans in cancer	0.0189584175043159	-3.9655072506009	203	11	0.0578947368421053	190	7161	51196,816,2317,3549,8325,7057,288,5295,6382,81578,2549	PLCE1,CAMK2B,FLNB,IHH,FZD8,THBS1,ANK3,PIK3R1,SDC1,COL21A1,GAB1
hsa05205	Proteoglycans in cancer	0.0189584175043159	-3.9655072506009	203	11	0.0578947368421053	190	7161	7057,288,5295,6382,81578,2549,51196,816,2317,3549,8325	THBS1,ANK3,PIK3R1,SDC1,COL21A1,GAB1,PLCE1,CAMK2B,FLNB,IHH,FZD8
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0.0195317204952665	-3.93571544297796	22	3	0.0157894736842105	190	7161	51196,113026,5330	PLCE1,PLCD3,PLCB2
hsa_M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0.0195317204952665	-3.93571544297796	22	3	0.0157894736842105	190	7161	113026,5330,51196	PLCD3,PLCB2,PLCE1
ko04742	Taste transduction	0.0213264676611932	-3.84780636447001	82	6	0.0315789473684211	190	7161	2911,6326,775,5330,5136,80835	GRM1,SCN2A,CACNA1C,PLCB2,PDE1A,TAS1R1
hsa04742	Taste transduction	0.0213264676611932	-3.84780636447001	82	6	0.0315789473684211	190	7161	5136,80835,5330,775,6326,2911	PDE1A,TAS1R1,PLCB2,CACNA1C,SCN2A,GRM1
hsa05410	Hypertrophic cardiomyopathy (HCM)	0.0224985389134015	-3.79430490906243	83	6	0.0315789473684211	190	7161	775,6444,6445,4634,6546,70	CACNA1C,SGCD,SGCG,MYL3,SLC8A1,ACTC1
ko05410	Hypertrophic cardiomyopathy (HCM)	0.0224985389134015	-3.79430490906243	83	6	0.0315789473684211	190	7161	775,6444,6445,70,6546,4634	CACNA1C,SGCD,SGCG,ACTC1,SLC8A1,MYL3
hsa04911	Insulin secretion	0.0249714041703382	-3.69002394197686	85	6	0.0315789473684211	190	7161	886,816,107,775,5330,482	CCKAR,CAMK2B,ADCY1,CACNA1C,PLCB2,ATP1B2
ko00072	Synthesis and degradation of ketone bodies	0.0273930564264517	-3.59746571279615	10	2	0.0105263157894737	190	7161	3158,54511	HMGCS2,HMGCLL1
hsa00072	Synthesis and degradation of ketone bodies	0.0273930564264517	-3.59746571279615	10	2	0.0105263157894737	190	7161	54511,3158	HMGCLL1,HMGCS2
hsa04924	Renin secretion	0.0285519826662834	-3.55602889988737	65	5	0.0263157894736842	190	7161	5593,775,22802,5330,5136	PRKG2,CACNA1C,CLCA4,PLCB2,PDE1A
ko04924	Renin secretion	0.0285519826662834	-3.55602889988737	65	5	0.0263157894736842	190	7161	22802,5330,5136,5593,775	CLCA4,PLCB2,PDE1A,PRKG2,CACNA1C
hsa00830	Retinol metabolism	0.0285519826662834	-3.55602889988737	65	5	0.0263157894736842	190	7161	125,130,216,127,126	ADH1B,ADH6,ALDH1A1,ADH4,ADH1C
ko00830	Retinol metabolism	0.0285519826662834	-3.55602889988737	65	5	0.0263157894736842	190	7161	125,130,216,127,126	ADH1B,ADH6,ALDH1A1,ADH4,ADH1C
hsa04371	Apelin signaling pathway	0.0300755550455632	-3.50404256191137	138	8	0.0421052631578947	190	7161	107,4634,5330,4638,3714,1490,2788,6546	ADCY1,MYL3,PLCB2,MYLK,JAG2,CCN2,GNG7,SLC8A1
hsa_M00678	Hedgehog signaling	0.0329043589041481	-3.41415014049898	11	2	0.0105263157894737	190	7161	2735,3549	GLI1,IHH
M00678	Hedgehog signaling	0.0329043589041481	-3.41415014049898	11	2	0.0105263157894737	190	7161	2735,3549	GLI1,IHH
hsa05031	Amphetamine addiction	0.0338372709192778	-3.38619239408967	68	5	0.0263157894736842	190	7161	816,2891,2905,775,84152	CAMK2B,GRIA2,GRIN2C,CACNA1C,PPP1R1B
ko05031	Amphetamine addiction	0.0338372709192778	-3.38619239408967	68	5	0.0263157894736842	190	7161	775,2905,816,2891,84152	CACNA1C,GRIN2C,CAMK2B,GRIA2,PPP1R1B
hsa04919	Thyroid hormone signaling pathway	0.0342071775081912	-3.37531978827236	116	7	0.0368421052631579	190	7161	51196,10231,5330,113026,482,53919,5295	PLCE1,RCAN2,PLCB2,PLCD3,ATP1B2,SLCO1C1,PIK3R1
hsa04961	Endocrine and other factor-regulated calcium reabsorption	0.0352831366424693	-3.34435014469608	47	4	0.0210526315789474	190	7161	5745,6546,5330,482	PTH1R,SLC8A1,PLCB2,ATP1B2
hsa04340	Hedgehog signaling pathway	0.0352831366424693	-3.34435014469608	47	4	0.0210526315789474	190	7161	2735,64399,2619,3549	GLI1,HHIP,GAS1,IHH
ko04340	Hedgehog signaling pathway	0.0352831366424693	-3.34435014469608	47	4	0.0210526315789474	190	7161	64399,2735,2619,3549	HHIP,GLI1,GAS1,IHH
ko04961	Endocrine and other factor-regulated calcium reabsorption	0.0352831366424693	-3.34435014469608	47	4	0.0210526315789474	190	7161	6546,5330,5745,482	SLC8A1,PLCB2,PTH1R,ATP1B2
