TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0015267	channel activity	9.82169641833438e-07	-13.8335017921539	460	30	0.0714285714285714	420	17306	1188,6326,9127,3787,2905,775,22802,3739,5023,2891,3249,6563,6327,364,3764,8001,9256,55283,2823,7881,41,89822,25769,60598,349149,121601,342125,6329,114780,360	CLCNKB,SCN2A,P2RX6,KCNS1,GRIN2C,CACNA1C,CLCA4,KCNA4,P2RX1,GRIA2,HPN,SLC14A1,SCN2B,AQP7,KCNJ8,GLRA3,TSPOAP1,MCOLN3,GPM6A,KCNAB1,ASIC1,KCNK17,SLC24A2,KCNK15,GJC3,ANO4,TMC3,SCN4A,PKD1L2,AQP3
GO:0022803	passive transmembrane transporter activity	1.02735912606277e-06	-13.7885190035641	461	30	0.0714285714285714	420	17306	6327,2891,3249,6563,2823,55283,9256,3764,8001,364,89822,25769,60598,41,7881,360,6329,114780,349149,121601,342125,1188,6326,2905,3787,9127,22802,775,5023,3739	SCN2B,GRIA2,HPN,SLC14A1,GPM6A,MCOLN3,TSPOAP1,KCNJ8,GLRA3,AQP7,KCNK17,SLC24A2,KCNK15,ASIC1,KCNAB1,AQP3,SCN4A,PKD1L2,GJC3,ANO4,TMC3,CLCNKB,SCN2A,GRIN2C,KCNS1,P2RX6,CLCA4,CACNA1C,P2RX1,KCNA4
GO:0015318	inorganic molecular entity transmembrane transporter activity	1.3462204716392e-06	-13.5182095425034	812	43	0.102380952380952	420	17306	25769,89822,7881,342125,6329,53919,6327,23539,2891,220963,8001,22802,775,375611,482,3739,11001,1188,6508,2905,60598,41,360,121601,10396,10991,114780,3249,6563,9256,2823,55283,3764,364,6546,5172,5023,55089,6326,3787,55867,9127,30061	SLC24A2,KCNK17,KCNAB1,TMC3,SCN4A,SLCO1C1,SCN2B,SLC16A8,GRIA2,SLC16A9,GLRA3,CLCA4,CACNA1C,SLC26A5,ATP1B2,KCNA4,SLC27A2,CLCNKB,SLC4A3,GRIN2C,KCNK15,ASIC1,AQP3,ANO4,ATP8A1,SLC38A3,PKD1L2,HPN,SLC14A1,TSPOAP1,GPM6A,MCOLN3,KCNJ8,AQP7,SLC8A1,SLC26A4,P2RX1,SLC38A4,SCN2A,KCNS1,SLC22A11,P2RX6,SLC40A1
GO:0022857	transmembrane transporter activity	3.09602492679381e-06	-12.6853915509792	1042	50	0.119047619047619	420	17306	11001,3739,482,775,375611,22802,2030,5244,2905,6508,1188,6329,342125,349149,225,7881,89822,25769,7351,8001,2891,220963,788,23539,6327,53919,55089,5023,5172,6546,9899,30061,55867,9127,3787,6326,114780,10991,10396,121601,360,41,60598,3764,364,55283,2823,9256,3249,6563	SLC27A2,KCNA4,ATP1B2,CACNA1C,SLC26A5,CLCA4,SLC29A1,ABCB4,GRIN2C,SLC4A3,CLCNKB,SCN4A,TMC3,GJC3,ABCD2,KCNAB1,KCNK17,SLC24A2,UCP2,GLRA3,GRIA2,SLC16A9,SLC25A20,SLC16A8,SCN2B,SLCO1C1,SLC38A4,P2RX1,SLC26A4,SLC8A1,SV2B,SLC40A1,SLC22A11,P2RX6,KCNS1,SCN2A,PKD1L2,SLC38A3,ATP8A1,ANO4,AQP3,ASIC1,KCNK15,KCNJ8,AQP7,MCOLN3,GPM6A,TSPOAP1,HPN,SLC14A1
GO:0004024	alcohol dehydrogenase activity, zinc-dependent	1.12959391779511e-05	-11.3910672616161	7	4	0.00952380952380952	420	17306	127,130,126,125	ADH4,ADH6,ADH1C,ADH1B
GO:0005216	ion channel activity	1.16570558209702e-05	-11.3595989114157	417	26	0.0619047619047619	420	17306	9127,3787,2905,6326,1188,3739,5023,775,22802,3764,8001,2823,55283,9256,2891,3249,6327,6329,114780,342125,121601,41,7881,25769,60598,89822	P2RX6,KCNS1,GRIN2C,SCN2A,CLCNKB,KCNA4,P2RX1,CACNA1C,CLCA4,KCNJ8,GLRA3,GPM6A,MCOLN3,TSPOAP1,GRIA2,HPN,SCN2B,SCN4A,PKD1L2,TMC3,ANO4,ASIC1,KCNAB1,SLC24A2,KCNK15,KCNK17
GO:0022836	gated channel activity	1.29310551014336e-05	-11.2558787674707	345	23	0.0547619047619048	420	17306	342125,121601,6329,89822,60598,7881,41,9256,55283,3764,8001,6327,2891,3249,5023,3739,22802,775,3787,2905,9127,1188,6326	TMC3,ANO4,SCN4A,KCNK17,KCNK15,KCNAB1,ASIC1,TSPOAP1,MCOLN3,KCNJ8,GLRA3,SCN2B,GRIA2,HPN,P2RX1,KCNA4,CLCA4,CACNA1C,KCNS1,GRIN2C,P2RX6,CLCNKB,SCN2A
GO:0030247	polysaccharide binding	1.40178219049951e-05	-11.175181044704	23	6	0.0142857142857143	420	17306	157869,5167,348174,283971,5169,497190	SBSPON,ENPP1,CLEC18A,CLEC18C,ENPP3,CLEC18B
GO:0022839	ion gated channel activity	2.50881844398713e-05	-10.5931135621065	335	22	0.0523809523809524	420	17306	1188,6326,2905,3787,9127,22802,775,5023,3739,6327,2891,3249,9256,55283,8001,3764,89822,60598,7881,41,121601,6329	CLCNKB,SCN2A,GRIN2C,KCNS1,P2RX6,CLCA4,CACNA1C,P2RX1,KCNA4,SCN2B,GRIA2,HPN,TSPOAP1,MCOLN3,GLRA3,KCNJ8,KCNK17,KCNK15,KCNAB1,ASIC1,ANO4,SCN4A
GO:0005215	transporter activity	3.04100663086294e-05	-10.4007368757897	1165	51	0.121428571428571	420	17306	482,11001,3739,22802,338,775,375611,2905,2030,5244,1188,6508,6329,349149,342125,7351,89822,25769,225,7881,8001,6327,53919,220963,2891,788,23539,5023,55089,5172,6546,9899,3787,30061,9127,55867,6326,360,114780,10991,10396,121601,60598,41,9256,55283,2823,3764,364,6563,3249	ATP1B2,SLC27A2,KCNA4,CLCA4,APOB,CACNA1C,SLC26A5,GRIN2C,SLC29A1,ABCB4,CLCNKB,SLC4A3,SCN4A,GJC3,TMC3,UCP2,KCNK17,SLC24A2,ABCD2,KCNAB1,GLRA3,SCN2B,SLCO1C1,SLC16A9,GRIA2,SLC25A20,SLC16A8,P2RX1,SLC38A4,SLC26A4,SLC8A1,SV2B,KCNS1,SLC40A1,P2RX6,SLC22A11,SCN2A,AQP3,PKD1L2,SLC38A3,ATP8A1,ANO4,KCNK15,ASIC1,TSPOAP1,MCOLN3,GPM6A,KCNJ8,AQP7,SLC14A1,HPN
