TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00837	V5TPXLIKE	0.000973344701815838	-6.93477227149049	15	4	0.0273972602739726	146	4648	497190,283971,83690,348174	CLEC18B,CLEC18C,CRISPLD1,CLEC18A
PR00387	PDIESTERASE1	0.00250603755498817	-5.98905243659175	19	4	0.0273972602739726	146	4648	5136,27115,8654,8622	PDE1A,PDE7B,PDE5A,PDE8B
PR00214	MYELINPLP	0.00287962219364697	-5.85009617620096	3	2	0.0136986301369863	146	4648	2824,2823	GPM6B,GPM6A
PR00370	FMOXYGENASE	0.00920760886167576	-4.68772508656254	5	2	0.0136986301369863	146	4648	2327,2326	FMO2,FMO1
PR00390	PHPHLIPASEC	0.0104666550892726	-4.5595607808571	15	3	0.0205479452054795	146	4648	5330,51196,113026	PLCB2,PLCE1,PLCD3
PR00007	COMPLEMNTC1Q	0.0120420868583658	-4.41934752701407	29	4	0.0273972602739726	146	4648	390664,114905,338761,10882	C1QTNF8,C1QTNF7,C1QL4,C1QL1
PR01095	TASKCHANNEL	0.0135281611209891	-4.30298175727131	6	2	0.0136986301369863	146	4648	60598,89822	KCNK15,KCNK17
PR01307	P2XRECEPTOR	0.0185519898317402	-3.98717822712413	7	2	0.0136986301369863	146	4648	5023,9127	P2RX1,P2RX6
PR00465	EP450IV	0.0305204333515488	-3.48935887372996	9	2	0.0136986301369863	146	4648	5740,51302	PTGIS,CYP39A1
PR01243	NUCDPKINASE	0.0305204333515488	-3.48935887372996	9	2	0.0136986301369863	146	4648	8382,347736	NME5,NME9
PR01189	ANIONEXHNGR3	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	6508	SLC4A3
PR01121	FMOXYGENASE1	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	2326	FMO1
PR01558	CHEMOKINER11	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	51554	ACKR4
PR01261	TAUPROTEIN	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	4137	MAPT
PR01212	ASYNUCLEIN	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	6622	SNCA
PR01146	GPR1ORPHANR	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	2825	GPR1
PR00591	SOMATOSTTN5R	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	6755	SSTR5
PR01051	MTABOTROPC1R	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	2911	GRM1
PR01578	KCNAB1CHANEL	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	7881	KCNAB1
PR02015	AQUAPORIN3	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	360	AQP3
PR01676	GLYRALPHA3	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	8001	GLRA3
PR01690	TASK5CHANNEL	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	60598	KCNK15
PR01505	PROTHROMBIN	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	2147	F2
PR01665	NACHANNEL4	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	6329	SCN4A
PR00393	PTRHORMONER	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	5745	PTH1R
PR01083	LYMPHSPCIFIC	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	4046	LSP1
PR01790	SMP30FAMILY	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	9104	RGN
PR01331	KIR61CHANNEL	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	3764	KCNJ8
PR01511	KV14CHANNEL	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	3739	KCNA4
PR00139	ASNGLNASE	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	374569	ASPG
PR02043	CANCERSCCP1	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	55259	CASC1
PR01812	ANNEXINXXXI	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	8416	ANXA9
PR02111	MRGPCRE	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	116534	MRGPRE
PR01260	NACAEXCHNGR1	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	6546	SLC8A1
PR01313	P2X6RECEPTOR	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	9127	P2RX6
PR00908	THROMBINR	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	2149	F2R
PR01122	FMOXYGENASE2	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	2327	FMO2
PR01703	MNSODISMTASE	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	6648	SOD2
PR00547	XOPIOIDR	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	4987	OPRL1
PR01791	REGUCALCIN	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	9104	RGN
PR00524	CCYSTOKNINAR	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	886	CCKAR
PR01635	LVDCCALPHA1C	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	775	CACNA1C
PR01308	P2X1RECEPTOR	0.0314113597245176	-3.46058567682644	1	1	0.00684931506849315	146	4648	5023	P2RX1
PR00170	NACHANNEL	0.0373761213917561	-3.28672324392859	10	2	0.0136986301369863	146	4648	6329,6326	SCN4A,SCN2A
PR00888	SM22CALPONIN	0.0447570475697328	-3.10650635906935	11	2	0.0136986301369863	146	4648	6876,4008	TAGLN,LMO7
PR01049	PHOSPHBKNASE	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	5260	PHKG1
PR02059	JAGGEDFAMILY	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	3714	JAG2
PR01838	NCAMFAMILY	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	4684	NCAM1
PR00002	GLABONE	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	4256	MGP
PR00104	CGMPKINASE	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	5593	PRKG2
PR01610	CD36ANTIGEN	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	948	CD36
PR01119	CLCHANNELKDY	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	1188	CLCNKB
PR01822	CCYSTOKININR	0.0618425930959994	-2.78316294324059	2	1	0.00684931506849315	146	4648	886	CCKAR
PR00704	CALPAIN	0.0696679934768483	-2.66401427074457	14	2	0.0136986301369863	146	4648	827,11131	CAPN6,CAPN11
PR00248	GPCRMGR	0.0696679934768483	-2.66401427074457	14	2	0.0136986301369863	146	4648	2911,80835	GRM1,TAS1R1
PR00783	MINTRINSICP	0.0696679934768483	-2.66401427074457	14	2	0.0136986301369863	146	4648	364,360	AQP7,AQP3
PR01333	2POREKCHANEL	0.0787758916911198	-2.54114827193451	15	2	0.0136986301369863	146	4648	89822,60598	KCNK17,KCNK15
PR01211	SYNUCLEIN	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	6622	SNCA
PR01259	NACAEXCHNGR	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	6546	SLC8A1
PR02031	CYSSERRICHNP	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	80034	CSRNP3
PR01577	KCNABCHANNEL	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	7881	KCNAB1
PR00165	ANIONEXCHNGR	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	6508	SLC4A3
PR01609	CD36FAMILY	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	948	CD36
PR00592	CASENSINGR	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	80835	TAS1R1
PR00632	SONICHHOG	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	3549	IHH
PR00255	NATPEPTIDER	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	4883	NPR3
PR01293	RORNUCRECPTR	0.0913240785482865	-2.39334079615967	3	1	0.00684931506849315	146	4648	6097	RORC
PR00399	SYNAPTOTAGMN	0.0980030085007509	-2.32275710179552	17	2	0.0136986301369863	146	4648	90019,127833	SYT8,SYT2
PR00177	NMDARECEPTOR	0.108062868702122	-2.22504210361041	18	2	0.0136986301369863	146	4648	2905,2891	GRIN2C,GRIA2
PR00970	RIBTRNSFRASE	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	116969	ART5
PR00345	STATHMIN	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	11075	STMN2
PR00372	FYWHYDRXLASE	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	5053	PAH
PR01130	DERENTRNSPRT	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	2030	SLC29A1
PR01428	PROTEASEAR	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	2149	F2R
PR00384	OPIOIDR	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	4987	OPRL1
PR01673	GLYRALPHA	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	8001	GLRA3
PR00466	GP91PHOX	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	50507	NOX4
PR01630	LVDCCALPHA1	0.119885259286633	-2.12122016623612	4	1	0.00684931506849315	146	4648	775	CACNA1C
PR00764	COMPLEMENTC9	0.147554671894402	-1.91355651496736	5	1	0.00684931506849315	146	4648	730	C7
PR01433	POLYCYSTIN2	0.147554671894402	-1.91355651496736	5	1	0.00684931506849315	146	4648	114780	PKD1L2
PR01267	GSTRNSFRASEM	0.147554671894402	-1.91355651496736	5	1	0.00684931506849315	146	4648	2946	GSTM2
PR00022	SOMATOMEDINB	0.147554671894402	-1.91355651496736	5	1	0.00684931506849315	146	4648	5167	ENPP1
PR00246	SOMATOSTATNR	0.147554671894402	-1.91355651496736	5	1	0.00684931506849315	146	4648	6755	SSTR5
PR01850	GROUCHOFAMLY	0.147554671894402	-1.91355651496736	5	1	0.00684931506849315	146	4648	79816	TLE6
PR00213	MYELINP0	0.174359974048885	-1.74663330044836	6	1	0.00684931506849315	146	4648	6327	SCN2B
PR00373	GLYCHORMONER	0.174359974048885	-1.74663330044836	6	1	0.00684931506849315	146	4648	8549	LGR5
PR00109	TYRKINASE	0.193718033217656	-1.64135161420536	98	5	0.0342465753424658	146	4648	2044,2051,7786,2042,2049	EPHA5,EPHB6,MAP3K12,EPHA3,EPHB3
PR01494	KV9CHANNEL	0.20032797141852	-1.60779939843902	7	1	0.00684931506849315	146	4648	3787	KCNS1
PR00412	EPOXHYDRLASE	0.20032797141852	-1.60779939843902	7	1	0.00684931506849315	146	4648	4232	MEST
PR00094	ADENYLTKNASE	0.20032797141852	-1.60779939843902	7	1	0.00684931506849315	146	4648	26289	AK5
PR00747	GLYHDRLASE47	0.20032797141852	-1.60779939843902	7	1	0.00684931506849315	146	4648	57134	MAN1C1
PR01491	KVCHANNEL	0.207472837316429	-1.57275485237926	27	2	0.0136986301369863	146	4648	3787,3739	KCNS1,KCNA4
PR00619	GATAZNFINGER	0.225484643727819	-1.48950322112622	8	1	0.00684931506849315	146	4648	2625	GATA3
PR00299	ACRYSTALLIN	0.225484643727819	-1.48950322112622	8	1	0.00684931506849315	146	4648	126393	HSPB6
PR00784	MTUNCOUPLING	0.225484643727819	-1.48950322112622	8	1	0.00684931506849315	146	4648	7351	UCP2
PR01011	GLUTPROXDASE	0.225484643727819	-1.48950322112622	8	1	0.00684931506849315	146	4648	2878	GPX3
PR00593	MTABOTROPICR	0.225484643727819	-1.48950322112622	8	1	0.00684931506849315	146	4648	2911	GRM1
PR01496	SHAKERCHANEL	0.225484643727819	-1.48950322112622	8	1	0.00684931506849315	146	4648	3739	KCNA4
PR02108	MRGPCRFAMILY	0.249855170023417	-1.38687384889684	9	1	0.00684931506849315	146	4648	116534	MRGPRE
PR00167	CACHANNEL	0.249855170023417	-1.38687384889684	9	1	0.00684931506849315	146	4648	775	CACNA1C
PR00762	CLCHANNEL	0.249855170023417	-1.38687384889684	9	1	0.00684931506849315	146	4648	1188	CLCNKB
PR01078	AMINACHANNEL	0.249855170023417	-1.38687384889684	9	1	0.00684931506849315	146	4648	41	ASIC1
PR01248	TYPE1KERATIN	0.266104820398046	-1.32386498617555	32	2	0.0136986301369863	146	4648	125113,5630	KRT222,PRPH
PR01231	HCO3TRNSPORT	0.273463953205506	-1.29658546395796	10	1	0.00684931506849315	146	4648	6508	SLC4A3
PR00457	ANPEROXIDASE	0.273463953205506	-1.29658546395796	10	1	0.00684931506849315	146	4648	4353	MPO
PR00794	RIBONUCLEASE	0.273463953205506	-1.29658546395796	10	1	0.00684931506849315	146	4648	6035	RNASE1
PR00756	ALADIPTASE	0.296334643769124	-1.2162659099781	11	1	0.00684931506849315	146	4648	206338	LVRN
PR00489	FRIZZLED	0.296334643769124	-1.2162659099781	11	1	0.00684931506849315	146	4648	8325	FZD8
PR00001	GLABLOOD	0.318490162855219	-1.14416369030178	12	1	0.00684931506849315	146	4648	2147	F2
PR00321	GPROTEING	0.339952724594066	-1.0789487163512	13	1	0.00684931506849315	146	4648	2788	GNG7
PR00196	ANNEXIN	0.339952724594066	-1.0789487163512	13	1	0.00684931506849315	146	4648	8416	ANXA9
PR00289	DISINTEGRIN	0.339952724594066	-1.0789487163512	13	1	0.00684931506849315	146	4648	80332	ADAM33
PR01367	BGCRYSTALLIN	0.380884426765096	-0.965259291696768	15	1	0.00684931506849315	146	4648	155051	CRYGN
PR00463	EP450I	0.393503634634839	-0.932664974484137	43	2	0.0136986301369863	146	4648	260293,66002	CYP4X1,CYP4F12
PR00249	GPCRSECRETIN	0.393503634634839	-0.932664974484137	43	2	0.0136986301369863	146	4648	5745,139378	PTH1R,ADGRG4
PR00401	SH2DOMAIN	0.395343283885354	-0.92800081837893	72	3	0.0205479452054795	146	4648	5295,1154,4068	PIK3R1,CISH,SH2D1A
PR00661	ERMFAMILY	0.400394652037841	-0.915304588179119	16	1	0.00684931506849315	146	4648	2036	EPB41L1
PR00657	CCCHEMOKINER	0.400394652037841	-0.915304588179119	16	1	0.00684931506849315	146	4648	51554	ACKR4
PR00178	FATTYACIDBP	0.400394652037841	-0.915304588179119	16	1	0.00684931506849315	146	4648	5375	PMP2
PR01320	KIRCHANNEL	0.400394652037841	-0.915304588179119	16	1	0.00684931506849315	146	4648	3764	KCNJ8
PR00380	KINESINHEAVY	0.404668782572582	-0.904686367281913	44	2	0.0136986301369863	146	4648	113220,3798	KIF12,KIF5A
PR00765	CRBOXYPTASEA	0.419294129756976	-0.869182625006031	17	1	0.00684931506849315	146	4648	51200	CPA4
PR00263	HBGFFGF	0.437601851001002	-0.826445797990712	18	1	0.00684931506849315	146	4648	2252	FGF7
PR00206	CONNEXIN	0.472515073553761	-0.749685630856107	20	1	0.00684931506849315	146	4648	349149	GJC3
PR00008	DAGPEDOMAIN	0.48915569569494	-0.715074444080376	21	1	0.00684931506849315	146	4648	1124	CHN2
PR00081	GDHRDH	0.500251703806972	-0.692643899613106	53	2	0.0136986301369863	146	4648	55825,51171	PECR,HSD17B14
PR00385	P450	0.500251703806972	-0.692643899613106	53	2	0.0136986301369863	146	4648	260293,66002	CYP4X1,CYP4F12
PR00190	ACTIN	0.520888731372831	-0.652218827460129	23	1	0.00684931506849315	146	4648	70	ACTC1
PR00261	LDLRECEPTOR	0.520888731372831	-0.652218827460129	23	1	0.00684931506849315	146	4648	6768	ST14
