TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50092	TSP1	1.02928950728759e-06	-13.7866417924933	64	11	0.0335365853658537	328	12079	10417,730,157869,3491,343637,8839,7057,9719,340419,1490,140862	SPON2,C7,SBSPON,CCN1,RSPO4,CCN5,THBS1,ADAMTSL2,RSPO2,CCN2,ISM1
PS00059	ADH_ZINC	3.42819001327615e-05	-10.2808930359937	8	4	0.0121951219512195	328	12079	125,126,130,127	ADH1B,ADH1C,ADH6,ADH4
PS01186	EGF_2	6.64983562464206e-05	-9.6183333287069	212	17	0.0518292682926829	328	12079	7057,2042,57124,3714,79633,7143,497190,5649,348174,283971,26011,730,80332,26033,64399,2044,57451	THBS1,EPHA3,CD248,JAG2,FAT4,TNR,CLEC18B,RELN,CLEC18A,CLEC18C,TENM4,C7,ADAM33,ATRNL1,HHIP,EPHA5,TENM2
PS50853	FN3	7.32704401043973e-05	-9.52135330319931	193	16	0.0487804878048781	328	12079	2051,64856,2049,9256,10290,2044,1271,221091,84033,4684,9796,2042,4638,4352,80063,7143	EPHB6,VWA1,EPHB3,TSPOAP1,SPEG,EPHA5,CNTFR,LRRN4CL,OBSCN,NCAM1,PHYHIP,EPHA3,MYLK,MPL,ATF7IP2,TNR
PS00790	RECEPTOR_TYR_KIN_V_1	0.00043070116734647	-7.75009605556084	14	4	0.0121951219512195	328	12079	2044,2051,2049,2042	EPHA5,EPHB6,EPHB3,EPHA3
PS51550	EPH_LBD	0.00043070116734647	-7.75009605556084	14	4	0.0121951219512195	328	12079	2044,2051,2049,2042	EPHA5,EPHB6,EPHB3,EPHA3
PS00791	RECEPTOR_TYR_KIN_V_2	0.00043070116734647	-7.75009605556084	14	4	0.0121951219512195	328	12079	2042,2049,2051,2044	EPHA3,EPHB3,EPHB6,EPHA5
PS50184	VWFC_2	0.0013610453570443	-6.59950222960485	31	5	0.0152439024390244	328	12079	3714,8839,3491,7057,1490	JAG2,CCN5,CCN1,THBS1,CCN2
PS50958	SMB_2	0.00206582123633891	-6.18222743848577	10	3	0.00914634146341463	328	12079	5169,5167,157869	ENPP3,ENPP1,SBSPON
PS00524	SMB_1	0.00206582123633891	-6.18222743848577	10	3	0.00914634146341463	328	12079	5169,157869,5167	ENPP3,SBSPON,ENPP1
PS00575	MYELIN_PLP_1	0.00216585940308822	-6.13493804336507	3	2	0.00609756097560976	328	12079	2824,2823	GPM6B,GPM6A
PS01004	MYELIN_PLP_2	0.00216585940308822	-6.13493804336507	3	2	0.00609756097560976	328	12079	2823,2824	GPM6A,GPM6B
PS51845	PDEASE_I_2	0.00221613192122172	-6.11199198063178	21	4	0.0121951219512195	328	12079	8622,8654,5136,27115	PDE8B,PDE5A,PDE1A,PDE7B
PS00126	PDEASE_I_1	0.00221613192122172	-6.11199198063178	21	4	0.0121951219512195	328	12079	27115,5136,8654,8622	PDE7B,PDE1A,PDE5A,PDE8B
PS00222	IGFBP_N_1	0.00278370238796192	-5.88397344310002	11	3	0.00914634146341463	328	12079	1490,8839,3491	CCN2,CCN5,CCN1
PS00022	EGF_1	0.00282221973472408	-5.87023156369123	174	12	0.0365853658536585	328	12079	64399,26033,730,57451,26011,283971,348174,5649,497190,7143,3714,79633	HHIP,ATRNL1,C7,TENM2,TENM4,CLEC18C,CLEC18A,RELN,CLEC18B,TNR,JAG2,FAT4
PS51361	TENEURIN_N	0.00425394052402249	-5.45990954349071	4	2	0.00609756097560976	328	12079	57451,26011	TENM2,TENM4
PS50026	EGF_3	0.00699255632939229	-4.96290907723347	195	12	0.0365853658536585	328	12079	26033,64399,7057,80332,26011,57451,283971,348174,5649,497190,79633,3714	ATRNL1,HHIP,THBS1,ADAM33,TENM4,TENM2,CLEC18C,CLEC18A,RELN,CLEC18B,FAT4,JAG2
PS50008	PIPLC_Y_DOMAIN	0.00708241632290567	-4.9501401409562	15	3	0.00914634146341463	328	12079	5330,51196,113026	PLCB2,PLCE1,PLCD3
PS50041	C_TYPE_LECTIN_2	0.00774569239131442	-4.8606184106179	84	7	0.0213414634146341	328	12079	348174,497190,57124,283971,10143,114780,26033	CLEC18A,CLEC18B,CD248,CLEC18C,CLEC3A,PKD1L2,ATRNL1
PS01208	VWFC_1	0.00837823377621954	-4.78211815326345	30	4	0.0121951219512195	328	12079	8839,7057,3491,1490	CCN5,THBS1,CCN1,CCN2
PS50820	LCCL	0.0102576348978219	-4.57973298259408	6	2	0.00609756097560976	328	12079	5212,83690	VIT,CRISPLD1
PS51406	FIBRINOGEN_C_2	0.0105378323474733	-4.55278341665228	32	4	0.0121951219512195	328	12079	285,10218,23452,7143	ANGPT2,ANGPTL7,ANGPTL2,TNR
PS50871	C1Q	0.0117404725391749	-4.44471321503659	33	4	0.0121951219512195	328	12079	114905,10882,390664,338761	C1QTNF7,C1QL1,C1QTNF8,C1QL4
PS50007	PIPLC_X_DOMAIN	0.0119608790050344	-4.42611403775609	18	3	0.00914634146341463	328	12079	113026,5330,51196	PLCD3,PLCB2,PLCE1
PS50023	LIM_DOMAIN_2	0.013326550305486	-4.31799697007039	72	6	0.0182926829268293	328	12079	7739,144165,9457,4008,56956,2273	ZNF185,PRICKLE1,FHL5,LMO7,LHX9,FHL1
PS00478	LIM_DOMAIN_1	0.013326550305486	-4.31799697007039	72	6	0.0182926829268293	328	12079	2273,56956,7739,4008,9457,144165	FHL1,LHX9,ZNF185,LMO7,FHL5,PRICKLE1
PS01130	SLC26A	0.014104577099371	-4.26125591729804	7	2	0.00609756097560976	328	12079	5172,375611	SLC26A4,SLC26A5
PS01212	P2X_RECEPTOR	0.014104577099371	-4.26125591729804	7	2	0.00609756097560976	328	12079	5023,9127	P2RX1,P2RX6
PS51412	MACPF_2	0.014104577099371	-4.26125591729804	7	2	0.00609756097560976	328	12079	219972,730	MPEG1,C7
PS01225	CTCK_2	0.016056181279355	-4.1316613771087	20	3	0.00914634146341463	328	12079	64388,1490,3491	GREM2,CCN2,CCN1
PS51323	IGFBP_N_2	0.016056181279355	-4.1316613771087	20	3	0.00914634146341463	328	12079	3491,8839,1490	CCN1,CCN5,CCN2
PS50105	SAM_DOMAIN	0.0180865221923842	-4.01258824834019	77	6	0.0182926829268293	328	12079	2049,148398,2042,51283,2044,2051	EPHB3,SAMD11,EPHA3,BFAR,EPHA5,EPHB6
PS51450	LRR	0.0193704485256219	-3.94400664614614	198	11	0.0335365853658537	328	12079	339398,84894,929,9865,79442,79883,84189,4958,146760,8549,54829	LINGO4,LINGO1,CD14,TRIL,LRRC2,PODNL1,SLITRK6,OMD,RTN4RL1,LGR5,ASPN
PS00547	TRANSGLUTAMINASES	0.0233274350248575	-3.75812514220528	9	2	0.00609756097560976	328	12079	7053,2162	TGM3,F13A1
PS50835	IG_LIKE	0.0250835795594463	-3.685541847746	429	19	0.0579268292682927	328	12079	90273,4638,5133,147710,54587,84033,4684,339398,84894,2209,84866,2214,1271,9499,10290,3815,6327,285313,974	CEACAM21,MYLK,PDCD1,IGSF23,MXRA8,OBSCN,NCAM1,LINGO4,LINGO1,FCGR1A,TMEM25,FCGR3A,CNTFR,MYOT,SPEG,KIT,SCN2B,IGSF10,CD79B
PS00917	ASN_GLN_ASE_2	0.0271545657749825	-3.60621007823329	1	1	0.00304878048780488	328	12079	374569	ASPG
PS00545	ALDOSE_1_EPIMERASE	0.0271545657749825	-3.60621007823329	1	1	0.00304878048780488	328	12079	130589	GALM
