TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-71384	Ethanol oxidation	3.8898095622068e-06	-12.4571503572632	12	5	0.021551724137931	232	10287	125,130,127,216,126	ADH1B,ADH6,ADH4,ALDH1A1,ADH1C
R-HSA-397014	Muscle contraction	1.45846755442236e-05	-11.1355392007457	204	16	0.0689655172413793	232	10287	775,4638,482,7136,25802,4634,7140,6327,6329,6326,816,10398,89822,4632,60598,6546	CACNA1C,MYLK,ATP1B2,TNNI2,LMOD1,MYL3,TNNT3,SCN2B,SCN4A,SCN2A,CAMK2B,MYL9,KCNK17,MYL1,KCNK15,SLC8A1
R-HSA-211945	Phase 1 - Functionalization of compounds	3.32859552425366e-05	-10.3103750144339	109	11	0.0474137931034483	232	10287	5740,126,125,66002,216,64757,2326,130,2327,51302,127	PTGIS,ADH1C,ADH1B,CYP4F12,ALDH1A1,MARC1,FMO1,ADH6,FMO2,CYP39A1,ADH4
R-HSA-5632681	Ligand-receptor interactions	0.000583153756478746	-7.44705967314558	8	3	0.0129310344827586	232	10287	64399,2619,3549	HHIP,GAS1,IHH
R-HSA-418346	Platelet homeostasis	0.00100797745100285	-6.89980947962003	91	8	0.0344827586206897	232	10287	5136,2788,338,6546,8654,9127,5023,5593	PDE1A,GNG7,APOB,SLC8A1,PDE5A,P2RX6,P2RX1,PRKG2
R-HSA-382551	Transmembrane transport of small molecules	0.00131970617832526	-6.63034615933901	677	28	0.120689655172414	232	10287	816,41,55283,2030,55089,121601,30061,1188,53919,22802,10991,23539,5172,107,6546,5244,6508,225,79895,6563,25769,55867,364,360,482,8001,10396,2788	CAMK2B,ASIC1,MCOLN3,SLC29A1,SLC38A4,ANO4,SLC40A1,CLCNKB,SLCO1C1,CLCA4,SLC38A3,SLC16A8,SLC26A4,ADCY1,SLC8A1,ABCB4,SLC4A3,ABCD2,ATP8B4,SLC14A1,SLC24A2,SLC22A11,AQP7,AQP3,ATP1B2,GLRA3,ATP8A1,GNG7
R-HSA-4641263	Regulation of FZD by ubiquitination	0.00133935188155425	-6.61556945250752	22	4	0.0172413793103448	232	10287	8549,343637,8325,340419	LGR5,RSPO4,FZD8,RSPO2
R-HSA-217271	FMO oxidises nucleophiles	0.00149679580269206	-6.50442858719589	3	2	0.00862068965517241	232	10287	2326,2327	FMO1,FMO2
R-HSA-211859	Biological oxidations	0.0015531097074271	-6.46749609505236	222	13	0.0560344827586207	232	10287	64757,2326,51302,127,130,2327,2946,5740,126,2953,216,125,66002	MARC1,FMO1,CYP39A1,ADH4,ADH6,FMO2,GSTM2,PTGIS,ADH1C,GSTT2,ALDH1A1,ADH1B,CYP4F12
R-HSA-1430728	Metabolism	0.00244973594034748	-6.01177503968413	2158	67	0.288793103448276	232	10287	126,51477,5244,415,2946,2593,125,29881,374569,54511,5649,2953,5105,5166,151742,1490,64757,51196,107,127,23539,5295,130,375775,5740,147323,129807,5053,5169,2326,2788,5224,1149,760,33,788,7069,6382,3158,26289,338,4958,1757,5167,54,162466,775,7351,113026,57571,122618,8908,948,5260,216,51171,11001,165679,5330,2327,117245,10840,5593,66002,55825,2875,51302	ADH1C,ISYNA1,ABCB4,ARSE,GSTM2,GAMT,ADH1B,NPC1L1,ASPG,HMGCLL1,RELN,GSTT2,PCK1,PDK4,PPM1L,CCN2,MARC1,PLCE1,ADCY1,ADH4,SLC16A8,PIK3R1,ADH6,PNPLA7,PTGIS,STARD6,NEU4,PAH,ENPP3,FMO1,GNG7,PGAM2,CIDEA,CA2,ACADL,SLC25A20,THRSP,SDC1,HMGCS2,AK5,APOB,OMD,SARDH,ENPP1,ACP5,PHOSPHO1,CACNA1C,UCP2,PLCD3,CARNS1,PLD4,GYG2,CD36,PHKG1,ALDH1A1,HSD17B14,SLC27A2,SPTSSB,PLCB2,FMO2,PLAAT5,ALDH1L1,PRKG2,CYP4F12,PECR,GPT,CYP39A1
R-HSA-2029485	Role of phospholipids in phagocytosis	0.00255070480420902	-5.97138556419407	26	4	0.0172413793103448	232	10287	2209,2214,122618,5295	FCGR1A,FCGR3A,PLD4,PIK3R1
R-HSA-3781865	Diseases of glycosylation	0.00300900538896957	-5.80614569038549	85	7	0.0301724137931034	232	10287	7057,6382,143662,4958,9719,10417,157869	THBS1,SDC1,MUC15,OMD,ADAMTSL2,SPON2,SBSPON
R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	0.00337246131308862	-5.69211244123397	28	4	0.0172413793103448	232	10287	5330,122618,113026,51196	PLCB2,PLD4,PLCD3,PLCE1
R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	0.00342899056180983	-5.67548935796655	14	3	0.0129310344827586	232	10287	11001,5740,51302	SLC27A2,PTGIS,CYP39A1
R-HSA-1483249	Inositol phosphate metabolism	0.00396333562307674	-5.530669279216	47	5	0.021551724137931	232	10287	51196,51477,5330,122618,113026	PLCE1,ISYNA1,PLCB2,PLD4,PLCD3
R-HSA-5576892	Phase 0 - rapid depolarisation	0.00396333562307674	-5.530669279216	47	5	0.021551724137931	232	10287	816,6327,6329,775,6326	CAMK2B,SCN2B,SCN4A,CACNA1C,SCN2A
R-HSA-445095	Interaction between L1 and Ankyrins	0.00435793118949473	-5.43575783205322	30	4	0.0172413793103448	232	10287	288,6326,6327,6329	ANK3,SCN2A,SCN2B,SCN4A
R-HSA-5576891	Cardiac conduction	0.00481501117377866	-5.33601691311612	142	9	0.0387931034482759	232	10287	482,775,6326,89822,816,6546,6327,6329,60598	ATP1B2,CACNA1C,SCN2A,KCNK17,CAMK2B,SLC8A1,SCN2B,SCN4A,KCNK15
R-HSA-3000471	Scavenging by Class B Receptors	0.00484206272097249	-5.33041446702425	5	2	0.00862068965517241	232	10287	338,948	APOB,CD36
R-HSA-5686938	Regulation of TLR by endogenous ligand	0.00510278789111753	-5.27796824329082	16	3	0.0129310344827586	232	10287	948,929,338	CD36,CD14,APOB
R-HSA-438066	Unblocking of NMDA receptor, glutamate binding and activation	0.00609421773769722	-5.10041486920834	17	3	0.0129310344827586	232	10287	816,2891,2905	CAMK2B,GRIA2,GRIN2C
R-HSA-390522	Striated Muscle Contraction	0.00687495725801562	-4.97986985246474	34	4	0.0172413793103448	232	10287	4634,7140,4632,7136	MYL3,TNNT3,MYL1,TNNI2
R-HSA-8851907	MET activates PI3K/AKT signaling	0.00715540570899545	-4.93988716471678	6	2	0.00862068965517241	232	10287	2549,5295	GAB1,PIK3R1
R-HSA-418457	cGMP effects	0.00719278379094421	-4.93467700680751	18	3	0.0129310344827586	232	10287	5136,8654,5593	PDE1A,PDE5A,PRKG2
R-HSA-5083635	Defective B3GALTL causes Peters-plus syndrome (PpS)	0.00929018534512754	-4.67879677531908	37	4	0.0172413793103448	232	10287	10417,157869,9719,7057	SPON2,SBSPON,ADAMTSL2,THBS1
R-HSA-196843	Vitamin B2 (riboflavin) metabolism	0.00986931412736596	-4.61832491859308	7	2	0.00862068965517241	232	10287	54,5167	ACP5,ENPP1
R-HSA-3906995	Diseases associated with O-glycosylation of proteins	0.0104077154344238	-4.56520787918877	59	5	0.021551724137931	232	10287	157869,9719,10417,143662,7057	SBSPON,ADAMTSL2,SPON2,MUC15,THBS1
R-HSA-5173214	O-glycosylation of TSR domain-containing proteins	0.0111727792419246	-4.49427488378589	39	4	0.0172413793103448	232	10287	7057,10417,9719,157869	THBS1,SPON2,ADAMTSL2,SBSPON
R-HSA-112316	Neuronal System	0.0126271841464479	-4.37190331708494	349	15	0.0646551724137931	232	10287	83988,3739,3764,7881,89822,2891,816,2036,2788,3787,2905,107,5330,127833,9256	NCALD,KCNA4,KCNJ8,KCNAB1,KCNK17,GRIA2,CAMK2B,EPB41L1,GNG7,KCNS1,GRIN2C,ADCY1,PLCB2,SYT2,TSPOAP1
R-HSA-140875	Common Pathway of Fibrin Clot Formation	0.0127057911016894	-4.36569739719146	22	3	0.0129310344827586	232	10287	2149,2147,2162	F2R,F2,F13A1
R-HSA-77111	Synthesis of Ketone Bodies	0.0129647009171771	-4.34552492873603	8	2	0.00862068965517241	232	10287	54511,3158	HMGCLL1,HMGCS2
R-HSA-442755	Activation of NMDA receptor upon glutamate binding and postsynaptic events	0.01328498443698	-4.32112087124414	41	4	0.0172413793103448	232	10287	2905,816,2891,107	GRIN2C,CAMK2B,GRIA2,ADCY1
R-HSA-5365859	RA biosynthesis pathway	0.0143727212140153	-4.24242322910743	23	3	0.0129310344827586	232	10287	126,216,127	ADH1C,ALDH1A1,ADH4
R-HSA-5654695	PI-3K cascade:FGFR2	0.0143727212140153	-4.24242322910743	23	3	0.0129310344827586	232	10287	5295,2549,2252	PIK3R1,GAB1,FGF7
R-HSA-5173105	O-linked glycosylation	0.014530430894124	-4.23151014635969	114	7	0.0301724137931034	232	10287	143662,7057,9719,157869,374907,10417,256435	MUC15,THBS1,ADAMTSL2,SBSPON,B3GNT8,SPON2,ST6GALNAC3
R-HSA-5362517	Signaling by Retinoic Acid	0.015635638800465	-4.15820243182573	43	4	0.0172413793103448	232	10287	126,216,127,5166	ADH1C,ALDH1A1,ADH4,PDK4
