TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP206	Fatty Acid Omega Oxidation	4.28205558690032e-05	-10.0584922933596	15	5	0.0328947368421053	152	5311	126,216,127,125,130	ADH1C,ALDH1A1,ADH4,ADH1B,ADH6
WP383	Striated Muscle Contraction	0.000644177503192491	-7.34753624376251	38	6	0.0394736842105263	152	5311	10398,7140,4634,7136,70,4632	MYL9,TNNT3,MYL3,TNNI2,ACTC1,MYL1
WP474	Endochondral Ossification	0.00237118276273297	-6.04436639231666	65	7	0.0460526315789474	152	5311	55553,4256,579,3549,5167,1028,5745	SOX6,MGP,NKX3-2,IHH,ENPP1,CDKN1C,PTH1R
WP688	Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs)	0.00768831584856602	-4.8680535248378	5	2	0.0131578947368421	152	5311	2326,2327	FMO1,FMO2
WP716	Vitamin A and Carotenoid Metabolism	0.00793927380404678	-4.83593346835336	44	5	0.0328947368421053	152	5311	127,216,29881,948,6017	ADH4,ALDH1A1,NPC1L1,CD36,RLBP1
WP408	Oxidative Stress	0.0111189262638108	-4.49910655383164	31	4	0.0263157894736842	152	5311	2878,2953,6648,50507	GPX3,GSTT2,SOD2,NOX4
WP368	Mitochondrial LC-Fatty Acid Beta-Oxidation	0.0116381176243683	-4.45346956587587	17	3	0.0197368421052632	152	5311	788,55825,33	SLC25A20,PECR,ACADL
WP3413	NOTCH1 regulation of human endothelial cell calcification	0.0136772141270774	-4.2920240332078	18	3	0.0197368421052632	152	5311	4256,3714,55553	MGP,JAG2,SOX6
WP3925	Amino Acid metabolism	0.0148879997066246	-4.20719977934769	91	7	0.0460526315789474	152	5311	151742,3158,5105,127,126,216,5166	PPM1L,HMGCS2,PCK1,ADH4,ADH1C,ALDH1A1,PDK4
WP2406	Cardiac Progenitor Differentiation	0.0170945166624372	-4.06899752991227	53	5	0.0328947368421053	152	5311	22943,3815,4684,9241,70	DKK1,KIT,NCAM1,NOG,ACTC1
WP1589	Folate-Alcohol and Cancer Pathway	0.0203442590940496	-3.8949565152941	8	2	0.0131578947368421	152	5311	216,10840	ALDH1A1,ALDH1L1
WP100	Glutathione metabolism	0.023751646972059	-3.74010340471386	22	3	0.0197368421052632	152	5311	2878,2953,2946	GPX3,GSTT2,GSTM2
WP51	Regulation of Actin Cytoskeleton	0.0263523356379196	-3.63619836891274	149	9	0.0592105263157895	152	5311	55740,2149,4634,5295,4632,929,2147,2252,4638	ENAH,F2R,MYL3,PIK3R1,MYL1,CD14,F2,FGF7,MYLK
WP61	Notch Signaling Pathway	0.0314525765360725	-3.45927437435597	62	5	0.0328947368421053	152	5311	2625,3714,5295,4137,2273	GATA3,JAG2,PIK3R1,MAPT,FHL1
WP2865	IL1 and megakaryocytes in obesity	0.0333379947231763	-3.40105754974381	25	3	0.0197368421052632	152	5311	2147,8991,2149	F2,SELENBP1,F2R
WP176	Folate Metabolism	0.0466781812639015	-3.06447843410727	69	5	0.0328947368421053	152	5311	2147,4353,338,6648,2878	F2,MPO,APOB,SOD2,GPX3
WP2848	Differentiation Pathway	0.0474245631056583	-3.04861497552488	48	4	0.0263157894736842	152	5311	9241,22943,3815,8200	NOG,DKK1,KIT,GDF5
WP2881	Estrogen Receptor Pathway	0.0516241268141722	-2.96376614185518	13	2	0.0131578947368421	152	5311	5105,5166	PCK1,PDK4
WP2855	Dopaminergic Neurogenesis	0.0530974426511275	-2.93562651288974	30	3	0.0197368421052632	152	5311	216,1028,2735	ALDH1A1,CDKN1C,GLI1
WP24	Peptide GPCRs	0.0598322292749416	-2.81621081212155	74	5	0.0328947368421053	152	5311	4987,886,6755,2359,10396	OPRL1,CCKAR,SSTR5,FPR3,ATP8A1
WP1533	Vitamin B12 Metabolism	0.0640643824472672	-2.74786672553842	53	4	0.0263157894736842	152	5311	2147,4353,338,6648	F2,MPO,APOB,SOD2
WP702	Metapathway biotransformation	0.066246774718447	-2.71436849879602	177	9	0.0592105263157895	152	5311	2946,2953,2878,7881,66002,51302,260293,2326,2327	GSTM2,GSTT2,GPX3,KCNAB1,CYP4F12,CYP39A1,CYP4X1,FMO1,FMO2
WP47	Hedgehog Signaling Pathway	0.0751379816528484	-2.58842910035161	16	2	0.0131578947368421	152	5311	3549,2735	IHH,GLI1
WP236	Adipogenesis	0.0806864126932075	-2.51718508599565	131	7	0.0460526315789474	152	5311	2625,2662,5105,6424,1271,5740,3399	GATA3,GDF10,PCK1,SFRP4,CNTFR,PTGIS,ID3
WP3664	Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds	0.092345557197616	-2.38221768180365	18	2	0.0131578947368421	152	5311	6424,8325	SFRP4,FZD8
WP15	Selenium Micronutrient Network	0.102868353630884	-2.27430522833313	87	5	0.0328947368421053	152	5311	2878,338,6648,2147,4353	GPX3,APOB,SOD2,F2,MPO
WP1603	Nicotine Activity on Chromaffin Cells	0.109687555741024	-2.2101193571418	4	1	0.00657894736842105	152	5311	775	CACNA1C
WP49	IL-2 Signaling Pathway	0.117687455850171	-2.13972284770943	42	3	0.0197368421052632	152	5311	5295,4137,1154	PIK3R1,MAPT,CISH
WP311	Synthesis and Degradation of Ketone Bodies	0.135187365716255	-2.00109356858415	5	1	0.00657894736842105	152	5311	3158	HMGCS2
WP35	G Protein Signaling Pathways	0.135313776224866	-2.00015892914488	95	5	0.0328947368421053	152	5311	8622,5136,107,2788,27115	PDE8B,PDE1A,ADCY1,GNG7,PDE7B
WP536	Calcium Regulation in the Cardiac Cell	0.140869639809493	-1.95992035661322	151	7	0.0460526315789474	152	5311	2788,816,845,6546,775,107,482	GNG7,CAMK2B,CASQ2,SLC8A1,CACNA1C,ADCY1,ATP1B2
WP3668	Hypothesized Pathways in Pathogenesis of Cardiovascular Disease	0.159457408327538	-1.83597842484598	25	2	0.0131578947368421	152	5311	285,1490	ANGPT2,CCN2
WP3891	Benzene metabolism	0.159961493195106	-1.83282216024398	6	1	0.00657894736842105	152	5311	4353	MPO
WP2572	Primary Focal Segmental Glomerulosclerosis FSGS	0.161048035177071	-1.82605260335963	74	4	0.0263157894736842	152	5311	816,22943,1028,51196	CAMK2B,DKK1,CDKN1C,PLCE1
WP1544	MicroRNAs in cardiomyocyte hypertrophy	0.166984822826116	-1.78985235197608	102	5	0.0328947368421053	152	5311	5330,5608,1154,4638,5295	PLCB2,MAP2K6,CISH,MYLK,PIK3R1
WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy	0.172198063769206	-1.75910993113299	76	4	0.0263157894736842	152	5311	6444,775,6546,6445	SGCD,CACNA1C,SLC8A1,SGCG
WP3845	Canonical  and Non-canonical Notch signaling	0.179987876342137	-1.71486578401508	27	2	0.0131578947368421	152	5311	3714,4237	JAG2,MFAP2
WP422	MAPK Cascade	0.200889806010258	-1.60499875006011	29	2	0.0131578947368421	152	5311	5608,7786	MAP2K6,MAP3K12
WP455	GPCRs, Class A Rhodopsin-like	0.206422882949651	-1.5778283845159	259	10	0.0657894736842105	152	5311	56656,2359,27334,886,51554,4987,2857,2825,2149,6755	OR2S2,FPR3,P2RY10,CCKAR,ACKR4,OPRL1,GPR34,GPR1,F2R,SSTR5
WP2018	RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	0.207729814787234	-1.5715170110393	55	3	0.0197368421052632	152	5311	5295,5608,54	PIK3R1,MAP2K6,ACP5
WP2828	Bladder Cancer	0.232709467775586	-1.45796452288539	32	2	0.0131578947368421	152	5311	7057,5295	THBS1,PIK3R1
WP3893	Development and heterogeneity of the ILC family	0.232709467775586	-1.45796452288539	32	2	0.0131578947368421	152	5311	9760,2625	TOX,GATA3
WP2197	Endothelin Pathways	0.243393280473582	-1.41307670573838	33	2	0.0131578947368421	152	5311	4632,4638	MYL1,MYLK
WP3676	BDNF-TrkB Signaling	0.243393280473582	-1.41307670573838	33	2	0.0131578947368421	152	5311	2549,107	GAB1,ADCY1
WP558	Complement and Coagulation Cascades	0.245726497826355	-1.40353615900888	60	3	0.0197368421052632	152	5311	2147,2149,730	F2,F2R,C7
WP304	Kit receptor signaling pathway	0.245726497826355	-1.40353615900888	60	3	0.0197368421052632	152	5311	5295,4137,3815	PIK3R1,MAPT,KIT
WP3601	Composition of Lipid Particles	0.252203004568355	-1.37752094208709	10	1	0.00657894736842105	152	5311	338	APOB
WP143	Fatty Acid Beta Oxidation	0.254097841385687	-1.37003588382911	34	2	0.0131578947368421	152	5311	788,33	SLC25A20,ACADL
WP299	Nuclear Receptors in Lipid Metabolism and Toxicity	0.264813282603365	-1.32873029528846	35	2	0.0131578947368421	152	5311	5244,225	ABCB4,ABCD2
WP244	Alpha 6 Beta 4 signaling pathway	0.264813282603365	-1.32873029528846	35	2	0.0131578947368421	152	5311	5295,2549	PIK3R1,GAB1
WP3624	Lung fibrosis	0.269033795619133	-1.31291827299975	63	3	0.0197368421052632	152	5311	2252,26585,1490	FGF7,GREM1,CCN2
WP43	Oxidation by Cytochrome P450	0.269033795619133	-1.31291827299975	63	3	0.0197368421052632	152	5311	260293,66002,51302	CYP4X1,CYP4F12,CYP39A1
WP500	Glycogen Metabolism	0.275530276923095	-1.28905775834006	36	2	0.0131578947368421	152	5311	8908,5260	GYG2,PHKG1
WP106	Alanine and aspartate metabolism	0.294476519448706	-1.22255600929423	12	1	0.00657894736842105	152	5311	2875	GPT
WP3849	MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ	0.294476519448706	-1.22255600929423	12	1	0.00657894736842105	152	5311	5608	MAP2K6
WP1425	Bone Morphogenic Protein (BMP) Signalling and Regulation	0.294476519448706	-1.22255600929423	12	1	0.00657894736842105	152	5311	9241	NOG
WP2007	Iron metabolism in placenta	0.294476519448706	-1.22255600929423	12	1	0.00657894736842105	152	5311	30061	SLC40A1
WP2447	Amyotrophic lateral sclerosis (ALS)	0.296934185270131	-1.21424476315306	38	2	0.0131578947368421	152	5311	5630,5608	PRPH,MAP2K6
WP289	Myometrial Relaxation and Contraction Pathways	0.298261191233146	-1.20978569571346	158	6	0.0394736842105263	152	5311	816,2788,6546,107,70,10268	CAMK2B,GNG7,SLC8A1,ADCY1,ACTC1,RAMP3
WP23	B Cell Receptor Signaling Pathway	0.307987157162937	-1.17769719440086	98	4	0.0263157894736842	152	5311	5608,974,5295,2549	MAP2K6,CD79B,PIK3R1,GAB1
WP3680	Association Between Physico-Chemical Features and Toxicity Associated Pathways	0.30836895633668	-1.17645830274646	68	3	0.0197368421052632	152	5311	8325,4632,4638	FZD8,MYL1,MYLK
WP481	Insulin Signaling	0.313427123964821	-1.1601884053744	161	6	0.0394736842105263	152	5311	7786,5167,5608,2549,5295,115703	MAP3K12,ENPP1,MAP2K6,GAB1,PIK3R1,ARHGAP33
WP3876	BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation	0.314714218831761	-1.15609029375337	13	1	0.00657894736842105	152	5311	22943	DKK1
WP127	IL-5 Signaling Pathway	0.318244927650198	-1.1449339799271	40	2	0.0131578947368421	152	5311	5295,4137	PIK3R1,MAPT
WP3915	Angiopoietin Like Protein 8 Regulatory Pathway	0.32656762031276	-1.11911824508519	132	5	0.0328947368421053	152	5311	5105,5295,5608,53919,7786	PCK1,PIK3R1,MAP2K6,SLCO1C1,MAP3K12
WP322	Osteoblast Signaling	0.334375117043488	-1.09549181129533	14	1	0.00657894736842105	152	5311	5745	PTH1R
WP2636	Common Pathways Underlying Drug Addiction	0.339405159249782	-1.08056072520803	42	2	0.0131578947368421	152	5311	2891,107	GRIA2,ADCY1
WP364	IL-6 signaling pathway	0.34991275705896	-1.05007142111632	43	2	0.0131578947368421	152	5311	2549,5295	GAB1,PIK3R1
WP3	Transcriptional activation by NRF2	0.353475547897445	-1.03994096747376	15	1	0.00657894736842105	152	5311	4094	MAF
WP2453	TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	0.372031385650004	-0.988777058241047	16	1	0.00657894736842105	152	5311	5105	PCK1
WP53	ID signaling pathway	0.372031385650004	-0.988777058241047	16	1	0.00657894736842105	152	5311	3399	ID3
