TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr4q13.3	human chr4q13.3	8.73203419953305e-11	-23.1614376676795	57	15	0.0190839694656489	786	26169	441024,374,2920,1446,255324,25849,2069,401138,2919,6372,8671,3576,2921,6374,5197	MTHFD2L,AREG,CXCL2,CSN1S1,EPGN,PARM1,EREG,AMTN,CXCL1,CXCL6,SLC4A4,CXCL8,CXCL3,CXCL5,PF4V1
human chr11q22.2	human chr11q22.2	7.20224589991619e-10	-21.0514580220147	13	8	0.0101781170483461	786	26169	4319,100288077,4312,4322,330,4314,4321,4316	MMP10,WTAPP1,MMP1,MMP13,BIRC3,MMP3,MMP12,MMP7
human chr1q32.2	human chr1q32.2	1.12765422183477e-05	-11.3927858998143	27	7	0.0089058524173028	786	26169	3290,50486,3914,1604,80342,1379,57172	HSD11B1,G0S2,LAMB3,CD55,TRAF3IP3,CR1L,CAMK1G
human chr2q14.1	human chr2q14.1	2.09672416863225e-05	-10.7725492578813	40	8	0.0101781170483461	786	26169	27177,3557,3553,23550,3552,26525,56300,7849	IL36B,IL1RN,IL1B,PSD4,IL1A,IL36RN,IL36G,PAX8
human chr1p22.2	human chr1p22.2	4.69402221338063e-05	-9.96663563526017	23	6	0.00763358778625954	786	26169	400759,2635,2633,2634,115361,115362	GBP1P1,GBP3,GBP1,GBP2,GBP4,GBP5
human chr1q32.1	human chr1q32.1	5.31209194218118e-05	-9.84293974455334	134	14	0.0178117048346056	786	26169	29949,83593,1999,115019,3586,9283,7832,11009,3898,9214,50604,83953,1118,5317	IL19,RASSF5,ELF3,SLC26A9,IL10,GPR37L1,BTG2,IL24,LAD1,FCMR,IL20,FCAMR,CHIT1,PKP1
human chr1q23.3	human chr1q23.3	0.000788726919681998	-7.14509040642986	66	8	0.0101781170483461	786	26169	654790,2207,57823,117157,84824,9507,5999,257177	PCP4L1,FCER1G,SLAMF7,SH2D1B,FCRLA,ADAMTS4,RGS4,CFAP126
human chr2p23.1	human chr2p23.1	0.00276559545719043	-5.89049931197087	10	3	0.00381679389312977	786	26169	6716,7498,79623	SRD5A2,XDH,GALNT14
human chr10p15.1	human chr10p15.1	0.0028504572070179	-5.860275874053	33	5	0.00636132315521628	786	26169	1646,3559,340811,3601,1645	AKR1C2,IL2RA,AKR1C8P,IL15RA,AKR1C1
human chr17q12	human chr17q12	0.00357804084538643	-5.63293987825746	121	10	0.0127226463104326	786	26169	6347,6354,6346,6348,2886,6351,256957,162394,6352,6355	CCL2,CCL7,CCL1,CCL3,GRB7,CCL4,HEATR9,SLFN5,CCL5,CCL8
human chr2q36.3	human chr2q36.3	0.00383717950544291	-5.56301768605348	22	4	0.00508905852417303	786	26169	55022,92737,164781,6364	PID1,DNER,DAW1,CCL20
