TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.1410.20	-	3.97695646609358e-06	-12.4349937382171	4	4	0.0104712041884817	382	8522	8638,4940,4938,4939	OASL,OAS3,OAS1,OAS2
2.60.40.10	-	3.54106317155982e-05	-10.2484984519658	710	55	0.143979057591623	382	8522	54674,54210,3460,83953,6098,9308,63923,284759,149233,285852,55521,347902,718,10512,137970,7273,29992,84824,221935,57549,222008,5818,3321,120406,5971,29126,2048,23767,285025,4791,56833,3386,214,4233,3575,57823,11119,3455,10148,8809,9214,3593,3561,6092,3383,220296,6504,4790,2152,115701,342510,941,23308,57497,1294	LRRN3,TREM1,IFNGR2,FCAMR,ROS1,CD83,TNN,SIRPB2,IL23R,TREML4,TRIM36,AMIGO2,C3,SEMA3C,UNC5D,TTN,PILRA,FCRLA,SDK1,IGSF9,VSTM2A,NECTIN1,IGSF3,NXPE2,RELB,CD274,EPHB2,FLRT3,CCDC141,NFKB2,SLAMF8,ICAM4,ALCAM,MET,IL7R,SLAMF7,BTN3A1,IFNAR2,EBI3,IL18R1,FCMR,IL12B,IL2RG,ROBO2,ICAM1,HEPACAM,SLAMF1,NFKB1,F3,ALPK2,CD300E,CD80,ICOSLG,LRFN2,COL7A1
1.10.196.10	-	9.14547310976999e-05	-9.29966645020969	18	6	0.0157068062827225	382	8522	6004,6000,8313,5999,9628,5996	RGS16,RGS7,AXIN2,RGS4,RGS6,RGS1
2.30.39.10	-	0.00015170350947492	-8.79358253756677	36	8	0.0209424083769634	382	8522	327657,6318,5055,5270,8710,145264,3053,6317	SERPINA9,SERPINB4,SERPINB2,SERPINE2,SERPINB7,SERPINA12,SERPIND1,SERPINB3
3.30.497.10	-	0.000186091168010545	-8.58927385374131	37	8	0.0209424083769634	382	8522	145264,3053,6317,327657,6318,5055,5270,8710	SERPINA12,SERPIND1,SERPINB3,SERPINA9,SERPINB4,SERPINB2,SERPINE2,SERPINB7
2.110.10.10	-	0.000410925316830409	-7.79709907085438	23	6	0.0157068062827225	382	8522	4312,4314,4322,4321,4318,4319	MMP1,MMP3,MMP13,MMP12,MMP9,MMP10
3.20.20.100	-	0.000697439575388961	-7.26809467828809	17	5	0.0130890052356021	382	8522	1645,2730,231,1646,441282	AKR1C1,GCLM,AKR1B1,AKR1C2,AKR1B15
1.20.1560.10	-	0.00197766461200524	-6.2258386193064	21	5	0.0130890052356021	382	8522	8714,6890,6891,4363,1080	ABCC3,TAP1,TAP2,ABCC1,CFTR
3.40.390.10	-	0.00348372070491584	-5.65965438826961	82	10	0.0261780104712042	382	8522	56999,4312,9507,4322,5069,4316,4314,4319,4318,4321	ADAMTS9,MMP1,ADAMTS4,MMP13,PAPPA,MMP7,MMP3,MMP10,MMP9,MMP12
3.30.505.10	-	0.00367591423261837	-5.60595340647515	110	12	0.031413612565445	382	8522	2888,6461,8503,3055,63898,2268,6775,660,3937,4067,117157,2886	GRB14,SHB,PIK3R3,HCK,SH2D4A,FGR,STAT4,BMX,LCP2,LYN,SH2D1B,GRB7
1.10.101.10	-	0.00422796178540991	-5.46603524947055	8	3	0.00785340314136126	382	8522	4312,4318,4322	MMP1,MMP9,MMP13
3.60.110.10	-	0.00422796178540991	-5.46603524947055	8	3	0.00785340314136126	382	8522	8876,51733,8875	VNN1,UPB1,VNN2
2.170.150.30	-	0.00583402558622036	-5.14404802183824	3	2	0.00523560209424084	382	8522	23586,64135	DDX58,IFIH1
2.10.90.10	-	0.00608662146474197	-5.10166211889512	75	9	0.0235602094240838	382	8522	627,3624,654,4803,27302,650,2668,4693,27189	BDNF,INHBA,BMP6,NGF,BMP10,BMP2,GDNF,NDP,IL17C
2.60.40.340	-	0.00847264190463345	-4.77091290577311	10	3	0.00785340314136126	382	8522	4791,5971,4790	NFKB2,RELB,NFKB1
1.10.246.160	-	0.011322412731954	-4.48097109005276	4	2	0.00523560209424084	382	8522	2537,3429	IFI6,IFI27
3.30.1120.30	-	0.011322412731954	-4.48097109005276	4	2	0.00523560209424084	382	8522	10769,1263	PLK2,PLK3
1.10.630.10	-	0.014423982310276	-4.23886301949091	58	7	0.0183246073298429	382	8522	1551,1586,9420,1594,1581,1591,1577	CYP3A7,CYP17A1,CYP7B1,CYP27B1,CYP7A1,CYP24A1,CYP3A5
3.40.250.10	-	0.0207277231706487	-3.87628319114494	24	4	0.0104712041884817	382	8522	1850,1848,1847,1844	DUSP8,DUSP6,DUSP5,DUSP2
3.50.50.60	-	0.0255904964661538	-3.66553422821107	51	6	0.0157068062827225	382	8522	54498,58472,8564,7296,259307,734	SMOX,SQOR,KMO,TXNRD1,IL4I1,OSGIN2
1.20.120.1120	-	0.0266631245933999	-3.62447376954625	6	2	0.00523560209424084	382	8522	10950,7832	BTG3,BTG2
1.20.58.2220	-	0.027208100847439	-3.60424052474784	15	3	0.00785340314136126	382	8522	23002,85462,91010	DAAM1,FHDC1,FMNL3
1.10.287.990	-	0.0448251584133807	-3.10498572545634	1	1	0.00261780104712042	382	8522	6648	SOD2
3.90.1170.30	-	0.0448251584133807	-3.10498572545634	1	1	0.00261780104712042	382	8522	1890	TYMP
1.20.1250.80	-	0.0448251584133807	-3.10498572545634	1	1	0.00261780104712042	382	8522	146433	IL34
