TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
155971	env (Envelope surface glycoprotein gp160, precursor)	3.66407924093625e-23	-51.6608800653919	1501	142	0.20431654676259	695	17456	5055,6374,718,4283,3620,7832,10164,4791,79931,6351,637,4071,7296,2920,4693,3656,3460,9536,1437,7852,7097,5004,23135,114897,2919,29126,4314,4316,6506,1999,2152,54210,2048,6385,7474,10964,2921,4363,952,1604,5743,7980,3937,6288,2181,7130,4688,8710,3732,4938,3576,1435,1520,2069,4843,2537,3725,115361,27113,3589,9308,7295,3593,6364,3559,6098,6648,4318,3976,627,8809,116443,366,330,2633,3604,6484,3561,285590,4940,4792,3586,597,4790,6376,5996,3624,3036,771,92737,4321,941,5266,3627,8140,3553,83953,2268,56300,5818,2247,6355,6372,3552,3557,3162,11009,3684,960,9353,4067,6891,6347,6775,6352,4121,5005,9034,2495,3783,4312,3601,7133,1236,9435,3687,8828,6482,857,3569,6348,654,50486,6346,5329,658,3592,3055,3383,6354,25816,51561	SERPINB2,CXCL5,C3,CXCL9,IDO1,BTG2,CHST4,NFKB2,TNIP3,CCL4,BID,TM4SF1,TXNRD1,CXCL2,NDP,IRAK2,IFNGR2,PTGES,CSF2,CXCR4,TLR2,ORM1,KDM6B,C1QTNF1,CXCL1,CD274,MMP3,MMP7,SLC1A2,ELF3,F3,TREM1,EPHB2,SDC4,WNT5A,IFI44L,CXCL3,ABCC1,CD38,CD55,PTGS2,TFPI2,LCP2,SAA1,ACSL3,TNFAIP6,NCF2,SERPINB7,CD82,OAS1,CXCL8,CSF1,CTSS,EREG,NOS2,IFI6,JUN,GBP4,BBC3,IL11,CD83,TXN,IL12B,CCL20,IL2RA,ROS1,SOD2,MMP9,LIF,BDNF,IL18R1,GRIN3A,AQP9,BIRC3,GBP1,TNFRSF9,ST3GAL4,IL2RG,SH3PXD2B,OAS3,NFKBIA,IL10,BCL2A1,NFKB1,CX3CL1,RGS1,INHBA,HAS1,CA12,DNER,MMP12,CD80,PI3,CXCL10,SLC7A5,IL1B,FCAMR,FGR,IL36G,NECTIN1,FGF2,CCL8,CXCL6,IL1A,IL1RN,HMOX1,IL24,ITGAM,CD44,SLIT2,LYN,TAP2,CCL2,STAT4,CCL5,MAN1A1,ORM2,CCRL2,FTH1,KCNN4,MMP1,IL15RA,TNFRSF1B,CCR7,CHST2,ITGAX,NRP2,ST3GAL1,CAV1,IL6,CCL3,BMP6,G0S2,CCL1,PLAUR,BMPR1B,IL12A,HCK,ICAM1,CCL7,TNFAIP8,IL23A
155871	tat (Tat)	6.32376842067007e-22	-48.8125567463147	1718	152	0.218705035971223	695	17456	8091,3914,7133,4312,639,51176,5721,6347,2643,10320,6352,135,3090,3383,6354,6348,3569,10471,857,6346,6303,658,3575,3592,94240,5880,1960,29923,771,11082,941,4321,23657,3008,123036,3553,3627,9023,5698,3586,4803,4792,4940,134864,6376,4790,3624,5996,7128,3159,6372,3162,27233,23382,3557,3552,3918,8942,5699,3484,64849,6580,960,50604,5818,10135,4504,595,6401,2247,4023,3290,3659,6355,3429,7130,5366,8900,4843,1520,1435,3576,4938,10537,688,4316,8638,6506,6385,1000,5743,952,4363,116443,627,6648,4318,330,1910,51365,629,3604,9636,4741,115362,3589,3725,115361,6364,5971,64332,3593,9308,6098,3559,467,11040,637,6351,7296,6374,54498,2634,5292,5055,6890,3669,6616,718,4283,2914,6446,9111,4791,29949,3620,4319,3455,29126,2919,4314,10561,6363,2920,3710,5142,10148,650,7097,4939,7852,1437	HMGA2,LAMB3,TNFRSF1B,MMP1,PRDM1,LEF1,PSME2,CCL2,GCH1,IKZF1,CCL5,ADORA2A,HIC1,ICAM1,CCL7,CCL3,IL6,PFDN6,CAV1,CCL1,SAT1,BMPR1B,IL7R,IL12A,EPSTI1,RAC2,EGR3,HILPDA,CA12,ESM1,CD80,MMP12,SLC7A11,HIST1H1E,TC2N,IL1B,CXCL10,CH25H,PSMB9,IL10,NGF,NFKBIA,OAS3,TAAR1,CX3CL1,NFKB1,INHBA,RGS1,TNFAIP3,HMGA1,CXCL6,HMOX1,SULT1C4,AHCYL2,IL1RN,IL1A,LAMC2,KYNU,PSMB10,IGFBP1,SLC13A3,SLC22A1,CD44,IL20,NECTIN1,NAMPT,MT3,CCND1,SELE,FGF2,LPL,HSD11B1,IRF1,CCL8,IFI27,TNFAIP6,PMAIP1,CCNA1,NOS2,CTSS,CSF1,CXCL8,OAS1,UBD,KLF5,MMP7,OASL,SLC1A2,SDC4,CDH2,PTGS2,CD38,ABCC1,GRIN3A,BDNF,SOD2,MMP9,BIRC3,EDNRB,PLA1A,CFB,TNFRSF9,ISG15,NEFM,GBP5,IL11,JUN,GBP4,CCL20,RELB,NFKBIZ,IL12B,CD83,ROS1,IL2RA,ATF3,PIM2,BID,CCL4,TXNRD1,CXCL5,SMOX,GBP2,PIM1,SERPINB2,TAP1,ISG20,SNAP25,C3,CXCL9,GRM4,SGK1,NMI,NFKB2,IL19,IDO1,MMP10,IFNAR2,CD274,CXCL1,MMP3,IFI44,CCL19,CXCL2,ITPR3,PDE4B,EBI3,BMP2,TLR2,OAS2,CXCR4,CSF2
155807	vpr (Vpr)	8.48949130003404e-12	-25.4921920349465	653	65	0.0935251798561151	695	17456	10537,8638,6347,10964,64127,6352,23327,5743,2495,4312,64005,3687,4843,4938,3576,3569,54739,6348,115362,2537,857,719,6346,3725,9308,3593,3592,5971,6364,6098,58472,4629,3099,330,9636,4741,4792,4803,3586,7185,4940,5055,3669,4790,64135,23586,4791,2182,3620,941,6373,6351,637,3627,3553,4504,2207,10148,4939,6355,3429,91543,3552,3684,960	UBD,OASL,CCL2,IFI44L,NOD2,CCL5,NEDD4L,PTGS2,FTH1,MMP1,MYO1G,ITGAX,NOS2,OAS1,CXCL8,IL6,XAF1,CCL3,GBP5,IFI6,CAV1,C3AR1,CCL1,JUN,CD83,IL12B,IL12A,RELB,CCL20,ROS1,SQOR,MYH11,HK2,BIRC3,ISG15,NEFM,NFKBIA,NGF,IL10,TRAF1,OAS3,SERPINB2,ISG20,NFKB1,IFIH1,DDX58,NFKB2,ACSL4,IDO1,CD80,CXCL11,CCL4,BID,CXCL10,IL1B,MT3,FCER1G,EBI3,OAS2,CCL8,IFI27,RSAD2,IL1A,ITGAM,CD44
1232	CCR3 (C-C motif chemokine receptor 3)	4.46196010688749e-11	-23.8328478675989	20	11	0.0158273381294964	695	17456	3055,6355,4283,6354,6351,6352,3627,6347,6373,6348,2268	HCK,CCL8,CXCL9,CCL7,CCL4,CCL5,CXCL10,CCL2,CXCL11,CCL3,FGR
155459	vif (Vif)	2.34252315376466e-09	-19.8720372176537	366	41	0.0589928057553957	695	17456	10046,162394,6580,960,374,5699,3638,4929,6648,5152,91543,10252,149233,3055,1437,165904,2151,3659,3575,6346,390,115361,6303,54739,115362,55521,1435,5698,8900,1236,80342,943,9120,1551,441168,56243,2152,3586,9353,5721,7185	MAMLD1,SLFN5,SLC22A1,CD44,AREG,PSMB10,INSIG1,NR4A2,SOD2,PDE9A,RSAD2,SPRY1,IL23R,HCK,CSF2,XIRP1,F2RL2,IRF1,IL7R,CCL1,RND3,GBP4,SAT1,XAF1,GBP5,TRIM36,CSF1,PSMB9,CCNA1,CCR7,TRAF3IP3,TNFRSF8,SLC16A6,CYP3A7,CALHM6,KIAA1217,F3,IL10,SLIT2,PSME2,TRAF1
2532	ACKR1 (atypical chemokine receptor 1 (Duffy blood group))	5.16956435411941e-09	-19.08047741617	9	7	0.0100719424460432	695	17456	6354,6374,2919,6352,6347,3576,6355	CCL7,CXCL5,CXCL1,CCL5,CCL2,CXCL8,CCL8
3813	KIR3DS1 (killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1)	1.10967336544314e-08	-18.3166150372992	24	10	0.0143884892086331	695	17456	2312,6278,6317,145264,242,3934,8710,6318,56300,5055	FLG,S100A7,SERPINB3,SERPINA12,ALOX12B,LCN2,SERPINB7,SERPINB4,IL36G,SERPINB2
4318	MMP9 (matrix metallopeptidase 9)	6.60960285196588e-07	-14.2295720818096	43	11	0.0158273381294964	695	17456	6372,4318,4316,6374,3934,4319,2048,2919,3576,374,960	CXCL6,MMP9,MMP7,CXCL5,LCN2,MMP10,EPHB2,CXCL1,CXCL8,AREG,CD44
1238	ACKR2 (atypical chemokine receptor 2)	2.11058144512876e-06	-13.068547082026	17	7	0.0100719424460432	695	17456	6351,6348,6354,6363,6352,6347,6355	CCL4,CCL3,CCL7,CCL19,CCL5,CCL2,CCL8
65061	CDK15 (cyclin dependent kinase 15)	7.29522047223613e-06	-11.8282911540698	98	15	0.0215827338129496	695	17456	6317,342897,6278,5004,58472,3162,8710,3557,718,1890,26525,195814,56300,5721,6318	SERPINB3,NCCRP1,S100A7,ORM1,SQOR,HMOX1,SERPINB7,IL1RN,C3,TYMP,IL36RN,SDR16C5,IL36G,PSME2,SERPINB4
4790	NFKB1 (nuclear factor kappa B subunit 1)	1.22402395135812e-05	-11.3107817129685	211	23	0.0330935251798561	695	17456	3394,467,3559,3159,10318,4791,7128,64332,7295,5971,3659,4790,1999,4792,688,3576,79931,1326,3732,330,4794,8626,8091	IRF8,ATF3,IL2RA,HMGA1,TNIP1,NFKB2,TNFAIP3,NFKBIZ,TXN,RELB,IRF1,NFKB1,ELF3,NFKBIA,KLF5,CXCL8,TNIP3,MAP3K8,CD82,BIRC3,NFKBIE,TP63,HMGA2
63827	BCAN (brevican)	1.43359039622317e-05	-11.1527434008172	15	6	0.00863309352517986	695	17456	4316,4322,4312,9507,4314,4319	MMP7,MMP13,MMP1,ADAMTS4,MMP3,MMP10
55633	TBC1D22B (TBC1 domain family member 22B)	1.92821023632304e-05	-10.8563332309907	106	15	0.0215827338129496	695	17456	6278,6317,342897,6279,242,8710,3162,3557,3934,284110,1890,26525,195814,6280,6318	S100A7,SERPINB3,NCCRP1,S100A8,ALOX12B,SERPINB7,HMOX1,IL1RN,LCN2,GSDMA,TYMP,IL36RN,SDR16C5,S100A9,SERPINB4
156110	nef (Nef)	2.63626418500529e-05	-10.5435626314227	797	56	0.0805755395683453	695	17456	2247,3725,9235,6363,857,115362,6348,595,3569,7852,467,1437,3559,3055,5880,7097,6364,3659,658,3592,9308,3593,7295,154064,3383,3162,4318,660,3684,3604,2919,4067,718,6347,4790,3586,4792,5743,643,10318,6352,2048,6385,2181,1236,941,7133,3937,2495,943,4938,3576,3553,3687,3627,6351	FGF2,JUN,IL32,CCL19,CAV1,GBP5,CCL3,CCND1,IL6,CXCR4,ATF3,CSF2,IL2RA,HCK,RAC2,TLR2,CCL20,IRF1,BMPR1B,IL12A,CD83,IL12B,TXN,RAET1L,ICAM1,HMOX1,MMP9,BMX,ITGAM,TNFRSF9,CXCL1,LYN,C3,CCL2,NFKB1,IL10,NFKBIA,PTGS2,CXCR5,TNIP1,CCL5,EPHB2,SDC4,ACSL3,CCR7,CD80,TNFRSF1B,LCP2,FTH1,TNFRSF8,OAS1,CXCL8,IL1B,ITGAX,CXCL10,CCL4
3579	CXCR2 (C-X-C motif chemokine receptor 2)	2.9427915050956e-05	-10.4335668425725	24	7	0.0100719424460432	695	17456	2920,6372,2919,2921,6374,3576,4645	CXCL2,CXCL6,CXCL1,CXCL3,CXCL5,CXCL8,MYO5B
3577	CXCR1 (C-X-C motif chemokine receptor 1)	3.31053946793858e-05	-10.3158143076109	17	6	0.00863309352517986	695	17456	2919,6374,2921,6372,2920,3576	CXCL1,CXCL5,CXCL3,CXCL6,CXCL2,CXCL8
51554	ACKR4 (atypical chemokine receptor 4)	3.7301923466412e-05	-10.1964656651799	11	5	0.00719424460431655	695	17456	6347,6355,6354,6352,6363	CCL2,CCL8,CCL7,CCL5,CCL19
7545	ZIC1 (Zic family member 1)	4.8403864760758e-05	-9.93593089700068	44	9	0.0129496402877698	695	17456	342897,6278,6317,242,59344,3934,284110,6280,6318	NCCRP1,S100A7,SERPINB3,ALOX12B,ALOXE3,LCN2,GSDMA,S100A9,SERPINB4
1234	CCR5 (C-C motif chemokine receptor 5 (gene/pseudogene))	5.8390500894516e-05	-9.74835733727582	45	9	0.0129496402877698	695	17456	6352,6354,11009,6351,7852,6355,5004,6348,6347	CCL5,CCL7,IL24,CCL4,CXCR4,CCL8,ORM1,CCL3,CCL2
6774	STAT3 (signal transducer and activator of transcription 3)	6.31797404482614e-05	-9.66952687073012	298	27	0.0388489208633093	695	17456	7852,3559,467,3055,79930,4233,149233,4791,8503,767,6775,9111,5971,64332,3575,3725,4067,719,4790,2268,595,960,4312,3455,10252,660,3090	CXCR4,IL2RA,ATF3,HCK,DOK3,MET,IL23R,NFKB2,PIK3R3,CA8,STAT4,NMI,RELB,NFKBIZ,IL7R,JUN,LYN,C3AR1,NFKB1,FGR,CCND1,CD44,MMP1,IFNAR2,SPRY1,BMX,HIC1
1472	CST4 (cystatin S)	6.81781566037294e-05	-9.59338632881966	36	8	0.0115107913669065	695	17456	441024,1469,56287,2495,9034,4586,55200,94240	MTHFD2L,CST1,GKN1,FTH1,CCRL2,MUC5AC,PLEKHG6,EPSTI1
203328	SUSD3 (sushi domain containing 3)	9.35905362912553e-05	-9.2765812875919	20	6	0.00863309352517986	695	17456	55092,6278,6317,6318,6280,1890	TMEM51,S100A7,SERPINB3,SERPINB4,S100A9,TYMP
155945	vpu (Vpu)	9.97017507004639e-05	-9.21332732146696	257	24	0.0345323741007194	695	17456	943,91543,1236,3383,7133,2181,154064,9636,3732,3484,490,4938,3561,597,4792,3669,6363,7185,115362,4790,3725,9308,10964,7852	TNFRSF8,RSAD2,CCR7,ICAM1,TNFRSF1B,ACSL3,RAET1L,ISG15,CD82,IGFBP1,ATP2B1,OAS1,IL2RG,BCL2A1,NFKBIA,ISG20,CCL19,TRAF1,GBP5,NFKB1,JUN,CD83,IFI44L,CXCR4
3689	ITGB2 (integrin subunit beta 2)	0.000138219342833974	-8.88666869380535	50	9	0.0129496402877698	695	17456	3386,718,3383,8875,11082,3684,3732,5329,3687	ICAM4,C3,ICAM1,VNN2,ESM1,ITGAM,CD82,PLAUR,ITGAX
1404	HAPLN1 (hyaluronan and proteoglycan link protein 1)	0.000153408158038565	-8.78240848896825	8	4	0.00575539568345324	695	17456	4314,4319,4316,4318	MMP3,MMP10,MMP7,MMP9
11269	DDX19B (DEAD-box helicase 19B)	0.000158144230286229	-8.75200309141856	113	14	0.0201438848920863	695	17456	5004,6278,6317,629,3162,8710,284110,3934,718,6280,26525,1890,6318,5055	ORM1,S100A7,SERPINB3,CFB,HMOX1,SERPINB7,GSDMA,LCN2,C3,S100A9,IL36RN,TYMP,SERPINB4,SERPINB2
84727	SPSB2 (splA/ryanodine receptor domain and SOCS box containing 2)	0.000212257000582691	-8.45771275059499	15	5	0.00719424460431655	695	17456	54514,4233,4843,8503,2048	DDX4,MET,NOS2,PIK3R3,EPHB2
7076	TIMP1 (TIMP metallopeptidase inhibitor 1)	0.000212257000582691	-8.45771275059499	15	5	0.00719424460431655	695	17456	4312,4319,4314,4318,3484	MMP1,MMP10,MMP3,MMP9,IGFBP1
5340	PLG (plasminogen)	0.000263437472127745	-8.24169451557026	66	10	0.0143884892086331	695	17456	2152,4803,4318,2920,4316,64866,7980,4314,5327,5069	F3,NGF,MMP9,CXCL2,MMP7,CDCP1,TFPI2,MMP3,PLAT,PAPPA
2826	CCR10 (C-C motif chemokine receptor 10)	0.000267434536769568	-8.22663574393437	9	4	0.00575539568345324	695	17456	6363,6354,6347,1236	CCL19,CCL7,CCL2,CCR7
92369	SPSB4 (splA/ryanodine receptor domain and SOCS box containing 4)	0.000267434536769568	-8.22663574393437	9	4	0.00575539568345324	695	17456	4233,54514,4843,2048	MET,DDX4,NOS2,EPHB2
116448	OLIG1 (oligodendrocyte transcription factor 1)	0.000360726071690177	-7.92739169185134	25	6	0.00863309352517986	695	17456	63898,3055,8503,2886,3398,117157	SH2D4A,HCK,PIK3R3,GRB7,ID2,SH2D1B
7078	TIMP3 (TIMP metallopeptidase inhibitor 3)	0.0004532919128292	-7.69897424083578	26	6	0.00863309352517986	695	17456	4314,1446,4322,10584,4318,3484	MMP3,CSN1S1,MMP13,COLEC10,MMP9,IGFBP1
2495	FTH1 (ferritin heavy chain 1)	0.000559910883063328	-7.48773292428569	99	12	0.0172661870503597	695	17456	6318,2495,195814,1080,3557,8710,1469,145264,242,6317,342897,2312	SERPINB4,FTH1,SDR16C5,CFTR,IL1RN,SERPINB7,CST1,SERPINA12,ALOX12B,SERPINB3,NCCRP1,FLG
1147	CHUK (component of inhibitor of nuclear factor kappa B kinase complex)	0.000575991419995644	-7.45941779322022	158	16	0.023021582733813	695	17456	6732,3576,7849,1326,330,8767,7133,8626,4791,7128,27113,4790,1080,595,4792,7185	SRPK1,CXCL8,PAX8,MAP3K8,BIRC3,RIPK2,TNFRSF1B,TP63,NFKB2,TNFAIP3,BBC3,NFKB1,CFTR,CCND1,NFKBIA,TRAF1
718	C3 (complement C3)	0.000644058365124408	-7.34772120689132	49	8	0.0115107913669065	695	17456	718,1080,719,3684,767,3687,5069,629	C3,CFTR,C3AR1,ITGAM,CA8,ITGAX,PAPPA,CFB
3576	CXCL8 (C-X-C motif chemokine ligand 8)	0.000693118590932385	-7.27430944652835	28	6	0.00863309352517986	695	17456	6351,3592,4318,6352,4790,3576	CCL4,IL12A,MMP9,CCL5,NFKB1,CXCL8
1462	VCAN (versican)	0.000693118590932385	-7.27430944652835	28	6	0.00863309352517986	695	17456	6364,6352,3627,6347,960,6355	CCL20,CCL5,CXCL10,CCL2,CD44,CCL8
155030	gag (Pr55(Gag))	0.000736899697573985	-7.21305877059446	968	59	0.0848920863309353	695	17456	10537,3586,4792,5317,5721,6347,4790,51703,6385,23327,6352,5743,1604,10318,952,3159,1540,9120,941,8710,1236,2181,6351,3553,3732,3627,3687,9023,3576,6348,3569,6363,857,3710,9536,3725,6364,9308,3592,3593,650,5329,1594,7097,3559,1437,7852,6355,3976,91543,3383,1910,286,3552,9636,3604,5699,960,3684	UBD,IL10,NFKBIA,PKP1,PSME2,CCL2,NFKB1,ACSL5,SDC4,NEDD4L,CCL5,PTGS2,CD55,TNIP1,CD38,HMGA1,CYLD,SLC16A6,CD80,SERPINB7,CCR7,ACSL3,CCL4,IL1B,CD82,CXCL10,ITGAX,CH25H,CXCL8,CCL3,IL6,CCL19,CAV1,ITPR3,PTGES,JUN,CCL20,CD83,IL12A,IL12B,BMP2,PLAUR,CYP27B1,TLR2,IL2RA,CSF2,CXCR4,CCL8,LIF,RSAD2,ICAM1,EDNRB,ANK1,IL1A,ISG15,TNFRSF9,PSMB10,CD44,ITGAM
3486	IGFBP3 (insulin like growth factor binding protein 3)	0.000844832372964789	-7.07637232547566	29	6	0.00863309352517986	695	17456	960,4312,4314,857,60676,23649	CD44,MMP1,MMP3,CAV1,PAPPA2,POLA2
4314	MMP3 (matrix metallopeptidase 3)	0.000844832372964789	-7.07637232547566	29	6	0.00863309352517986	695	17456	4319,6347,4223,4314,6355,6354	MMP10,CCL2,MEOX2,MMP3,CCL8,CCL7
2841	GPR18 (G protein-coupled receptor 18)	0.000954679884881317	-6.95413447275247	12	4	0.00575539568345324	695	17456	6318,6317,342897,2312	SERPINB4,SERPINB3,NCCRP1,FLG
5196	PF4 (platelet factor 4)	0.000954679884881317	-6.95413447275247	12	4	0.00575539568345324	695	17456	6352,5552,3576,2247	CCL5,SRGN,CXCL8,FGF2
929	CD14 (CD14 molecule)	0.00102090535643557	-6.88706544102515	30	6	0.00863309352517986	695	17456	11213,7097,7133,1604,2706,8638	IRAK3,TLR2,TNFRSF1B,CD55,GJB2,OASL
3593	IL12B (interleukin 12B)	0.00114840826248704	-6.76937841496177	6	3	0.00431654676258993	695	17456	3592,3593,51561	IL12A,IL12B,IL23A
7351	UCP2 (uncoupling protein 2)	0.00117927828427819	-6.74285265111557	21	5	0.00719424460431655	695	17456	124220,2312,6317,342897,6318	ZG16B,FLG,SERPINB3,NCCRP1,SERPINB4
3592	IL12A (interleukin 12A)	0.00133577395269522	-6.61824441526754	13	4	0.00575539568345324	695	17456	3593,3592,3576,10148	IL12B,IL12A,CXCL8,EBI3
2633	GBP1 (guanylate binding protein 1)	0.001476626174759	-6.5179954051256	22	5	0.00719424460431655	695	17456	2635,2634,9636,2633,115362	GBP3,GBP2,ISG15,GBP1,GBP5
1803	DPP4 (dipeptidyl peptidase 4)	0.001476626174759	-6.5179954051256	22	5	0.00719424460431655	695	17456	4283,3627,6352,7852,6373	CXCL9,CXCL10,CCL5,CXCR4,CXCL11
83737	ITCH (itchy E3 ubiquitin protein ligase)	0.00149322891971139	-6.50681444350398	189	17	0.0244604316546763	695	17456	7852,83593,1540,23135,286676,1080,3725,6338,857,219333,55092,134285,8975,637,57561,8626,169792	CXCR4,RASSF5,CYLD,KDM6B,ILDR1,CFTR,JUN,SCNN1B,CAV1,USP12,TMEM51,TMEM171,USP13,BID,ARRDC3,TP63,GLIS3
1839	HBEGF (heparin binding EGF like growth factor)	0.00181157021312192	-6.31356128872148	14	4	0.00575539568345324	695	17456	960,1839,3732,4316	CD44,HBEGF,CD82,MMP7
7128	TNFAIP3 (TNF alpha induced protein 3)	0.00192530024233629	-6.25267335335963	99	11	0.0158273381294964	695	17456	7185,3656,4790,57561,330,64127,79931,23327,4791,7128,10318	TRAF1,IRAK2,NFKB1,ARRDC3,BIRC3,NOD2,TNIP3,NEDD4L,NFKB2,TNFAIP3,TNIP1
