TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04060	Cytokine-cytokine receptor interaction	5.1083651566563e-24	-53.6311628090343	270	62	0.162303664921466	382	7161	3589,3569,23529,3976,27242,6374,2919,149233,2920,8995,6373,650,3559,4233,3561,6355,4283,6346,643,2921,84957,4982,3575,6352,6348,6347,3624,7133,29949,3627,1435,11009,7852,3576,6363,6372,3460,5197,6351,1440,658,3552,3455,5008,943,3593,970,6376,51561,57007,6354,1437,3586,6364,8809,3601,27189,1236,3592,50604,3604,3553	IL11,IL6,CLCF1,LIF,TNFRSF21,CXCL5,CXCL1,IL23R,CXCL2,TNFSF18,CXCL11,BMP2,IL2RA,MET,IL2RG,CCL8,CXCL9,CCL1,CXCR5,CXCL3,RELT,TNFRSF11B,IL7R,CCL5,CCL3,CCL2,INHBA,TNFRSF1B,IL19,CXCL10,CSF1,IL24,CXCR4,CXCL8,CCL19,CXCL6,IFNGR2,PF4V1,CCL4,CSF3,BMPR1B,IL1A,IFNAR2,OSM,TNFRSF8,IL12B,CD70,CX3CL1,IL23A,ACKR3,CCL7,CSF2,IL10,CCL20,IL18R1,IL15RA,IL17C,CCR7,IL12A,IL20,TNFRSF9,IL1B
ko04060	Cytokine-cytokine receptor interaction	5.1083651566563e-24	-53.6311628090343	270	62	0.162303664921466	382	7161	3576,7852,11009,1435,6348,6352,3627,7133,29949,6347,3624,4982,3575,84957,4283,3561,6355,643,2921,6346,6373,3559,4233,650,2920,149233,2919,8995,23529,3569,3589,27242,3976,6374,3553,3604,3592,50604,3601,6364,8809,1236,27189,6354,1437,57007,3586,6376,51561,3593,943,970,658,3460,5197,1440,6351,5008,3455,3552,6363,6372	CXCL8,CXCR4,IL24,CSF1,CCL3,CCL5,CXCL10,TNFRSF1B,IL19,CCL2,INHBA,TNFRSF11B,IL7R,RELT,CXCL9,IL2RG,CCL8,CXCR5,CXCL3,CCL1,CXCL11,IL2RA,MET,BMP2,CXCL2,IL23R,CXCL1,TNFSF18,CLCF1,IL6,IL11,TNFRSF21,LIF,CXCL5,IL1B,TNFRSF9,IL12A,IL20,IL15RA,CCL20,IL18R1,CCR7,IL17C,CCL7,CSF2,ACKR3,IL10,CX3CL1,IL23A,IL12B,TNFRSF8,CD70,BMPR1B,IFNGR2,PF4V1,CSF3,CCL4,OSM,IFNAR2,IL1A,CCL19,CXCL6
hsa04657	IL-17 signaling pathway	2.1429566933355e-16	-36.079174980047	93	30	0.0785340314136126	382	7161	7128,2921,3725,6372,6374,5743,3569,4322,2919,8061,6278,4790,1440,4312,2920,3934,6347,3627,4792,4318,4314,4586,3553,3576,6354,6280,1437,6279,27189,6364	TNFAIP3,CXCL3,JUN,CXCL6,CXCL5,PTGS2,IL6,MMP13,CXCL1,FOSL1,S100A7,NFKB1,CSF3,MMP1,CXCL2,LCN2,CCL2,CXCL10,NFKBIA,MMP9,MMP3,MUC5AC,IL1B,CXCL8,CCL7,S100A9,CSF2,S100A8,IL17C,CCL20
ko04657	IL-17 signaling pathway	2.1429566933355e-16	-36.079174980047	93	30	0.0785340314136126	382	7161	1437,6354,6280,6364,6279,27189,4792,4318,6347,3934,3627,3553,3576,4314,4586,5743,3569,6372,6374,8061,1440,2919,4790,6278,4312,2920,4322,7128,2921,3725	CSF2,CCL7,S100A9,CCL20,S100A8,IL17C,NFKBIA,MMP9,CCL2,LCN2,CXCL10,IL1B,CXCL8,MMP3,MUC5AC,PTGS2,IL6,CXCL6,CXCL5,FOSL1,CSF3,CXCL1,NFKB1,S100A7,MMP1,CXCL2,MMP13,TNFAIP3,CXCL3,JUN
ko04668	TNF signaling pathway	2.05332124139733e-14	-31.5167327019865	108	30	0.0785340314136126	382	7161	3627,7133,6347,4318,6352,4792,1326,6401,4314,3553,1435,1437,3383,8809,6364,7128,64127,2921,3725,6376,8503,3976,6374,3569,330,5743,7185,2920,4790,2919	CXCL10,TNFRSF1B,CCL2,MMP9,CCL5,NFKBIA,MAP3K8,SELE,MMP3,IL1B,CSF1,CSF2,ICAM1,IL18R1,CCL20,TNFAIP3,NOD2,CXCL3,JUN,CX3CL1,PIK3R3,LIF,CXCL5,IL6,BIRC3,PTGS2,TRAF1,CXCL2,NFKB1,CXCL1
hsa04668	TNF signaling pathway	2.05332124139733e-14	-31.5167327019865	108	30	0.0785340314136126	382	7161	1437,3383,6364,8809,7133,3627,6347,6352,4318,4792,4314,1326,6401,3553,1435,8503,3976,6374,330,3569,5743,7185,2920,2919,4790,7128,64127,3725,2921,6376	CSF2,ICAM1,CCL20,IL18R1,TNFRSF1B,CXCL10,CCL2,CCL5,MMP9,NFKBIA,MMP3,MAP3K8,SELE,IL1B,CSF1,PIK3R3,LIF,CXCL5,BIRC3,IL6,PTGS2,TRAF1,CXCL2,CXCL1,NFKB1,TNFAIP3,NOD2,JUN,CXCL3,CX3CL1
hsa05323	Rheumatoid arthritis	1.24904078463423e-10	-22.8034750454997	89	23	0.0602094240837696	382	7161	1437,3383,6364,941,6347,6348,6352,4314,3576,3553,1435,6374,6372,3569,3589,245973,7097,3552,4312,2919,50617,3725,51561	CSF2,ICAM1,CCL20,CD80,CCL2,CCL3,CCL5,MMP3,CXCL8,IL1B,CSF1,CXCL5,CXCL6,IL6,IL11,ATP6V1C2,TLR2,IL1A,MMP1,CXCL1,ATP6V0A4,JUN,IL23A
ko05323	Rheumatoid arthritis	1.24904078463423e-10	-22.8034750454997	89	23	0.0602094240837696	382	7161	3576,3553,1435,4314,6348,6352,6347,941,6364,3383,1437,3725,51561,50617,4312,2919,245973,3552,7097,3569,3589,6374,6372	CXCL8,IL1B,CSF1,MMP3,CCL3,CCL5,CCL2,CD80,CCL20,ICAM1,CSF2,JUN,IL23A,ATP6V0A4,MMP1,CXCL1,ATP6V1C2,IL1A,TLR2,IL6,IL11,CXCL5,CXCL6
hsa04062	Chemokine signaling pathway	2.29661026697369e-08	-17.5892465050922	182	30	0.0785340314136126	382	7161	3576,7852,5880,4792,6348,6352,6347,3627,6364,1236,6354,3055,6376,4283,6355,2268,6346,643,2921,6373,4790,5197,2919,6351,2920,6363,4067,6372,8503,6374	CXCL8,CXCR4,RAC2,NFKBIA,CCL3,CCL5,CCL2,CXCL10,CCL20,CCR7,CCL7,HCK,CX3CL1,CXCL9,CCL8,FGR,CCL1,CXCR5,CXCL3,CXCL11,NFKB1,PF4V1,CXCL1,CCL4,CXCL2,CCL19,LYN,CXCL6,PIK3R3,CXCL5
ko04062	Chemokine signaling pathway	2.29661026697369e-08	-17.5892465050922	182	30	0.0785340314136126	382	7161	6364,1236,6354,3055,7852,3576,4792,5880,6348,6352,6347,3627,4790,2919,5197,6351,2920,6363,4067,6372,8503,6374,4283,6355,6376,2268,6346,643,2921,6373	CCL20,CCR7,CCL7,HCK,CXCR4,CXCL8,NFKBIA,RAC2,CCL3,CCL5,CCL2,CXCL10,NFKB1,CXCL1,PF4V1,CCL4,CXCL2,CCL19,LYN,CXCL6,PIK3R3,CXCL5,CXCL9,CCL8,CX3CL1,FGR,CCL1,CXCR5,CXCL3,CXCL11
hsa05321	Inflammatory bowel disease (IBD)	1.83683131104911e-07	-15.5100536774399	65	16	0.0418848167539267	382	7161	3592,3553,3586,8809,64127,3593,3561,6775,51561,3725,3569,4790,3460,149233,7097,3552	IL12A,IL1B,IL10,IL18R1,NOD2,IL12B,IL2RG,STAT4,IL23A,JUN,IL6,NFKB1,IFNGR2,IL23R,TLR2,IL1A
ko05321	Inflammatory bowel disease (IBD)	1.83683131104911e-07	-15.5100536774399	65	16	0.0418848167539267	382	7161	3569,149233,4790,3460,3552,7097,3593,64127,3561,3725,51561,6775,3586,8809,3592,3553	IL6,IL23R,NFKB1,IFNGR2,IL1A,TLR2,IL12B,NOD2,IL2RG,JUN,IL23A,STAT4,IL10,IL18R1,IL12A,IL1B
