TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005125	cytokine activity	1.52491428709344e-32	-73.2607847725143	220	60	0.0833333333333333	720	17306	7474,6364,10135,654,6376,6374,56300,29949,3576,146433,10148,2921,374,6346,27302,3589,6347,11009,50604,2247,2919,6351,23529,1437,6363,6373,3624,90865,3557,5008,3552,3627,3553,5197,51561,970,3593,3592,27179,650,3586,3569,9235,27189,8995,6372,84639,2920,1435,1440,6348,6355,26525,6354,6352,27177,3976,4283,4693,4982	WNT5A,CCL20,NAMPT,BMP6,CX3CL1,CXCL5,IL36G,IL19,CXCL8,IL34,EBI3,CXCL3,AREG,CCL1,BMP10,IL11,CCL2,IL24,IL20,FGF2,CXCL1,CCL4,CLCF1,CSF2,CCL19,CXCL11,INHBA,IL33,IL1RN,OSM,IL1A,CXCL10,IL1B,PF4V1,IL23A,CD70,IL12B,IL12A,IL36A,BMP2,IL10,IL6,IL32,IL17C,TNFSF18,CXCL6,IL1F10,CXCL2,CSF1,CSF3,CCL3,CCL8,IL36RN,CCL7,CCL5,IL36B,LIF,CXCL9,NDP,TNFRSF11B
GO:0048018	receptor ligand activity	2.79400917275881e-26	-58.8397348739955	481	79	0.109722222222222	720	17306	10148,2921,29949,146433,27302,654,10135,6374,56300,6376,7784,23529,6363,90865,3557,255324,1437,6351,2247,50604,2919,3593,2668,10584,6291,6288,3552,5197,6289,3627,3553,27177,26525,6352,4693,4982,4283,3976,10512,27189,1435,1440,627,374,3576,3589,6347,6346,90226,80031,6364,1890,7474,284467,3624,6373,2069,734,11009,3592,27179,23767,26281,650,3586,5008,970,51561,4803,6355,6354,8995,84639,1839,6372,3569,9235,6348,2920	EBI3,CXCL3,IL19,IL34,BMP10,BMP6,NAMPT,CXCL5,IL36G,CX3CL1,ZP3,CLCF1,CCL19,IL33,IL1RN,EPGN,CSF2,CCL4,FGF2,IL20,CXCL1,IL12B,GDNF,COLEC10,SAA4,SAA1,IL1A,PF4V1,SAA2,CXCL10,IL1B,IL36B,IL36RN,CCL5,NDP,TNFRSF11B,CXCL9,LIF,SEMA3C,IL17C,CSF1,CSF3,BDNF,AREG,CXCL8,IL11,CCL2,CCL1,UCN2,SEMA6D,CCL20,TYMP,WNT5A,TAFA3,INHBA,CXCL11,EREG,OSGIN2,IL24,IL12A,IL36A,FLRT3,FGF20,BMP2,IL10,OSM,CD70,IL23A,NGF,CCL8,CCL7,TNFSF18,IL1F10,HBEGF,CXCL6,IL6,IL32,CCL3,CXCL2
GO:0030546	signaling receptor activator activity	5.62590386822781e-26	-58.1398307949786	486	79	0.109722222222222	720	17306	4283,3976,4693,4982,26525,6352,27177,1435,1440,27189,10512,10584,2668,3593,6289,3627,3553,5197,3552,6291,6288,255324,1437,90865,6363,3557,23529,2247,50604,2919,6351,27302,29949,146433,10148,2921,6376,7784,56300,6374,654,10135,6355,6354,4803,2920,6348,3569,9235,84639,6372,1839,8995,26281,650,3586,23767,3592,27179,51561,970,5008,6373,3624,2069,284467,11009,734,6346,90226,80031,3589,6347,3576,627,374,7474,6364,1890	CXCL9,LIF,NDP,TNFRSF11B,IL36RN,CCL5,IL36B,CSF1,CSF3,IL17C,SEMA3C,COLEC10,GDNF,IL12B,SAA2,CXCL10,IL1B,PF4V1,IL1A,SAA4,SAA1,EPGN,CSF2,IL33,CCL19,IL1RN,CLCF1,FGF2,IL20,CXCL1,CCL4,BMP10,IL19,IL34,EBI3,CXCL3,CX3CL1,ZP3,IL36G,CXCL5,BMP6,NAMPT,CCL8,CCL7,NGF,CXCL2,CCL3,IL6,IL32,IL1F10,CXCL6,HBEGF,TNFSF18,FGF20,BMP2,IL10,FLRT3,IL12A,IL36A,IL23A,CD70,OSM,CXCL11,INHBA,EREG,TAFA3,IL24,OSGIN2,CCL1,UCN2,SEMA6D,IL11,CCL2,CXCL8,BDNF,AREG,WNT5A,CCL20,TYMP
GO:0030545	receptor regulator activity	4.55441691577493e-25	-56.0485298120423	525	81	0.1125	720	17306	4803,6354,6355,6372,84639,8995,1839,9235,3569,6348,2920,27179,3592,23767,3586,650,26281,5008,51561,970,27121,284467,100463482,2069,3624,6373,734,11009,374,627,3576,6347,3589,80031,90226,6346,1890,6364,7474,27177,6352,26525,4982,4693,3976,4283,10512,27189,1440,1435,3593,2668,10584,6288,6291,3552,5197,3553,3627,6289,23529,3557,90865,6363,1437,255324,6351,2919,2247,50604,2921,10148,146433,29949,27302,10135,654,6374,56300,7784,6376	NGF,CCL7,CCL8,CXCL6,IL1F10,TNFSF18,HBEGF,IL32,IL6,CCL3,CXCL2,IL36A,IL12A,FLRT3,IL10,BMP2,FGF20,OSM,IL23A,CD70,DKK4,TAFA3,MTRNR2L6,EREG,INHBA,CXCL11,OSGIN2,IL24,AREG,BDNF,CXCL8,CCL2,IL11,SEMA6D,UCN2,CCL1,TYMP,CCL20,WNT5A,IL36B,CCL5,IL36RN,TNFRSF11B,NDP,LIF,CXCL9,SEMA3C,IL17C,CSF3,CSF1,IL12B,GDNF,COLEC10,SAA1,SAA4,IL1A,PF4V1,IL1B,CXCL10,SAA2,CLCF1,IL1RN,IL33,CCL19,CSF2,EPGN,CCL4,CXCL1,FGF2,IL20,CXCL3,EBI3,IL34,IL19,BMP10,NAMPT,BMP6,CXCL5,IL36G,ZP3,CX3CL1
GO:0005102	signaling receptor binding	5.86799651613086e-22	-48.8873587792948	1542	146	0.202777777777778	720	17306	970,51561,9378,7185,84870,3592,9636,6279,3569,9235,9456,1839,6372,9353,3055,6355,6354,4803,284654,26154,3484,6364,11082,135,3576,627,7097,6890,2847,8013,92737,9732,3383,3624,6373,150,100463482,284467,3627,3553,5197,214,3552,6291,6288,5327,10584,222584,29992,4023,637,4067,4982,1910,26525,7784,51176,10135,27302,146433,10148,6280,81832,2247,6351,1437,6363,63923,3557,23529,3687,27121,4929,5008,84466,650,26281,3586,57561,3386,23767,4824,27179,2920,6348,6891,8995,84639,149233,23308,5629,7474,1890,6346,11119,80031,90226,3589,6347,374,11009,54567,734,64108,5270,2069,154064,6289,3159,857,2048,285016,2668,3593,1435,29923,2888,1440,5329,27289,8638,27189,6278,9369,10512,4283,3976,10516,4693,6352,27177,1943,6376,56300,6374,718,654,29949,2921,9034,50604,2919,8767,2268,255324,90865	CD70,IL23A,NRXN1,TRAF1,RSPO3,IL12A,ISG15,S100A8,IL6,IL32,HOMER1,HBEGF,CXCL6,SLIT2,HCK,CCL8,CCL7,NGF,RSPO1,ABCA12,IGFBP1,CCL20,ESM1,ADORA2A,CXCL8,BDNF,TLR2,TAP1,MCHR1,NR4A3,DNER,DOCK4,ICAM1,INHBA,CXCL11,ADRA2A,MTRNR2L6,TAFA3,CXCL10,IL1B,PF4V1,ALCAM,IL1A,SAA4,SAA1,PLAT,COLEC10,FAM83B,PILRA,LPL,BID,LYN,TNFRSF11B,EDNRB,IL36RN,ZP3,LEF1,NAMPT,BMP10,IL34,EBI3,S100A9,NETO1,FGF2,CCL4,CSF2,CCL19,TNN,IL1RN,CLCF1,ITGAX,DKK4,NR4A2,OSM,MEGF10,BMP2,FGF20,IL10,ARRDC3,ICAM4,FLRT3,NKX3-1,IL36A,CXCL2,CCL3,TAP2,TNFSF18,IL1F10,IL23R,ICOSLG,PROX1,WNT5A,TYMP,CCL1,BTN3A1,SEMA6D,UCN2,IL11,CCL2,AREG,IL24,DLL4,OSGIN2,RTP4,SERPINE2,EREG,RAET1L,SAA2,HMGA1,CAV1,EPHB2,ALKAL2,GDNF,IL12B,CSF1,HILPDA,GRB14,CSF3,PLAUR,RND1,OASL,IL17C,S100A7,NRXN3,SEMA3C,CXCL9,LIF,FBLN5,NDP,CCL5,IL36B,EFNA2,CX3CL1,IL36G,CXCL5,C3,BMP6,IL19,CXCL3,CCRL2,IL20,CXCL1,RIPK2,FGR,EPGN,IL33
GO:0005126	cytokine receptor binding	4.25565418500984e-21	-46.906038457659	286	54	0.075	720	17306	149233,637,3976,4283,27177,4803,6355,26525,6354,6352,6348,2920,1435,1440,84639,6372,8995,3569,650,3586,3593,3592,27179,5197,51561,970,3627,3553,7185,5008,3552,3624,6363,6373,3557,1437,23529,6351,9034,50604,2919,3589,6347,27302,6346,10148,2921,3576,146433,56300,6374,6376,6364,654	IL23R,BID,LIF,CXCL9,IL36B,NGF,CCL8,IL36RN,CCL7,CCL5,CCL3,CXCL2,CSF1,CSF3,IL1F10,CXCL6,TNFSF18,IL6,BMP2,IL10,IL12B,IL12A,IL36A,PF4V1,IL23A,CD70,CXCL10,IL1B,TRAF1,OSM,IL1A,INHBA,CCL19,CXCL11,IL1RN,CSF2,CLCF1,CCL4,CCRL2,IL20,CXCL1,IL11,CCL2,BMP10,CCL1,EBI3,CXCL3,CXCL8,IL34,IL36G,CXCL5,CX3CL1,CCL20,BMP6
GO:0098772	molecular function regulator	2.52161674573248e-17	-38.2190463193239	1800	150	0.208333333333333	720	17306	9628,1827,7784,51176,6317,55200,5996,10135,27302,146433,10148,25816,2247,6351,5055,1437,6363,1080,3557,23529,3627,3553,5197,3552,2642,6291,126755,6288,10584,153020,285590,4982,26525,221692,3053,5721,6318,6364,8710,327657,3576,627,3725,7980,1469,23630,9732,3624,6373,5880,6446,100463482,64699,284467,5957,51561,970,9378,9162,8900,27290,81706,3592,145264,286204,23327,3569,9235,6372,1839,26575,9353,6355,6354,4803,6376,56300,6374,718,116984,2730,654,29949,51050,6000,2921,50604,8503,2919,343578,1030,255324,90865,219527,6289,857,6004,285016,2668,1294,3593,1435,1440,27189,10512,4688,6690,4283,3976,4693,5266,5999,6352,27177,7474,1890,26230,6346,80031,90226,3589,6347,330,374,11009,734,5270,2069,595,23550,10125,55619,83478,27121,9938,5008,4504,23258,650,26281,3586,4824,23767,27179,2920,6348,84639,8995,57718,3779	RGS6,RCAN1,ZP3,LEF1,SERPINB3,PLEKHG6,RGS1,NAMPT,BMP10,IL34,EBI3,TNFAIP8,FGF2,CCL4,SERPINB2,CSF2,CCL19,CFTR,IL1RN,CLCF1,CXCL10,IL1B,PF4V1,IL1A,GCGR,SAA4,LRRC38,SAA1,COLEC10,RASGEF1B,SH3PXD2B,TNFRSF11B,IL36RN,PHACTR1,SERPIND1,PSME2,SERPINB4,CCL20,SERPINB7,SERPINA9,CXCL8,BDNF,JUN,TFPI2,CST1,KCNE5,DOCK4,INHBA,CXCL11,RAC2,SGK1,MTRNR2L6,TMPRSS3,TAFA3,RCVRN,IL23A,CD70,NRXN1,DGKI,CCNA1,SPINK4,PPP1R14C,IL12A,SERPINA12,CRB2,NEDD4L,IL6,IL32,CXCL6,HBEGF,RGS17,SLIT2,CCL8,CCL7,NGF,CX3CL1,IL36G,CXCL5,C3,ARAP2,GCLM,BMP6,IL19,PI15,RGS7,CXCL3,IL20,PIK3R3,CXCL1,ARHGAP40,CDKN2B,EPGN,IL33,LRRC55,SAA2,CAV1,RGS16,ALKAL2,GDNF,COL7A1,IL12B,CSF1,CSF3,IL17C,SEMA3C,NCF2,SPINK1,CXCL9,LIF,NDP,PI3,RGS4,CCL5,IL36B,WNT5A,TYMP,TIAM2,CCL1,SEMA6D,UCN2,IL11,CCL2,BIRC3,AREG,IL24,OSGIN2,SERPINE2,EREG,CCND1,PSD4,RASGRP1,DOCK10,ARHGAP24,DKK4,ARHGAP25,OSM,MT3,DENND5A,BMP2,FGF20,IL10,NKX3-1,FLRT3,IL36A,CXCL2,CCL3,IL1F10,TNFSF18,PPP4R4,KCNMB1
GO:0008009	chemokine activity	1.6912306046552e-15	-34.0133199625267	49	20	0.0277777777777778	720	17306	6374,5197,6376,3627,6364,6347,6346,2921,3576,6351,6348,2919,2920,6372,6373,6363,4283,6354,6352,6355	CXCL5,PF4V1,CX3CL1,CXCL10,CCL20,CCL2,CCL1,CXCL3,CXCL8,CCL4,CCL3,CXCL1,CXCL2,CXCL6,CXCL11,CCL19,CXCL9,CCL7,CCL5,CCL8
GO:0042379	chemokine receptor binding	1.14858593139984e-13	-29.7950746480261	66	21	0.0291666666666667	720	17306	5197,6374,3627,6376,6364,6347,6346,2921,3576,6348,6351,2920,9034,2919,6372,6373,6363,4283,6355,6352,6354	PF4V1,CXCL5,CXCL10,CX3CL1,CCL20,CCL2,CCL1,CXCL3,CXCL8,CCL3,CCL4,CXCL2,CCRL2,CXCL1,CXCL6,CXCL11,CCL19,CXCL9,CCL8,CCL5,CCL7
GO:0070851	growth factor receptor binding	4.26257452048468e-11	-23.878562697666	134	26	0.0361111111111111	720	17306	1839,84639,3569,2247,1440,27177,26525,2069,149233,3557,255324,1437,4067,11082,3552,56300,3553,3592,3593,374,27179,23767,222584,26281,3589,3586	HBEGF,IL1F10,IL6,FGF2,CSF3,IL36B,IL36RN,EREG,IL23R,IL1RN,EPGN,CSF2,LYN,ESM1,IL1A,IL36G,IL1B,IL12A,IL12B,AREG,IL36A,FLRT3,FAM83B,FGF20,IL11,IL10
