TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.12426130392479e-84	-192.000260885586	197	99	0.138461538461538	715	17275	2919,6373,3659,11182,9120,4790,3604,4929,490,2920,10957,9242,7832,2921,3552,7127,7262,9308,4792,1844,9034,7128,80149,51278,5806,3460,8013,23586,7185,23258,3601,1437,6347,330,3593,3575,650,6364,5329,4791,3627,25816,467,5055,941,6446,6372,374,10950,6351,2643,4084,50486,10318,1847,3383,51561,9945,3569,23135,1326,127544,7130,8942,23308,10938,6352,4082,6890,3553,23764,1827,597,6648,3976,1435,5971,5341,6303,8767,8061,6385,1960,4794,3725,3624,3914,1839,3398,10769,595,7097,5142,64135,23529,10135,5743,960,2152	CXCL1,CXCL11,IRF1,SLC2A6,SLC16A6,NFKB1,TNFRSF9,NR4A2,ATP2B1,CXCL2,PNRC1,MSC,BTG2,CXCL3,IL1A,TNFAIP2,PHLDA2,CD83,NFKBIA,DUSP2,CCRL2,TNFAIP3,ZC3H12A,IER5,PTX3,IFNGR2,NR4A3,DDX58,TRAF1,DENND5A,IL15RA,CSF2,CCL2,BIRC3,IL12B,IL7R,BMP2,CCL20,PLAUR,NFKB2,CXCL10,TNFAIP8,ATF3,SERPINB2,CD80,SGK1,CXCL6,AREG,BTG3,CCL4,GCH1,MXD1,G0S2,TNIP1,DUSP5,ICAM1,IL23A,GFPT2,IL6,KDM6B,MAP3K8,RNF19B,TNFAIP6,KYNU,ICOSLG,EHD1,CCL5,MARCKS,TAP1,IL1B,MAFF,RCAN1,BCL2A1,SOD2,LIF,CSF1,RELB,PLEK,SAT1,RIPK2,FOSL1,SDC4,EGR3,NFKBIE,JUN,INHBA,LAMB3,HBEGF,ID2,PLK2,CCND1,TLR2,PDE4B,IFIH1,CLCF1,NAMPT,PTGS2,CD44,F3
ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	1.31975542258179e-69	-158.600924983081	211	91	0.127272727272727	715	17275	28232,10957,2920,2921,3552,90874,7127,7832,3659,6373,5266,637,2919,3604,651746,11182,4790,7128,80149,3460,5806,4322,9308,3669,4792,330,79669,23586,23327,7185,6446,467,6542,80342,650,3575,3627,25816,5329,4791,6364,51561,3383,64332,375449,4319,50486,10318,2643,4084,6890,3553,6352,79993,23764,4071,129607,1827,2635,4067,127544,84419,10938,3656,7130,54541,8942,8767,163732,3624,4794,26154,6385,597,134285,56300,9235,5971,3557,3976,6648,162394,9732,8638,1839,3914,27076,7097,3854,259307,64135	SLCO3A1,PNRC1,CXCL2,CXCL3,IL1A,ZNF697,TNFAIP2,BTG2,IRF1,CXCL11,PI3,BID,CXCL1,TNFRSF9,ANKRD33B,SLC2A6,NFKB1,TNFAIP3,ZC3H12A,IFNGR2,PTX3,MMP13,CD83,ISG20,NFKBIA,BIRC3,C3orf52,DDX58,NEDD4L,TRAF1,SGK1,ATF3,SLC7A2,TRAF3IP3,BMP2,IL7R,CXCL10,TNFAIP8,PLAUR,NFKB2,CCL20,IL23A,ICAM1,NFKBIZ,MAST4,MMP10,G0S2,TNIP1,GCH1,MXD1,TAP1,IL1B,CCL5,ELOVL7,MAFF,TM4SF1,CMPK2,RCAN1,GBP3,LYN,RNF19B,C15orf48,EHD1,IRAK2,TNFAIP6,DDIT4,KYNU,RIPK2,CITED4,INHBA,NFKBIE,ABCA12,SDC4,BCL2A1,TMEM171,IL36G,IL32,RELB,IL1RN,LIF,SOD2,SLFN5,DOCK4,OASL,HBEGF,LAMB3,LYPD3,TLR2,KRT6B,IL4I1,IFIH1
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP	GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP	6.52045178517672e-65	-147.79308737887	170	80	0.111888111888112	715	17275	2920,387763,7832,3552,2921,7262,2919,4790,29126,51365,4929,27289,7128,80149,5806,3036,9308,84879,4792,5277,1844,9034,1263,2633,330,8013,23327,2710,23258,1440,374,10950,6351,6364,4316,5329,3559,1847,9589,3383,51561,3569,1326,64332,2643,50486,130367,366,53831,3553,23764,7295,3586,5996,7130,50604,54541,8767,8061,92610,51458,6385,1960,3725,3624,56300,219333,597,2069,6648,5341,1236,5743,2152,3398,6374,5142,79931,23529,2634	CXCL2,C11orf96,BTG2,IL1A,CXCL3,PHLDA2,CXCL1,NFKB1,CD274,PLA1A,NR4A2,RND1,TNFAIP3,ZC3H12A,PTX3,HAS1,CD83,MFSD2A,NFKBIA,PIGA,DUSP2,CCRL2,PLK3,GBP1,BIRC3,NR4A3,NEDD4L,GK,DENND5A,CSF3,AREG,BTG3,CCL4,CCL20,MMP7,PLAUR,IL2RA,DUSP5,WTAP,ICAM1,IL23A,IL6,MAP3K8,NFKBIZ,GCH1,G0S2,SGPP2,AQP9,GPR84,IL1B,MAFF,TXN,IL10,RGS1,TNFAIP6,IL20,DDIT4,RIPK2,FOSL1,TIFA,RHCG,SDC4,EGR3,JUN,INHBA,IL36G,USP12,BCL2A1,EREG,SOD2,PLEK,CCR7,PTGS2,F3,ID2,CXCL5,PDE4B,TNIP3,CLCF1,GBP2
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	1.03738154876659e-62	-142.72357596889	168	78	0.109090909090909	715	17275	6775,1236,5743,2152,3914,3398,6374,79931,8767,8061,92610,6385,3725,3624,56300,219333,597,2069,6648,5341,130367,366,3553,53831,79993,23764,153020,7295,3586,7130,54541,50604,5366,1847,3383,51561,23135,1326,64332,11040,2706,2643,50486,374,6351,3593,6364,5329,4316,3559,3601,1263,330,23327,2710,23258,27289,57823,7128,80149,5806,9308,84879,4792,9034,1844,2920,490,387763,3552,2921,7127,7262,2919,4790,8140,29126,51365	STAT4,CCR7,PTGS2,F3,LAMB3,ID2,CXCL5,TNIP3,RIPK2,FOSL1,TIFA,SDC4,JUN,INHBA,IL36G,USP12,BCL2A1,EREG,SOD2,PLEK,SGPP2,AQP9,IL1B,GPR84,ELOVL7,MAFF,RASGEF1B,TXN,IL10,TNFAIP6,DDIT4,IL20,PMAIP1,DUSP5,ICAM1,IL23A,KDM6B,MAP3K8,NFKBIZ,PIM2,GJB2,GCH1,G0S2,AREG,CCL4,IL12B,CCL20,PLAUR,MMP7,IL2RA,IL15RA,PLK3,BIRC3,NEDD4L,GK,DENND5A,RND1,SLAMF7,TNFAIP3,ZC3H12A,PTX3,CD83,MFSD2A,NFKBIA,CCRL2,DUSP2,CXCL2,ATP2B1,C11orf96,IL1A,CXCL3,TNFAIP2,PHLDA2,CXCL1,NFKB1,SLC7A5,CD274,PLA1A
GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN	GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN	1.08881104676238e-57	-131.162263982543	178	76	0.106293706293706	715	17275	8676,1440,6351,10950,64092,3593,25816,4316,6364,26253,1263,3601,2633,330,23258,7185,80149,7128,27289,3460,5806,51278,9308,1844,4792,3386,10957,2920,7127,3552,2921,387763,10148,2919,651746,3604,51365,29126,4790,11182,5743,3398,8638,3055,23529,79931,5142,8767,6385,92610,597,56300,255488,6648,3553,4082,53831,130367,366,127544,3586,3656,5366,10938,50604,7130,3569,51561,3383,11040,1326,64332,29992,10318,50486,2643	STX11,CSF3,CCL4,BTG3,SAMSN1,IL12B,TNFAIP8,MMP7,CCL20,CLEC4E,PLK3,IL15RA,GBP1,BIRC3,DENND5A,TRAF1,ZC3H12A,TNFAIP3,RND1,IFNGR2,PTX3,IER5,CD83,DUSP2,NFKBIA,ICAM4,PNRC1,CXCL2,TNFAIP2,IL1A,CXCL3,C11orf96,EBI3,CXCL1,ANKRD33B,TNFRSF9,PLA1A,CD274,NFKB1,SLC2A6,PTGS2,ID2,OASL,HCK,CLCF1,TNIP3,PDE4B,RIPK2,SDC4,TIFA,BCL2A1,IL36G,RNF144B,SOD2,IL1B,MARCKS,GPR84,SGPP2,AQP9,RNF19B,IL10,IRAK2,PMAIP1,EHD1,IL20,TNFAIP6,IL6,IL23A,ICAM1,PIM2,MAP3K8,NFKBIZ,PILRA,TNIP1,G0S2,GCH1
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	2.14468367351123e-57	-130.484358230712	168	74	0.103496503496503	715	17275	5743,1236,57172,79931,3914,3398,3725,3624,92610,8061,8767,5341,6648,597,219333,56300,153020,53831,3553,23764,79993,366,130367,5366,7130,54541,7295,3586,64332,1326,11040,23135,51561,3569,1847,3383,50486,2643,6351,374,6364,4316,5329,3559,3593,330,3601,1263,23258,23327,5806,7128,80149,27289,57823,4792,1844,9034,84879,9308,3552,2921,7262,7127,90874,7832,387763,3386,490,2920,8140,29126,4790,2919	PTGS2,CCR7,CAMK1G,TNIP3,LAMB3,ID2,JUN,INHBA,TIFA,FOSL1,RIPK2,PLEK,SOD2,BCL2A1,USP12,IL36G,RASGEF1B,GPR84,IL1B,MAFF,ELOVL7,AQP9,SGPP2,PMAIP1,TNFAIP6,DDIT4,TXN,IL10,NFKBIZ,MAP3K8,PIM2,KDM6B,IL23A,IL6,DUSP5,ICAM1,G0S2,GCH1,CCL4,AREG,CCL20,MMP7,PLAUR,IL2RA,IL12B,BIRC3,IL15RA,PLK3,DENND5A,NEDD4L,PTX3,TNFAIP3,ZC3H12A,RND1,SLAMF7,NFKBIA,DUSP2,CCRL2,MFSD2A,CD83,IL1A,CXCL3,PHLDA2,TNFAIP2,ZNF697,BTG2,C11orf96,ICAM4,ATP2B1,CXCL2,SLC7A5,CD274,NFKB1,CXCL1
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	2.93257993497022e-55	-125.566297555197	166	72	0.100699300699301	715	17275	3586,127544,7130,10938,3656,5366,366,3553,53831,6278,79993,4319,2706,2643,50486,9589,3383,51561,3569,92737,64332,1326,3398,79931,23529,1236,5743,2152,56300,597,6648,255488,5341,8767,92610,6385,9308,84879,4792,9034,1844,7128,80149,5806,3460,11182,51365,29126,3604,2920,135,3386,387763,3552,2921,7127,5329,6364,3559,25816,5055,1440,10950,6351,7185,8564,23258,1263,26253,330,2633,1437	IL10,RNF19B,TNFAIP6,EHD1,IRAK2,PMAIP1,AQP9,IL1B,GPR84,S100A7,ELOVL7,MMP10,GJB2,GCH1,G0S2,WTAP,ICAM1,IL23A,IL6,DNER,NFKBIZ,MAP3K8,ID2,TNIP3,CLCF1,CCR7,PTGS2,F3,IL36G,BCL2A1,SOD2,RNF144B,PLEK,RIPK2,TIFA,SDC4,CD83,MFSD2A,NFKBIA,CCRL2,DUSP2,TNFAIP3,ZC3H12A,PTX3,IFNGR2,SLC2A6,PLA1A,CD274,TNFRSF9,CXCL2,ADORA2A,ICAM4,C11orf96,IL1A,CXCL3,TNFAIP2,PLAUR,CCL20,IL2RA,TNFAIP8,SERPINB2,CSF3,BTG3,CCL4,TRAF1,KMO,DENND5A,PLK3,CLEC4E,BIRC3,GBP1,CSF2
GSE2706_UNSTIM_VS_2H_LPS_DC_DN	GSE2706_UNSTIM_VS_2H_LPS_DC_DN	7.18693865255752e-53	-120.064744626125	171	71	0.0993006993006993	715	17275	7130,3656,10938,10125,84419,3586,5996,83593,6890,9636,10318,23135,1326,64332,3383,1847,3569,7273,51561,4435,64135,10135,79931,54625,8638,255488,6648,5971,56300,219333,3624,10561,8767,3638,9034,1844,4792,3669,3394,55008,84879,80149,7128,29126,4790,11182,651746,637,2919,3659,6373,7832,90874,7127,2921,3552,2920,60676,5329,25816,3627,3593,10950,467,131583,8676,941,7185,8013,2633,330	TNFAIP6,IRAK2,EHD1,RASGRP1,C15orf48,IL10,RGS1,RASSF5,TAP1,ISG15,TNIP1,KDM6B,MAP3K8,NFKBIZ,ICAM1,DUSP5,IL6,TTN,IL23A,CITED1,IFIH1,NAMPT,TNIP3,PARP14,OASL,RNF144B,SOD2,RELB,IL36G,USP12,INHBA,IFI44,RIPK2,INSIG1,CCRL2,DUSP2,NFKBIA,ISG20,IRF8,HERC6,MFSD2A,ZC3H12A,TNFAIP3,CD274,NFKB1,SLC2A6,ANKRD33B,BID,CXCL1,IRF1,CXCL11,BTG2,ZNF697,TNFAIP2,CXCL3,IL1A,CXCL2,PAPPA2,PLAUR,TNFAIP8,CXCL10,IL12B,BTG3,ATF3,FAM43A,STX11,CD80,TRAF1,NR4A3,GBP1,BIRC3
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP	GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP	3.05843729690067e-52	-118.616520737459	186	73	0.102097902097902	715	17275	7474,10950,6351,941,6372,6364,5329,4316,25816,3593,3575,1577,3601,29949,7185,51703,54210,5806,51278,3036,272,57089,6611,80149,51733,4693,4792,1844,10046,10148,3552,2921,2920,9120,11182,4790,3604,9435,2919,7980,1594,5743,7133,6775,7097,79931,10135,3055,3914,3624,4794,90865,6648,375790,56300,4082,3553,7130,10938,4067,23657,114897,11040,1847,5327,9589,3383,51561,3569,4084,50486,10318,3783	WNT5A,BTG3,CCL4,CD80,CXCL6,CCL20,PLAUR,MMP7,TNFAIP8,IL12B,IL7R,CYP3A5,IL15RA,IL19,TRAF1,ACSL5,TREM1,PTX3,IER5,HAS1,AMPD3,ENTPD7,SMS,ZC3H12A,UPB1,NDP,NFKBIA,DUSP2,MAMLD1,EBI3,IL1A,CXCL3,CXCL2,SLC16A6,SLC2A6,NFKB1,TNFRSF9,CHST2,CXCL1,TFPI2,CYP27B1,PTGS2,TNFRSF1B,STAT4,TLR2,TNIP3,NAMPT,HCK,LAMB3,INHBA,NFKBIE,IL33,SOD2,AGRN,IL36G,MARCKS,IL1B,TNFAIP6,EHD1,LYN,SLC7A11,C1QTNF1,PIM2,DUSP5,PLAT,WTAP,ICAM1,IL23A,IL6,MXD1,G0S2,TNIP1,KCNN4
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	1.29120487957666e-51	-117.176263945068	171	70	0.0979020979020979	715	17275	2920,7832,7127,90874,2921,3552,2919,637,6373,3659,29126,4790,4929,651746,57823,80149,7128,55008,84879,9034,1844,4792,3669,3394,1263,3601,6506,330,2633,8013,7185,467,8676,4283,10950,5329,3627,25816,116984,3383,1847,3569,7273,145264,64332,1326,9636,10318,629,64108,129607,83593,10125,84419,5996,10938,8767,3638,10561,56300,219333,255488,5971,91543,6775,1236,5743,8638,64135,10135	CXCL2,BTG2,TNFAIP2,ZNF697,CXCL3,IL1A,CXCL1,BID,CXCL11,IRF1,CD274,NFKB1,NR4A2,ANKRD33B,SLAMF7,ZC3H12A,TNFAIP3,HERC6,MFSD2A,CCRL2,DUSP2,NFKBIA,ISG20,IRF8,PLK3,IL15RA,SLC1A2,BIRC3,GBP1,NR4A3,TRAF1,ATF3,STX11,CXCL9,BTG3,PLAUR,CXCL10,TNFAIP8,ARAP2,ICAM1,DUSP5,IL6,TTN,SERPINA12,NFKBIZ,MAP3K8,ISG15,TNIP1,CFB,RTP4,CMPK2,RASSF5,RASGRP1,C15orf48,RGS1,EHD1,RIPK2,INSIG1,IFI44,IL36G,USP12,RNF144B,RELB,RSAD2,STAT4,CCR7,PTGS2,OASL,IFIH1,NAMPT
