TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
il23pathway	IL23-mediated signaling events	1.46967234986009e-09	-20.3382263522514	37	16	0.0963855421686747	166	2226	6775,149233,242,6347,8809,4843,3553,3593,11009,51561,4790,2919,4283,3569,29949,4792	STAT4,IL23R,ALOX12B,CCL2,IL18R1,NOS2,IL1B,IL12B,IL24,IL23A,NFKB1,CXCL1,CXCL9,IL6,IL19,NFKBIA
fra_pathway	Validated transcriptional targets of AP1 family members Fra1 and Fra2	1.80804373202201e-05	-10.9206800152275	34	11	0.0662650602409639	166	2226	3976,595,3576,3725,4318,6347,3162,4312,8061,5329,3569	LIF,CCND1,CXCL8,JUN,MMP9,CCL2,HMOX1,MMP1,FOSL1,PLAUR,IL6
il12_2pathway	IL12-mediated signaling events	2.23419603514964e-05	-10.7090440174347	61	15	0.0903614457831325	166	2226	6775,3553,3593,4790,3592,3559,8767,5971,8809,4843,6351,3561,4791,6348,10912	STAT4,IL1B,IL12B,NFKB1,IL12A,IL2RA,RIPK2,RELB,IL18R1,NOS2,CCL4,IL2RG,NFKB2,CCL3,GADD45G
p53downstreampathway	Direct p53 effectors	0.000519053647370887	-7.56350331333711	132	21	0.126506024096386	166	2226	255488,4233,7832,25946,637,6376,5366,3090,6890,1847,639,1263,467,54541,8626,27113,857,3976,3732,597,3725	RNF144B,MET,BTG2,ZNF385A,BID,CX3CL1,PMAIP1,HIC1,TAP1,DUSP5,PRDM1,PLK3,ATF3,DDIT4,TP63,BBC3,CAV1,LIF,CD82,BCL2A1,JUN
amb2_neutrophils_pathway	amb2 Integrin signaling	0.00220722903342723	-6.11601738118467	48	10	0.0602409638554217	166	2226	4067,4318,2268,3055,3383,3569,3684,5329,4790,5327	LYN,MMP9,FGR,HCK,ICAM1,IL6,ITGAM,PLAUR,NFKB1,PLAT
cd40_pathway	CD40/CD40L signaling	0.00529838935615616	-5.2403523996744	30	7	0.0421686746987952	166	2226	330,7185,4790,7128,3725,4792,83953	BIRC3,TRAF1,NFKB1,TNFAIP3,JUN,NFKBIA,FCAMR
nfkappabcanonicalpathway	Canonical NF-kappaB pathway	0.00544819997843562	-5.21247000404729	23	6	0.036144578313253	166	2226	64127,1540,8767,4792,4790,7128	NOD2,CYLD,RIPK2,NFKBIA,NFKB1,TNFAIP3
atf2_pathway	ATF-2 transcription factor network	0.00625064248181003	-5.07507102342748	55	10	0.0602409638554217	166	2226	1847,467,3569,51561,6401,1850,4843,595,3725,3576	DUSP5,ATF3,IL6,IL23A,SELE,DUSP8,NOS2,CCND1,JUN,CXCL8
syndecan_1_pathway	Syndecan-1-mediated signaling events	0.00642889329504523	-5.04695287140235	17	5	0.0301204819277108	166	2226	4316,4318,4233,6352,4312	MMP7,MMP9,MET,CCL5,MMP1
nfkappabalternativepathway	Alternative NF-kappaB pathway	0.00688730595653868	-4.9780752781793	6	3	0.0180722891566265	166	2226	5971,4790,4791	RELB,NFKB1,NFKB2
nfat_tfpathway	Calcineurin-regulated NFAT-dependent transcription in lymphocytes	0.00762433421726555	-4.87641027606936	48	9	0.0542168674698795	166	2226	8061,5743,3559,1960,10320,1437,3725,3576,2635	FOSL1,PTGS2,IL2RA,EGR3,IKZF1,CSF2,JUN,CXCL8,GBP3
il27pathway	IL27-mediated signaling events	0.0103044835957343	-4.57517617790562	26	6	0.036144578313253	166	2226	6775,3569,3593,10148,3553,3592	STAT4,IL6,IL12B,EBI3,IL1B,IL12A
il1pathway	IL1-mediated signaling events	0.0127516571372212	-4.36209404427651	35	7	0.0421686746987952	166	2226	4790,3725,387522,3557,3553,3552,11213	NFKB1,JUN,TMEM189-UBE2V1,IL1RN,IL1B,IL1A,IRAK3
tnfpathway	TNF receptor signaling pathway	0.0140685103863014	-4.26381628508101	44	8	0.0481927710843374	166	2226	1540,4790,7133,7295,857,330,7185,7128	CYLD,NFKB1,TNFRSF1B,TXN,CAV1,BIRC3,TRAF1,TNFAIP3
tcrcalciumpathway	Calcium signaling in the CD4+ TCR pathway	0.0148904070986508	-4.20703809225359	28	6	0.036144578313253	166	2226	1437,1827,5743,3559,3725,8061	CSF2,RCAN1,PTGS2,IL2RA,JUN,FOSL1
plk_pathway	Polo-like kinase signaling events in the cell cycle	0.0300082103339071	-3.50628425696601	4	2	0.0120481927710843	166	2226	1263,10769	PLK3,PLK2
glypican_1pathway	Glypican 1 network	0.0396148196241008	-3.22855199779754	26	5	0.0301204819277108	166	2226	3055,9353,4067,2268,2247	HCK,SLIT2,LYN,FGR,FGF2
ephrinbrevpathway	Ephrin B reverse signaling	0.0457887633393431	-3.08371655989899	27	5	0.0301204819277108	166	2226	7852,3055,2268,2048,4067	CXCR4,HCK,FGR,EPHB2,LYN
lysophospholipid_pathway	LPA receptor mediated events	0.0487852050870593	-3.02032818653521	65	9	0.0542168674698795	166	2226	4318,4067,4792,147,3725,1839,3576,3569,4790	MMP9,LYN,NFKBIA,ADRA1B,JUN,HBEGF,CXCL8,IL6,NFKB1
il12_stat4pathway	IL12 signaling mediated by STAT4	0.0525057973046812	-2.94683169062986	28	5	0.0301204819277108	166	2226	3725,3559,3659,8809,6775	JUN,IL2RA,IRF1,IL18R1,STAT4
tcrjnkpathway	JNK signaling in the CD4+ TCR pathway	0.0668862854937368	-2.70476133295697	13	3	0.0180722891566265	166	2226	3937,1326,3725	LCP2,MAP3K8,JUN
erbb_network_pathway	ErbB receptor signaling network	0.0668862854937368	-2.70476133295697	13	3	0.0180722891566265	166	2226	1839,2069,374	HBEGF,EREG,AREG
cd8tcrdownstreampathway	Downstream signaling in naive CD8+ T cells	0.074140315845277	-2.60179582114889	50	7	0.0421686746987952	166	2226	6775,3455,3559,3604,3725,8061,3561	STAT4,IFNAR2,IL2RA,TNFRSF9,JUN,FOSL1,IL2RG
ptp1bpathway	Signaling events mediated by PTP1B	0.074140315845277	-2.60179582114889	50	7	0.0421686746987952	166	2226	1000,1435,3055,2268,7295,4067,857	CDH2,CSF1,HCK,FGR,TXN,LYN,CAV1
syndecan_4_pathway	Syndecan-4-mediated signaling events	0.0759233138550985	-2.57803147632987	31	5	0.0301204819277108	166	2226	4318,2247,6352,6385,7852	MMP9,FGF2,CCL5,SDC4,CXCR4
myc_represspathway	Validated targets of C-MYC transcriptional repression	0.0797454710799385	-2.52891532789603	61	8	0.0481927710843374	166	2226	1030,6352,3394,6278,3398,595,2495,7474	CDKN2B,CCL5,IRF8,S100A7,ID2,CCND1,FTH1,WNT5A
reg_gr_pathway	Glucocorticoid receptor regulatory network	0.080023467666153	-2.52543534149882	82	10	0.0602409638554217	166	2226	3383,6446,3725,3576,4312,4790,3659,6401,1437,3569	ICAM1,SGK1,JUN,CXCL8,MMP1,NFKB1,IRF1,SELE,CSF2,IL6
avb3_opn_pathway	Osteopontin-mediated events	0.084804842464333	-2.46740263328245	32	5	0.0301204819277108	166	2226	3725,4790,4792,960,4318	JUN,NFKB1,NFKBIA,CD44,MMP9
hif1_tfpathway	HIF-1-alpha transcription factor network	0.106467031775714	-2.23991990254791	65	8	0.0481927710843374	166	2226	6513,7852,3162,3099,4843,3484,3725,3398	SLC2A1,CXCR4,HMOX1,HK2,NOS2,IGFBP1,JUN,ID2
hivnefpathway	HIV-1 Nef: Negative effector of Fas and TNF-alpha	0.114541118076087	-2.16682141061753	35	5	0.0301204819277108	166	2226	4792,330,637,4790,7185	NFKBIA,BIRC3,BID,NFKB1,TRAF1
p38alphabetapathway	Regulation of p38-alpha and p38-beta	0.136966279942945	-1.98802051525274	27	4	0.0240963855421687	166	2226	3055,2268,1850,4067	HCK,FGR,DUSP8,LYN
plk2_4pathway	PLK2 and PLK4 events	0.143616301723353	-1.94061010706075	2	1	0.00602409638554217	166	2226	10769	PLK2
epha_fwdpathway	EPHA forward signaling	0.196262544083516	-1.62830200546545	31	4	0.0240963855421687	166	2226	1943,2268,4067,3055	EFNA2,FGR,LYN,HCK
wnt_beta_catenin_pathway	Regulation of Wnt-mediated beta catenin signaling and target gene transcription	0.221830294532597	-1.50584262848473	78	8	0.0481927710843374	166	2226	51176,4318,595,3398,3725,3576,8313,27121	LEF1,MMP9,CCND1,ID2,JUN,CXCL8,AXIN2,DKK4
cmyb_pathway	C-MYB transcription factor network	0.221830294532597	-1.50584262848473	78	8	0.0481927710843374	166	2226	330,595,51176,490,5743,5292,4602,8900	BIRC3,CCND1,LEF1,ATP2B1,PTGS2,PIM1,MYB,CCNA1
pdgfrapathway	PDGFR-alpha signaling pathway	0.222742400616485	-1.50173932941303	22	3	0.0180722891566265	166	2226	3725,6461,857	JUN,SHB,CAV1
txa2pathway	Thromboxane A2 receptor signaling	0.24143966074087	-1.4211356891124	45	5	0.0301204819277108	166	2226	2268,4067,3383,3055,6401	FGR,LYN,ICAM1,HCK,SELE
syndecan_pathway	Proteogylcan syndecan-mediated signaling events	0.266713299764345	-1.32158098115472	4	1	0.00602409638554217	166	2226	6385	SDC4
fgf_pathway	FGF signaling pathway	0.270489572843249	-1.30752172915301	47	5	0.0301204819277108	166	2226	1000,3725,4233,4318,5329	CDH2,JUN,MET,MMP9,PLAUR
nfkappabatypicalpathway	Atypical NF-kappaB pathway	0.280857283014271	-1.26990862829695	14	2	0.0120481927710843	166	2226	4792,4790	NFKBIA,NFKB1
angiopoietinreceptor_pathway	Angiopoietin receptor Tie2-mediated signaling	0.285297399503576	-1.25422313575839	48	5	0.0301204819277108	166	2226	2247,2886,660,2888,4790	FGF2,GRB7,BMX,GRB14,NFKB1
cd8tcrpathway	TCR signaling in naive CD8+ T cells	0.285297399503576	-1.25422313575839	48	5	0.0301204819277108	166	2226	10125,83593,941,1326,3937	RASGRP1,RASSF5,CD80,MAP3K8,LCP2
il2_pi3kpathway	IL2 signaling events mediated by PI3K	0.296156369215325	-1.21686768976976	37	4	0.0240963855421687	166	2226	4602,4790,3559,3561	MYB,NFKB1,IL2RA,IL2RG
plk3_pathway	PLK3 signaling events	0.321495294471519	-1.13477237158103	5	1	0.00602409638554217	166	2226	1263	PLK3
wnt_signaling_pathway	Wnt signaling network	0.347972401045977	-1.0556321096918	28	3	0.0180722891566265	166	2226	284654,11211,7474	RSPO1,FZD10,WNT5A
pi3kcipathway	Class I PI3K signaling events	0.366004724821969	-1.00510903631445	41	4	0.0240963855421687	166	2226	4067,2268,3055,6446	LYN,FGR,HCK,SGK1
telomerasepathway	Regulation of Telomerase	0.369261863737273	-0.996249228805069	66	6	0.036144578313253	166	2226	595,3725,3659,4790,4084,3455	CCND1,JUN,IRF1,NFKB1,MXD1,IFNAR2
bcr_5pathway	BCR signaling pathway	0.369261863737273	-0.996249228805069	66	6	0.036144578313253	166	2226	4067,4792,597,5452,3725,4790	LYN,NFKBIA,BCL2A1,POU2F2,JUN,NFKB1
