TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00048	IL8	2.72333520442689e-16	-35.8395041806411	45	20	0.027359781121751	731	17385	6363,6351,6354,6372,6374,6346,6364,2919,2920,6348,4283,6373,6347,2921,3627,6376,3576,6352,5197,6355	CCL19,CCL4,CCL7,CXCL6,CXCL5,CCL1,CCL20,CXCL1,CXCL2,CCL3,CXCL9,CXCL11,CCL2,CXCL3,CXCL10,CX3CL1,CXCL8,CCL5,PF4V1,CCL8
PF00340	IL1	7.55555371704587e-09	-18.7009829524387	9	7	0.00957592339261286	731	17385	3553,3552,27179,26525,3557,56300,84639	IL1B,IL1A,IL36A,IL36RN,IL1RN,IL36G,IL1F10
PF10421	OAS1_C	3.10134628454252e-06	-12.6836742554115	4	4	0.00547195622435021	731	17385	4940,8638,4939,4938	OAS3,OASL,OAS2,OAS1
PF00277	SAA	3.10134628454252e-06	-12.6836742554115	4	4	0.00547195622435021	731	17385	6291,6288,100528017,6289	SAA4,SAA1,SAA2-SAA4,SAA2
PF01471	PG_binding_1	1.08314969255851e-05	-11.4330522862273	20	7	0.00957592339261286	731	17385	4318,4322,4316,4312,4319,4314,4321	MMP9,MMP13,MMP7,MMP1,MMP10,MMP3,MMP12
PF02841	GBP_C	1.41880985516234e-05	-11.1631070749519	9	5	0.00683994528043776	731	17385	115362,115361,2633,2635,2634	GBP5,GBP4,GBP1,GBP3,GBP2
PF01477	PLAT	1.56593892793423e-05	-11.0644398669269	21	7	0.00957592339261286	731	17385	23258,9388,242,247,59344,119548,4023	DENND5A,LIPG,ALOX12B,ALOX15B,ALOXE3,PNLIPRP3,LPL
PF00413	Peptidase_M10	3.06714358549465e-05	-10.3921787646657	23	7	0.00957592339261286	731	17385	4312,4322,4316,4318,4319,4314,4321	MMP1,MMP13,MMP7,MMP9,MMP10,MMP3,MMP12
PF00531	Death	3.13638865780857e-05	-10.3698534359111	31	8	0.0109439124487004	731	17385	286,4982,27242,4791,3656,137970,4790,11213	ANK1,TNFRSF11B,TNFRSF21,NFKB2,IRAK2,UNC5D,NFKB1,IRAK3
PF02263	GBP	4.84798655346978e-05	-9.93436198983128	11	5	0.00683994528043776	731	17385	2634,2635,2633,115362,115361	GBP2,GBP3,GBP1,GBP5,GBP4
