TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00437	SMALLCYTKCXC	6.49829534861967e-11	-23.456896134486	13	10	0.0383141762452107	261	4648	6373,2919,2921,3576,3627,4283,6372,2920,5197,6374	CXCL11,CXCL1,CXCL3,CXCL8,CXCL10,CXCL9,CXCL6,CXCL2,PF4V1,CXCL5
PR00306	SERUMAMYLOID	9.7281354682701e-06	-11.540488307234	4	4	0.0153256704980843	261	4648	6291,6289,100528017,6288	SAA4,SAA2,SAA2-SAA4,SAA1
PR00264	INTERLEUKIN1	2.61848928229453e-05	-10.5503279233118	8	5	0.0191570881226054	261	4648	3552,3557,3553,26525,56300	IL1A,IL1RN,IL1B,IL36RN,IL36G
PR00138	MATRIXIN	0.000183015038267121	-8.60594223217608	23	7	0.0268199233716475	261	4648	4321,4314,4316,4318,4319,4312,4322	MMP12,MMP3,MMP7,MMP9,MMP10,MMP1,MMP13
PR01301	RGSPROTEIN	0.0010291650774624	-6.87900740986344	22	6	0.0229885057471264	261	4648	6004,9628,26575,8313,5996,5999	RGS16,RGS6,RGS17,AXIN2,RGS1,RGS4
PR00821	TAGLIPASE	0.00155880368981609	-6.46383661741496	10	4	0.0153256704980843	261	4648	4023,51365,9388,119548	LPL,PLA1A,LIPG,PNLIPRP3
PR00069	ALDKETRDTASE	0.00155880368981609	-6.46383661741496	10	4	0.0153256704980843	261	4648	231,441282,1645,1646	AKR1B1,AKR1B15,AKR1C1,AKR1C2
PR01764	MAPKPHPHTASE	0.00155880368981609	-6.46383661741496	10	4	0.0153256704980843	261	4648	1848,1844,1850,1847	DUSP6,DUSP2,DUSP8,DUSP5
PR01360	INTRLEUKIN1X	0.00160874955496968	-6.4322980756851	5	3	0.0114942528735632	261	4648	3557,26525,56300	IL1RN,IL36RN,IL36G
PR00057	NFKBTNSCPFCT	0.00160874955496968	-6.4322980756851	5	3	0.0114942528735632	261	4648	4791,4790,5971	NFKB2,NFKB1,RELB
PR00467	MAMLPOXGNASE	0.00308420081785153	-5.78146270936614	6	3	0.0114942528735632	261	4648	242,247,59344	ALOX12B,ALOX15B,ALOXE3
PR00087	LIPOXYGENASE	0.00308420081785153	-5.78146270936614	6	3	0.0114942528735632	261	4648	59344,247,242	ALOXE3,ALOX15B,ALOX12B
PR01472	ICAMVCAM1	0.00308420081785153	-5.78146270936614	6	3	0.0114942528735632	261	4648	7087,3386,3383	ICAM5,ICAM4,ICAM1
PR00433	IL6GCSFMGF	0.00314177488334813	-5.76296738928136	2	2	0.00766283524904215	261	4648	3569,1440	IL6,CSF3
PR00822	LIPOLIPASE	0.00314177488334813	-5.76296738928136	2	2	0.00766283524904215	261	4648	9388,4023	LIPG,LPL
PR00708	A1AGLPROTEIN	0.00314177488334813	-5.76296738928136	2	2	0.00766283524904215	261	4648	5004,5005	ORM1,ORM2
PR00930	HIGHMOBLTYIY	0.00314177488334813	-5.76296738928136	2	2	0.00766283524904215	261	4648	8091,3159	HMGA2,HMGA1
PR01284	NUCLEARECPTR	0.0090750363612151	-4.70222789209378	3	2	0.00766283524904215	261	4648	4929,8013	NR4A2,NR4A3
PR00929	ATHOOK	0.0090750363612151	-4.70222789209378	3	2	0.00766283524904215	261	4648	3159,8091	HMGA1,HMGA2
PR00268	NGF	0.0174786805516722	-4.0467733949177	4	2	0.00766283524904215	261	4648	627,4803	BDNF,NGF
PR01689	EP450IICYP3A	0.0174786805516722	-4.0467733949177	4	2	0.00766283524904215	261	4648	1551,1577	CYP3A7,CYP3A5
PR01473	ICAM	0.0174786805516722	-4.0467733949177	4	2	0.00766283524904215	261	4648	7087,3383	ICAM5,ICAM1
PR00401	SH2DOMAIN	0.0183820217807668	-3.99638216915046	72	9	0.0344827586206897	261	4648	8503,3055,117157,4067,2886,660,2888,2268,6461	PIK3R3,HCK,SH2D1B,LYN,GRB7,BMX,GRB14,FGR,SHB
PR00464	EP450II	0.0280586345496376	-3.57345886730091	5	2	0.00766283524904215	261	4648	1577,1551	CYP3A5,CYP3A7
PR00310	ANTIPRLFBTG1	0.0405458514152995	-3.20532181153863	6	2	0.00766283524904215	261	4648	10950,7832	BTG3,BTG2
PR00141	PROTEASOME	0.0546944437950941	-2.90599315067145	7	2	0.00766283524904215	261	4648	5699,5698	PSMB10,PSMB9
PR01975	TNFACTORR11B	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	4982	TNFRSF11B
PR00648	GPR3ORPHANR	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	2827	GPR3
PR01054	MTABOTROPC4R	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	2914	GRM4
PR01354	GLUCAGONR	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	2642	GCGR
PR00346	TISSUEFACTOR	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	2152	F3
PR00993	BRADYKINNB1R	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	623	BDKRB1
PR01429	PROTEASEAR3	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	2151	F2RL2
PR01912	BDNFACTOR	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	627	BDNF
PR01867	BCL2RLATEDA1	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	597	BCL2A1
PR01943	INTLKN11MAML	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	3589	IL11
PR01924	TNFACTORR9	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	3604	TNFRSF9
PR01358	INTRLEUKIN1A	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	3552	IL1A
PR01287	NURRNUCRCPTR	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	4929	NR4A2
PR02021	AQUAPORIN9	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	366	AQP9
PR01831	TRACEAMINE1R	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	134864	TAAR1
PR00658	CD44	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	960	CD44
PR01507	MCH1RECEPTOR	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	2847	MCHR1
PR01927	INTRLEUKIN11	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	3589	IL11
PR00693	GMCSFACTOR	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	1437	CSF2
PR01935	INTRLEUKIN20	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	50604	IL20
PR01938	INTRLEUKIN34	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	146433	IL34
PR00588	SOMATOSTTN2R	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	6752	SSTR2
PR00670	INHIBINBA	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	3624	INHBA
PR01925	MAMLNGFBETA	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	4803	NGF
PR01897	TAP2PROTEIN	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	6891	TAP2
PR01971	TNFACTORR21	0.0561531841650439	-2.87967189121241	1	1	0.00383141762452107	261	4648	27242	TNFRSF21
