TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00471	SMALL_CYTOKINES_CXC	9.27179821101196e-12	-25.4040437733924	13	10	0.0181159420289855	552	12079	2921,2920,6372,3627,4283,3576,5197,6374,2919,6373	CXCL3,CXCL2,CXCL6,CXCL10,CXCL9,CXCL8,PF4V1,CXCL5,CXCL1,CXCL11
PS00472	SMALL_CYTOKINES_CC	3.74650271339692e-07	-14.7972728558879	23	9	0.016304347826087	552	12079	6347,6348,6352,6363,6351,6354,6364,6355,6346	CCL2,CCL3,CCL5,CCL19,CCL4,CCL7,CCL20,CCL8,CCL1
PS00546	CYSTEINE_SWITCH	1.8721364055409e-06	-13.1884303163557	15	7	0.0126811594202899	552	12079	4318,4321,4319,4312,4322,4314,4316	MMP9,MMP12,MMP10,MMP1,MMP13,MMP3,MMP7
PS00992	SAA	4.31635874850684e-06	-12.3530983934234	4	4	0.0072463768115942	552	12079	100528017,6291,6288,6289	SAA2-SAA4,SAA4,SAA1,SAA2
PS00253	INTERLEUKIN_1	4.31635874850684e-06	-12.3530983934234	4	4	0.0072463768115942	552	12079	26525,3552,3553,3557	IL36RN,IL1A,IL1B,IL1RN
PS00833	25A_SYNTH_2	4.31635874850684e-06	-12.3530983934234	4	4	0.0072463768115942	552	12079	4939,4940,4938,8638	OAS2,OAS3,OAS1,OASL
PS00832	25A_SYNTH_1	4.31635874850684e-06	-12.3530983934234	4	4	0.0072463768115942	552	12079	4939,8638,4940,4938	OAS2,OASL,OAS3,OAS1
PS50152	25A_SYNTH_3	2.07982361128972e-05	-10.7806423771175	5	4	0.0072463768115942	552	12079	4939,8638,4938,4940	OAS2,OASL,OAS1,OAS3
PS00520	INTERLEUKIN_10	6.01327811085043e-05	-9.71895542238576	6	4	0.0072463768115942	552	12079	29949,3586,50604,11009	IL19,IL10,IL20,IL24
PS00024	HEMOPEXIN	7.12222735150303e-05	-9.54970495820025	17	6	0.0108695652173913	552	12079	4314,4312,4322,4319,4318,4321	MMP3,MMP1,MMP13,MMP10,MMP9,MMP12
PS51715	G_GB1_RHD3	7.1885802090654e-05	-9.54043178018224	11	5	0.00905797101449275	552	12079	115361,2635,115362,2633,2634	GBP4,GBP3,GBP5,GBP1,GBP2
PS50095	PLAT	0.000198342930920992	-8.52551305105929	20	6	0.0108695652173913	552	12079	247,23258,242,59344,4023,9388	ALOX15B,DENND5A,ALOX12B,ALOXE3,LPL,LIPG
PS51642	HEMOPEXIN_2	0.000459471766371442	-7.68543306229691	23	6	0.0108695652173913	552	12079	4314,4322,4312,4319,4318,4321	MMP3,MMP13,MMP1,MMP10,MMP9,MMP12
PS00284	SERPIN	0.000606261356339643	-7.4081993837814	33	7	0.0126811594202899	552	12079	5055,5270,6317,3053,8710,6318,327657	SERPINB2,SERPINE2,SERPINB3,SERPIND1,SERPINB7,SERPINB4,SERPINA9
PS00062	ALDOKETO_REDUCTASE_2	0.000726680243349921	-7.22702400751472	10	4	0.0072463768115942	552	12079	1645,231,441282,1646	AKR1C1,AKR1B1,AKR1B15,AKR1C2
PS50923	SUSHI	0.000789149400138516	-7.14455490125584	55	9	0.016304347826087	552	12079	6401,9766,60676,1604,3601,5069,629,1379,3559	SELE,SUSD6,PAPPA2,CD55,IL15RA,PAPPA,CFB,CR1L,IL2RA
PS01204	REL_1	0.000885871635495454	-7.02893849878609	5	3	0.00543478260869565	552	12079	4791,4790,5971	NFKB2,NFKB1,RELB
PS50893	ABC_TRANSPORTER_2	0.0013542108730066	-6.60453637584542	48	8	0.0144927536231884	552	12079	26154,6890,6891,1080,24,4363,154664,8714	ABCA12,TAP1,TAP2,CFTR,ABCA4,ABCC1,ABCA13,ABCC3
PS00142	ZINC_PROTEASE	0.00162792471398064	-6.42044925695473	85	11	0.0199275362318841	552	12079	60676,4314,4312,4319,56999,4316,4322,9507,5069,4318,4321	PAPPA2,MMP3,MMP1,MMP10,ADAMTS9,MMP7,MMP13,ADAMTS4,PAPPA,MMP9,MMP12
PS51393	LIPOXYGENASE_3	0.00171161048990138	-6.37032054472961	6	3	0.00543478260869565	552	12079	59344,242,247	ALOXE3,ALOX12B,ALOX15B
PS00711	LIPOXYGENASE_1	0.00171161048990138	-6.37032054472961	6	3	0.00543478260869565	552	12079	59344,242,247	ALOXE3,ALOX12B,ALOX15B
PS00081	LIPOXYGENASE_2	0.00171161048990138	-6.37032054472961	6	3	0.00543478260869565	552	12079	59344,247,242	ALOXE3,ALOX15B,ALOX12B
PS00254	INTERLEUKIN_6	0.00208480130413108	-6.17308172605135	2	2	0.0036231884057971	552	12079	3569,1440	IL6,CSF3
