TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-1280215	Cytokine Signaling in Immune system	5.04212097056981e-27	-60.551970689785	756	108	0.223140495867769	484	10287	5698,1844,8503,6351,3669,1839,26281,3976,54739,149233,3553,10125,3552,3627,6352,941,3593,960,2920,2635,3586,3162,2633,5699,3575,4982,1326,11213,51561,3429,595,970,9235,3684,330,3687,8995,8767,4318,3576,6363,3589,3559,4067,2537,3455,4939,4312,1435,6708,64127,1847,5292,2668,8638,5721,4314,7133,3604,23529,3592,10148,8809,9636,115362,3055,1440,146433,4940,23586,29949,3659,4790,115361,50604,4843,3557,1848,3383,3561,6364,1437,90865,6348,3934,4791,3460,27189,3394,3569,1850,6288,56300,943,5971,6347,2634,91543,27177,2247,11009,5743,3601,4938,2069,2919,3656,4233	PSMB9,DUSP2,PIK3R3,CCL4,ISG20,HBEGF,FGF20,LIF,XAF1,IL23R,IL1B,RASGRP1,IL1A,CXCL10,CCL5,CD80,IL12B,CD44,CXCL2,GBP3,IL10,HMOX1,GBP1,PSMB10,IL7R,TNFRSF11B,MAP3K8,IRAK3,IL23A,IFI27,CCND1,CD70,IL32,ITGAM,BIRC3,ITGAX,TNFSF18,RIPK2,MMP9,CXCL8,CCL19,IL11,IL2RA,LYN,IFI6,IFNAR2,OAS2,MMP1,CSF1,SPTA1,NOD2,DUSP5,PIM1,GDNF,OASL,PSME2,MMP3,TNFRSF1B,TNFRSF9,CLCF1,IL12A,EBI3,IL18R1,ISG15,GBP5,HCK,CSF3,IL34,OAS3,DDX58,IL19,IRF1,NFKB1,GBP4,IL20,NOS2,IL1RN,DUSP6,ICAM1,IL2RG,CCL20,CSF2,IL33,CCL3,LCN2,NFKB2,IFNGR2,IL17C,IRF8,IL6,DUSP8,SAA1,IL36G,TNFRSF8,RELB,CCL2,GBP2,RSAD2,IL36B,FGF2,IL24,PTGS2,IL15RA,OAS1,EREG,CXCL1,IRAK2,MET
R-HSA-449147	Signaling by Interleukins	1.16908852284992e-21	-48.1980625479741	525	80	0.165289256198347	484	10287	146433,1440,29949,10148,3592,8809,3055,90865,6348,1437,3934,4791,4790,50604,1848,3557,4843,3561,6364,3383,2247,27177,11009,5743,27189,1850,3569,6288,6347,56300,2069,2919,4233,3656,3601,3552,10125,3553,3627,6352,8503,1844,5698,6351,3976,26281,1839,149233,3162,5699,3575,3593,941,2920,3586,3576,4318,6363,4067,3559,3589,51561,11213,1326,595,3687,8767,3684,9235,2668,5292,5721,4314,23529,7133,4312,1435,6708,1847,64127	IL34,CSF3,IL19,EBI3,IL12A,IL18R1,HCK,IL33,CCL3,CSF2,LCN2,NFKB2,NFKB1,IL20,DUSP6,IL1RN,NOS2,IL2RG,CCL20,ICAM1,FGF2,IL36B,IL24,PTGS2,IL17C,DUSP8,IL6,SAA1,CCL2,IL36G,EREG,CXCL1,MET,IRAK2,IL15RA,IL1A,RASGRP1,IL1B,CXCL10,CCL5,PIK3R3,DUSP2,PSMB9,CCL4,LIF,FGF20,HBEGF,IL23R,HMOX1,PSMB10,IL7R,IL12B,CD80,CXCL2,IL10,CXCL8,MMP9,CCL19,LYN,IL2RA,IL11,IL23A,IRAK3,MAP3K8,CCND1,ITGAX,RIPK2,ITGAM,IL32,GDNF,PIM1,PSME2,MMP3,CLCF1,TNFRSF1B,MMP1,CSF1,SPTA1,DUSP5,NOD2
R-HSA-6783783	Interleukin-10 signaling	7.85520596840042e-21	-46.2931104601998	49	25	0.0516528925619835	484	10287	2919,7133,1437,6348,941,3593,3383,3586,6364,2920,3557,1435,6363,3627,3553,1440,3552,3576,5743,6352,3569,3592,6351,6347,3976	CXCL1,TNFRSF1B,CSF2,CCL3,CD80,IL12B,ICAM1,IL10,CCL20,CXCL2,IL1RN,CSF1,CCL19,CXCL10,IL1B,CSF3,IL1A,CXCL8,PTGS2,CCL5,IL6,IL12A,CCL4,CCL2,LIF
R-HSA-168256	Immune System	6.58708296960516e-17	-37.258835975357	2101	176	0.363636363636364	484	10287	4790,7498,50604,115361,3557,4688,7130,3383,6364,3561,90865,221687,4791,3592,10148,6280,115362,9636,8809,3055,114770,57823,1440,4940,3659,3725,4586,2069,3394,3569,629,5329,6288,54210,6347,718,91543,6616,7097,11009,5743,3593,5317,941,960,2920,3162,5068,2633,64135,8503,1844,5698,26253,6351,3669,1839,26281,3976,7128,255488,3552,3710,10125,1118,10517,1520,6352,6891,7295,4939,5292,6317,8638,5721,23327,3604,7133,23529,719,1326,3429,53831,970,8995,2495,3576,3589,3455,10584,5005,4843,1848,3937,92369,1437,6348,4794,3934,285852,5806,6890,146433,23586,79930,29949,3601,4033,4938,11119,55521,2919,3656,4233,3460,154664,27189,1850,943,5971,56300,23308,2634,27177,2247,3386,1540,2635,6279,1604,3586,84676,29126,5699,55008,3575,4982,4792,54739,149233,3553,245973,10071,3627,2268,644150,4312,6278,342510,117157,6708,1435,64127,1847,2668,50617,4314,127544,8876,51561,11213,595,2207,3684,9235,330,3687,8767,4318,5004,6363,3559,2537,4067,5266,272	NFKB1,XDH,IL20,GBP4,IL1RN,NCF2,TNFAIP6,ICAM1,CCL20,IL2RG,IL33,RNF182,NFKB2,IL12A,EBI3,S100A9,GBP5,ISG15,IL18R1,HCK,PGLYRP2,SLAMF7,CSF3,OAS3,IRF1,JUN,MUC5AC,EREG,IRF8,IL6,CFB,PLAUR,SAA1,TREM1,CCL2,C3,RSAD2,SNAP25,TLR2,IL24,PTGS2,IL12B,PKP1,CD80,CD44,CXCL2,HMOX1,REG3A,GBP1,IFIH1,PIK3R3,DUSP2,PSMB9,CLEC4E,CCL4,ISG20,HBEGF,FGF20,LIF,TNFAIP3,RNF144B,IL1A,ITPR3,RASGRP1,CHIT1,FBXW10,CTSS,CCL5,TAP2,TXN,OAS2,PIM1,SERPINB3,OASL,PSME2,NEDD4L,TNFRSF9,TNFRSF1B,CLCF1,C3AR1,MAP3K8,IFI27,GPR84,CD70,TNFSF18,FTH1,CXCL8,IL11,IFNAR2,COLEC10,ORM2,NOS2,DUSP6,LCP2,SPSB4,CSF2,CCL3,NFKBIE,LCN2,TREML4,PTX3,TAP1,IL34,DDX58,DOK3,IL19,IL15RA,LRMP,OAS1,BTN3A1,TRIM36,CXCL1,IRAK2,MET,IFNGR2,ABCA13,IL17C,DUSP8,TNFRSF8,RELB,IL36G,ICOSLG,GBP2,IL36B,FGF2,ICAM4,CYLD,GBP3,S100A8,CD55,IL10,TRIM63,CD274,PSMB10,HERC6,IL7R,TNFRSF11B,NFKBIA,XAF1,IL23R,IL1B,ATP6V1C2,MUC12,CXCL10,FGR,WIPF3,MMP1,S100A7,CD300E,SH2D1B,SPTA1,CSF1,NOD2,DUSP5,GDNF,ATP6V0A4,MMP3,RNF19B,VNN1,IL23A,IRAK3,CCND1,FCER1G,ITGAM,IL32,BIRC3,ITGAX,RIPK2,MMP9,ORM1,CCL19,IL2RA,IFI6,LYN,PI3,AMPD3
R-HSA-380108	Chemokine receptors bind chemokines	1.37719177380276e-13	-29.6135597295901	48	19	0.0392561983471074	484	10287	6346,6372,7852,2920,6364,1236,2919,57007,6373,643,4283,9034,3576,6376,3627,6374,6363,2921,6352	CCL1,CXCL6,CXCR4,CXCL2,CCL20,CCR7,CXCL1,ACKR3,CXCL11,CXCR5,CXCL9,CCRL2,CXCL8,CX3CL1,CXCL10,CXCL5,CCL19,CXCL3,CCL5
R-HSA-6785807	Interleukin-4 and 13 signaling	8.67389255797904e-13	-27.7732885502614	111	27	0.0557851239669422	484	10287	51561,3592,3569,595,6288,3976,3684,149233,6347,3687,4318,3553,3576,3552,2247,5743,3593,4312,4843,3383,3561,3586,5292,3162,4314,7133,3934	IL23A,IL12A,IL6,CCND1,SAA1,LIF,ITGAM,IL23R,CCL2,ITGAX,MMP9,IL1B,CXCL8,IL1A,FGF2,PTGS2,IL12B,MMP1,NOS2,ICAM1,IL2RG,IL10,PIM1,HMOX1,MMP3,TNFRSF1B,LCN2
R-HSA-375276	Peptide ligand-binding receptors	3.3271118110956e-09	-19.5211612332925	188	30	0.0619834710743802	484	10287	2921,6352,1910,3576,718,6376,3627,2847,9283,6363,6374,6288,2151,643,9034,4283,623,719,6373,57007,10887,1236,2919,7852,6372,2920,6752,6364,6346,5021	CXCL3,CCL5,EDNRB,CXCL8,C3,CX3CL1,CXCL10,MCHR1,GPR37L1,CCL19,CXCL5,SAA1,F2RL2,CXCR5,CCRL2,CXCL9,BDKRB1,C3AR1,CXCL11,ACKR3,PROKR1,CCR7,CXCL1,CXCR4,CXCL6,CXCL2,SSTR2,CCL20,CCL1,OXTR
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	1.12162521278212e-06	-13.7007318416194	322	36	0.0743801652892562	484	10287	10887,2919,6752,6372,6346,2863,2847,6363,9283,3576,6376,718,4283,9034,2151,6288,6373,719,57007,1236,6364,7852,2920,5021,150,6352,135,1910,147,2921,3627,6374,643,134864,623,8111	PROKR1,CXCL1,SSTR2,CXCL6,CCL1,GPR39,MCHR1,CCL19,GPR37L1,CXCL8,CX3CL1,C3,CXCL9,CCRL2,F2RL2,SAA1,CXCL11,C3AR1,ACKR3,CCR7,CCL20,CXCR4,CXCL2,OXTR,ADRA2A,CCL5,ADORA2A,EDNRB,ADRA1B,CXCL3,CXCL10,CXCL5,CXCR5,TAAR1,BDKRB1,GPR68
R-HSA-909733	Interferon alpha/beta signaling	3.07430810227236e-06	-12.6924306894149	69	14	0.0289256198347107	484	10287	8638,2634,91543,4940,3455,3659,2537,3669,9636,4939,3429,3394,4938,54739	OASL,GBP2,RSAD2,OAS3,IFNAR2,IRF1,IFI6,ISG20,ISG15,OAS2,IFI27,IRF8,OAS1,XAF1
R-HSA-418594	G alpha (i) signalling events	3.21496414293873e-06	-12.6476943533886	242	29	0.0599173553719008	484	10287	623,719,5999,6373,6288,2914,643,4283,3576,718,3627,2847,9628,6374,6363,2921,6352,6004,150,5996,6372,7852,2920,6752,6364,2918,1236,2919,57007	BDKRB1,C3AR1,RGS4,CXCL11,SAA1,GRM4,CXCR5,CXCL9,CXCL8,C3,CXCL10,MCHR1,RGS6,CXCL5,CCL19,CXCL3,CCL5,RGS16,ADRA2A,RGS1,CXCL6,CXCR4,CXCL2,SSTR2,CCL20,GRM8,CCR7,CXCL1,ACKR3
R-HSA-500792	GPCR ligand binding	3.43754336131723e-06	-12.5807534808498	453	44	0.0909090909090909	484	10287	6752,6372,2863,6346,10887,2919,9034,4283,2151,6288,6373,719,11211,9283,6363,2847,6376,718,3576,1604,2918,6364,7474,2920,7852,5021,150,57007,1236,643,2914,2642,8111,623,134864,147,135,1910,6352,2921,9340,6374,90226,3627	SSTR2,CXCL6,GPR39,CCL1,PROKR1,CXCL1,CCRL2,CXCL9,F2RL2,SAA1,CXCL11,C3AR1,FZD10,GPR37L1,CCL19,MCHR1,CX3CL1,C3,CXCL8,CD55,GRM8,CCL20,WNT5A,CXCL2,CXCR4,OXTR,ADRA2A,ACKR3,CCR7,CXCR5,GRM4,GCGR,GPR68,BDKRB1,TAAR1,ADRA1B,ADORA2A,EDNRB,CCL5,CXCL3,GLP2R,CXCL5,UCN2,CXCL10
R-HSA-168249	Innate Immune System	1.76823749321783e-05	-10.942942181033	1285	92	0.190082644628099	484	10287	3659,79930,23586,114770,6280,5806,9636,3055,1437,3934,4791,4843,1848,7130,4688,3937,3561,10584,4790,5005,1540,718,6616,7097,2247,6288,5329,5971,54210,154664,629,1850,3656,4233,2069,2919,4586,4033,3725,1118,2268,1520,3553,245973,10125,3710,10071,4792,1839,26281,7128,1844,26253,8503,5698,64135,5068,5699,1604,6279,941,5317,960,3559,4067,5266,272,2495,4318,5004,2207,3684,330,3687,8767,11213,719,1326,53831,7133,8876,6317,2668,50617,5721,6708,64127,1847,644150,7295,342510,6278	IRF1,DOK3,DDX58,PGLYRP2,S100A9,PTX3,ISG15,HCK,CSF2,LCN2,NFKB2,NOS2,DUSP6,TNFAIP6,NCF2,LCP2,IL2RG,COLEC10,NFKB1,ORM2,CYLD,C3,SNAP25,TLR2,FGF2,SAA1,PLAUR,RELB,TREM1,ABCA13,CFB,DUSP8,IRAK2,MET,EREG,CXCL1,MUC5AC,LRMP,JUN,CHIT1,FGR,CTSS,IL1B,ATP6V1C2,RASGRP1,ITPR3,MUC12,NFKBIA,HBEGF,FGF20,TNFAIP3,DUSP2,CLEC4E,PIK3R3,PSMB9,IFIH1,REG3A,PSMB10,CD55,S100A8,CD80,PKP1,CD44,IL2RA,LYN,PI3,AMPD3,FTH1,MMP9,ORM1,FCER1G,ITGAM,BIRC3,ITGAX,RIPK2,IRAK3,C3AR1,MAP3K8,GPR84,TNFRSF1B,VNN1,SERPINB3,GDNF,ATP6V0A4,PSME2,SPTA1,NOD2,DUSP5,WIPF3,TXN,CD300E,S100A7
R-HSA-109582	Hemostasis	5.02744748749641e-05	-9.89801306741304	632	52	0.107438016528926	484	10287	2886,5004,4067,3559,5329,2151,2207,5327,10938,3687,3684,7273,54210,6385,9162,2152,5341,5552,5880,8140,2888,857,4312,5270,23764,10125,3710,4602,23657,5152,11343,3659,83953,9056,2268,5197,8503,3779,5055,490,3053,6547,1437,150,9732,5005,960,55619,6401,3937,4843,3561	GRB7,ORM1,LYN,IL2RA,PLAUR,F2RL2,FCER1G,PLAT,EHD1,ITGAX,ITGAM,TTN,TREM1,SDC4,DGKI,F3,PLEK,SRGN,RAC2,SLC7A5,GRB14,CAV1,MMP1,SERPINE2,MAFF,RASGRP1,ITPR3,MYB,SLC7A11,PDE9A,MGLL,IRF1,FCAMR,SLC7A7,FGR,PF4V1,PIK3R3,KCNMB1,SERPINB2,ATP2B1,SERPIND1,SLC8A3,CSF2,ADRA2A,DOCK4,ORM2,CD44,DOCK10,SELE,LCP2,NOS2,IL2RG
R-HSA-6799990	Metal sequestration by antimicrobial proteins	6.7319843318076e-05	-9.60605551606452	6	4	0.00826446280991736	484	10287	6279,3934,6280,6278	S100A8,LCN2,S100A9,S100A7
R-HSA-877300	Interferon gamma signaling	0.000117707409686732	-9.04730859167165	94	14	0.0289256198347107	484	10287	3394,960,4939,3460,115362,115361,2635,4938,3383,4940,2634,2633,8638,3659	IRF8,CD44,OAS2,IFNGR2,GBP5,GBP4,GBP3,OAS1,ICAM1,OAS3,GBP2,GBP1,OASL,IRF1
R-HSA-448706	Interleukin-1 processing	0.000151231882341077	-8.79669625440296	7	4	0.00826446280991736	484	10287	3552,3553,4790,4791	IL1A,IL1B,NFKB1,NFKB2
R-HSA-913531	Interferon Signaling	0.000191204920357796	-8.5621648235892	201	22	0.0454545454545455	484	10287	8638,2633,4938,3383,2635,115361,960,4939,3455,3659,2537,23586,4940,91543,2634,54739,9636,115362,3669,3394,3429,3460	OASL,GBP1,OAS1,ICAM1,GBP3,GBP4,CD44,OAS2,IFNAR2,IRF1,IFI6,DDX58,OAS3,RSAD2,GBP2,XAF1,ISG15,GBP5,ISG20,IRF8,IFI27,IFNGR2
R-HSA-202733	Cell surface interactions at the vascular wall	0.000210788477921134	-8.46465540160907	136	17	0.0351239669421488	484	10287	8140,6385,6401,4312,2888,960,857,5197,83953,4067,9056,2886,23657,3687,54210,3684,2207	SLC7A5,SDC4,SELE,MMP1,GRB14,CD44,CAV1,PF4V1,FCAMR,LYN,SLC7A7,GRB7,SLC7A11,ITGAX,TREM1,ITGAM,FCER1G
R-HSA-71240	Tryptophan catabolism	0.000212202083909203	-8.45797151133684	13	5	0.0103305785123967	484	10287	3620,8942,6999,8564,8140	IDO1,KYNU,TDO2,KMO,SLC7A5
R-HSA-446652	Interleukin-1 signaling	0.000243394474152068	-8.32082708041273	46	9	0.0185950413223141	484	10287	11213,1326,4790,64127,8767,3557,3553,3552,3656	IRAK3,MAP3K8,NFKB1,NOD2,RIPK2,IL1RN,IL1B,IL1A,IRAK2
