TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP3617	Photodynamic therapy-induced NF-kB survival signaling	1.15682157883085e-13	-29.7879299827748	35	18	0.0564263322884013	319	5311	6401,330,4318,3552,597,4314,3553,4312,5971,595,3383,3569,4790,4791,3576,5743,1437,2920	SELE,BIRC3,MMP9,IL1A,BCL2A1,MMP3,IL1B,MMP1,RELB,CCND1,ICAM1,IL6,NFKB1,NFKB2,CXCL8,PTGS2,CSF2,CXCL2
WP619	Type II interferon signaling (IFNG)	1.0399198993351e-08	-18.3815370536354	37	14	0.0438871473354232	319	5311	6890,4843,3383,3460,3627,3553,3394,3659,4283,2537,4938,5698,9636,2633	TAP1,NOS2,ICAM1,IFNGR2,CXCL10,IL1B,IRF8,IRF1,CXCL9,IFI6,OAS1,PSMB9,ISG15,GBP1
WP530	Cytokines and Inflammatory Response	1.06047200183767e-07	-16.0593815571917	26	11	0.0344827586206897	319	5311	3553,1437,2920,3589,3569,3593,1440,3586,1435,3552,2919	IL1B,CSF2,CXCL2,IL11,IL6,IL12B,CSF3,IL10,CSF1,IL1A,CXCL1
WP1449	Regulation of toll-like receptor signaling pathway	3.30228288696665e-07	-14.9234816377288	145	26	0.0815047021943574	319	5311	3627,7128,54210,3569,11213,8503,3593,3553,1326,1540,6373,3592,4792,92610,6352,941,6348,3455,3725,3576,7097,6351,4283,3656,4790,4791	CXCL10,TNFAIP3,TREM1,IL6,IRAK3,PIK3R3,IL12B,IL1B,MAP3K8,CYLD,CXCL11,IL12A,NFKBIA,TIFA,CCL5,CD80,CCL3,IFNAR2,JUN,CXCL8,TLR2,CCL4,CXCL9,IRAK2,NFKB1,NFKB2
WP75	Toll-like Receptor Signaling Pathway	2.19100360418081e-06	-13.0311508523588	103	20	0.0626959247648903	319	5311	6351,3576,7097,3725,3455,4790,4791,4283,1326,3553,3569,3593,8503,3627,6352,941,6348,4792,3592,6373	CCL4,CXCL8,TLR2,JUN,IFNAR2,NFKB1,NFKB2,CXCL9,MAP3K8,IL1B,IL6,IL12B,PIK3R3,CXCL10,CCL5,CD80,CCL3,NFKBIA,IL12A,CXCL11
WP15	Selenium Micronutrient Network	2.75521008874932e-06	-12.8020168610076	87	18	0.0564263322884013	319	5311	3383,3569,6291,3553,6289,7295,8564,7498,8942,247,6288,5743,6648,6347,7296,4791,4790,5327	ICAM1,IL6,SAA4,IL1B,SAA2,TXN,KMO,XDH,KYNU,ALOX15B,SAA1,PTGS2,SOD2,CCL2,TXNRD1,NFKB2,NFKB1,PLAT
WP3624	Lung fibrosis	3.00829355942369e-06	-12.714137563745	63	15	0.0470219435736677	319	5311	6351,3576,3553,1437,2920,3162,3569,3593,2247,1440,6348,6352,4318,5806,6347	CCL4,CXCL8,IL1B,CSF2,CXCL2,HMOX1,IL6,IL12B,FGF2,CSF3,CCL3,CCL5,MMP9,PTX3,CCL2
WP2036	TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway	3.86734712102148e-06	-12.4629417844281	42	12	0.0376175548589342	319	5311	3725,3569,84676,5971,330,6352,4790,4791,7185,4792,6347,4318	JUN,IL6,TRIM63,RELB,BIRC3,CCL5,NFKB1,NFKB2,TRAF1,NFKBIA,CCL2,MMP9
WP2431	Spinal Cord Injury	6.05727066893116e-06	-12.0142512440015	119	21	0.0658307210031348	319	5311	2668,5542,9353,6347,5743,3576,4843,2920,50515,4321,2919,3552,4318,627,6098,7832,3553,595,3383,3569,3627	GDNF,PRB1,SLIT2,CCL2,PTGS2,CXCL8,NOS2,CXCL2,CHST11,MMP12,CXCL1,IL1A,MMP9,BDNF,ROS1,BTG2,IL1B,CCND1,ICAM1,IL6,CXCL10
WP1533	Vitamin B12 Metabolism	5.12059067709866e-05	-9.8796556659522	53	12	0.0376175548589342	319	5311	3553,6291,6288,3383,3569,5327,6352,4791,4790,6648,6347,6289	IL1B,SAA4,SAA1,ICAM1,IL6,PLAT,CCL5,NFKB2,NFKB1,SOD2,CCL2,SAA2
