PEER1,Donor
-0.011887778528034687,AM7180
0.0775940865278244,AM7181
0.030868005007505417,AM7182
0.03729250654578209,AM7188
0.03170140087604523,AM7189
0.032265760004520416,AM7196
0.028299471363425255,AM7197
0.16056708991527557,AM7203
0.03273235633969307,AM7204
0.08494703471660614,AM7205
0.17699843645095825,AM7208
0.20002290606498718,AM7209
0.20241716504096985,AM7211
0.25026586651802063,AM7213
0.1457902044057846,AM7214
0.2531420886516571,AM7215
0.23345403373241425,AM7216
-0.07960530370473862,AM7221
0.03568402677774429,AM7223
0.06638382375240326,AM7224
0.03704176843166351,AM7226
-0.01712818816304207,AM7228
0.019799677655100822,AM7229
0.006062280386686325,AM7230
0.031115975230932236,AM7236
0.062148090451955795,AM7237
0.08051685988903046,AM7241
0.057537395507097244,AM7242
0.04564811289310455,AM7243
0.09165167808532715,AM7255
0.0417463555932045,AM7256
-0.046620164066553116,AM7260
0.01804330386221409,AM7261
0.012979918159544468,AM7266
0.0767226368188858,AM7269
-0.006526668090373278,AM7270
0.015122850425541401,AM7272
-0.025794534012675285,AM7273
-0.009395976550877094,AM7277
-0.07397650927305222,AM7278
-0.10368411988019943,AM7280
-0.1397625207901001,AM7283
-0.1643325686454773,AM7284
-0.128119558095932,AM7285
0.025376170873641968,AM7294
-0.07012317329645157,AM7295
-0.1433737426996231,AM7302
-0.08929184079170227,AM7303
-0.07815094292163849,AM7304
-0.09782641381025314,AM7312
-0.14815489947795868,AM7313
-0.11461490392684937,AM7318
-0.024399632588028908,AM7319
-0.1124541237950325,AM7320
-0.12874750792980194,AM7321
-0.08727870881557465,AM7323
-0.041041284799575806,AM7325
-0.1347545087337494,AM7327
0.014733226969838142,AM7328
0.005453590303659439,AM7329
-0.1082790344953537,AM7332
-0.13107195496559143,AM7333
-0.05578898265957832,AM7334
-0.07293835282325745,AM7336
-0.10334917902946472,AM7337
-0.07966523617506027,AM7343
-0.0474495105445385,AM7344
0.06794566661119461,AM7345
-0.04499829187989235,AM7346
-0.05977847799658775,AM7353
-0.0794738158583641,AM7354
0.05033756047487259,AM7356
0.04654872417449951,AM7359
-0.08763933181762695,AM7361
-0.07586611807346344,AM7362
0.013998713344335556,AM7365
0.025017641484737396,AM7372
-0.0205739364027977,AM7373
0.040386591106653214,AM7380
0.016462914645671844,AM7382
0.036385972052812576,AM7383
0.01603316143155098,AM7384
0.004486359655857086,AM7385
-0.018306054174900055,AM7386
0.052981968969106674,AM7387
-0.034748826175928116,AM7388
-0.022450823336839676,AM7409
0.00718641746789217,AM7416
0.08027815818786621,AM7419
0.03565970063209534,AM7420
-0.007272288203239441,AM7426
0.020808648318052292,AM7427
-0.01401529274880886,AM7492
-0.1203194260597229,AM7493
-0.039067983627319336,AM7495
-0.02729153260588646,AM7589
0.013022392988204956,AM7591
0.04868758097290993,AM7628
-0.03042108193039894,AM7629
0.032574962824583054,AM7633
0.05127912759780884,AM7634
