PEER1,Donor
-0.006553240120410919,AM7180
0.012626011855900288,AM7181
0.004167404491454363,AM7182
0.0490831583738327,AM7188
-0.036939240992069244,AM7189
-0.021544979885220528,AM7196
0.006471126340329647,AM7197
0.08622360974550247,AM7203
-0.013107039034366608,AM7204
0.004460213240236044,AM7205
0.2700965106487274,AM7208
0.25713178515434265,AM7209
0.3241105079650879,AM7211
0.30874398350715637,AM7213
0.24920281767845154,AM7214
0.3290715217590332,AM7215
0.27620160579681396,AM7216
-0.045368924736976624,AM7221
-0.039058469235897064,AM7223
0.020450860261917114,AM7224
0.021363750100135803,AM7226
0.03399825841188431,AM7228
0.017164750024676323,AM7229
0.10839825123548508,AM7230
-0.012904616072773933,AM7236
0.0016591569874435663,AM7237
0.06260287761688232,AM7241
0.09367050230503082,AM7242
0.01829337514936924,AM7243
0.06637442111968994,AM7255
0.09292474389076233,AM7256
-0.05439930036664009,AM7260
0.033228516578674316,AM7261
0.007159714121371508,AM7266
-0.018457816913723946,AM7269
-0.010284156538546085,AM7270
0.05043378472328186,AM7272
0.005623826291412115,AM7273
0.01064945850521326,AM7277
-0.02506711147725582,AM7278
-0.07336203008890152,AM7280
-0.0933104082942009,AM7283
-0.072574712336063385,AM7284
0.0135169867426157,AM7285
-0.005643376614898443,AM7294
-0.019058287143707275,AM7295
-0.11268006265163422,AM7302
-0.07453320175409317,AM7303
-0.050069548189640045,AM7304
0.03375115245580673,AM7312
-0.08379718661308289,AM7313
-0.0684826672077179,AM7318
3.623451048042625e-4,AM7319
-0.025724239647388458,AM7320
-0.11204126477241516,AM7321
-0.04613495245575905,AM7323
-0.04445182532072067,AM7325
-0.08409207314252853,AM7327
-0.08307305723428726,AM7328
-0.03996151313185692,AM7329
-0.10383112728595734,AM7332
-0.08347675204277039,AM7333
-0.007376271765679121,AM7334
-0.0998619943857193,AM7336
-0.09243637323379517,AM7337
-0.04777557775378227,AM7343
-0.10380590707063675,AM7344
-0.001972718397155404,AM7345
-0.05063797906041145,AM7346
-0.01676255650818348,AM7353
-0.10016943514347076,AM7354
0.048768091946840286,AM7356
0.011081241071224213,AM7359
-0.09484592080116272,AM7361
-0.1522841602563858,AM7362
-0.04475395008921623,AM7365
-0.024545613676309586,AM7372
-0.008480416610836983,AM7373
0.031226256862282753,AM7380
-0.018984079360961914,AM7382
-0.0703229084610939,AM7383
-0.018571913242340088,AM7384
-0.005766642279922962,AM7385
-0.041630446910858154,AM7386
-6.105643115006387e-4,AM7387
-0.009916359558701515,AM7388
-0.03051639348268509,AM7409
-0.08709315955638885,AM7416
-0.02762591652572155,AM7419
-0.011245673522353172,AM7420
-0.005350534338504076,AM7426
-0.027049291878938675,AM7427
-0.09362908452749252,AM7492
-0.01580735854804516,AM7493
-0.011714051477611065,AM7495
-0.014828480780124664,AM7589
-0.016950422897934914,AM7591
-0.015106191858649254,AM7628
-0.008236084133386612,AM7629
0.006557831075042486,AM7633
-0.004253400955349207,AM7634
