gene,p-value,chrom
ZNF684,0.828,chr1
PPIH,0.562,chr1
YBX1,0.292,chr1
P3H1,0.00475,chr1
ERMAP,0.1077,chr1
SLC2A1-DT,0.838,chr1
EBNA1BP2,0.716,chr1
CDC20,0.35,chr1
MED8,0.85,chr1
SZT2,0.542,chr1
HYI,0.933,chr1
PTPRF,0.761,chr1
LOC107984950,0.933,chr1
RNF220,0.932,chr1
TMEM53,0.949,chr1
ZSWIM5,0.0666,chr1
MUTYH,0.135,chr1
TESK2,0.0788,chr1
MMACHC,0.2,chr1
PRDX1,0.492,chr1
AKR1A1,0.0887,chr1
"NASP",0.382,chr1
IPP,0.872,chr1
MAST2,0.797,chr1
ATPAF1,0.489,chr1
EFCAB14-AS1,0.296,chr1
EFCAB14,0.391,chr1
SPATA6,0.452,chr1
EPS15,0.0488,chr1
ZYG11B,0.86,chr1
CPT2,0.0614,chr1
CZIB,0.738,chr1
MAGOH-DT,0.00161,chr1
LRP8,1e-06,chr1
YIPF1,0.0539,chr1
TMEM59,0.273,chr1
TCEANC2,0.831,chr1
CDCP2,0.416,chr1
CYB5RL,0.448,chr1
SSBP3,0.188,chr1
ACOT11,0.333,chr1
FAM151A,0.696,chr1
PARS2,0.35,chr1
DHCR24,0.896,chr1
PLPP3,0,chr1
PRKAA2,0.32,chr1
TACSTD2,0,chr1
MYSM1,0.826,chr1
FGGY,0.18,chr1
NFIA,0.191,chr1
TM2D1,0.279,chr1
PATJ,0.178,chr1
RNF207,0.249,chr1
USP1,0.143,chr1
DOCK7,0.012,chr1
ALG6,0.665,chr1
ITGB3BP,0.11,chr1
EFCAB7,0.138,chr1
PGM1,0.0475,chr1
CACHD1,0.517,chr1
JAK1,0.0827,chr1
AK4,0.551,chr1
LEPR,0.00116,chr1
LEPROT,0.142,chr1
ZBTB48,0.439,chr1
KLHL21,0.965,chr1
DNAJC11,0.326,chr1
SGIP1,0.00674,chr1
GNG12,0.0936,chr1
ANKRD13C,0.712,chr1
CTH,0.229,chr1
ZRANB2,0.24,chr1
FPGT-TNNI3K,0.687,chr1
FPGT,0.693,chr1
TYW3,0.0214,chr1
ACADM,0.173,chr1
RABGGTB,0.229,chr1
SNORD45B,0.545,chr1
PIGK,0.524,chr1
ZZZ3,0.596,chr1
VAMP3,0.069,chr1
PER3,0.00229,chr1
ERRFI1,0.133,chr1
LINC01128,0.606,chr1
PRKACB,0.0299,chr1
SPATA1,0.272,chr1
CTBS,0.441,chr1
GNG5,0.59,chr1
LOC105378819,0.827,chr1
MCOLN2,0.27,chr1
C1orf52,0.828,chr1
BCL10,0.371,chr1
DDAH1,0.998,chr1
BCL10-AS1,0.997,chr1
CCN1,0.0933,chr1
ZNHIT6,0.156,chr1
ODF2L,0.853,chr1
SELENOF,0.845,chr1
GBP1,0.372,chr1
GBP4,0.0145,chr1
LRRC8B,0.593,chr1
LRRC8C-DT,0.568,chr1
TGFBR3,0.0209,chr1
H6PD,0.0109,chr1
SPSB1,0.0184,chr1
DNTTIP2,0.0466,chr1
LINC02606,0.847,chr1
CNN3,0.0118,chr1
CNN3-DT,0.223,chr1
TLCD4-RWDD3,0.638,chr1
RWDD3,0.644,chr1
NOC2L,0.0213,chr1
DPYD-AS1,0.62,chr1
DPYD,0.0627,chr1
CTNNBIP1,0.000655,chr1
FRRS1,0.77,chr1
AGL,0.619,chr1
SLC35A3,0.0836,chr1
MFSD14A,0.126,chr1
TRMT13,0.0132,chr1
LRRC39,0.0431,chr1
CDC14A,0.476,chr1
VCAM1,0,chr1
EXTL2,0.997,chr1
SLC30A7,0.412,chr1
S1PR1,0.738,chr1
KIF1B,0.052,chr1
COL11A1,0,chr1
PGD,0,chr1
DFFA,0.733,chr1
PEX14,0.364,chr1
PRMT6,0.429,chr1
SLC25A24,0.154,chr1
FAM102B,0.1034,chr1
TAF13,0.273,chr1
AMPD2,0.706,chr1
CSF1,0.0166,chr1
AHCYL1,0.71,chr1
STRIP1,0.331,chr1
ALX3,0.256,chr1
RBM15,0.208,chr1
SLC16A4,0.562,chr1
CHI3L2,0,chr1
PIFO,0.924,chr1
WDR77,0.768,chr1
ATP5PB,0.53,chr1
RAP1A,0.997,chr1
INKA2,0.434,chr1
KCND3,0.541,chr1
LINC01750,0.605,chr1
CTTNBP2NL,0.272,chr1
ST7L,0.835,chr1
WNT2B,0.595,chr1
CAPZA1,0.322,chr1
MOV10,0.0106,chr1
PPM1J,0.721,chr1
RHOC,0.49,chr1
LRIG2,0.171,chr1
HIPK1,0.496,chr1
