sample,count,Age,logmu,seqnames,gene_id,start,end,width,strand,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,tx_ids,cluster
CQTL_AM7180_R_CTL_18_1_39,445.52207151180437,39,8.596894803185837,19,ENSG00000072071,14147743,14206187,58445,-,259.6394249859526,-0.5145300417048511,0.7281323837954149,28.57327130491717,2.8113007023405468e-5,0.00714856241914868,ADGRL1,,-
CQTL_AM7180_R_CTL_18_1_39,179.532765716451,39,7.897632258646155,11,ENSG00000076706,119308529,119321521,12993,-,227.87036951526363,-1.2417480765539908,0.8639645406397211,30.44590351226543,1.2048181345819523e-5,0.003908769570882989,AP002956.1,,-
CQTL_AM7180_R_CTL_18_1_39,49.953759048563796,39,6.854537014612156,12,ENSG00000089127,112906783,112933222,26440,+,166.06966636137324,-0.045740278089916264,1.1457363326690988,42.63291576083702,4.3853474434208075e-8,4.779444000336223e-5,AC004551.1,,-
CQTL_AM7180_R_CTL_18_1_39,145.2012525916773,39,7.366833630419894,19,ENSG00000105767,43622368,43639850,17483,-,114.12943212601635,-0.2623009753005368,0.4513394728954511,28.384162903429456,3.061527438273348e-5,0.007583310691044346,CADM4,,-
CQTL_AM7180_R_CTL_18_1_39,533.5574266406385,39,9.20516922568381,4,ENSG00000109265,56049073,56328625,279553,+,333.8343580003009,-0.6126790284424197,0.6784863780084476,31.734602706476608,6.705212372995507e-6,0.0026099240922316798,KIAA1211,,-
CQTL_AM7180_R_CTL_18_1_39,2906.858678532856,39,11.556213063411064,12,ENSG00000110931,121237675,121298308,60634,-,2704.6304947449366,-0.23807291651136245,0.13776115472009548,31.20315651640317,8.540597005226518e-6,0.003247015810266119,CAMKK2,,-
CQTL_AM7180_R_CTL_18_1_39,468.1702578236067,39,9.501083385253308,12,ENSG00000111331,112938444,112973251,34808,+,787.1081625733589,0.13294652163167492,0.8207755592713333,31.799054632826255,6.51115881779415e-6,0.0026099240922316798,OAS3,,-
CQTL_AM7180_R_CTL_18_1_39,150.49927861784087,39,7.732259336642034,12,ENSG00000111335,112978395,113011723,33329,+,262.9196284146574,-0.5419993416890144,1.263423541964242,34.51300359840366,1.881771180517702e-6,0.0010092898954986921,OAS2,,-
CQTL_AM7180_R_CTL_18_1_39,669.4605184855693,39,9.702877302164223,10,ENSG00000119922,89283694,89309271,25578,+,1089.5975553712146,-0.31173261937074864,0.8842096151602082,39.4904684902242,1.8917670923390236e-7,1.5463304212779178e-4,IFIT2,,-
CQTL_AM7180_R_CTL_18_1_39,425.23316783051007,39,8.431461274441533,22,ENSG00000128268,39457012,39492194,35183,+,232.8676055528384,-0.26339763736659955,0.6645049384560541,29.735761799100374,1.662407878138727e-5,0.005032785924409613,MGAT3,,-
CQTL_AM7180_R_CTL_18_1_39,177.7820463312712,39,7.711991164070131,2,ENSG00000134321,6865806,6898239,32434,+,236.29785950449215,-0.6774898047835602,1.005913058179846,30.419398369708233,1.2193983858272108e-5,0.003908769570882989,RSAD2,,-
CQTL_AM7180_R_CTL_18_1_39,11.012261147350184,39,5.4943094928868375,12,ENSG00000135114,121019111,121039242,20132,-,47.80716619493648,-2.5921201658847433,1.2297992453185382,44.862370855510676,1.547418318100636e-8,1.9459380511007073e-5,OASL,,-
CQTL_AM7180_R_CTL_18_1_39,38.16634033096244,39,5.633002407050812,9,ENSG00000136943,97029677,97039643,9967,-,44.98515024043743,-2.111482069800728,0.8965389088065172,36.71248277988252,6.839251438843105e-7,4.545528036156178e-4,CTSV,,-
CQTL_AM7180_R_CTL_18_1_39,151.29935976966797,39,7.681498780942444,1,ENSG00000137959,78619922,78646145,26224,+,357.4926075068583,0.04332295479605717,1.1899885788064415,36.19274211205561,8.691108397841344e-7,5.262305188441122e-4,IFI44L,,-
CQTL_AM7180_R_CTL_18_1_39,189.5036670217594,39,7.886401754971961,1,ENSG00000137965,78649796,78664078,14283,+,332.5656058939959,0.14306593939433065,0.7300425151551833,29.8724664799513,1.5625980803297107e-5,0.004912567964851944,IFI44,,-
CQTL_AM7180_R_CTL_18_1_39,38.500756720830275,39,4.945991576362986,17,ENSG00000161940,7023020,7030290,7271,+,31.25815590869325,-2.349711938926417,0.9846202587163659,28.691302750904356,2.6655205116944217e-5,0.006916814178600065,BCL6B,,-
CQTL_AM7180_R_CTL_18_1_39,1631.0262473770329,39,10.497592206176133,1,ENSG00000162636,108560089,108644900,84812,+,1193.4536732357751,-0.46930385842253286,0.3415889736779434,32.96508886433048,3.823982612868063e-6,0.0016473497523735868,FAM102B,,-
CQTL_AM7180_R_CTL_18_1_39,2658.8651994705942,39,11.924555412184139,8,ENSG00000164764,73064543,73124088,59546,-,2261.406242578842,0.026007062586607902,0.47942803032676684,29.80101008763313,1.614003634877029e-5,0.004978439891126353,SBSPON,,-
CQTL_AM7180_R_CTL_18_1_39,169.20611350689222,39,8.312283863473308,14,ENSG00000165949,94104836,94116698,11863,+,458.66174043462445,0.12113159572534359,0.9619186696978952,31.093065969855843,8.979132179745852e-6,0.0032622313507115123,IFI27,,-
CQTL_AM7180_R_CTL_18_1_39,7194.359699507431,39,12.830965830890593,12,ENSG00000167552,49184795,49189080,4286,-,6482.681278407548,0.26136320433768623,0.27559555210567416,39.614596592493626,1.785901137447029e-7,1.5366269365781068e-4,TUBA1A,,-
CQTL_AM7180_R_CTL_18_1_39,74.37648746995367,39,6.452740789472409,X,ENSG00000171004,132626016,132961395,335380,-,52.62691482026271,-1.804724435185402,0.9329629985681392,33.44291883905237,3.0731575170451964e-6,0.0014354279739615678,HS6ST2,,-
CQTL_AM7180_R_CTL_18_1_39,287.8179532044477,39,7.906873210744974,19,ENSG00000176490,2714567,2721372,6806,-,160.05319878187782,-0.45593815509658353,0.7411825968101962,33.8772174678752,2.5188356315630835e-6,0.001247815906205857,DIRAS1,,-
CQTL_AM7180_R_CTL_18_1_39,1419.8614818841654,39,10.659849005539028,4,ENSG00000178163,10439880,10457426,17547,-,1262.6693573215691,-0.3339036640799864,0.29401181321573033,37.02977027920201,5.907735612389517e-7,4.199115730058427e-4,ZNF518B,,-
