chr,pos,gene_symbol,gene_start,gene_end,gene_strand,ENTREZID
chr16,8853407,LOC100130283,8797842,8860417,+,100130283
chr11,33705198,C11orf91,33698261,33722448,-,100131378
chr1,768562,LOC100288069,711867,778626,-,100288069
chr9,37079953,EBLN3P,37079645,37090928,+,100506710
chr18,49491828,RPL17-C18orf32,49481681,49492479,-,100526842
chr1,54731647,MROH7-TTC4,54641754,54742308,+,100527960
chr7,100353757,STAG3L5P-PVRIG2P-PILRB,100336079,100367831,+,101752399
chr10,89340874,LOC101926887,89335336,89342659,-,101926887
chr13,49997165,TRIM13,49995888,50018467,+,10206
chr14,64526540,HSPA2-AS1,64513952,64540368,-,102723809
chr14,64530237,HSPA2-AS1,64513952,64540368,-,102723809
chr17,47312531,EFCAB13-DT,47303460,47323613,-,102724508
chr17,47313083,EFCAB13-DT,47303460,47323613,-,102724508
chr13,32522874,N4BP2L2,32432417,32538885,-,10443
chr4,41990735,SLC30A9,41990502,42090461,+,10463
chr19,16518039,CHERP,16517894,16542437,-,10523
chr12,30656714,IPO8,30628988,30695869,-,10526
chr12,119193849,LOC105370026,119179590,119224855,+,105370026
chr9,76505559,LOC105376095,76459283,76651203,+,105376095
chr9,76506370,LOC105376095,76459283,76651203,+,105376095
chr9,117715853,LOC105376244,117704157,117879988,+,105376244
chr10,89340874,LOC105378419,89277924,89342674,-,105378419
chr1,768562,LOC105378947,586071,827796,-,105378947
chr4,2254989,MXD4,2247432,2262109,-,10608
chr10,100151760,ERLIN1,100150094,100186033,-,10613
chr11,118409221,ATP5MG,118401602,118449569,+,10632
chr1,225920396,LEFTY1,225886282,225924278,-,10637
chr9,124351812,NEK6,124257606,124353307,+,10783
chr16,81045358,CENPN-AS1,81016792,81096284,-,107984858
chr4,6302742,LOC107986257,6292369,6308636,-,107986257
chr9,93446977,LOC107987097,93431441,93451588,-,107987097
chr9,93447360,LOC107987097,93431441,93451588,-,107987097
chr6,122801319,SMPDL3A,122789049,122809720,+,10924
chr18,9860125,RAB31,9708275,9862551,+,11031
chr22,42880024,PACSIN2,42869768,43015149,-,11252
chr16,28833127,ATXN2L,28822999,28837237,+,11273
chr10,73136906,ECD,73133668,73169055,-,11319
chr10,73163804,ECD,73133668,73169055,-,11319
chr7,99396245,PDAP1,99392048,99408597,-,11333
chr17,79049340,C1QTNF1,79022814,79049788,+,114897
chr10,117284043,PDZD8,117277274,117375440,-,118987
chr14,94624073,SERPINA3,94592058,94624646,+,12
chr4,99071500,ADH5,99070978,99088801,-,128
chr4,99071501,ADH5,99070978,99088801,-,128
chr4,99071843,ADH5,99070978,99088801,-,128
chr9,99015983,COL15A1,98943179,99070792,+,1306
chr5,202284,CCDC127,196868,218153,-,133957
chr5,202999,CCDC127,196868,218153,-,133957
chr5,204360,CCDC127,196868,218153,-,133957
chr5,204458,CCDC127,196868,218153,-,133957
chr5,204962,CCDC127,196868,218153,-,133957
chr20,32444477,NOL4L,32443059,32585074,-,140688
chr12,121934270,CFAP251,121915333,122003927,+,144406
chr13,31317606,B3GLCT,31199975,31332276,+,145173
chr19,53442182,TPM3P9,53431984,53444670,+,147804
chr17,3660774,CTNS,3636459,3663103,+,1497
chr17,3660924,CTNS,3636459,3663103,+,1497
chr17,3660941,CTNS,3636459,3663103,+,1497
chr2,159248496,WDSUB1,159235798,159286703,-,151525
chr3,112603684,CCDC80,112596797,112649447,-,151887
chr3,112641192,CCDC80,112596797,112649447,-,151887
chr3,73064852,PPP4R2,72996803,73069198,+,151987
chr6,143860482,ZC2HC1B,143857318,143938471,+,153918
chr9,93446977,FAM120AOS,93443332,93453581,-,158293
chr9,93447360,FAM120AOS,93443332,93453581,-,158293
chr19,12679692,DHPS,12675717,12681880,-,1725
chr17,17216447,FLCN,17202649,17237188,-,201163
chr17,17231862,FLCN,17202649,17237188,-,201163
chr5,139413007,DNAJC18,139410203,139444491,-,202052
chr14,104769481,AKT1,104769349,104795751,-,207
chr6,36489448,KCTD20,36442767,36491143,+,222658
chr3,138403939,MRAS,138347648,138405534,+,22808
chr5,95818796,RHOBTB3,95713522,95824383,+,22836
chr5,95819336,RHOBTB3,95713522,95824383,+,22836
chr17,5533965,NLRP1,5499427,5584531,-,22861
chr18,31871061,TRAPPC8,31829197,31943136,-,22878
chr14,64526540,ZBTB1,64503725,64533690,+,22890
chr14,64530237,ZBTB1,64503725,64533690,+,22890
chr3,45745108,SACM1L,45689056,45745409,+,22908
chr16,89909088,TCF25,89873570,89918233,+,22980
chr12,71789408,RAB21,71754863,71800286,+,23011
chr13,36302566,SPART,36301638,36370180,-,23111
chr17,17188643,MPRIP,17042457,17217679,+,23164
chr17,17216447,MPRIP,17042457,17217679,+,23164
chr1,67001490,SLC35D1,66999350,67054148,-,23169
chr3,58106801,FLNB,58008398,58172251,+,2317
chr3,15690029,ANKRD28,15667236,15859771,-,23243
chr17,76083078,EXOC7,76081016,76121576,-,23265
chr16,81045358,ATMIN,81035842,81047350,+,23300
chr9,113169504,FKBP15,113161006,113221318,-,23307
chr3,15252627,CAPN7,15206152,15252916,+,23473
chr5,43612944,NNT,43602692,43707405,+,23530
chr16,8853407,CARHSP1,8852942,8869012,-,23589
chr6,138418442,HEBP2,138403531,138422197,+,23593
chr11,62855579,SNHG1,62851984,62855953,-,23642
chr2,37098085,GPATCH11,37084451,37099244,+,253635
chr1,230279402,GALNT2,230057990,230282122,+,2590
chr1,230280064,GALNT2,230057990,230282122,+,2590
chr14,31321680,HEATR5A,31291788,31457441,-,25938
chr22,42834260,ARFGAP3,42796502,42876207,-,26286
chr1,89007079,GBP3,89006679,89022894,-,2635
chr12,119193849,HSPB8,119173926,119194746,+,26353
chr2,130374546,PTPN18,130356045,130375405,+,26469
chr9,76505559,GCNT1,76419850,76507416,+,2650
chr9,76506370,GCNT1,76419850,76507416,+,2650
chr7,73570818,TBL2,73567537,73578791,-,26608
chr1,179101902,ABL2,179099330,179229684,-,27
chr14,75047435,MLH3,75013769,75051532,-,27030
chr7,38765615,VPS41,38722974,38932394,-,27072
chr1,93886825,GCLM,93885199,93909456,-,2730
chr5,95818796,GLRX,95751319,95822726,-,2745
chr5,95819336,GLRX,95751319,95822726,-,2745
chr5,151267852,GM2A,151212150,151270440,+,2760
chr16,58707946,GOT2,58707131,58734342,-,2806
chr16,58708045,GOT2,58707131,58734342,-,2806
chr16,58718562,GOT2,58707131,58734342,-,2806
chr13,49997165,KCNRG,49996813,50020922,+,283518
chr4,186212279,CYP4V2,186191567,186213463,+,285440
chr1,224377589,CNIH4,224356858,224379459,+,29097
chr17,42573361,PSMC3IP,42572310,42577831,-,29893
chr1,225920396,PYCR2,225919877,225924340,-,29920
chr3,38126634,ACAA1,38122710,38137242,-,30
chr1,196741787,CFH,196652043,196747504,+,3075
chr19,47725912,EHD2,47713422,47743134,+,30846
chr18,5241171,LINC00667,5237844,5290608,+,339290
chr18,5242054,LINC00667,5237844,5290608,+,339290
chr10,89340874,IFIT3,89327307,89377473,+,3437
chr11,2132381,IGF2,2129112,2149603,-,3481
chr17,47312531,ITGB3,47253827,47344292,+,3690
chr17,47313083,ITGB3,47253827,47344292,+,3690
chr7,20410801,ITGB8,20330702,20415754,+,3696
chr9,96013177,ERCC6L2,95871264,96121154,+,375748
chr4,186212279,KLKB1,186208979,186258471,+,3818
chr11,58619324,ZFP91-CNTF,58579172,58624639,+,386607
chr19,53442182,ZNF761,53431984,53461862,+,388561
chr14,55132463,LGALS3,55124110,55145423,+,3958
chr14,55137522,LGALS3,55124110,55145423,+,3958
chr1,236542978,LGALS8,236518000,236552981,+,3964
chr1,236543000,LGALS8,236518000,236552981,+,3964
chr10,89340874,LIPA,89213569,89414557,-,3988
chr17,29140361,MYO18A,29071122,29180398,-,399687
chr18,59359129,LMAN1,59327823,59359265,-,3998
chr18,59359204,LMAN1,59327823,59359265,-,3998
chr4,3514833,LRPAP1,3503612,3532446,-,4043
chr11,65548509,LTBP3,65538559,65558930,-,4054
chr3,47850893,MAP4,47850690,48089272,-,4134
chr3,47916506,MAP4,47850690,48089272,-,4134
chr10,73250379,DNAJC9-AS1,73247360,73276984,+,414245
chr11,118409221,KMT2A,118401607,118526832,+,4297
chr16,28833127,SNX29P2,28341434,29372110,+,440352
chr17,30783634,SUZ12P1,30709299,30790908,+,440423
chr17,64800078,PLEKHM1P1,64779259,64837154,-,440456
chr16,56666810,MT1G,56666730,56668065,-,4495
chr1,11796321,MTHFR,11785723,11806455,-,4524
chr17,1468458,MYO1C,1464186,1492686,-,4641
chr6,3010064,NQO2,2987987,3019755,+,4835
chr6,3016904,NQO2,2987987,3019755,+,4835
chr6,3018285,NQO2,2987987,3019755,+,4835
chr7,135364052,CNOT4,135361795,135510127,-,4850
chr15,76883817,SCAPER,76347904,76905444,-,49855
chr15,76883859,SCAPER,76347904,76905444,-,49855
chr10,72215835,ASCC1,72096032,72217134,-,51008
chr10,73250379,MRPS16,73248843,73252693,-,51021
chr8,23574292,SLC25A37,23528956,23575463,+,51312
