seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
X,2691187,2741309,50123,+,ENSG00000002586,9057.439998167702,0.6193788899113793,0.144747904288258,2.3813150927894767e-7,1.4307124255563236e-4,CD99,
X,24149173,24216255,67083,+,ENSG00000005889,5599.202370064247,-0.4320819860886071,0.07006483288934724,2.7377689109667706e-11,2.0365089599148536e-8,ZFX,
X,7898247,7927739,29493,-,ENSG00000006757,307.4808670180119,-0.350196252573291,0.08974956602345262,6.738339198041897e-6,0.002609436596114059,PNPLA4,
X,13734745,13769357,34613,+,ENSG00000046651,1132.5264744506544,-0.29203985770837554,0.06677040301816085,8.973132632295868e-7,4.8334243051411643e-4,OFD1,
1,212363931,212414901,50971,-,ENSG00000065600,204.7411342476219,-0.5359883352271111,0.12336134917054578,1.0331855830456492e-6,5.379797330918696e-4,TMEM206,
Y,2935281,2982506,47226,+,ENSG00000067646,1326.504606583733,6.8907841150864995,0.1807715676372797,0,0,ZFY,
X,53374149,53422728,48580,-,ENSG00000072501,5788.5297573237885,-0.3487361878730324,0.08528028868447118,3.7994147056331633e-6,0.0016957330604770184,SMC1A,
3,185643739,185825056,181318,-,ENSG00000073792,1198.7712272857016,-0.3926481298640975,0.09948608193084368,6.338284832886423e-6,0.0026055354572241795,IGF2BP2,
X,110944285,111227361,283077,+,ENSG00000077264,81.00783682158895,0.7793788619534728,0.22643061292141756,7.588173394058733e-6,0.0028222584902045586,PAK3,
X,16786432,16844519,58088,+,ENSG00000086712,1333.3207497758783,-0.4460179350608379,0.06311383922719922,1.407036961544819e-13,1.2210735764606456e-10,TXLNG,
Y,6910686,7101970,191285,+,ENSG00000092377,28.920314589350596,10.839501630494544,2.872352431074854,4.4515792434380127e-41,9.934017051677884e-38,TBL1Y,
Y,7273972,7381548,107577,+,ENSG00000099725,865.9506826892623,6.62120968025597,0.16956042613159306,0,0,PRKY,
22,41598028,41621043,23016,-,ENSG00000100418,2594.0844876072592,-0.37687966245321886,0.10530699438681126,2.4000987544972674e-5,0.0078108213841670444,DESI1,
7,150338317,150341662,3346,-,ENSG00000106538,281.4351441401631,-0.69396095787517,0.19449742761696043,1.0368482795291521e-5,0.0036810470396647465,RARRES2,
9,76611376,76906114,294739,-,ENSG00000106772,11244.348786220147,0.6290680729956788,0.14949257030038876,8.064233691762318e-7,4.49897837496497e-4,PRUNE2,
Y,12537650,12860839,323190,+,ENSG00000114374,3624.9525430207914,7.550835884177008,0.14407316561426703,0,0,USP9Y,
11,33015876,33033582,17707,+,ENSG00000121690,763.6161468396481,0.37755454413057615,0.10831894559591479,1.740295785383891e-5,0.005784076694357821,DEPDC7,
X,53191321,53225422,34102,-,ENSG00000126012,5939.417667940139,-0.4236277805100105,0.05727135087792275,1.3320937675732993e-14,1.22403745548603e-11,KDM5C,
X,6667865,7148190,480326,-,ENSG00000130021,565.5550802181201,-0.600011127749331,0.07251712949154457,2.023538872923006e-17,2.6341417278275233e-14,PUDP,
X,47190861,47215128,24268,+,ENSG00000130985,11841.689381902946,-0.23709186124162349,0.05777632403385123,4.4679757225817796e-6,0.0019327576313135863,UBA1,
Y,19567313,19606274,38962,+,ENSG00000131002,1236.2446402659082,9.761159021013876,0.28794450258454823,1.1818788162453371e-253,3.692425797713682e-250,TXLNGY,
3,9757347,9769992,12646,-,ENSG00000134072,319.30490967600036,-0.4154488306756596,0.0997864844953499,3.1542853263112464e-6,0.0014492085612443524,CAMK1,
