seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
Y,2935281,2982506,47226,+,ENSG00000067646,1348.1840794612476,6.891410812484466,0.1794928955692689,0,0,ZFY,
Y,6910686,7101970,191285,+,ENSG00000092377,29.261319634735848,10.836905436525798,2.872745891943549,4.323104338679447e-41,1.0628043223476373e-37,TBL1Y,
Y,7273972,7381548,107577,+,ENSG00000099725,874.1873828608612,6.617805944565742,0.16889123873533216,0,0,PRKY,
Y,12537650,12860839,323190,+,ENSG00000114374,3683.3824034092318,7.542046015173968,0.1428003916795089,0,0,USP9Y,
Y,19567313,19606274,38962,+,ENSG00000131002,1250.5222260561227,9.760523497432247,0.2872089458142285,7.720176058838276e-255,2.657130195930958e-251,TXLNGY,
1,163111121,163321791,210671,-,ENSG00000143248,4181.688181936484,1.4228694685935657,0.3704881527263554,3.422595469913947e-6,0.0015102421908140798,RGS5,
5,92151,189972,97822,+,ENSG00000153404,11.433908409692874,-1.5313045212275636,0.3004169892059504,4.011683786455739e-8,2.465609510039886e-5,PLEKHG4B,
Y,13703899,13706024,2126,+,ENSG00000154620,23.17832836057784,8.462212667676932,1.2803642625386706,7.916868192963452e-40,1.7030173091588507e-36,TMSB4Y,
15,83255903,83284714,28812,-,ENSG00000169594,19.898310445665008,-1.1384102733533177,0.2782380639594012,3.819653737930491e-6,0.0016032297847816057,BNC1,
X,20006713,20116907,110195,-,ENSG00000184368,8.599698223951902,-1.8657815077578828,0.26299442192207356,2.2238961341467924e-14,2.0513444895510158e-11,MAP7D2,
Y,20575776,20593154,17379,+,ENSG00000198692,1540.585560902096,9.288572745114271,0.20606879878992165,0,0,EIF1AY,
Y,19455431,19567092,111662,-,ENSG00000215580,12.634325657927128,6.636898338666842,0.9525094640912766,1.4601452647021098e-29,2.791959984473178e-26,BCORP1,
X,74069276,74070832,1557,+,ENSG00000234969,17.241993138400638,-1.183274557750704,0.1762957218823069,1.7321207698341207e-12,1.3549121058216083e-9,AL627389.1,
Y,13703902,13915824,211923,+,ENSG00000241859,112.72874367812798,3.26859302497695,0.15800422781311954,2.447880214797704e-97,7.020928436075614e-94,ANOS2P,
Y,19598188,19598757,570,+,ENSG00000267793,9.057589286736508,9.134487357660147,2.6954929374268524,4.383833369326351e-28,7.544138845273718e-25,AC009977.1,
