seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
X,100627109,100639991,12883,-,ENSG00000000003,6508.834480174605,-1.3665020413051403,0.03162682291402908,0,0,TSPAN6,
20,50934867,50958555,23689,-,ENSG00000000419,2120.4224609506564,-0.040211792261770136,0.015200967952143258,0.008078487339839315,0.009576103531182075,DPM1,
1,169849631,169894267,44637,-,ENSG00000000457,1886.2477644161183,0.39880537419943035,0.01689959082680511,1.6690078725859703e-123,8.658490711436317e-123,SCYL3,
1,169662007,169854080,192074,+,ENSG00000000460,626.9548854034127,1.2901850282814087,0.03653257964590708,1.928010542296174e-277,2.83982192673731e-276,C1orf112,
1,27612064,27635185,23122,-,ENSG00000000938,108.16817356329197,2.8159746513480695,0.10999441416170468,5.510495467683863e-162,3.836407371937331e-161,FGR,
1,196651878,196747504,95627,+,ENSG00000000971,373855.7926347726,-0.758214067907172,0.03248704221415451,3.738738581685055e-122,1.9251233505636698e-121,CFH,
6,143494811,143511690,16880,-,ENSG00000001036,10723.809809164339,-0.38955730604541877,0.019966355078562766,3.298737611218081e-85,1.2323935457640583e-84,FUCA2,
6,53497341,53616970,119630,-,ENSG00000001084,2460.980818013827,-0.7157347951988865,0.04746290136908895,7.627143957467535e-53,2.083136138672491e-52,GCLC,
6,41072945,41099976,27032,+,ENSG00000001167,3278.3426298046065,0.1346556742654487,0.018087896173902305,8.716029078783244e-14,1.3895960052348885e-13,NFYA,
1,24356999,24416934,59936,-,ENSG00000001460,463.7898784293139,-0.6488965449596396,0.029350578963680485,2.8788300591636424e-109,1.340840303820576e-108,STPG1,
1,24415802,24472976,57175,+,ENSG00000001461,2475.0348662414326,-0.5979772347306425,0.026591125755996026,5.430312911153814e-113,2.6097769892871183e-112,NIPAL3,
X,65512582,65534775,22194,-,ENSG00000001497,1638.4588123792437,-0.2760221794562044,0.0213907553943933,2.716318033680199e-38,6.297971370703509e-38,LAS1L,
6,46129989,46146688,16700,+,ENSG00000001561,1002.0263872342716,0.4398946719113432,0.04267635434198034,2.9372622107016322e-25,5.686709401892151e-25,ENPP4,
3,50155045,50189075,34031,+,ENSG00000001617,64.09366405296728,-0.4368591246983041,0.07816457994785284,6.254326598437523e-9,8.998832765040927e-9,SEMA3F,
7,117465784,117715971,250188,+,ENSG00000001626,5.879164444286505,3.780134152643459,0.329353862456305,6.388033519720461e-38,1.4736880617574313e-37,CFTR,
7,92245974,92401383,155410,+,ENSG00000001629,5681.527222473356,0.02242561552071903,0.01299933303141374,0.08419838224151821,0.0944214573197464,ANKIB1,
7,92112153,92134803,22651,-,ENSG00000001630,7165.1850981258085,0.3635319015354653,0.02733503558654329,9.876573653239107e-41,2.3597322680493436e-40,CYP51A1,
7,92198969,92246166,47198,-,ENSG00000001631,3976.117468667523,-0.04286870000501818,0.0157577352957224,0.00643672648363687,0.0076654124834980445,KRIT1,
12,912077,990053,77977,-,ENSG00000002016,813.8890019179461,-0.44662866598041984,0.03162642659858535,8.580052216738936e-46,2.1746871478197007e-45,RAD52,
7,99238829,99311130,72302,+,ENSG00000002079,98.2569549453866,6.159896037614033,0.1984793540726926,7.009971257094852e-261,9.413914279815861e-260,MYH16,
11,64269830,64284704,14875,-,ENSG00000002330,180.81181188137617,-0.6850869094907553,0.03993363644072082,4.412450496886377e-67,1.3943250382188473e-66,BAD,
4,17577192,17607972,30781,+,ENSG00000002549,3532.0920039586963,0.8192254559860789,0.06910797559849642,2.5315794531729336e-34,5.560864825265479e-34,LAP3,
X,2691187,2741309,50123,+,ENSG00000002586,16706.752214944067,-0.8927478416626781,0.028130432488891795,2.417791009269385e-223,2.5253890384777082e-222,CD99,
4,11393150,11429564,36415,-,ENSG00000002587,172.73225447303616,0.40271628126022696,0.08454162102639011,7.298493803364893e-7,9.953247473751834e-7,HS3ST1,
7,121325367,121341104,15738,+,ENSG00000002745,8.559507464512828,-0.6305323656924754,0.12913199312741153,4.2465445819707334e-7,5.831934218241129e-7,WNT16,
7,43112629,43566001,453373,+,ENSG00000002746,286.4594024275696,-0.7556657293352907,0.06717225783201872,7.4037395385345625e-31,1.5484466326661392e-30,HECW1,
7,1815793,2233243,417451,-,ENSG00000002822,279.0108072473187,0.2911437700105387,0.04715502553550367,3.8585321662120035e-10,5.707690315071389e-10,MAD1L1,
17,38869859,38921770,51912,+,ENSG00000002834,9155.169419684678,-0.035570133260687545,0.021344281629551907,0.09459492277857647,0.10580276823580267,LASP1,
17,48103357,48123074,19718,+,ENSG00000002919,711.5966731327234,0.49750018357103165,0.024096311400740873,2.8519590691801578e-95,1.168574283138515e-94,SNX11,
7,150800403,150805118,4716,+,ENSG00000002933,94.57822367467415,-3.231632624610693,0.11354466967533643,8.01080580138814e-191,6.787825302686365e-190,TMEM176A,
12,8940361,8949761,9401,-,ENSG00000003056,8102.756668661812,-0.18098000893901325,0.01739686345301283,1.9446753114943766e-25,3.778448784534307e-25,M6PR,
X,117897813,118117340,219528,-,ENSG00000003096,1078.6743401943868,-0.49668287275087813,0.052285174132437114,4.075727800084119e-22,7.531874500875911e-22,KLHL13,
2,72129238,72148038,18801,-,ENSG00000003137,4434.3253137687525,1.000097022936738,0.06576948648558546,4.063239040025533e-55,1.1360239327882039e-54,CYP26B1,
7,8113184,8262687,149504,-,ENSG00000003147,268.2617925607371,-0.16030893152064257,0.04418977071201393,2.4704052300943716e-4,3.11183709178788e-4,ICA1,
16,90004865,90020128,15264,-,ENSG00000003249,31.226926540085,-0.9597310688660834,0.09790608358679004,2.230708999700054e-24,4.264974985583481e-24,DBNDD1,
2,201700267,201780956,80690,-,ENSG00000003393,2540.2361800363105,0.04186644493719229,0.018795821041504603,0.025614627620602293,0.02961624308892486,ALS2,
2,201182881,201229406,46526,+,ENSG00000003400,96.92697490285896,0.4036381556122406,0.07919953033817323,1.231370290308568e-7,1.7157576876059552e-7,CASP10,
2,201116154,201176687,60534,+,ENSG00000003402,14993.120733754635,1.9908937949405028,0.03379379325904164,0,0,CFLAR,
2,187464230,187565760,101531,-,ENSG00000003436,7838.5291262202645,0.9338004839199637,0.04498661160971767,3.033709321550655e-98,1.2828603595959021e-97,TFPI,
2,37231631,37253403,21773,+,ENSG00000003509,1317.2514434582768,-0.10833946655365313,0.01945522736711456,2.3998361474165368e-8,3.406518936426905e-8,NDUFAF7,
3,50088908,50119021,30114,+,ENSG00000003756,9557.852388395702,-0.38237258032130617,0.01767563620103681,3.480707386563807e-104,1.5588950143615156e-103,RBM5,
8,17296794,17413528,116735,-,ENSG00000003987,1561.25784893766,3.962342943872787,0.06443040950331945,0,0,MTMR7,
8,17497088,17570573,73486,+,ENSG00000003989,774770.4435150548,5.646163848137479,0.2048956996074611,2.2114960962734023e-180,1.744613901959092e-179,SLC7A2,
7,127588386,127591700,3315,+,ENSG00000004059,1442.0973079684084,-0.3030897180473377,0.019235956639483475,3.7274354727530375e-56,1.0536225427153777e-55,ARF5,
17,28364356,28404049,39694,+,ENSG00000004139,998.0388121883739,-0.38765484785698207,0.0256162972524864,1.857476894793646e-52,5.052415943950904e-52,SARM1,
17,28346633,28357527,10895,-,ENSG00000004142,3687.6754196869015,-0.009040280131123393,0.01547131301709906,0.5587443214047718,0.5830906409784126,POLDIP2,
3,129555175,129606818,51644,-,ENSG00000004399,2359.957224168325,-1.1415738426565036,0.03599831297136957,2.165710997445843e-224,2.272667501995331e-223,PLXND1,
1,33007940,33080996,73057,-,ENSG00000004455,8905.376731803419,0.8584390689987261,0.029828869963197727,2.9910544935845116e-184,2.4202065539571837e-183,AK2,
4,15778275,15853232,74958,+,ENSG00000004468,1688.8556760942834,6.249937461842638,0.10219981466207244,0,0,CD38,
12,2794970,2805423,10454,+,ENSG00000004478,5410.258800231795,1.1926501075738256,0.02457090397767837,0,0,FKBP4,
