seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
X,2691187,2741309,50123,+,ENSG00000002586,27750.689518056744,0.5521733016644563,0.11687306283177751,4.272652457771824e-8,2.41095464893028e-5,CD99,
X,24149173,24216255,67083,+,ENSG00000005889,6061.485412919719,-0.4925905511452919,0.061623733318972994,5.105911431343396e-17,4.9148902742649016e-14,ZFX,
16,3018445,3022383,3939,+,ENSG00000006327,1247.1531562110645,-0.8225442612704236,0.227486067270246,1.853859734198351e-5,0.004815327093717748,TNFRSF12A,
X,14008279,14029893,21615,-,ENSG00000046647,760.9054165080969,-0.36049254569431005,0.07709489648173763,2.3804052540235558e-7,1.1129414736240419e-4,GEMIN8,
X,13734745,13769357,34613,+,ENSG00000046651,2575.5888482699884,-0.2866776197608052,0.06125622621709437,2.692465358536604e-7,1.223875086863694e-4,OFD1,
Y,2935281,2982506,47226,+,ENSG00000067646,1393.5926033240198,6.927423971243809,0.17914713855224876,0,0,ZFY,
2,46916157,47076137,159981,+,ENSG00000068724,1836.8631886742933,-0.25836116682570837,0.07253326465162394,4.1017251633534326e-5,0.008564747814648773,TTC7A,
5,150485818,150558211,72394,+,ENSG00000070614,3977.0596257133298,-0.20306811341016584,0.05610767407708227,4.149288056053792e-5,0.008564747814648773,NDST1,
X,53374149,53422728,48580,-,ENSG00000072501,8096.2644917908365,-0.3191744869112859,0.07206361853439792,9.612482925929515e-7,3.932466764997765e-4,SMC1A,
19,44643798,44666162,22365,+,ENSG00000073008,8324.40124878969,-0.7655535950021021,0.14093050317328115,5.653491923689533e-9,3.558220839971366e-6,PVR,
3,185643739,185825056,181318,-,ENSG00000073792,1398.0455542122397,-0.5501436651416336,0.1096462112601876,3.9374659790693094e-8,2.301167617196078e-5,IGF2BP2,
10,96518110,96587452,69343,-,ENSG00000077147,30124.790825626664,0.20933737662806617,0.05653236702802844,3.0892048914989296e-5,0.0072216784063554975,TM9SF3,
2,182716041,182794464,78424,+,ENSG00000077232,23709.041075171954,0.4122381762503526,0.11453252391233322,1.761668056022216e-5,0.004649667107862507,DNAJC10,
X,110944285,111227361,283077,+,ENSG00000077264,146.23123544877205,0.9583084086916054,0.19793502940483856,2.7806007221674766e-8,1.685250008057355e-5,PAK3,
X,68042344,68433913,391570,-,ENSG00000079482,4342.48249186721,0.34367773460641354,0.09716797944043182,2.3295412692790602e-5,0.0058647097431511605,OPHN1,
X,16786432,16844519,58088,+,ENSG00000086712,2145.203264144745,-0.49520570486666965,0.0648771404163073,2.243277322374743e-15,1.748047147778109e-12,TXLNG,
16,74447427,74607144,159718,-,ENSG00000090863,50654.39619704315,0.22965150556696062,0.06525559918933291,4.612465910489336e-5,0.009204681970639937,GLG1,
Y,6910686,7101970,191285,+,ENSG00000092377,30.54229434559681,6.660214536902991,0.6382600440634009,8.405560816761743e-32,1.5283177467276573e-28,TBL1Y,
Y,7273972,7381548,107577,+,ENSG00000099725,2093.5336667776696,7.416477442620669,0.17652057854426573,0,0,PRKY,
X,77826364,77895593,69230,-,ENSG00000102158,15577.3459465429,0.3544344214831253,0.0777809113262545,3.4796032509947816e-7,0.00015389250702507732,MAGT1,
