seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
X,100627109,100639991,12883,-,ENSG00000000003,12046.19713600166,0.1628173210449662,0.09330136285680757,0.011766313935846344,0.190545311638119,TSPAN6,
20,50934867,50958555,23689,-,ENSG00000000419,2741.0351185690465,0.06999508710420657,0.048613723345352626,0.09253008416688577,0.43292140248665983,DPM1,
1,169849631,169894267,44637,-,ENSG00000000457,2061.6044505021737,-0.007513962737697116,0.040291235418263065,0.8358961521900544,0.9518861958551182,SCYL3,
1,169662007,169854080,192074,+,ENSG00000000460,476.5936410488868,-0.01257837555092229,0.07018709226216158,0.7881920326818067,0.9380352234190136,C1orf112,
1,27612064,27635185,23122,-,ENSG00000000938,34.03963506308636,-0.11097629568695697,0.17257218236378172,0.03498801161080866,0.3002327330882396,FGR,
1,196651878,196747504,95627,+,ENSG00000000971,633599.8560472291,0.151021652871087,0.15127003331714148,0.03007060640630093,0.2804179250868833,CFH,
6,143494811,143511690,16880,-,ENSG00000001036,15251.6412101808,0.17188568986318048,0.06749740531184659,0.0019128117307961664,0.08043330177148306,FUCA2,
6,53497341,53616970,119630,-,ENSG00000001084,3922.863053316349,-0.017374342648236618,0.07651858571819006,0.69213056232251,0.9039125715758624,GCLC,
6,41072945,41099976,27032,+,ENSG00000001167,3933.1615565407537,0.006175724368051737,0.05439432718974119,0.8907666172344272,0.9705650146074276,NFYA,
1,24356999,24416934,59936,-,ENSG00000001460,719.9150135188742,0.019091514829413483,0.05617738545072429,0.6714024820510578,0.8954535686061432,STPG1,
1,24415802,24472976,57175,+,ENSG00000001461,3713.814522784444,0.031114440018872824,0.040752855114491116,0.39587582588992387,0.7472732742949262,NIPAL3,
X,65512582,65534775,22194,-,ENSG00000001497,2253.8540795604085,-0.15582328415929195,0.05500577329465641,0.0011219320854398693,0.06181581362336035,LAS1L,
6,46129989,46146688,16700,+,ENSG00000001561,1053.8267965295609,0.2070743699179677,0.25689292417751236,0.014907948670767933,0.2101136634270314,ENPP4,
3,50155045,50189075,34031,+,ENSG00000001617,95.98810602113787,-0.04494914522801023,0.10019817660291284,0.18604480929265668,0.5694794723653263,SEMA3F,
7,92245974,92401383,155410,+,ENSG00000001629,7120.755695960151,-0.03027853668684279,0.04336906173776769,0.4297714607307019,0.7687606484320665,ANKIB1,
7,92112153,92134803,22651,-,ENSG00000001630,7882.749749444413,0.07246222718913463,0.08312851337982818,0.17541227623760908,0.555294495513458,CYP51A1,
7,92198969,92246166,47198,-,ENSG00000001631,4919.406501556606,0.033273468110389774,0.03944849994233925,0.3482936510090211,0.7159247965219974,KRIT1,
12,912077,990053,77977,-,ENSG00000002016,1142.9653124146475,0.13189067910007238,0.08421367140145448,0.02463444678867144,0.2614343261006639,RAD52,
11,64269830,64284704,14875,-,ENSG00000002330,281.1557745067605,-0.024647417094180824,0.08073689459583934,0.5523089302688458,0.8382473877684467,BAD,
4,17577192,17607972,30781,+,ENSG00000002549,2817.8869964579367,-0.004058555199807773,0.057141484733218846,0.9275040484870788,0.9810080224725667,LAP3,
X,2691187,2741309,50123,+,ENSG00000002586,27750.689518056744,0.5521733016644563,0.11687306283177751,4.272652457771824e-8,2.41095464893028e-5,CD99,
4,11393150,11429564,36415,-,ENSG00000002587,193.55868055140596,0.5875232579536076,0.25825049647656245,6.13183697147736e-4,0.04363249650327891,HS3ST1,
7,121325367,121341104,15738,+,ENSG00000002745,13.466758262310448,0.04146452716371132,0.10327682225637703,0.08842959743249941,0.42643773526132406,WNT16,
7,43112629,43566001,453373,+,ENSG00000002746,436.11717684990236,0.08548616786805215,0.10384844245192781,0.112837765360488,0.46673412919434265,HECW1,
7,1815793,2233243,417451,-,ENSG00000002822,340.06557322728247,-0.022567929130213656,0.08043897325923248,0.5948334715590218,0.8609202253304817,MAD1L1,
17,38869859,38921770,51912,+,ENSG00000002834,11816.78116725303,-0.026988987980105624,0.04863585287016304,0.5165274649645824,0.8188442594113983,LASP1,
17,48103357,48123074,19718,+,ENSG00000002919,732.8153459352532,-0.05931751435847558,0.06387996702257294,0.22321700900272715,0.6102855128265224,SNX11,
7,150800403,150805118,4716,+,ENSG00000002933,230.59005533835855,-0.024136873291840683,0.0944568243937444,0.2555457367148593,0.6400965001686757,TMEM176A,
12,8940361,8949761,9401,-,ENSG00000003056,10774.930819660105,0.021443382952901296,0.04659325217748637,0.5950293315880515,0.8609202253304817,M6PR,
X,117897813,118117340,219528,-,ENSG00000003096,1573.496960720129,-0.06012167115204943,0.09302044676155341,0.2211711088107911,0.6084808380261912,KLHL13,
