seqnames,start,end,width,strand,gene_id
3,89107621,89482134,374514,+,ENSG00000044524
12,84859491,84913615,54125,-,ENSG00000072041
10,22345445,22454224,108780,+,ENSG00000077327
8,76681239,76867285,186047,+,ENSG00000091656
X,91779261,92623230,843970,+,ENSG00000102290
19,35248330,35267964,19635,+,ENSG00000105699
7,98617285,98629869,12585,+,ENSG00000106236
6,133240598,133532128,291531,+,ENSG00000112319
6,46159185,46170980,11796,-,ENSG00000112796
3,179794958,180037053,242096,-,ENSG00000114757
2,142877657,143055833,178177,+,ENSG00000115919
5,53480626,53487134,6509,+,ENSG00000134363
2,153871922,154453979,582058,+,ENSG00000144278
5,161288429,161549044,260616,-,ENSG00000145864
3,147393422,147510293,116872,+,ENSG00000152977
7,99966720,99976042,9323,-,ENSG00000160862
5,147870682,147882191,11510,+,ENSG00000164265
8,79764010,79767857,3848,-,ENSG00000164683
3,147386046,147406860,20815,-,ENSG00000174963
13,91398621,92873682,1475062,+,ENSG00000179399
19,1065923,1086628,20706,+,ENSG00000180448
21,14216130,14228372,12243,+,ENSG00000185272
8,39934614,40016391,81778,+,ENSG00000188676
