seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
Y,2935281,2982506,47226,+,ENSG00000067646,1399.6178690079932,6.928722485542831,0.17844319249731067,0,0,ZFY,
Y,6910686,7101970,191285,+,ENSG00000092377,30.53814846798573,6.658461523566135,0.6372121187649753,7.103361252902168e-32,1.4203565456358604e-28,TBL1Y,
Y,7273972,7381548,107577,+,ENSG00000099725,2098.014482753614,7.415790044098324,0.17576147542363005,0,0,PRKY,
13,52703264,52739820,36557,-,ENSG00000136110,2102.4876061977984,1.2262886189989095,0.32133958036253213,9.720697759617463e-7,3.644451601709914e-4,CNMD,
1,227918656,227947932,29277,-,ENSG00000143816,60.847591092872676,-1.0684157418141018,0.2822448287518022,5.173736769632929e-6,0.0017241956834502627,WNT9A,
Y,13703899,13706024,2126,+,ENSG00000154620,31.211456753853057,8.9787369067239,1.2835216638590288,1.4813248004543632e-46,4.44298685149612e-43,TMSB4Y,
10,52765380,52771700,6321,-,ENSG00000165471,18.209453240300896,1.4757208804117317,0.42496507197456684,1.566011440330004e-5,0.004206259982116232,MBL2,
15,26543546,26939539,395994,-,ENSG00000166206,136.54741416542134,-1.1680474407676096,0.3324238191387542,8.02820962261832e-6,0.002448740006248124,GABRB3,
15,83255903,83284714,28812,-,ENSG00000169594,24.53033440590901,-1.0452312228481133,0.30426870644290227,3.189695303838025e-5,0.007086636628131987,BNC1,
12,54830518,54896008,65491,+,ENSG00000172551,8.26990018254289,3.751057876724644,0.8034336363944355,1.6557527285255858e-8,9.611911645982723e-6,MUCL1,
17,34579487,34639318,59832,+,ENSG00000181291,30.680298216757716,-2.3575169947346044,0.5386502035147706,1.8206871859243784e-7,8.191271649473778e-5,TMEM132E,
X,3604370,3713608,109239,-,ENSG00000183943,564.2411369171251,1.1878989066301966,0.14433787633232584,1.7279905404378023e-18,1.9435573603574183e-15,PRKX,
X,20006713,20116907,110195,-,ENSG00000184368,13.63942866248082,-1.497969504578154,0.2644471857419399,2.0206692516556535e-10,1.2987129947426834e-7,MAP7D2,
Y,20575776,20593154,17379,+,ENSG00000198692,1545.6192740107854,8.519141563963428,0.17040187273274496,0,0,EIF1AY,
Y,19455431,19567092,111662,-,ENSG00000215580,43.86160694186573,11.628244593002183,2.9559645719053664,1.7049191112476852e-54,6.136344865202668e-51,BCORP1,
19,44613563,44636781,23219,+,ENSG00000216588,11.446793601035926,-1.4917346174886106,0.3136561332280544,2.2567539613818635e-7,9.669653402149527e-5,IGSF23,
Y,17809807,17825329,15523,+,ENSG00000226011,11.34263649906004,9.11981966672204,2.7443503138276943,2.2862456693374187e-21,2.938805504671156e-18,OFD1P1Y,
Y,18080681,18096202,15522,-,ENSG00000226611,8.899199789244493,8.517335320148401,2.670538697463153,2.9940652296050045e-18,2.9933998817762037e-15,OFD1P2Y,
Y,7694707,7810305,115599,-,ENSG00000234795,10.64984352106167,4.782105824678123,0.5934300887575744,2.2100331744859337e-18,2.339515118120521e-15,RFTN1P1,
X,74069276,74070832,1557,+,ENSG00000234969,27.845835374884693,-1.5851166132735783,0.15857209421174903,3.3292082249097536e-24,4.992702601289661e-21,AL627389.1,
Y,13703902,13915824,211923,+,ENSG00000241859,103.59990959022593,3.0077505725843454,0.1725284944310423,2.2633139645434463e-71,1.0182649526480964e-67,ANOS2P,
Y,19598188,19598757,570,+,ENSG00000267793,23.457205018681357,10.433651431891839,2.824084036030141,6.155857225884531e-39,1.3847600829627253e-35,AC009977.1,
