seqnames,start,end,width,strand,gene_id
3,89107621,89482134,374514,+,ENSG00000044524
5,321759,435110,113352,+,ENSG00000063438
X,91779261,92623230,843970,+,ENSG00000102290
8,78675743,78805523,129781,-,ENSG00000104432
19,35248330,35267964,19635,+,ENSG00000105699
6,46159185,46170980,11796,-,ENSG00000112796
3,179794958,180037053,242096,-,ENSG00000114757
3,155375580,155745067,369488,-,ENSG00000114805
13,57631744,57729311,97568,+,ENSG00000118946
2,199269500,199471266,201767,-,ENSG00000119042
4,157204182,157366075,161894,+,ENSG00000120251
X,120258650,120311556,52907,-,ENSG00000125355
X,66595637,66639298,43662,-,ENSG00000131080
X,106693794,106797016,103223,+,ENSG00000133135
15,36889204,37101299,212096,-,ENSG00000134138
11,18239223,18248643,9421,-,ENSG00000134339
5,53480626,53487134,6509,+,ENSG00000134363
1,197268204,197478455,210252,+,ENSG00000134376
4,15002674,15070153,67480,+,ENSG00000137449
4,94757968,95158448,400481,+,ENSG00000138696
3,36380344,36548007,167664,+,ENSG00000144681
5,135570679,135579279,8601,-,ENSG00000145824
5,161288429,161549044,260616,-,ENSG00000145864
6,24171755,24358059,186305,-,ENSG00000146038
9,21967753,21995301,27549,-,ENSG00000147889
3,147393422,147510293,116872,+,ENSG00000152977
3,190305707,190322446,16740,-,ENSG00000163347
5,147870682,147882191,11510,+,ENSG00000164265
8,124550790,124728429,177640,-,ENSG00000170873
3,147386046,147406860,20815,-,ENSG00000174963
2,207821288,208025527,204240,-,ENSG00000178385
13,91398621,92873682,1475062,+,ENSG00000179399
12,85280220,85301784,21565,+,ENSG00000180318
19,1065923,1086628,20706,+,ENSG00000180448
8,56160909,56211324,50416,-,ENSG00000181690
9,116153791,116402321,248531,+,ENSG00000182752
21,14216130,14228372,12243,+,ENSG00000185272
8,39934614,40016391,81778,+,ENSG00000188676
14,36657568,36679715,22148,+,ENSG00000198807
7,44026951,44041892,14942,-,ENSG00000228903
13,61409685,61415522,5838,-,ENSG00000280165
