seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
1,27612064,27635185,23122,-,ENSG00000000938,108.17382989041623,2.8162959052786207,0.10994358068563063,3.5336831274285916e-162,2.224721400218103e-161,FGR,
7,99238829,99311130,72302,+,ENSG00000002079,98.26290074052837,6.159601333251703,0.1982464031910896,2.0671611513971295e-261,2.4950697361253454e-260,MYH16,
7,150800403,150805118,4716,+,ENSG00000002933,94.57537827533054,-3.23135966984727,0.11348453030992589,5.0732180043701766e-191,3.8834102861532744e-190,TMEM176A,
8,17296794,17413528,116735,-,ENSG00000003987,1561.3030064827901,3.9624271343682214,0.06439314751077539,0,0,MTMR7,
8,17497088,17570573,73486,+,ENSG00000003989,774807.8487046503,5.646161114751509,0.2049082857252483,2.225526357116518e-180,1.5847606387481416e-179,SLC7A2,
4,15778275,15853232,74958,+,ENSG00000004468,1688.9212336044016,6.25000178671148,0.10209035094442852,0,0,CD38,
19,35754566,35758079,3514,-,ENSG00000004776,576.2466084405612,-3.059709899901533,0.07037343803895278,0,0,HSPB6,
19,35774532,35788822,14291,+,ENSG00000004777,85.84394629021733,-2.3100799355246777,0.10134640206252675,9.861530557836539e-126,4.7044783723679126e-125,ARHGAP33,
7,95583499,95596516,13018,-,ENSG00000004799,22702.352067349046,-4.961760942188485,0.10997315506739093,0,0,PDK4,
17,58301228,58328795,27568,-,ENSG00000005379,376.7868100994891,-3.235127070135053,0.09162626280082353,6.41324121143797e-298,9.405109183727285e-297,TSPOAP1,
17,58269856,58280935,11080,-,ENSG00000005381,25.122888265985605,-2.4611001724897816,0.1312418092739815,1.68694804312718e-85,5.774095704310393e-85,MPO,
7,87401697,87480435,78739,-,ENSG00000005471,467.8231355243395,-2.989158508868934,0.09910643926005346,1.0076465479918709e-221,9.34156536596975e-221,ABCB4,
11,60924463,60937159,12697,+,ENSG00000006118,1625.068526922041,7.713188674231653,0.11218688112476735,0,0,TMEM132A,
16,57372477,57385044,12568,+,ENSG00000006210,4453.99470082863,4.064882743628083,0.09675854747137314,0,0,CX3CL1,
17,27756766,27800499,43734,-,ENSG00000007171,293250.0551367714,7.8244539881091155,0.23743365921946608,3.6734894389471394e-287,5.1113161646600435e-286,NOS2,
17,9910609,10198551,287943,-,ENSG00000007237,19276.524022035424,4.0040260550799,0.07700370817235924,0,0,AC005747.1,
19,45162928,45178237,15310,-,ENSG00000007255,80.98692360332328,-2.2156977076444555,0.0782694633253395,8.38732652670645e-185,6.150066646686993e-184,TRAPPC6A,
17,63928740,63932354,3615,-,ENSG00000007312,295.31321419153466,-2.353018353114427,0.061588306677142296,0,0,CD79B,
17,63938554,63972918,34365,-,ENSG00000007314,34.52808824200012,-2.4766208233906895,0.1300028283434715,7.211450322447047e-90,2.5738663375307e-89,SCN4A,
1,169722640,169764705,42066,-,ENSG00000007908,166499.9463672464,11.153186520104413,0.27466235377462234,0,0,SELE,
1,209583714,209613939,30226,+,ENSG00000008118,28.007679487401813,4.698159547586205,0.21547129806132226,2.2322022353947213e-133,1.1265733511064858e-132,CAMK1G,
8,133454848,133571940,117093,-,ENSG00000008513,22240.614863550538,2.491213030925313,0.042309478902146265,0,0,ST3GAL1,
16,3065297,3082192,16896,+,ENSG00000008517,412.0806496220515,5.498534020320864,0.10233388948539858,0,0,IL32,
1,209756032,209782320,26289,+,ENSG00000009790,130.2848596637291,4.654864925545951,0.12158858188177198,0,0,TRAF3IP3,
19,43646095,43670547,24453,-,ENSG00000011422,6484.923624688093,2.5113548240848202,0.06964231555229153,3.787073077259988e-302,5.699811676563413e-301,PLAUR,
X,150361422,150514178,152757,+,ENSG00000013619,585.5938054052342,2.1707238299699823,0.06545229078448427,1.2970846306350945e-253,1.485069253174995e-252,MAMLD1,
22,17734138,17774770,40633,-,ENSG00000015475,618.2467744040013,3.56140433934746,0.05422017872563918,0,0,BID,
7,44512535,44541315,28781,-,ENSG00000015520,28.16260730202225,-2.203576713351275,0.11976532379428634,7.35029763109935e-82,2.4357643317943243e-81,NPC1L1,
20,54153446,54173986,20541,-,ENSG00000019186,1375.6959549534402,8.911362952849093,0.232555151764303,0,0,CYP24A1,
11,73646178,73662819,16642,+,ENSG00000021300,179.53468410830718,-4.184257756788674,0.1078534941966582,0,0,PLEKHB1,
14,78170373,79868290,1697918,+,ENSG00000021645,56.00205340348774,2.1074517631500234,0.13278658415575242,5.699984725435474e-66,1.624845370158371e-65,NRXN3,
