seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,tx_ids
17,48026167,48038030,11864,-,ENSG00000005243,1444.2772903091611,0.38501293203885145,0.1080653999155336,3.5627770992360777,3.669522429410924e-4,0.048879282665661786,COPZ2,
4,35948221,36244514,296294,-,ENSG00000047365,2104.703505177314,-0.7362294137025496,0.19880286102277775,-3.7033139760408,2.128012394024668e-4,0.04468385158418618,ARAP2,
7,74231499,74254458,22960,-,ENSG00000049541,759.7396937358914,-0.2621551804973856,0.07225539339096289,-3.628174565169191,2.854322488612673e-4,0.04632782879291681,RFC2,
1,70852353,71047808,195456,-,ENSG00000050628,829.7267462063821,1.0628917531634172,0.21827348199331578,4.869541382017108,1.1185755717555256e-6,0.008790885418426675,PTGER3,
5,175917873,176034680,116808,-,ENSG00000051596,654.9132072651975,-0.25533457329524156,0.07024828647418584,-3.634744505676583,2.7825625374619463e-4,0.04632782879291681,THOC3,
5,122311354,122464219,152866,+,ENSG00000064692,84.67122193970228,-1.092288315719247,0.28043549080443164,-3.8949717547732936,9.821017337568304e-5,0.035363691113710356,SNCAIP,
3,48688003,48740353,52351,-,ENSG00000068745,1966.1714794463899,-0.266325374608302,0.0579786377213146,-4.593508662422284,4.358549184173028e-6,0.017126919019207914,IP6K2,
11,17208153,17349980,141828,+,ENSG00000070081,26620.749138228493,0.21702670663029616,0.05209064935412235,4.166327533275818,3.095458765065663e-5,0.023924048253554462,NUCB2,
4,53459301,53701405,242105,-,ENSG00000072201,1724.3434298196817,-0.6378399587792685,0.1765392139038271,-3.613021405695979,3.0264970811535953e-4,0.04632782879291681,LNX1,
12,108129288,108250537,121250,+,ENSG00000075035,4794.819933856911,0.8327360530161287,0.22685586730650384,3.6707715030840404,2.4181944981112235e-4,0.0452490251444193,WSCD2,
X,132369317,132489968,120652,-,ENSG00000076770,810.905091094465,0.4911110378896394,0.1284366419601956,3.823761119835583,1.3143125856423482e-4,0.036270813071938926,MBNL3,
2,182716041,182794464,78424,+,ENSG00000077232,22092.452760462977,0.28211307899456517,0.076535317197824207,3.686050954298328,2.27760768395275e-4,0.04468385158418618,DNAJC10,
3,183122215,183163839,41625,-,ENSG00000078081,610.6053849939368,0.7796131525990794,0.21783402051804993,3.578932026985564,3.4500117753932135e-4,0.04789576099847911,LAMP3,
X,68042344,68433913,391570,-,ENSG00000079482,2433.3415820688956,0.3210837277096657,0.08835652401141983,3.6339560808001745,2.7910839332932313e-4,0.04632782879291681,OPHN1,
2,24491914,24770702,278789,+,ENSG00000084676,4951.44200254377,0.12478863763009432,0.03454561924970701,3.612285445748745,3.0351020286047283e-4,0.04632782879291681,NCOA1,
12,69348341,69354234,5894,+,ENSG00000090382,513.8485555234921,-0.5418027055852078,0.1468876176891401,-3.688552609872337,2.2553339567813418e-4,0.04468385158418618,LYZ,
1,118883046,118989556,106511,-,ENSG00000092607,12758.1198005726,-0.25585463445402246,0.06952322440083507,-3.6801318790811046,2.3311336238091785e-4,0.04468385158418618,TBX15,
10,97865000,98030828,165829,-,ENSG00000095713,46922.406967633695,-0.5972205822272445,0.1651871449433813,-3.615418030452338,2.99863348005492e-4,0.04632782879291681,CRTAC1,
6,35573585,35728583,154999,-,ENSG00000096060,2010.4242428795292,0.37648634226958344,0.09341102716393464,4.030427174394055,5.567557727137273e-5,0.03017616288108402,FKBP5,
Y,7273972,7381548,107577,+,ENSG00000099725,1392.2870076623847,0.7466988401987038,0.2027472122462208,3.682905584378126,2.3059058118237517e-4,0.04468385158418618,PRKY,
20,56392371,56406369,13999,+,ENSG00000101138,1626.7350800107886,-0.1511059788029413,0.04126437807222644,-3.6618988547084217,2.5035270789208335e-4,0.04609289868335426,CSTF1,
X,77826364,77895593,69230,-,ENSG00000102158,13026.659116803337,0.2088682737229289,0.05332279711669825,3.9170539622258667,8.963768939985123e-5,0.035363691113710356,MAGT1,
15,80779343,80951776,172434,+,ENSG00000103888,21282.139751378443,-0.7631178218358438,0.20687778263250975,-3.688737437752892,2.2536964616438128e-4,0.04468385158418618,CEMIP,
15,51447711,51622833,175123,-,ENSG00000104093,11789.545829252034,-0.3230975126051945,0.08853258630007377,-3.6494755898137052,2.627762075985369e-4,0.04632782879291681,DMXL2,
8,133191039,133231690,40652,+,ENSG00000104415,3130.8311024311674,-0.5919586364374319,0.1654688389710755,-3.5774629236439384,3.4694541265814705e-4,0.04789576099847911,CCN4,
19,44954585,44993341,38757,+,ENSG00000104853,5625.697579640216,-0.13906651667027406,0.03886145149578122,-3.578520907418269,3.4554423033028966e-4,0.04789576099847911,CLPTM1,
19,45379638,45406349,26712,-,ENSG00000104881,439.6700448767794,-0.3331174015125678,0.09023202164466042,-3.6917869669861307,2.226839540016831e-4,0.04468385158418618,PPP1R13L,
7,99648194,99679998,31805,-,ENSG00000106258,12231.688035761354,1.1155891412312202,0.28809947431850447,3.8722359486081386,1.0784147920150008e-4,0.03576450331894269,CYP3A5,
17,40177010,40195656,18647,+,ENSG00000108352,215.8265553247939,-0.4120899554042157,0.10901853550878572,-3.779999001830342,1.5682898748909773e-4,0.039127587704026,RAPGEFL1,
17,50634777,50692253,57477,+,ENSG00000108846,3100.2228286397954,-0.5518052947537698,0.1428549860657583,-3.862695380473213,1.1214281043247297e-4,0.03576450331894269,ABCC3,
17,28714281,28718429,4149,-,ENSG00000109113,6144.604363421089,-0.15424217777994914,0.03801107354126683,-4.057822192590685,4.953245597991107e-5,0.02913714283189337,RAB34,
11,59171430,59208588,37159,+,ENSG00000110042,148.19113880350605,1.2329770687029058,0.32438348617499063,3.800985935633508,1.441214832550626e-4,0.03713608973447662,DTX4,
12,120687149,120701859,14711,+,ENSG00000110917,20220.35623460784,0.2574558356683846,0.06679643561561377,3.8543349401147373,1.1604464112902896e-4,0.03576450331894269,MLEC,
