chr,pos,gene_symbol,gene_start,gene_end,gene_strand,ENTREZID,0
chr16,8853407,LOC100130283,8797842,8860417,+,100130283,['rs14124']
chr11,33705198,C11orf91,33698261,33722448,-,100131378,['rs113743057']
chr1,768562,LOC100288069,711867,778626,-,100288069,['rs548160064']
chr18,49491828,RPL17-C18orf32,49481681,49492479,-,100526842,['rs17712375']
chr1,54731647,MROH7-TTC4,54641754,54742308,+,100527960,['rs1062700']
chr1,54741865,MROH7-TTC4,54641754,54742308,+,100527960,['rs17131750']
chr19,40779010,MIA-RAB4B,40771648,40796943,+,100529262,['rs2262082' 'rs2083022614']
chr19,40779010,RAB4B-EGLN2,40778216,40808418,+,100529264,['rs2262082' 'rs2083022614']
chr10,89340500,LOC101926887,89335336,89342659,-,101926887,['rs12256980']
chr10,89340874,LOC101926887,89335336,89342659,-,101926887,['rs17119672']
chr1,119180774,WARS2-AS1,119140391,119275973,+,101929147,['rs74112521']
chr13,49997165,TRIM13,49995888,50018467,+,10206,['rs28411370']
chr13,40756890,MRPS31,40729128,40771190,-,10240,['rs35247606']
chr15,65659979,DENND4A,65659123,65792293,-,10260,['rs8030336']
chr7,106658375,CTB-30L5.1,106372251,106770207,-,102724339,['rs10266131' 'rs1792526834']
chr7,106658381,CTB-30L5.1,106372251,106770207,-,102724339,['rs10236648']
chr17,47312531,EFCAB13-DT,47303460,47323613,-,102724508,['rs58365772']
chr17,47313083,EFCAB13-DT,47303460,47323613,-,102724508,['rs140661797']
chr4,734150,PCGF3,705748,770640,+,10336,['rs73221127']
chr19,16518039,CHERP,16517894,16542437,-,10523,['rs17029']
chr12,6839663,P3H3,6828407,6839847,+,10536,['rs3809247']
chr10,89340500,LOC105378419,89277924,89342674,-,105378419,['rs12256980']
chr10,89340874,LOC105378419,89277924,89342674,-,105378419,['rs17119672']
chr1,768562,LOC105378947,586071,827796,-,105378947,['rs548160064']
chr11,118409221,ATP5MG,118401602,118449569,+,10632,['rs3194726']
chr1,225920396,LEFTY1,225886282,225924278,-,10637,['rs56035614']
chr9,124351812,NEK6,124257606,124353307,+,10783,['rs11556890']
chr9,93447360,LOC107987097,93431441,93451588,-,107987097,['rs41274382']
chr1,117528667,MAN1A2,117367449,117528872,+,10905,['rs1045666']
chr6,122801319,SMPDL3A,122789049,122809720,+,10924,['rs28385609']
chr12,6606361,CHD4,6556886,6608430,-,1108,['rs2267974']
chr6,105097515,BVES,105096822,105137157,-,11149,['rs6939803']
chr6,105099503,BVES,105096822,105137157,-,11149,['rs6571217']
chr6,105100132,BVES,105096822,105137157,-,11149,['rs59287252']
chr12,56610180,BAZ2A,56595596,56636816,-,11176,['rs2230580']
chr22,42912106,PACSIN2,42869768,43015149,-,11252,['rs59511073']
chr10,73163804,ECD,73133668,73169055,-,11319,['rs3812619']
chr7,99396244,PDAP1,99392048,99408597,-,11333,['rs73711207' 'rs386716089']
chr7,99396245,PDAP1,99392048,99408597,-,11333,['rs73711208']
chr1,184795547,NIBAN1,184790724,184974508,-,116496,['rs35545276']
chr10,97743140,ZFYVE27,97737121,97760907,+,118813,['rs17108378']
chr14,94624073,SERPINA3,94592058,94624646,+,12,['rs742898']
chr15,83005680,C15orf40,82988441,83011641,-,123207,['rs78910691']
chr1,74738763,TYW3,74733152,74766678,+,127253,['rs11538281']
chr21,46132189,COL6A2,46098112,46132848,+,1292,['rs11554669']
chr2,199948403,TYW5,199928913,199955736,-,129450,['rs10497844']
chr2,241091692,MTERF4,241072169,241102332,-,130916,['rs10169074']
chr2,241093259,MTERF4,241072169,241102332,-,130916,['rs74926829']
chr5,202254,CCDC127,196868,218153,-,133957,['rs3932939']
chr5,202284,CCDC127,196868,218153,-,133957,['rs3932938']
chr5,202999,CCDC127,196868,218153,-,133957,['rs11739566']
chr5,204360,CCDC127,196868,218153,-,133957,['rs9687277']
chr5,204458,CCDC127,196868,218153,-,133957,['rs9687285']
chr5,204962,CCDC127,196868,218153,-,133957,['rs13474']
chr20,32444477,NOL4L,32443059,32585074,-,140688,['rs1006916']
chr12,121778986,TMEM120B,121712752,121782068,+,144404,['rs3741588' 'rs1874340974']
chr12,121779030,TMEM120B,121712752,121782068,+,144404,['rs12312375']
chr12,121934270,CFAP251,121915333,122003927,+,144406,['rs78614343']
chr12,121942932,CFAP251,121915333,122003927,+,144406,['rs34768683']
chr13,31317606,B3GLCT,31199975,31332276,+,145173,['rs34638481']
chr19,53441906,TPM3P9,53431984,53444670,+,147804,['rs141373713']
chr19,53442182,TPM3P9,53431984,53444670,+,147804,['rs143639299']
chr17,3660774,CTNS,3636459,3663103,+,1497,['rs760273']
chr17,3660924,CTNS,3636459,3663103,+,1497,['rs1048646']
chr17,3660941,CTNS,3636459,3663103,+,1497,['rs3826493']
chr3,112603973,CCDC80,112596797,112649447,-,151887,['rs35931975']
chr3,112641192,CCDC80,112596797,112649447,-,151887,['rs28364604']
chr3,73064852,PPP4R2,72996803,73069198,+,151987,['rs61188513']
chr6,143860482,ZC2HC1B,143857318,143938471,+,153918,['rs7454959']
chr9,93447360,FAM120AOS,93443332,93453581,-,158293,['rs41274382']
chr7,106658375,CCDC71L,106654360,106661158,-,168455,['rs10266131' 'rs1792526834']
chr7,106658381,CCDC71L,106654360,106661158,-,168455,['rs10236648']
chr1,147178733,PDIA3P1,147178113,147179622,+,171423,['rs72708527']
chr19,12679692,DHPS,12675717,12681880,-,1725,['rs10425108']
chr10,49015481,VSTM4,49014236,49115522,-,196740,['rs17700453' 'rs1843091353']
chr17,17216447,FLCN,17202649,17237188,-,201163,['rs61750032']
chr1,225845227,EPHX1,225810124,225845563,+,2052,['rs4149229']
chr2,199948403,C2orf69,199911293,199955935,+,205327,['rs10497844']
chr14,104769481,AKT1,104769349,104795751,-,207,['rs17846829']
chr6,6145507,F13A1,6144084,6321013,-,2162,['rs3024463']
chr16,89739386,FANCA,89737549,89816657,-,2175,['rs9282682']
chr7,93135176,SAMD9L,93130056,93148385,-,219285,['rs10488532']
chr5,95814631,RHOBTB3,95713522,95824383,+,22836,['rs29000872']
chr5,95818796,RHOBTB3,95713522,95824383,+,22836,['rs28926206']
chr5,95819336,RHOBTB3,95713522,95824383,+,22836,['rs10213972']
chr17,5514702,NLRP1,5499427,5584531,-,22861,['rs34211727']
chr17,5533965,NLRP1,5499427,5584531,-,22861,['rs34733791']
chr18,31871061,TRAPPC8,31829197,31943136,-,22878,['rs16962530']
chr3,45745108,SACM1L,45689056,45745409,+,22908,['rs1801896']
chr16,89909088,TCF25,89873570,89918233,+,22980,['rs57940434']
chr12,1371872,ERC1,990509,1495933,+,23085,['rs35478691']
chr13,36302566,SPART,36301638,36370180,-,23111,['rs9547190']
chr3,129556363,PLXND1,129555214,129606676,-,23129,['rs11920311']
chr17,17216447,MPRIP,17042457,17217679,+,23164,['rs61750032']
chr21,46568071,DIP2A,46458891,46570015,+,23181,['rs2839338']
chr2,53908799,PSME4,53864069,53970993,-,23198,['rs2302878']
chr6,35089554,ANKS1A,34889255,35091406,+,23294,['rs3822921']
chr1,147178733,FMO5,147175351,147243050,-,2330,['rs72708527']
chr20,50889532,ADNP,50888916,50931437,-,23394,['rs73909825']
chr20,32231047,POFUT1,32207880,32238658,+,23509,['rs17268666']
chr1,25360817,TMEM50A,25338317,25362361,+,23585,['rs8876']
chr16,8853407,CARHSP1,8852942,8869012,-,23589,['rs14124']
chr15,63925943,DAPK2,63907036,64072033,-,23604,['rs34104782']
chr11,62855579,SNHG1,62851984,62855953,-,23642,['rs1059292']
chr2,37252289,PRKD3,37250502,37324833,-,23683,['rs28698067']
chr9,128179172,CIZ1,128161251,128204383,-,25792,['rs45536439']
chr1,230279402,GALNT2,230057990,230282122,+,2590,['rs2273970']
chr1,230280064,GALNT2,230057990,230282122,+,2590,['rs72647711']
chr1,230280573,GALNT2,230057990,230282122,+,2590,['rs3213496']
chr14,31321680,HEATR5A,31291788,31457441,-,25938,['rs28396248']
chr2,241091692,SNED1,240998618,241095568,+,25992,['rs10169074']
chr2,241093259,SNED1,240998618,241095568,+,25992,['rs74926829']
chr22,42834260,ARFGAP3,42796502,42876207,-,26286,['rs17003382']
chr1,89007079,GBP3,89006679,89022894,-,2635,['rs12058562']
chr2,130374546,PTPN18,130356045,130375405,+,26469,['rs76847861']
chr7,73570818,TBL2,73567537,73578791,-,26608,['rs35607697']
chr1,179101902,ABL2,179099330,179229684,-,27,['rs17361990']
chr8,140531782,AGO2,140520156,140635633,-,27161,['rs2944776']
chr10,98162926,R3HCC1L,98134624,98244897,+,27291,['rs73323860']
chr1,93886825,GCLM,93885199,93909456,-,2730,['rs10489605']
chr5,95814631,GLRX,95751319,95822726,-,2745,['rs29000872']
chr5,95818796,GLRX,95751319,95822726,-,2745,['rs28926206']
