sample,count,Age,logmu,seqnames,gene_id,start,end,width,strand,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,tx_ids,cluster
CQTL_AM7180_R_CTL_18_1_39,847.5516992259838,39,9.799956852625218,3,ENSG00000044524,89107621,89482134,374514,+,2421.2911496966585,1.0358553968793143,0.45654665654462806,74.97935282554954,9.395709964045901e-15,7.680053324611119e-11,EPHA3,,+
CQTL_AM7180_R_CTL_18_1_39,3.3702388192008463,39,2.908499507663154,5,ENSG00000063438,321759,435110,113352,+,13.431623046093593,3.400653197573834,0.8638917152876449,34.47614795418781,1.9138724468105858e-6,0.0010092898954986921,AHRR,,+
CQTL_AM7180_R_CTL_18_1_39,45.24985425600339,39,5.577339209131578,X,ENSG00000102290,91779261,92623230,843970,+,75.35418434780796,-0.6959871915026362,0.6420587756781655,46.11035025376498,8.624202720242063e-9,1.4446859773928144e-5,PCDH11X,,+
CQTL_AM7180_R_CTL_18_1_39,39.28454111554829,39,4.513116017111552,8,ENSG00000104432,78675743,78805523,129781,-,56.6156306267777,0.6897588235988217,0.6215768600093629,32.96212291783445,3.829171188536598e-6,0.0016473497523735868,IL7,,+
CQTL_AM7180_R_CTL_18_1_39,48.55210785835961,39,4.997411134406095,19,ENSG00000105699,35248330,35267964,19635,+,84.97558762571285,1.5623819499080998,0.6709288700366114,54.482770453196736,1.6676748503467849e-10,5.452629690693847e-7,LSR,,+
CQTL_AM7180_R_CTL_18_1_39,275.50503024669007,39,8.988439497198343,6,ENSG00000112796,46159185,46170980,11796,-,1192.2275374704504,0.3478885149201239,0.6100639984370494,45.85501081348821,9.720788935234253e-9,1.4446859773928144e-5,ENPP5,,+
CQTL_AM7180_R_CTL_18_1_39,260.23496268520023,39,6.691297341955843,3,ENSG00000114757,179794958,180037053,242096,-,247.98938377421297,0.9590633626273158,0.6184494527503043,51.5704593527978,6.607667475277055e-10,1.543173541226133e-6,PEX5L,,+
CQTL_AM7180_R_CTL_18_1_39,14.803458091594889,39,3.6911658647103254,3,ENSG00000114805,155375580,155745067,369488,-,36.094994305259945,0.6451835114721671,0.7619292579938641,32.49625499522176,4.737421769765601e-6,0.0019858300280032833,PLCH1,,+
CQTL_AM7180_R_CTL_18_1_39,37.58508699763946,39,5.517469970439178,13,ENSG00000118946,57631744,57729311,97568,+,105.48391179128852,0.059534636728288404,0.7163605419041312,34.16532290900295,2.2071969842973355e-6,0.0011276017593529013,PCDH17,,+
CQTL_AM7180_R_CTL_18_1_39,1068.333160959896,39,9.96255458602683,2,ENSG00000119042,199269500,199471266,201767,-,1194.581420380579,0.2921883708977211,0.2698883687798154,35.46181313311331,1.2168119586082513e-6,6.859462723906102e-4,SATB2,,+
